Serie;Codigo_municipio;Nombre;total_num;huertos_consumo_propio;tierra_pastos
Municipios;0565;Fresnedillas de la Oliva;18;1;18
Municipios;0571;Fresno de Torote;9;1;2
Municipios;0587;Fuenlabrada;24;6;3
Municipios;0590;Fuente el Saz de Jarama;21;0;4
Municipios;0604;Fuentidueña de Tajo;57;6;1
Municipios;0611;Galapagar;18;1;18
Municipios;0626;Garganta de los Montes;23;3;23
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12;0;12
Municipios;0647;Gascones;10;0;10
Municipios;0650;Getafe;29;0;6
Municipios;0663;Griñón;13;2;1
Municipios;0679;Guadalix de la Sierra;68;7;68
Municipios;0685;Guadarrama;43;1;43
Municipios;0698;Hiruela (La);0;0;0
Municipios;0702;Horcajo de la Sierra0Aoslos;8;1;8
Municipios;0719;Horcajuelo de la Sierra;4;0;4
Municipios;0724;Hoyo de Manzanares;13;0;13
Municipios;0730;Humanes de Madrid;21;1;3
Municipios;0745;Leganés;9;0;2
Municipios;0758;Loeches;7;0;1
Municipios;0761;Lozoya;22;0;21
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;24;4;23
Municipios;0783;Madarcos;5;0;5
Municipios;0796;Madrid;109;3;12
Municipios;0800;Majadahonda;8;0;4
Municipios;0822;Manzanares el Real;19;1;19
Municipios;0838;Meco;33;0;2
Municipios;0843;Mejorada del Campo;17;1;3
Municipios;0856;Miraflores de la Sierra;25;2;25
Municipios;0869;Molar (El);99;7;21
Municipios;0875;Molinos (Los);28;1;28
Municipios;0881;Montejo de la Sierra;12;2;11
Municipios;0894;Moraleja de Enmedio;25;3;8
Municipios;0908;Moralzarzal;14;0;14
Municipios;0915;Morata de Tajuña;121;8;6
Municipios;0920;Móstoles;19;0;5
Municipios;0936;Navacerrada;12;0;12
Municipios;0941;Navalafuente;14;1;14
Municipios;0954;Navalagamella;19;1;19
Municipios;0967;Navalcarnero;223;9;27
Municipios;0973;Navarredonda y San Mamés;10;0;10
Municipios;0992;Navas del Rey;46;3;15
Municipios;1006;Nuevo Baztán;9;0;0
Municipios;1013;Olmeda de las Fuentes;9;0;2
Municipios;1028;Orusco de Tajuña;35;5;4
Municipios;1049;Paracuellos de Jarama;15;1;4
Municipios;1065;Parla;17;0;2
Municipios;1071;Patones;11;2;5
Municipios;1087;Pedrezuela;15;0;14
Municipios;1090;Pelayos de la Presa;4;0;3
Municipios;1104;Perales de Tajuña;89;8;5
Municipios;1111;Pezuela de las Torres;36;1;2
Municipios;1126;Pinilla del Valle;6;0;6
Municipios;1132;Pinto;26;2;1
Municipios;1147;Piñuécar0Gandullas;15;2;15
Municipios;1150;Pozuelo de Alarcón;11;1;0
Municipios;1163;Pozuelo del Rey;24;0;3
Municipios;1179;Prádena del Rincón;8;1;8
Municipios;1185;Puebla de la Sierra;0;0;0
Municipios;9020;Puentes Viejas;22;4;22
Municipios;1198;Quijorna;9;2;2
Municipios;1202;Rascafría;35;1;34
Municipios;1219;Redueña;12;1;6
Municipios;1224;Ribatejada;16;0;2
Municipios;1230;Rivas0Vaciamadrid;18;1;6
Municipios;1245;Robledillo de la Jara;0;0;0
Municipios;1258;Robledo de Chavela;34;2;34
Municipios;1261;Robregordo;5;0;5
Municipios;1277;Rozas de Madrid (Las);5;0;4
Municipios;1283;Rozas de Puerto Real;32;0;20
Municipios;1296;San Agustín del Guadalix;21;3;17
Municipios;1300;San Fernando de Henares;12;1;3
Municipios;1317;San Lorenzo de El Escorial;20;1;19
Municipios;1338;San Martín de Valdeiglesias;284;45;50
Municipios;1322;San Martín de la Vega;116;7;9
Municipios;1343;San Sebastián de los Reyes;19;2;7
Municipios;1356;Santa María de la Alameda;38;1;38
Municipios;1369;Santorcaz;43;2;4
Municipios;1375;Santos de la Humosa (Los);22;1;4
Municipios;1381;Serna del Monte (La);4;0;4
Municipios;1408;Serranillos del Valle;10;1;1
Municipios;1415;Sevilla la Nueva;8;1;3
Municipios;1436;Somosierra;11;0;11
Municipios;1441;Soto del Real;23;0;23
Municipios;1454;Talamanca de Jarama;49;1;5
Municipios;1467;Tielmes;74;1;2
Municipios;1473;Titulcia;18;0;1
Municipios;1489;Torrejón de Ardoz;7;2;2
Municipios;1505;Torrejón de Velasco;78;5;5
Municipios;1492;Torrejón de la Calzada;5;0;2
Municipios;1512;Torrelaguna;55;1;9
Municipios;1527;Torrelodones;0;0;0
Municipios;1533;Torremocha de Jarama;56;2;6
Municipios;1548;Torres de la Alameda;36;1;0
Municipios;9036;Tres Cantos;21;0;20
Municipios;1551;Valdaracete;125;6;8
Municipios;1564;Valdeavero;13;1;1
Municipios;1570;Valdelaguna;84;10;7
Municipios;1586;Valdemanco;4;1;4
Municipios;1599;Valdemaqueda;0;0;0
Municipios;1603;Valdemorillo;45;6;39
Municipios;1610;Valdemoro;19;1;4
Municipios;1625;Valdeolmos0Alalpardo;22;0;5
Municipios;1631;Valdepiélagos;13;1;1
Municipios;1646;Valdetorres de Jarama;27;2;7
Municipios;1659;Valdilecha;155;9;10
Municipios;1662;Valverde de Alcalá;12;0;2
Municipios;1678;Velilla de San Antonio;7;1;1
Municipios;1684;Vellón (El);30;5;17
