Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de actividades financieras y de seguros. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;0698;Hiruela (La);0;0;0;0;0;0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;3;4;0;8;0;0;0;0;0;
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0724;Hoyo de Manzanares;41;33;40;41;48;51;49;57;52;
Municipios;0730;Humanes de Madrid;69;79;80;63;60;69;51;76;73;
Municipios;0745;Leganés;1534;1573;1466;1318;1286;1284;1276;1203;1171;
Municipios;0758;Loeches;33;32;41;39;36;46;51;43;40;
Municipios;0761;Lozoya;19;20;21;21;14;27;15;33;31;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;4;7;7;7;9;8;11;12;15;
Municipios;0783;Madarcos;0;0;0;0;0;0;0;0;0;
Municipios;0796;Madrid;81011;83205;79057;79471;80021;80862;81354;83646;86085;
Municipios;0800;Majadahonda;4137;4341;4567;3716;3878;3900;4282;4375;4431;
Municipios;0822;Manzanares el Real;44;48;49;53;50;63;55;50;46;
Municipios;0838;Meco;40;43;45;44;44;46;51;63;62;
Municipios;0843;Mejorada del Campo;59;62;72;71;65;73;73;90;91;
Municipios;0856;Miraflores de la Sierra;29;23;25;21;23;25;29;29;27;
Municipios;0869;Molar (El);65;57;59;59;50;52;55;38;37;
Municipios;0875;Molinos (Los);22;23;20;19;19;20;22;20;17;
Municipios;0881;Montejo de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0894;Moraleja de Enmedio;24;21;17;17;15;25;14;18;15;
Municipios;0908;Moralzarzal;49;53;55;54;48;63;65;58;57;
Municipios;0915;Morata de Tajuña;30;30;30;29;25;38;27;36;35;
Municipios;0920;Móstoles;1541;1553;1491;1469;1421;1452;1401;1352;1344;
Municipios;0936;Navacerrada;18;17;18;18;18;20;21;17;14;
Municipios;0941;Navalafuente;2;2;3;3;2;3;3;2;2;
Municipios;0954;Navalagamella;21;10;11;9;12;10;10;17;14;
Municipios;0967;Navalcarnero;137;132;113;145;106;125;101;105;109;
Municipios;0973;Navarredonda y San Mamés;0;0;0;0;0;0;0;0;0;
Municipios;0992;Navas del Rey;14;14;16;15;14;15;16;13;11;
Municipios;1006;Nuevo Baztán;14;13;11;12;12;16;17;19;14;
Municipios;1013;Olmeda de las Fuentes;1;2;2;2;2;2;2;2;2;
Municipios;1028;Orusco de Tajuña;1;3;2;2;2;2;3;2;1;
Municipios;1049;Paracuellos de Jarama;79;80;93;93;99;101;99;111;125;
Municipios;1065;Parla;643;593;603;573;544;542;520;442;439;
Municipios;1071;Patones;0;0;0;0;0;0;0;0;0;
Municipios;1087;Pedrezuela;21;21;24;20;19;21;24;23;14;
Municipios;1090;Pelayos de la Presa;9;8;9;9;8;8;10;16;14;
Municipios;1104;Perales de Tajuña;22;21;40;40;11;21;25;30;29;
Municipios;1111;Pezuela de las Torres;0;0;0;0;0;1;2;3;2;
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;0;0;
Municipios;1132;Pinto;329;346;309;331;294;293;277;287;285;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;1587;2194;1759;1842;1859;2072;2162;2271;2512;
Municipios;1163;Pozuelo del Rey;1;0;0;0;0;0;0;0;0;
Municipios;1179;Prádena del Rincón;0;1;1;0;0;0;0;0;0;
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;0;0;0;1;1;1;1;2;1;
Municipios;1198;Quijorna;10;12;9;9;8;7;10;16;12;
Municipios;1202;Rascafría;21;21;19;19;12;19;22;27;26;
Municipios;1219;Redueña;1;1;1;1;1;1;1;0;0;
Municipios;1224;Ribatejada;0;0;1;1;1;1;2;2;2;
