Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Agricultura. Contratos temporales registrados en las oficinas de empleo en agricultura. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0480;Corpa;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;
Municipios;0493;Coslada;2;28;26;16;14;3;31;4;22;16;14;35;18;16;0;
Municipios;0506;Cubas de la Sagra;2;1;0;3;8;5;7;1;8;2;2;7;1;5;1;
Municipios;0534;Daganzo de Arriba;2;0;1;0;1;2;3;5;3;3;1;2;0;0;0;
Municipios;0549;Escorial (El);7;9;15;4;6;6;4;11;24;10;6;7;11;6;11;
Municipios;0552;Estremera;15;33;27;18;16;78;41;21;35;109;185;408;449;48;73;
Municipios;0565;Fresnedillas de la Oliva;1;0;1;2;2;4;1;0;1;0;0;0;0;0;1;
Municipios;0571;Fresno de Torote;1;1;1;2;4;1;2;4;5;4;0;2;1;0;0;
Municipios;0587;Fuenlabrada;51;25;30;20;30;29;37;36;37;46;20;13;33;20;41;
Municipios;0590;Fuente el Saz de Jarama;5;3;8;10;9;7;7;10;11;9;10;9;10;1;1;
Municipios;0604;Fuentidueña de Tajo;34;30;26;21;25;108;28;28;23;51;17;179;164;10;3;
Municipios;0611;Galapagar;9;11;8;5;8;11;6;12;36;34;6;12;24;6;5;
Municipios;0626;Garganta de los Montes;0;2;0;0;0;2;3;3;4;1;4;3;0;1;2;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;
Municipios;0647;Gascones;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;
Municipios;0650;Getafe;123;222;153;47;47;50;50;64;65;61;74;62;102;77;48;
Municipios;0663;Griñón;1;14;12;9;11;2;9;30;2;2;2;5;7;6;9;
Municipios;0679;Guadalix de la Sierra;2;3;4;3;6;11;16;18;9;17;12;17;23;20;5;
Municipios;0685;Guadarrama;4;18;3;6;6;9;6;12;11;4;3;1;29;0;2;
Municipios;0698;Hiruela (La);0;0;0;1;0;1;3;0;0;2;0;0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;2;1;1;3;3;0;2;2;1;1;0;2;0;1;
Municipios;0719;Horcajuelo de la Sierra;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
Municipios;0724;Hoyo de Manzanares;0;2;4;11;21;19;21;10;17;18;19;15;2;16;7;
Municipios;0730;Humanes de Madrid;1;0;0;1;7;7;6;2;4;2;0;34;47;3;33;
Municipios;0745;Leganés;48;77;51;31;79;167;63;106;116;139;187;206;147;317;307;
Municipios;0758;Loeches;1;3;3;19;10;4;0;0;0;0;15;4;0;0;0;
Municipios;0761;Lozoya;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0;0;4;5;7;7;6;1;1;3;1;0;0;0;0;
Municipios;0783;Madarcos;0;2;0;0;0;2;0;0;0;1;1;0;0;0;0;
Municipios;0796;Madrid;4204;5199;4684;3453;3719;4391;3911;5512;6124;6955;7210;4610;4866;2602;1478;
Municipios;0800;Majadahonda;105;123;36;30;57;49;43;61;61;49;107;77;101;63;31;
Municipios;0822;Manzanares el Real;9;7;24;1;1;1;15;15;5;17;4;3;8;1;1;
Municipios;0838;Meco;27;28;53;38;19;16;27;28;31;16;15;12;10;5;5;
Municipios;0843;Mejorada del Campo;1;2;1;0;0;0;0;0;1;0;2;0;0;0;0;
Municipios;0856;Miraflores de la Sierra;5;4;8;2;5;13;6;9;6;3;6;7;2;0;4;
Municipios;0869;Molar (El);5;5;0;7;10;19;13;15;25;12;1;2;6;0;0;
Municipios;0875;Molinos (Los);5;8;1;3;0;1;2;1;1;3;3;3;12;1;0;
Municipios;0881;Montejo de la Sierra;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;
Municipios;0894;Moraleja de Enmedio;2;1;0;1;1;2;3;0;1;0;1;2;1;1;0;
Municipios;0908;Moralzarzal;1;4;1;4;5;1;3;4;4;3;4;5;4;4;7;
Municipios;0915;Morata de Tajuña;34;59;27;19;37;37;35;58;93;49;63;48;61;42;66;
Municipios;0920;Móstoles;54;91;69;53;57;72;53;31;29;29;34;18;61;13;2;
Municipios;0936;Navacerrada;8;3;0;0;2;2;0;1;1;1;2;1;1;2;4;
Municipios;0941;Navalafuente;0;1;0;0;0;0;1;8;10;7;6;7;1;0;0;
Municipios;0954;Navalagamella;4;3;3;2;3;3;4;2;2;2;4;2;7;15;61;
Municipios;0967;Navalcarnero;72;72;52;80;88;83;106;103;89;98;90;72;77;18;11;
Municipios;0973;Navarredonda y San Mamés;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
Municipios;0992;Navas del Rey;0;0;0;0;0;0;0;0;1;2;0;0;2;1;0;
Municipios;1006;Nuevo Baztán;2;3;0;9;6;33;20;39;26;18;5;9;14;0;0;
Municipios;1013;Olmeda de las Fuentes;1;0;1;1;3;4;3;4;0;0;0;4;7;7;1;
Municipios;1028;Orusco de Tajuña;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1049;Paracuellos de Jarama;3;1;3;45;18;39;8;20;12;25;5;5;11;1;2;
Municipios;1065;Parla;7;0;25;18;16;23;49;32;41;25;54;15;52;9;8;
Municipios;1071;Patones;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1087;Pedrezuela;1;1;3;3;0;1;0;0;0;3;2;0;0;0;0;
Municipios;1090;Pelayos de la Presa;1;0;0;0;1;0;1;1;0;0;0;4;0;1;0;
Municipios;1104;Perales de Tajuña;17;1;0;0;2;1;2;4;2;2;2;3;0;1;3;
Municipios;1111;Pezuela de las Torres;5;4;4;5;1;4;10;7;8;4;14;11;5;8;10;
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1132;Pinto;9;15;15;26;11;8;33;21;47;52;76;39;65;23;28;
Municipios;1147;Piñuécar-Gandullas;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;12;18;35;11;12;34;73;48;41;103;49;20;91;41;24;
Municipios;1163;Pozuelo del Rey;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1179;Prádena del Rincón;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;
Municipios;1185;Puebla de la Sierra;0;1;5;13;1;3;1;4;1;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1198;Quijorna;3;0;0;1;1;2;0;4;2;4;4;5;2;7;2;
Municipios;1202;Rascafría;38;21;11;6;2;6;5;10;4;7;4;1;5;1;0;
Municipios;1219;Redueña;0;0;0;0;0;0;0;0;5;0;2;0;0;0;0;
Municipios;1224;Ribatejada;1;0;0;0;0;0;1;0;1;0;17;0;0;1;0;
Municipios;1230;Rivas-Vaciamadrid;12;15;4;3;7;18;3;2;8;9;9;7;13;8;0;
Municipios;1245;Robledillo de la Jara;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;10;6;10;7;4;7;8;6;13;6;13;11;18;10;14;
Municipios;1261;Robregordo;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);133;77;178;104;165;193;205;113;86;122;73;41;98;32;11;
Municipios;1283;Rozas de Puerto Real;0;0;1;3;18;1;3;0;1;6;1;0;3;1;0;
Municipios;1296;San Agustín del Guadalix;1;2;4;1;1;1;13;5;36;3;6;7;6;3;2;
Municipios;1300;San Fernando de Henares;2;1;4;2;1;4;0;2;0;1;0;6;2;0;1;
Municipios;1317;San Lorenzo de El Escorial;101;98;34;4;8;5;5;10;8;8;6;7;2;1;1;
Municipios;1338;San Martín de Valdeiglesias;38;19;24;36;41;19;25;30;23;31;26;44;43;10;14;
Municipios;1322;San Martín de la Vega;14;11;29;29;33;34;39;41;42;39;25;34;32;15;7;
Municipios;1343;San Sebastián de los Reyes;11;10;27;16;12;36;16;33;21;15;20;26;21;8;10;
Municipios;1356;Santa María de la Alameda;8;5;5;0;0;0;1;0;5;2;5;2;1;1;0;
Municipios;1369;Santorcaz;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;
Municipios;1375;Santos de la Humosa (Los);0;0;1;2;1;0;0;1;0;1;3;2;2;5;4;
