Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Contratos temporales registrados en las oficinas de empleo. Unidad: Número. Fuente: Estadística de Contratos Registrados. Ministerio de Trabajo y Economía Social.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Municipios;0344;Canencia;288;255;244;265;134;183;269;78;90;79;144;160;181;164;192;264;298;107;
Municipios;0357;Carabaña;200;190;201;149;174;101;142;132;101;103;122;181;169;158;375;152;486;365;
Municipios;0360;Casarrubuelos;383;314;513;707;550;706;1432;828;606;863;2210;5483;5173;3437;3360;1916;1899;1075;
Municipios;0376;Cenicientos;400;542;511;603;324;238;251;393;895;575;575;412;861;736;897;446;271;182;
Municipios;0382;Cercedilla;1131;1325;1343;2000;1585;1394;1386;1236;1366;1021;1241;1304;1403;1316;1592;1123;1554;1097;
Municipios;0395;Cervera de Buitrago;236;106;208;91;115;76;50;33;40;42;48;54;234;159;83;74;90;175;
Municipios;0513;Chapinería;246;193;263;461;170;329;294;264;251;377;655;854;610;392;416;244;369;211;
Municipios;0528;Chinchón;1194;1344;1273;1063;1265;1403;1410;1389;1426;1494;2485;2739;2392;3085;2933;1750;2119;1327;
Municipios;0409;Ciempozuelos;4169;5989;6583;6648;6322;4948;5142;4384;4971;5430;5817;5259;7900;7983;7700;7094;7865;5906;
Municipios;0416;Cobeña;544;657;826;711;890;1002;1876;1422;539;698;895;962;1326;1025;951;660;985;621;
Municipios;0468;Collado Mediano;1272;1400;1020;756;724;657;1847;1201;486;556;651;799;757;748;834;534;632;391;
Municipios;0474;Collado Villalba;8823;10699;9143;6561;5509;6012;6337;6115;5693;6147;7585;7727;8495;9071;10104;6173;8092;4626;
Municipios;0455;Colmenar Viejo;6730;6889;8034;8350;6216;6544;6001;5972;5635;4629;5533;5666;6763;7832;9377;7506;7382;4825;
Municipios;0437;Colmenar de Oreja;1966;1365;1556;949;796;761;1150;778;1020;795;705;749;810;762;698;776;960;579;
Municipios;0421;Colmenar del Arroyo;811;1153;837;672;487;556;735;607;678;469;481;457;496;386;700;360;440;632;
Municipios;0442;Colmenarejo;677;840;775;631;614;591;586;425;453;481;491;557;565;744;644;722;1034;499;
Municipios;0480;Corpa;66;87;93;51;69;84;63;58;52;40;40;50;53;38;40;35;103;47;
Municipios;0493;Coslada;32258;29557;28712;21355;15247;17457;17139;13896;11768;13660;14766;17114;18543;23081;22805;25974;31644;22967;
Municipios;0506;Cubas de la Sagra;508;659;748;556;560;325;382;465;511;791;645;495;383;474;725;534;716;494;
Municipios;0534;Daganzo de Arriba;2712;4239;4156;3573;2295;2746;2744;2411;3352;3211;3649;3703;3419;3775;4211;2630;4706;2893;
Municipios;0549;Escorial (El);1545;1831;1500;1377;1472;1512;1369;1334;1182;1381;1620;2119;3011;2969;1755;1204;1532;1142;
Municipios;0552;Estremera;138;350;675;382;165;163;216;152;203;290;266;223;256;323;451;650;655;155;
Municipios;0565;Fresnedillas de la Oliva;82;113;272;253;172;163;115;95;159;103;166;95;128;319;157;103;109;75;
Municipios;0571;Fresno de Torote;142;160;219;142;212;254;203;103;126;98;178;266;133;143;107;86;106;78;
Municipios;0587;Fuenlabrada;52455;52716;46076;33106;24035;24311;23214;19535;19735;21975;30342;30111;33494;34185;35188;31104;42427;23901;
Municipios;0590;Fuente el Saz de Jarama;906;1224;1234;918;545;655;694;827;1000;664;762;970;828;778;759;532;923;1082;
Municipios;0604;Fuentidueña de Tajo;151;280;219;231;294;358;406;360;320;458;249;238;217;509;261;349;404;139;
Municipios;0611;Galapagar;2281;2794;2285;1799;1794;1460;1658;1723;1558;1907;2457;2436;2103;2317;2560;2069;2282;1384;
Municipios;0626;Garganta de los Montes;32;59;41;26;70;42;41;12;40;71;55;56;38;29;34;24;35;23;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12;27;21;22;36;41;35;24;40;37;48;37;54;78;59;28;69;59;
Municipios;0647;Gascones;47;44;34;35;28;22;30;13;18;28;23;51;41;33;27;26;44;14;
Municipios;0650;Getafe;47342;53363;52619;41958;31258;35021;34140;30403;29561;34400;39729;41250;50954;51786;58942;57423;74862;52813;
Municipios;0663;Griñón;2771;2446;2765;2191;1635;1947;1685;1529;1614;2026;2844;2934;2961;2996;2837;1836;2334;1300;
Municipios;0679;Guadalix de la Sierra;444;671;696;683;1051;1079;607;628;653;772;1376;1084;886;848;1104;570;910;760;
Municipios;0685;Guadarrama;1925;2542;2193;2090;1751;2119;2011;1633;2054;2651;2242;2183;2008;3228;2426;1818;2450;1929;
Municipios;0698;Hiruela (La);101;134;56;46;34;36;37;26;28;34;25;27;41;22;42;26;37;28;
Municipios;0702;Horcajo de la Sierra-Aoslos;162;187;116;64;122;136;114;43;30;52;50;123;55;63;47;52;34;38;
Municipios;0719;Horcajuelo de la Sierra;95;99;88;80;53;117;87;35;27;31;33;35;22;36;23;113;203;173;
Municipios;0724;Hoyo de Manzanares;456;535;534;282;324;292;342;341;481;445;625;448;389;471;455;492;537;772;
Municipios;0730;Humanes de Madrid;7015;7053;7523;4514;3922;3896;3639;3246;3300;4694;4701;4815;4582;5368;6922;4282;5362;3156;
Municipios;0745;Leganés;31503;35202;37791;29247;25581;25526;25343;22955;22471;27356;29683;33843;35943;36595;38433;25240;30840;18540;
Municipios;0758;Loeches;1687;2307;2747;1906;2129;3145;3278;2546;2698;3167;3077;2748;2975;2679;3088;2292;3252;1594;
Municipios;0761;Lozoya;1245;1041;686;469;634;593;2143;1628;1853;638;945;1691;1275;960;745;667;632;369;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;180;175;199;148;142;122;166;87;133;172;330;231;134;144;277;207;320;256;
Municipios;0783;Madarcos;650;646;526;449;354;349;350;386;316;346;436;435;485;525;436;430;312;215;
Municipios;0796;Madrid;1266508;1347723;1308207;1138295;904466;931508;949243;888781;900007;1015116;1151534;1247814;1354354;1430868;1486191;862118;1128857;847350;
Municipios;0800;Majadahonda;12123;11900;11993;9667;8369;8723;9077;10567;12516;13996;14186;14770;13969;15089;13827;9748;13182;8338;
Municipios;0822;Manzanares el Real;493;602;517;444;427;399;449;418;443;508;462;561;877;996;802;490;561;400;
Municipios;0838;Meco;2141;2525;3419;3499;3205;3715;4494;6287;5777;5307;5401;5168;6190;6584;6728;7116;10427;8008;
Municipios;0843;Mejorada del Campo;3824;4436;5488;4911;3870;3631;3034;2307;2441;2840;2644;3017;3083;3167;3538;2651;3097;1850;
Municipios;0856;Miraflores de la Sierra;720;986;639;528;481;623;605;630;619;777;705;755;1037;863;846;550;672;389;
Municipios;0869;Molar (El);737;692;744;609;607;533;496;427;360;410;465;504;590;536;521;454;613;303;
Municipios;0875;Molinos (Los);376;517;451;324;396;446;388;366;265;220;345;286;264;256;209;221;340;149;
Municipios;0881;Montejo de la Sierra;74;79;142;138;122;76;56;76;79;80;84;113;106;123;150;84;104;107;
Municipios;0894;Moraleja de Enmedio;1030;1163;1261;1056;1109;2066;2123;2773;1558;1936;1853;2416;2349;3228;2332;3707;828;495;
Municipios;0908;Moralzarzal;871;987;847;725;783;972;822;1053;1447;2011;2040;1885;2282;1916;1700;950;1235;507;
Municipios;0915;Morata de Tajuña;897;1144;916;589;594;603;528;375;387;392;488;545;643;686;736;588;680;393;
Municipios;0920;Móstoles;27892;28513;27307;21011;17440;18609;18507;16403;17241;19345;21320;21774;19435;21194;19937;14779;20765;11968;
Municipios;0936;Navacerrada;457;543;441;416;339;304;253;224;164;269;341;345;354;344;380;257;402;306;
Municipios;0941;Navalafuente;80;106;90;136;99;89;77;72;63;72;106;139;152;133;96;75;98;73;
Municipios;0954;Navalagamella;112;136;204;169;139;210;217;192;157;201;191;103;208;278;334;119;125;103;
Municipios;0967;Navalcarnero;2915;3765;3930;2930;2488;2081;2765;2266;3950;3055;3193;3532;3867;4341;5037;3101;3586;2081;
Municipios;0973;Navarredonda y San Mamés;290;191;102;100;62;106;160;117;127;86;63;93;62;49;128;49;26;58;
Municipios;0992;Navas del Rey;158;176;201;167;250;209;167;168;121;193;183;218;226;319;282;235;260;106;
