Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Servicios. Total contratos registrados en las oficinas de empleo en servicios. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0528;Chinchón;939;931;1006;1145;1263;1215;2366;2667;2131;2835;2767;1598;1966;1699;1134;
Municipios;0409;Ciempozuelos;6177;4785;5105;4366;4808;5459;6164;5537;7935;8125;7743;7033;7980;7194;5858;
Municipios;0416;Cobeña;712;708;1679;1495;541;586;828;791;1033;947;972;571;837;1005;822;
Municipios;0468;Collado Mediano;450;426;1543;1164;387;410;534;699;681;792;858;494;659;754;665;
Municipios;0474;Collado Villalba;5774;5783;5951;6444;6101;7171;8422;8490;9660;10427;11346;6461;8758;8525;7022;
Municipios;0455;Colmenar Viejo;5438;6092;5555;6261;5430;4643;5634;5827;7033;8189;9321;7015;7140;7454;6264;
Municipios;0437;Colmenar de Oreja;421;385;774;529;675;398;384;521;572;543;501;491;735;690;689;
Municipios;0421;Colmenar del Arroyo;504;558;698;611;667;450;445;432;500;470;739;363;464;822;560;
Municipios;0442;Colmenarejo;499;428;446;443;397;416;431;486;402;572;606;584;955;802;711;
Municipios;0480;Corpa;61;50;45;60;52;28;39;57;45;37;42;40;103;95;99;
Municipios;0493;Coslada;15052;17440;16669;14142;11741;13202;14581;16910;18689;23823;23622;26850;32897;30363;20299;
Municipios;0506;Cubas de la Sagra;471;416;303;422;487;689;535;441;377;362;894;611;1717;842;2733;
Municipios;0534;Daganzo de Arriba;2161;2569;2403;2120;3184;2421;2625;1877;1782;1645;1960;1150;2050;1880;1554;
Municipios;0549;Escorial (El);1373;1344;1165;1335;1177;1443;1753;2262;3111;3104;1972;1360;1716;1961;1698;
Municipios;0552;Estremera;141;112;119;136;226;214;199;193;224;228;283;237;227;202;218;
Municipios;0565;Fresnedillas de la Oliva;76;114;79;55;127;90;141;88;134;314;155;73;95;96;103;
Municipios;0571;Fresno de Torote;182;229;191;105;124;77;180;256;127;117;71;59;71;93;53;
Municipios;0587;Fuenlabrada;21259;21318;20568;18981;19290;19156;25911;25580;28692;30015;31640;27212;38336;31773;23915;
Municipios;0590;Fuente el Saz de Jarama;494;515;573;741;866;502;473;737;581;582;625;443;762;1425;628;
Municipios;0604;Fuentidueña de Tajo;220;287;316;327;271;322;213;204;173;441;246;138;236;204;114;
Municipios;0611;Galapagar;1550;1305;1439;2259;1762;1993;2393;2517;2142;2551;2866;2089;2504;2445;3525;
Municipios;0626;Garganta de los Montes;45;25;26;9;24;73;44;45;33;32;31;15;41;24;33;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;38;36;31;25;34;42;56;46;48;89;67;34;72;111;65;
Municipios;0647;Gascones;25;11;24;7;13;23;22;45;43;34;32;34;62;42;40;
Municipios;0650;Getafe;29395;31742;29318;28555;28599;32523;35387;35772;46553;47277;54604;54238;69875;64569;57107;
Municipios;0663;Griñón;1258;1568;1404;1267;1517;1508;2028;2076;2135;2128;2286;1383;1737;1966;1758;
Municipios;0679;Guadalix de la Sierra;946;1002;589;614;614;741;1364;1057;978;860;1355;790;897;930;619;
Municipios;0685;Guadarrama;1789;2009;2013;1822;2191;2787;2423;2489;2304;3502;2659;1979;2663;3044;2685;
Municipios;0698;Hiruela (La);39;38;40;23;27;36;28;28;49;27;53;21;41;50;32;
Municipios;0702;Horcajo de la Sierra-Aoslos;119;144;125;48;30;42;60;127;57;58;50;44;35;65;59;
Municipios;0719;Horcajuelo de la Sierra;57;117;80;40;26;38;30;38;23;42;27;22;60;55;50;
