Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Construcción. Contratos temporales registrados en las oficinas de empleo en construcción. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0455;Colmenar Viejo;1546;988;853;743;766;726;711;790;787;883;951;1035;879;247;143;
Municipios;0437;Colmenar de Oreja;278;264;255;188;254;277;232;166;172;181;152;177;174;64;49;
Municipios;0421;Colmenar del Arroyo;42;48;65;35;37;35;42;16;19;6;5;10;8;9;1;
Municipios;0442;Colmenarejo;178;209;190;100;82;122;147;164;244;261;122;194;190;38;19;
Municipios;0480;Corpa;10;28;15;7;3;8;3;8;15;3;4;1;4;1;0;
Municipios;0493;Coslada;1701;1351;1839;1418;1315;1679;1605;1609;1677;1494;1388;1202;1418;416;242;
Municipios;0506;Cubas de la Sagra;93;74;95;60;43;124;130;87;47;135;93;112;113;44;17;
Municipios;0534;Daganzo de Arriba;83;133;282;309;152;326;355;433;493;177;205;127;125;58;48;
Municipios;0549;Escorial (El);312;316;323;312;190;143;98;120;135;143;68;81;92;34;4;
Municipios;0552;Estremera;37;47;79;21;29;14;41;25;15;15;10;19;18;5;8;
Municipios;0565;Fresnedillas de la Oliva;100;46;34;44;31;12;24;13;10;16;13;35;21;10;0;
Municipios;0571;Fresno de Torote;37;31;15;15;12;22;29;19;15;21;24;26;37;17;3;
Municipios;0587;Fuenlabrada;3748;3692;3359;2281;2181;2477;2466;2849;3090;3163;2703;2418;2590;877;352;
Municipios;0590;Fuente el Saz de Jarama;66;99;87;95;58;118;109;123;146;149;101;114;101;30;17;
Municipios;0604;Fuentidueña de Tajo;32;36;55;7;7;21;7;5;9;7;18;15;11;1;2;
Municipios;0611;Galapagar;550;442;412;268;255;310;443;414;450;396;343;386;343;107;90;
Municipios;0626;Garganta de los Montes;18;8;8;5;7;6;9;0;3;0;2;4;0;1;1;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1;8;7;2;10;5;3;2;12;10;4;0;1;0;0;
Municipios;0647;Gascones;5;12;11;7;5;8;5;11;5;7;8;4;2;3;2;
Municipios;0650;Getafe;3582;4732;5937;4226;2831;2688;3207;3754;3638;3657;3773;3218;2970;1344;632;
Municipios;0663;Griñón;384;342;277;310;203;227;376;378;406;469;424;405;409;123;50;
Municipios;0679;Guadalix de la Sierra;145;120;81;102;70;55;45;48;46;38;29;50;44;29;10;
Municipios;0685;Guadarrama;184;290;194;100;107;120;135;112;88;143;152;117;163;55;29;
Municipios;0698;Hiruela (La);5;3;0;9;4;3;3;4;3;0;2;3;1;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;16;19;2;2;0;6;1;5;4;7;4;9;5;2;0;
Municipios;0719;Horcajuelo de la Sierra;12;7;11;0;4;2;6;8;3;2;0;1;2;0;0;
Municipios;0724;Hoyo de Manzanares;63;61;51;63;43;51;85;62;47;69;99;111;81;13;1;
Municipios;0730;Humanes de Madrid;1041;966;782;613;574;856;961;917;556;806;866;700;758;259;126;
Municipios;0745;Leganés;3979;3226;3516;3048;2569;2684;2777;3369;3349;3417;2889;2533;2868;883;613;
Municipios;0758;Loeches;284;187;161;200;243;266;272;232;197;159;221;242;231;76;40;
Municipios;0761;Lozoya;27;12;5;8;14;7;40;23;42;61;25;29;8;5;1;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;25;29;12;15;52;40;192;83;22;21;31;23;22;3;0;
Municipios;0783;Madarcos;56;40;55;26;30;30;45;34;59;47;31;37;28;9;7;
