Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por actividad.Total. Parados registrados en las oficinas de empleo en construcción. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0421;Colmenar del Arroyo;28;29;32;33;32;22;17;18;12;10;7;8;8;11;6;
Municipios;0442;Colmenarejo;112;115;95;88;93;102;89;80;69;57;46;54;67;43;33;
Municipios;0480;Corpa;11;12;11;15;8;4;3;4;4;2;1;2;3;2;3;
Municipios;0493;Coslada;1205;1238;1136;1180;1160;1056;900;769;628;543;484;471;582;442;357;
Municipios;0506;Cubas de la Sagra;38;45;40;49;69;56;41;49;32;20;19;21;20;17;22;
Municipios;0534;Daganzo de Arriba;48;63;49;41;56;44;41;34;24;24;24;32;33;20;23;
Municipios;0549;Escorial (El);129;121;100;119;124;119;106;98;71;80;64;64;59;57;57;
Municipios;0552;Estremera;36;32;31;25;37;23;26;20;12;13;16;19;14;11;5;
Municipios;0565;Fresnedillas de la Oliva;31;41;45;59;51;47;41;36;30;30;18;16;17;14;17;
Municipios;0571;Fresno de Torote;25;25;14;25;34;29;16;12;8;9;7;6;9;8;9;
Municipios;0587;Fuenlabrada;3903;3865;3287;3330;3522;3115;2438;2016;1551;1257;1030;1094;1174;939;841;
Municipios;0590;Fuente el Saz de Jarama;86;89;73;86;72;74;52;40;36;35;28;31;46;27;25;
Municipios;0604;Fuentidueña de Tajo;45;44;47;53;54;47;41;37;26;22;14;17;15;12;10;
Municipios;0611;Galapagar;588;641;517;544;468;415;334;314;224;194;164;178;184;144;150;
Municipios;0626;Garganta de los Montes;7;6;3;5;9;10;8;7;5;3;1;2;1;3;1;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;3;4;3;6;5;3;4;3;2;0;0;0;0;0;1;
Municipios;0647;Gascones;1;1;0;4;3;2;2;2;1;1;0;1;1;0;0;
Municipios;0650;Getafe;2463;2677;2368;2493;2547;2195;1822;1581;1253;1066;920;949;1063;840;721;
Municipios;0663;Griñón;74;75;84;97;91;78;55;45;33;24;24;28;35;29;24;
Municipios;0679;Guadalix de la Sierra;114;131;125;125;142;108;93;92;68;60;43;43;38;34;28;
Municipios;0685;Guadarrama;219;207;182;201;180;167;122;106;93;65;56;66;68;58;53;
Municipios;0698;Hiruela (La);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;0;1;1;2;1;2;0;0;1;1;1;2;1;0;
Municipios;0719;Horcajuelo de la Sierra;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;
Municipios;0724;Hoyo de Manzanares;50;54;40;48;53;43;41;30;28;25;17;19;27;23;13;
Municipios;0730;Humanes de Madrid;444;433;359;380;368;296;258;199;170;134;113;117;138;88;84;
Municipios;0745;Leganés;3224;3384;2916;3048;3177;2695;2248;1865;1464;1216;963;1025;1125;857;763;
Municipios;0758;Loeches;75;89;99;90;108;78;70;61;54;44;32;46;46;36;36;
Municipios;0761;Lozoya;9;10;8;7;9;6;7;7;3;2;1;1;1;1;1;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;25;24;23;16;20;22;21;23;15;8;7;7;10;2;6;
Municipios;0783;Madarcos;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;
Municipios;0796;Madrid;33438;36246;32405;33696;32651;28502;24216;20636;16945;14670;12420;12728;14505;11318;10234;
Municipios;0800;Majadahonda;333;327;291;342;343;291;249;200;169;142;124;117;128;109;104;
Municipios;0822;Manzanares el Real;86;117;126;120;124;118;85;79;52;35;40;42;42;27;26;
Municipios;0838;Meco;243;220;212;220;205;175;127;104;86;71;59;73;71;61;55;
Municipios;0843;Mejorada del Campo;355;344;314;351;380;310;238;205;167;155;116;136;164;113;90;
Municipios;0856;Miraflores de la Sierra;118;125;128;163;140;118;93;78;57;50;29;32;39;42;36;
Municipios;0869;Molar (El);125;121;98;90;108;88;80;65;66;63;49;54;54;39;38;
Municipios;0875;Molinos (Los);70;60;63;52;53;75;55;50;33;35;30;25;32;25;26;
Municipios;0881;Montejo de la Sierra;0;1;0;0;0;1;1;0;0;1;1;4;1;1;0;
Municipios;0894;Moraleja de Enmedio;67;63;50;59;63;56;41;27;25;17;17;15;19;12;15;
Municipios;0908;Moralzarzal;190;201;157;169;155;134;107;85;66;55;57;56;50;40;36;
Municipios;0915;Morata de Tajuña;149;156;160;167;169;139;100;84;68;58;46;49;58;34;37;
Municipios;0920;Móstoles;3444;3692;3371;3616;3731;3150;2584;2244;1711;1501;1221;1246;1393;1106;937;
Municipios;0936;Navacerrada;19;19;15;14;17;13;8;8;11;6;9;10;13;5;8;
Municipios;0941;Navalafuente;41;19;19;27;19;23;16;16;17;17;12;10;15;8;9;
Municipios;0954;Navalagamella;59;65;61;65;56;54;40;37;37;29;17;20;17;18;20;
Municipios;0967;Navalcarnero;415;478;451;469;517;427;332;320;237;189;158;161;177;147;114;
Municipios;0973;Navarredonda y San Mamés;1;0;1;0;1;1;0;0;0;0;0;1;1;2;2;
Municipios;0992;Navas del Rey;87;100;67;88;79;72;66;67;43;36;21;26;24;22;19;
Municipios;1006;Nuevo Baztán;78;82;80;73;98;83;61;54;44;35;36;33;42;29;35;
Municipios;1013;Olmeda de las Fuentes;4;4;3;3;3;3;3;1;1;1;3;0;0;0;0;
Municipios;1028;Orusco de Tajuña;14;13;20;25;30;23;24;22;13;12;12;12;13;12;7;
Municipios;1049;Paracuellos de Jarama;103;96;101;114;136;107;88;65;72;64;51;46;61;53;43;
Municipios;1065;Parla;3276;3791;3194;3388;3373;2892;2335;1967;1529;1296;1073;1139;1124;933;830;
Municipios;1071;Patones;1;2;1;3;3;1;1;1;1;2;0;1;0;1;2;
Municipios;1087;Pedrezuela;51;61;52;55;55;56;47;39;35;26;27;27;25;19;24;
Municipios;1090;Pelayos de la Presa;63;75;73;69;65;44;48;50;49;39;38;24;30;28;17;
Municipios;1104;Perales de Tajuña;44;61;53;71;64;51;35;41;34;33;25;29;34;26;21;
Municipios;1111;Pezuela de las Torres;11;16;16;14;17;15;7;8;6;5;6;5;5;5;7;
Municipios;1126;Pinilla del Valle;1;0;1;1;0;2;1;1;1;0;0;0;0;0;0;
Municipios;1132;Pinto;465;525;494;507;571;498;416;365;280;237;209;204;221;179;162;
Municipios;1147;Piñuécar-Gandullas;1;1;0;0;0;0;0;0;2;1;0;1;1;0;0;
Municipios;1150;Pozuelo de Alarcón;326;329;302;332;302;268;218;187;147;111;98;114;121;91;93;
Municipios;1163;Pozuelo del Rey;9;9;12;13;12;11;11;6;7;7;4;6;9;5;3;
Municipios;1179;Prádena del Rincón;0;0;2;0;3;1;1;1;1;0;1;1;0;0;1;
Municipios;1185;Puebla de la Sierra;2;1;0;0;3;1;1;1;2;0;0;2;0;0;1;
Municipios;9020;Puentes Viejas;6;8;9;6;7;12;8;5;7;4;4;5;3;4;3;
Municipios;1198;Quijorna;37;40;25;30;28;26;23;15;18;12;7;13;15;20;16;
Municipios;1202;Rascafría;13;24;25;31;36;29;26;18;16;11;16;5;9;9;8;
Municipios;1219;Redueña;1;4;2;3;4;2;0;0;0;1;1;2;3;1;3;
Municipios;1224;Ribatejada;9;7;8;5;8;6;4;5;2;4;3;2;2;1;1;
Municipios;1230;Rivas-Vaciamadrid;498;505;495;505;593;566;462;411;352;326;251;251;302;238;253;
Municipios;1245;Robledillo de la Jara;2;1;0;0;1;1;2;0;0;0;0;1;1;1;1;
Municipios;1258;Robledo de Chavela;89;90;68;77;74;57;52;41;30;23;11;23;22;30;27;
Municipios;1261;Robregordo;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);292;313;304;318;327;278;233;180;153;137;132;142;157;105;91;
Municipios;1283;Rozas de Puerto Real;10;11;7;6;3;5;4;6;2;3;1;2;5;2;3;
Municipios;1296;San Agustín del Guadalix;76;80;69;80;55;61;51;47;42;27;26;33;39;42;35;
Municipios;1300;San Fernando de Henares;476;452;425;497;473;467;349;321;222;208;174;184;239;176;153;
Municipios;1317;San Lorenzo de El Escorial;163;143;122;131;131;113;86;81;63;66;65;60;66;49;39;
Municipios;1338;San Martín de Valdeiglesias;245;247;219;260;247;195;164;159;112;104;84;89;97;86;68;
Municipios;1322;San Martín de la Vega;394;462;381;416;437;358;287;237;194;150;127;157;177;139;127;
Municipios;1343;San Sebastián de los Reyes;785;782;687;705;761;671;509;452;359;318;237;272;296;231;202;
Municipios;1356;Santa María de la Alameda;21;22;18;19;20;14;14;16;15;13;3;4;7;6;7;
Municipios;1369;Santorcaz;13;14;18;9;11;11;9;9;6;5;4;1;2;2;3;
Municipios;1375;Santos de la Humosa (Los);29;29;29;21;38;28;21;21;18;16;6;3;10;16;12;
Municipios;1381;Serna del Monte (La);1;1;1;1;1;0;0;0;0;0;0;2;0;0;0;
Municipios;1408;Serranillos del Valle;39;50;36;45;46;43;41;25;24;21;14;18;25;21;19;
Municipios;1415;Sevilla la Nueva;117;126;111;111;111;110;90;66;56;50;42;36;54;28;27;
Municipios;1436;Somosierra;0;0;1;1;1;1;2;0;0;0;0;0;0;0;0;
Municipios;1441;Soto del Real;70;59;64;69;80;84;58;53;43;28;28;22;25;22;14;
Municipios;1454;Talamanca de Jarama;40;33;28;36;38;43;34;24;15;12;12;13;11;14;18;
Municipios;1467;Tielmes;44;54;52;63;62;49;38;37;22;28;15;23;24;11;13;
Municipios;1473;Titulcia;19;32;22;19;26;13;11;9;10;6;7;8;10;4;2;
Municipios;1489;Torrejón de Ardoz;1770;1846;1721;1823;1784;1645;1383;1162;898;766;718;760;839;703;575;
Municipios;1505;Torrejón de Velasco;50;51;45;54;62;55;41;41;27;27;25;23;19;17;13;
Municipios;1492;Torrejón de la Calzada;69;81;66;76;89;60;52;41;35;39;33;32;30;25;25;
Municipios;1512;Torrelaguna;97;112;99;90;87;67;65;51;50;36;23;29;24;19;18;
Municipios;1527;Torrelodones;81;78;66;68;72;69;53;44;48;37;38;36;38;29;29;
Municipios;1533;Torremocha de Jarama;6;7;8;11;10;7;7;8;3;3;4;4;4;4;5;
Municipios;1548;Torres de la Alameda;117;140;142;133;139;108;93;80;59;50;41;42;33;27;31;
Municipios;9036;Tres Cantos;103;114;138;166;159;135;111;95;82;70;83;71;74;72;55;
Municipios;1551;Valdaracete;15;17;16;22;25;16;16;11;5;4;5;8;6;9;6;
Municipios;1564;Valdeavero;20;21;19;19;19;19;21;17;7;9;8;9;10;11;11;
Municipios;1570;Valdelaguna;18;28;21;34;30;12;11;12;8;7;3;3;3;6;4;
Municipios;1586;Valdemanco;17;14;11;12;16;16;7;4;8;5;2;4;5;5;6;
Municipios;1599;Valdemaqueda;34;37;31;44;32;28;23;26;21;14;13;14;13;9;7;
Municipios;1603;Valdemorillo;155;154;114;129;112;74;65;72;66;52;59;47;59;43;45;
Municipios;1610;Valdemoro;799;858;780;820;823;735;587;495;405;341;293;296;323;293;247;
Municipios;1625;Valdeolmos-Alalpardo;23;16;16;13;12;21;20;12;8;10;16;11;19;19;12;
Municipios;1631;Valdepiélagos;6;8;5;10;17;10;10;6;2;0;0;0;0;0;1;
Municipios;1646;Valdetorres de Jarama;79;87;67;74;73;75;56;52;42;35;22;26;26;24;25;
Municipios;1659;Valdilecha;35;58;56;60;66;43;27;29;20;11;12;14;23;19;16;
Municipios;1662;Valverde de Alcalá;5;6;5;2;3;4;3;5;1;4;1;1;3;3;1;
Municipios;1678;Velilla de San Antonio;130;126;93;121;118;113;98;89;66;56;53;39;49;40;34;
Municipios;1684;Vellón (El);37;36;20;24;29;30;22;29;26;23;20;12;15;11;9;
Municipios;1697;Venturada;4;6;5;6;9;8;8;8;6;2;3;5;4;2;5;
Municipios;1718;Villa del Prado;180;208;187;207;206;151;103;78;64;46;37;53;61;50;49;
Municipios;1701;Villaconejos;103;81;76;77;76;53;68;46;32;28;21;17;18;21;15;
Municipios;1723;Villalbilla;64;80;78;83;119;82;54;51;31;38;31;32;34;27;26;
Municipios;1739;Villamanrique de Tajo;12;20;10;15;8;7;6;6;7;6;1;2;1;1;4;
Municipios;1744;Villamanta;40;34;35;43;44;32;25;28;22;13;13;13;15;10;14;
Municipios;1757;Villamantilla;14;10;11;17;22;18;15;8;7;6;8;5;8;8;7;
Municipios;1782;Villanueva de Perales;13;15;16;15;16;15;17;19;9;8;5;7;9;13;11;
Municipios;1760;Villanueva de la Cañada;113;123;111;107;92;93;65;53;49;63;42;38;54;35;37;
Municipios;1776;Villanueva del Pardillo;141;131;129;133;141;129;118;86;68;67;53;56;54;37;37;
Municipios;1795;Villar del Olmo;19;27;27;23;28;25;18;14;15;18;10;10;15;15;14;
Municipios;1809;Villarejo de Salvanés;126;147;119;125;128;115;88;84;56;38;34;48;41;25;27;
Municipios;1816;Villaviciosa de Odón;127;130;114;115;142;136;122;91;85;68;63;49;66;55;45;
Municipios;1821;Villavieja del Lozoya;3;2;4;1;5;4;2;5;3;1;1;1;2;0;1;
Municipios;1837;Zarzalejo;32;42;39;37;46;31;27;24;19;15;5;7;11;7;7;
Notas;
Los datos corresponden a paro registrado a 31 de marzo de cada año.;
;
Paro registrado: Demandas de empleo pendientes de satisfacer el último día del mes presentadas en la oficina correspondiente a su domicilio, excepto las que se encuentran en determinadas situaciones.;
;
Debido a las medidas tomadas para combatir el COVID-19 los datos de paro registrado para el año 2020 ,pueden no estar reflejando al completo las variaciones registradas, lo que aconsejamos tener en cuenta en su valoración.;
