Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;0203;Berzosa del Lozoya;9;4;3;3;
Municipios;0225;Boadilla del Monte;6276;6573;7947;9183;
Municipios;0231;Boalo (El);187;201;223;222;
Municipios;0246;Braojos;240;237;290;193;
Municipios;0259;Brea de Tajo;2;3;4;4;
Municipios;0262;Brunete;507;526;618;637;
Municipios;0278;Buitrago del Lozoya;41;38;52;57;
Municipios;0284;Bustarviejo;65;68;85;89;
Municipios;0297;Cabanillas de la Sierra;14;11;13;21;
Municipios;0301;Cabrera (La);55;48;43;52;
Municipios;0318;Cadalso de los Vidrios;20;28;37;41;
Municipios;0323;Camarma de Esteruelas;268;264;255;232;
Municipios;0339;Campo Real;169;166;176;187;
Municipios;0344;Canencia;3;3;5;7;
Municipios;0357;Carabaña;8;11;11;14;
Municipios;0360;Casarrubuelos;63;83;88;111;
Municipios;0376;Cenicientos;25;20;11;11;
Municipios;0382;Cercedilla;181;176;186;221;
Municipios;0395;Cervera de Buitrago;4;1;2;2;
Municipios;0513;Chapinería;41;44;43;48;
Municipios;0528;Chinchón;115;87;92;97;
Municipios;0409;Ciempozuelos;4232;819;926;761;
Municipios;0416;Cobeña;222;211;219;240;
Municipios;0468;Collado Mediano;241;253;271;291;
Municipios;0474;Collado Villalba;2895;3040;2787;2912;
Municipios;0455;Colmenar Viejo;1849;1479;1533;1605;
Municipios;0437;Colmenar de Oreja;132;115;121;116;
Municipios;0421;Colmenar del Arroyo;604;626;700;508;
Municipios;0442;Colmenarejo;441;462;469;415;
Municipios;0480;Corpa;13;18;10;11;
Municipios;0493;Coslada;5552;5915;6852;6640;
Municipios;0506;Cubas de la Sagra;102;111;105;96;
Municipios;0534;Daganzo de Arriba;679;487;523;540;
Municipios;0549;Escorial (El);515;528;536;524;
Municipios;0552;Estremera;94;64;64;43;
Municipios;0565;Fresnedillas de la Oliva;27;26;27;22;
Municipios;0571;Fresno de Torote;41;44;35;32;
Municipios;0587;Fuenlabrada;7144;7296;7428;7208;
Municipios;0590;Fuente el Saz de Jarama;338;345;367;360;
Municipios;0604;Fuentidueña de Tajo;12;11;39;14;
Municipios;0611;Galapagar;1173;1069;1137;1207;
Municipios;0626;Garganta de los Montes;10;9;7;7;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;8;9;5;5;
Municipios;0647;Gascones;1;1;1;1;
Municipios;0650;Getafe;14025;14901;14683;14491;
Municipios;0663;Griñón;563;655;632;684;
Municipios;0679;Guadalix de la Sierra;176;132;224;185;
Municipios;0685;Guadarrama;373;375;493;511;
Municipios;0698;Hiruela (La);0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;3;2;3;3;
Municipios;0719;Horcajuelo de la Sierra;0;1;0;0;
Municipios;0724;Hoyo de Manzanares;455;447;489;510;
Municipios;0730;Humanes de Madrid;945;842;1196;1181;
Municipios;0745;Leganés;7433;7212;7587;7963;
Municipios;0758;Loeches;304;333;354;399;
Municipios;0761;Lozoya;5;5;4;5;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;51;50;61;64;
Municipios;0783;Madarcos;2;1;1;0;
Municipios;0796;Madrid;666353;654030;688718;730895;
Municipios;0800;Majadahonda;6868;6314;6768;6939;
Municipios;0822;Manzanares el Real;177;174;206;216;
Municipios;0838;Meco;509;569;594;580;
Municipios;0843;Mejorada del Campo;537;566;527;546;
Municipios;0856;Miraflores de la Sierra;112;125;123;122;
Municipios;0869;Molar (El);162;168;178;178;
Municipios;0875;Molinos (Los);89;96;111;120;
Municipios;0881;Montejo de la Sierra;2;3;3;2;
Municipios;0894;Moraleja de Enmedio;310;273;248;163;
Municipios;0908;Moralzarzal;435;412;440;444;
Municipios;0915;Morata de Tajuña;59;67;90;102;
Municipios;0920;Móstoles;6338;5995;6151;6382;
Municipios;0936;Navacerrada;116;111;109;103;
Municipios;0941;Navalafuente;40;30;30;27;
Municipios;0954;Navalagamella;47;48;53;51;
Municipios;0967;Navalcarnero;2263;2424;3195;3726;
Municipios;0973;Navarredonda y San Mamés;2;2;3;2;
Municipios;0992;Navas del Rey;66;84;62;78;
Municipios;1006;Nuevo Baztán;175;144;154;172;
Municipios;1013;Olmeda de las Fuentes;7;12;14;11;
Municipios;1028;Orusco de Tajuña;10;13;18;20;
Municipios;1049;Paracuellos de Jarama;1128;1033;1082;1145;
Municipios;1065;Parla;2545;2608;2549;2747;
Municipios;1071;Patones;6;5;7;6;
Municipios;1087;Pedrezuela;132;129;125;116;
Municipios;1090;Pelayos de la Presa;42;41;68;78;
Municipios;1104;Perales de Tajuña;51;50;47;52;
Municipios;1111;Pezuela de las Torres;4;5;9;6;
Municipios;1126;Pinilla del Valle;2;2;2;1;
Municipios;1132;Pinto;2610;2719;2597;2711;
Municipios;1147;Piñuécar-Gandullas;2;2;5;4;
Municipios;1150;Pozuelo de Alarcón;41160;39444;39719;41202;
Municipios;1163;Pozuelo del Rey;77;67;26;31;
Municipios;1179;Prádena del Rincón;1;1;1;1;
Municipios;1185;Puebla de la Sierra;0;0;1;2;
Municipios;9020;Puentes Viejas;10;7;5;6;
Municipios;1198;Quijorna;59;54;60;56;
Municipios;1202;Rascafría;27;24;29;27;
Municipios;1219;Redueña;13;13;12;15;
Municipios;1224;Ribatejada;22;19;19;19;
Municipios;1230;Rivas-Vaciamadrid;6875;6945;7692;7797;
Municipios;1245;Robledillo de la Jara;0;0;0;1;
Municipios;1258;Robledo de Chavela;88;98;98;103;
Municipios;1261;Robregordo;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);22854;19567;20625;21514;
Municipios;1283;Rozas de Puerto Real;239;199;14;16;
Municipios;1296;San Agustín del Guadalix;614;602;664;678;
Municipios;1300;San Fernando de Henares;6326;6156;7156;6893;
Municipios;1317;San Lorenzo de El Escorial;1195;1053;615;637;
Municipios;1338;San Martín de Valdeiglesias;150;156;186;189;
Municipios;1322;San Martín de la Vega;703;675;786;796;
Municipios;1343;San Sebastián de los Reyes;14302;13892;15225;15860;
Municipios;1356;Santa María de la Alameda;17;17;19;21;
Municipios;1369;Santorcaz;7;5;7;13;
Municipios;1375;Santos de la Humosa (Los);23;19;15;20;
Municipios;1381;Serna del Monte (La);1;1;1;1;
Municipios;1408;Serranillos del Valle;308;106;116;134;
Municipios;1415;Sevilla la Nueva;279;189;228;238;
Municipios;1436;Somosierra;3;2;2;2;
Municipios;1441;Soto del Real;285;275;285;284;
Municipios;1454;Talamanca de Jarama;65;65;89;111;
Municipios;1467;Tielmes;22;35;34;31;
Municipios;1473;Titulcia;12;12;12;13;
Municipios;1489;Torrejón de Ardoz;5823;5983;5448;5415;
Municipios;1505;Torrejón de Velasco;56;48;49;46;
Municipios;1492;Torrejón de la Calzada;293;250;264;286;
Municipios;1512;Torrelaguna;91;94;133;120;
Municipios;1527;Torrelodones;1355;1282;1467;1476;
Municipios;1533;Torremocha de Jarama;73;340;320;325;
Municipios;1548;Torres de la Alameda;275;265;422;416;
Municipios;9036;Tres Cantos;15586;15460;16155;15977;
Municipios;1551;Valdaracete;1;1;1;2;
Municipios;1564;Valdeavero;20;22;25;28;
Municipios;1570;Valdelaguna;8;9;11;12;
Municipios;1586;Valdemanco;7;5;9;11;
Municipios;1599;Valdemaqueda;8;12;8;10;
Municipios;1603;Valdemorillo;559;557;635;641;
Municipios;1610;Valdemoro;2853;2306;2283;2438;
Municipios;1625;Valdeolmos-Alalpardo;242;295;369;181;
Municipios;1631;Valdepiélagos;8;11;12;10;
Municipios;1646;Valdetorres de Jarama;106;122;150;205;
Municipios;1659;Valdilecha;77;78;70;77;
Municipios;1662;Valverde de Alcalá;9;2;16;20;
Municipios;1678;Velilla de San Antonio;250;258;283;302;
Municipios;1684;Vellón (El);24;32;33;29;
Municipios;1697;Venturada;194;185;253;232;
