Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;1090;Pelayos de la Presa;9;10;9;12;
Municipios;1104;Perales de Tajuña;22;18;17;17;
Municipios;1111;Pezuela de las Torres;15;17;18;19;
Municipios;1126;Pinilla del Valle;0;0;0;0;
Municipios;1132;Pinto;2264;2191;2279;2502;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;941;925;1343;1317;
Municipios;1163;Pozuelo del Rey;18;16;18;14;
Municipios;1179;Prádena del Rincón;0;0;2;2;
Municipios;1185;Puebla de la Sierra;2;2;2;2;
Municipios;9020;Puentes Viejas;10;10;9;8;
Municipios;1198;Quijorna;40;43;47;45;
Municipios;1202;Rascafría;12;10;11;10;
Municipios;1219;Redueña;104;88;87;96;
Municipios;1224;Ribatejada;26;22;21;20;
Municipios;1230;Rivas-Vaciamadrid;1492;1433;1455;1494;
Municipios;1245;Robledillo de la Jara;0;0;0;0;
Municipios;1258;Robledo de Chavela;9;9;23;22;
Municipios;1261;Robregordo;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);857;972;680;717;
Municipios;1283;Rozas de Puerto Real;20;22;31;11;
Municipios;1296;San Agustín del Guadalix;363;365;368;440;
Municipios;1300;San Fernando de Henares;3716;3837;4161;4558;
Municipios;1317;San Lorenzo de El Escorial;54;58;68;67;
Municipios;1338;San Martín de Valdeiglesias;37;35;37;33;
Municipios;1322;San Martín de la Vega;310;324;311;305;
Municipios;1343;San Sebastián de los Reyes;1448;1456;1495;1510;
Municipios;1356;Santa María de la Alameda;16;13;22;24;
Municipios;1369;Santorcaz;5;8;11;14;
Municipios;1375;Santos de la Humosa (Los);36;48;52;42;
Municipios;1381;Serna del Monte (La);4;7;10;10;
Municipios;1408;Serranillos del Valle;91;83;106;104;
Municipios;1415;Sevilla la Nueva;144;161;215;231;
Municipios;1436;Somosierra;0;0;0;0;
Municipios;1441;Soto del Real;60;61;60;62;
Municipios;1454;Talamanca de Jarama;26;34;21;24;
Municipios;1467;Tielmes;30;77;107;77;
Municipios;1473;Titulcia;14;17;13;12;
Municipios;1489;Torrejón de Ardoz;3107;3153;3325;3418;
Municipios;1505;Torrejón de Velasco;85;69;80;79;
Municipios;1492;Torrejón de la Calzada;141;170;176;177;
Municipios;1512;Torrelaguna;70;88;79;69;
Municipios;1527;Torrelodones;106;106;138;192;
Municipios;1533;Torremocha de Jarama;5;7;6;6;
Municipios;1548;Torres de la Alameda;212;198;227;235;
Municipios;9036;Tres Cantos;371;344;360;409;
Municipios;1551;Valdaracete;1;1;1;1;
