Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;1090;Pelayos de la Presa;8;10;16;14;
Municipios;1104;Perales de Tajuña;21;25;30;29;
Municipios;1111;Pezuela de las Torres;1;2;3;2;
Municipios;1126;Pinilla del Valle;0;0;0;0;
Municipios;1132;Pinto;293;277;287;285;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;2072;2162;2271;2512;
Municipios;1163;Pozuelo del Rey;0;0;0;0;
Municipios;1179;Prádena del Rincón;0;0;0;0;
Municipios;1185;Puebla de la Sierra;0;0;0;0;
Municipios;9020;Puentes Viejas;1;1;2;1;
Municipios;1198;Quijorna;7;10;16;12;
Municipios;1202;Rascafría;19;22;27;26;
Municipios;1219;Redueña;1;1;0;0;
Municipios;1224;Ribatejada;1;2;2;2;
Municipios;1230;Rivas-Vaciamadrid;401;447;406;400;
Municipios;1245;Robledillo de la Jara;0;0;0;0;
Municipios;1258;Robledo de Chavela;19;19;18;16;
Municipios;1261;Robregordo;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);1498;1997;1857;1961;
Municipios;1283;Rozas de Puerto Real;0;0;159;155;
Municipios;1296;San Agustín del Guadalix;75;76;83;86;
Municipios;1300;San Fernando de Henares;438;409;393;305;
Municipios;1317;San Lorenzo de El Escorial;64;58;66;68;
Municipios;1338;San Martín de Valdeiglesias;54;51;59;56;
Municipios;1322;San Martín de la Vega;67;59;87;89;
Municipios;1343;San Sebastián de los Reyes;820;778;826;883;
Municipios;1356;Santa María de la Alameda;2;2;3;3;
Municipios;1369;Santorcaz;0;0;0;0;
Municipios;1375;Santos de la Humosa (Los);3;1;0;0;
Municipios;1381;Serna del Monte (La);0;0;0;0;
Municipios;1408;Serranillos del Valle;19;20;22;24;
Municipios;1415;Sevilla la Nueva;59;46;45;41;
Municipios;1436;Somosierra;0;0;0;0;
Municipios;1441;Soto del Real;40;41;49;49;
Municipios;1454;Talamanca de Jarama;4;4;3;3;
Municipios;1467;Tielmes;11;13;17;14;
Municipios;1473;Titulcia;3;1;1;2;
Municipios;1489;Torrejón de Ardoz;690;741;716;689;
Municipios;1505;Torrejón de Velasco;26;29;30;31;
Municipios;1492;Torrejón de la Calzada;37;38;36;33;
Municipios;1512;Torrelaguna;21;23;22;22;
Municipios;1527;Torrelodones;145;164;174;169;
Municipios;1533;Torremocha de Jarama;2;2;8;9;
Municipios;1548;Torres de la Alameda;31;38;38;39;
Municipios;9036;Tres Cantos;2511;2802;2868;2824;
Municipios;1551;Valdaracete;0;0;0;0;
Municipios;1564;Valdeavero;2;1;1;2;
Municipios;1570;Valdelaguna;0;0;2;3;
Municipios;1586;Valdemanco;1;1;3;3;
Municipios;1599;Valdemaqueda;0;0;0;0;
Municipios;1603;Valdemorillo;57;44;49;46;
Municipios;1610;Valdemoro;332;327;341;336;
Municipios;1625;Valdeolmos-Alalpardo;10;11;16;14;
Municipios;1631;Valdepiélagos;0;1;1;1;
Municipios;1646;Valdetorres de Jarama;19;21;53;50;
Municipios;1659;Valdilecha;13;14;21;18;
Municipios;1662;Valverde de Alcalá;1;0;0;0;
Municipios;1678;Velilla de San Antonio;43;48;39;36;
Municipios;1684;Vellón (El);6;7;12;10;
Municipios;1697;Venturada;11;10;11;10;
Municipios;1718;Villa del Prado;16;19;24;22;
Municipios;1701;Villaconejos;15;16;17;17;
Municipios;1723;Villalbilla;59;39;54;53;
Municipios;1739;Villamanrique de Tajo;0;1;1;0;
Municipios;1744;Villamanta;14;15;25;21;
Municipios;1757;Villamantilla;2;2;2;2;
Municipios;1782;Villanueva de Perales;3;3;3;3;
Municipios;1760;Villanueva de la Cañada;110;102;122;115;
Municipios;1776;Villanueva del Pardillo;93;90;116;122;
Municipios;1795;Villar del Olmo;3;4;3;3;
Municipios;1809;Villarejo de Salvanés;40;29;29;27;
Municipios;1816;Villaviciosa de Odón;166;188;193;180;
Municipios;1821;Villavieja del Lozoya;3;3;3;3;
Municipios;1837;Zarzalejo;5;5;5;5;
