Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Total ocupados en unidades productivas. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;0611;Galapagar;5895;5903;5890;6196;6261;6446;6435;6661;6819;
Municipios;0626;Garganta de los Montes;130;109;115;109;112;104;105;121;178;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;103;118;128;142;129;125;120;138;194;
Municipios;0647;Gascones;62;71;66;74;75;78;93;99;116;
Municipios;0650;Getafe;67482;71328;74695;78349;81984;84848;84499;88889;90643;
Municipios;0663;Griñón;4564;5061;5444;5894;6045;6264;6067;6380;6679;
Municipios;0679;Guadalix de la Sierra;1196;1163;1213;1150;1227;1244;1227;1412;1419;
Municipios;0685;Guadarrama;3244;3395;3499;3710;3907;4093;4026;4374;4564;
Municipios;0698;Hiruela (La);33;37;39;34;36;48;52;62;85;
Municipios;0702;Horcajo de la Sierra-Aoslos;73;74;72;79;71;69;78;91;147;
Municipios;0719;Horcajuelo de la Sierra;57;63;59;67;60;60;57;76;89;
Municipios;0724;Hoyo de Manzanares;1659;1662;1698;1708;1776;1799;1862;1993;2102;
Municipios;0730;Humanes de Madrid;10082;10506;11303;11867;12459;12959;12737;13558;13525;
Municipios;0745;Leganés;58561;59758;61336;64073;65792;65155;64733;67851;69270;
Municipios;0758;Loeches;3549;3802;3961;4141;4378;4394;4419;4698;4776;
Municipios;0761;Lozoya;157;145;151;172;181;185;188;231;265;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;423;476;464;436;458;502;493;561;652;
Municipios;0783;Madarcos;31;31;32;34;35;30;40;51;70;
Municipios;0796;Madrid;1765221;1824307;1868894;1936886;2024110;2081246;2031007;2130269;2220038;
Municipios;0800;Majadahonda;30101;31308;32580;32563;33838;32252;31487;33339;34209;
Municipios;0822;Manzanares el Real;1251;1198;1243;1307;1379;1447;1417;1506;1486;
Municipios;0838;Meco;4977;5099;5354;6215;7044;7470;7719;7604;8030;
Municipios;0843;Mejorada del Campo;6099;6241;6566;6587;6939;7013;6846;7144;7192;
Municipios;0856;Miraflores de la Sierra;1177;1129;1105;1166;1172;1139;1213;1248;1255;
Municipios;0869;Molar (El);1408;1424;1401;1469;1428;1467;1490;1561;1620;
Municipios;0875;Molinos (Los);757;739;806;794;797;1108;869;943;985;
Municipios;0881;Montejo de la Sierra;191;164;155;158;171;187;172;177;176;
Municipios;0894;Moraleja de Enmedio;2029;2061;2213;2447;2492;2580;2470;2456;2451;
Municipios;0908;Moralzarzal;2464;2543;2605;2686;2827;2894;2935;3136;3253;
Municipios;0915;Morata de Tajuña;1585;1536;1553;1557;1575;1555;1513;1552;1636;
Municipios;0920;Móstoles;43840;45156;46418;47971;50157;50248;49711;51042;51669;
Municipios;0936;Navacerrada;678;709;735;736;781;754;755;773;812;
Municipios;0941;Navalafuente;151;150;186;203;215;200;183;191;227;
Municipios;0954;Navalagamella;312;322;343;342;392;375;386;387;394;
Municipios;0967;Navalcarnero;7102;7749;7847;8299;9470;9026;9175;10447;11157;
Municipios;0973;Navarredonda y San Mamés;39;45;44;47;43;40;45;71;124;
Municipios;0992;Navas del Rey;534;511;614;652;716;676;737;740;762;
Municipios;1006;Nuevo Baztán;939;964;1025;1114;1165;1160;1175;1225;1244;
Municipios;1013;Olmeda de las Fuentes;122;116;112;113;116;129;144;136;201;
Municipios;1028;Orusco de Tajuña;249;259;274;295;302;284;284;309;302;
Municipios;1049;Paracuellos de Jarama;5683;5884;6318;6659;6906;7281;7142;7368;7614;
Municipios;1065;Parla;18104;18715;19514;20658;21527;21443;21485;22280;22965;
Municipios;1071;Patones;169;165;169;167;166;158;184;219;233;
