Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de industria de la alimentación e industria textil. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;0702;Horcajo de la Sierra-Aoslos;0;0;0;0;0;0;0;0;0;
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0724;Hoyo de Manzanares;5;6;6;6;7;8;9;12;12;
Municipios;0730;Humanes de Madrid;450;489;538;549;519;518;522;473;473;
Municipios;0745;Leganés;1197;1294;1303;1506;1583;1829;1749;1790;1753;
Municipios;0758;Loeches;103;118;144;131;154;170;175;238;236;
Municipios;0761;Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0;0;1;6;5;5;5;5;5;
Municipios;0783;Madarcos;1;1;1;3;2;1;1;1;1;
Municipios;0796;Madrid;10010;10342;10068;10819;11014;10972;10694;10704;11215;
Municipios;0800;Majadahonda;35;37;45;67;80;100;91;84;88;
Municipios;0822;Manzanares el Real;4;1;2;10;11;16;21;19;14;
Municipios;0838;Meco;55;164;154;203;367;368;311;308;332;
Municipios;0843;Mejorada del Campo;110;119;147;148;161;202;177;231;236;
Municipios;0856;Miraflores de la Sierra;29;26;32;35;35;32;30;29;18;
Municipios;0869;Molar (El);10;10;8;9;8;11;7;8;9;
Municipios;0875;Molinos (Los);4;7;8;9;8;9;9;8;5;
Municipios;0881;Montejo de la Sierra;1;0;0;0;0;0;0;0;0;
Municipios;0894;Moraleja de Enmedio;131;179;205;215;209;228;228;224;235;
Municipios;0908;Moralzarzal;7;5;7;8;10;10;8;12;19;
Municipios;0915;Morata de Tajuña;27;20;20;30;27;27;26;37;31;
Municipios;0920;Móstoles;662;736;747;698;664;779;727;786;820;
Municipios;0936;Navacerrada;6;9;8;8;8;7;7;8;8;
Municipios;0941;Navalafuente;4;2;3;4;4;7;3;4;4;
Municipios;0954;Navalagamella;0;0;5;4;5;4;3;3;0;
