Serie;Codigo_municipio;Nombre;2023
Municipios;0698;Hiruela (La);Hiruela (La);4;5;3;
Municipios;0702;Horcajo de la Sierra-Aoslos;Horcajo de la Sierra-Aoslos;3;4;9;
Municipios;0719;Horcajuelo de la Sierra;Horcajuelo de la Sierra;4;6;5;
Municipios;0724;Hoyo de Manzanares;Hoyo de Manzanares;313;291;302;
Municipios;0730;Humanes de Madrid;Humanes de Madrid;1071;970;903;
Municipios;0745;Leganés;Leganés;7465;6862;6671;
Municipios;0758;Loeches;Loeches;460;446;409;
Municipios;0761;Lozoya;Lozoya;17;13;16;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Lozoyuela-Navas-Sieteiglesias;42;45;49;
Municipios;0783;Madarcos;Madarcos;1;1;2;
Municipios;0796;Madrid;Madrid;133263;126754;124448;
Municipios;0800;Majadahonda;Majadahonda;3229;3083;2940;
Municipios;0822;Manzanares el Real;Manzanares el Real;437;404;366;
Municipios;0838;Meco;Meco;720;693;684;
Municipios;0843;Mejorada del Campo;Mejorada del Campo;1049;983;935;
Municipios;0856;Miraflores de la Sierra;Miraflores de la Sierra;258;249;247;
Municipios;0869;Molar (El);Molar (El);493;475;445;
Municipios;0875;Molinos (Los);Molinos (Los);142;165;153;
Municipios;0881;Montejo de la Sierra;Montejo de la Sierra;5;4;2;
Municipios;0894;Moraleja de Enmedio;Moraleja de Enmedio;225;232;222;
Municipios;0908;Moralzarzal;Moralzarzal;503;465;468;
Municipios;0915;Morata de Tajuña;Morata de Tajuña;351;341;334;
Municipios;0920;Móstoles;Móstoles;9117;8576;8177;
Municipios;0936;Navacerrada;Navacerrada;114;103;122;
Municipios;0941;Navalafuente;Navalafuente;88;95;91;
Municipios;0954;Navalagamella;Navalagamella;146;139;139;
Municipios;0967;Navalcarnero;Navalcarnero;1924;1811;1706;
Municipios;0973;Navarredonda y San Mamés;Navarredonda y San Mamés;1;5;5;
Municipios;0992;Navas del Rey;Navas del Rey;137;146;153;
Municipios;1006;Nuevo Baztán;Nuevo Baztán;257;263;261;
Municipios;1013;Olmeda de las Fuentes;Olmeda de las Fuentes;14;14;13;
Municipios;1028;Orusco de Tajuña;Orusco de Tajuña;43;45;43;
Municipios;1049;Paracuellos de Jarama;Paracuellos de Jarama;1654;1484;1320;
Municipios;1065;Parla;Parla;7263;6640;6196;
Municipios;1071;Patones;Patones;26;22;23;
Municipios;1087;Pedrezuela;Pedrezuela;355;312;310;
Municipios;1090;Pelayos de la Presa;Pelayos de la Presa;99;117;117;
Municipios;1104;Perales de Tajuña;Perales de Tajuña;156;150;149;
Municipios;1111;Pezuela de las Torres;Pezuela de las Torres;48;49;48;
Municipios;1126;Pinilla del Valle;Pinilla del Valle;4;4;6;
Municipios;1132;Pinto;Pinto;2806;2559;2421;
Municipios;1147;Piñuécar-Gandullas;Piñuécar-Gandullas;3;3;5;
Municipios;1150;Pozuelo de Alarcón;Pozuelo de Alarcón;3567;3478;3449;
Municipios;1163;Pozuelo del Rey;Pozuelo del Rey;71;69;65;
Municipios;1179;Prádena del Rincón;Prádena del Rincón;3;3;2;
Municipios;1185;Puebla de la Sierra;Puebla de la Sierra;2;1;1;
Municipios;9020;Puentes Viejas;Puentes Viejas;19;17;22;
Municipios;1198;Quijorna;Quijorna;169;160;164;
Municipios;1202;Rascafría;Rascafría;53;41;42;
Municipios;1219;Redueña;Redueña;11;13;12;
Municipios;1224;Ribatejada;Ribatejada;33;30;29;
Municipios;1230;Rivas-Vaciamadrid;Rivas-Vaciamadrid;5708;5636;5458;
Municipios;1245;Robledillo de la Jara;Robledillo de la Jara;0;1;6;
Municipios;1258;Robledo de Chavela;Robledo de Chavela;148;149;160;
Municipios;1261;Robregordo;Robregordo;4;2;4;
Municipios;1277;Rozas de Madrid (Las);Rozas de Madrid (Las);4375;4279;4348;
Municipios;1283;Rozas de Puerto Real;Rozas de Puerto Real;12;12;12;
Municipios;1296;San Agustín del Guadalix;San Agustín del Guadalix;542;499;466;
Municipios;1300;San Fernando de Henares;San Fernando de Henares;1576;1456;1387;
Municipios;1317;San Lorenzo de El Escorial;San Lorenzo de El Escorial;654;626;577;
Municipios;1338;San Martín de Valdeiglesias;San Martín de Valdeiglesias;366;348;348;
Municipios;1322;San Martín de la Vega;San Martín de la Vega;1013;958;935;
Municipios;1343;San Sebastián de los Reyes;San Sebastián de los Reyes;4479;4133;3920;
Municipios;1356;Santa María de la Alameda;Santa María de la Alameda;58;52;51;
Municipios;1369;Santorcaz;Santorcaz;26;33;29;
Municipios;1375;Santos de la Humosa (Los);Santos de la Humosa (Los);147;139;137;
Municipios;1381;Serna del Monte (La);Serna del Monte (La);7;8;5;
Municipios;1408;Serranillos del Valle;Serranillos del Valle;212;209;192;
Municipios;1415;Sevilla la Nueva;Sevilla la Nueva;397;360;353;
Municipios;1436;Somosierra;Somosierra;0;0;0;
Municipios;1441;Soto del Real;Soto del Real;318;303;313;
Municipios;1454;Talamanca de Jarama;Talamanca de Jarama;236;209;207;
Municipios;1467;Tielmes;Tielmes;133;128;124;
Municipios;1473;Titulcia;Titulcia;63;46;47;
Municipios;1489;Torrejón de Ardoz;Torrejón de Ardoz;6483;6181;5927;
Municipios;1505;Torrejón de Velasco;Torrejón de Velasco;195;176;180;
Municipios;1492;Torrejón de la Calzada;Torrejón de la Calzada;575;580;574;
Municipios;1512;Torrelaguna;Torrelaguna;225;195;182;
Municipios;1527;Torrelodones;Torrelodones;992;999;971;
Municipios;1533;Torremocha de Jarama;Torremocha de Jarama;39;35;36;
Municipios;1548;Torres de la Alameda;Torres de la Alameda;309;294;274;
Municipios;9036;Tres Cantos;Tres Cantos;2469;2527;2482;
Municipios;1551;Valdaracete;Valdaracete;13;19;20;
Municipios;1564;Valdeavero;Valdeavero;93;85;88;
Municipios;1570;Valdelaguna;Valdelaguna;45;39;47;
Municipios;1586;Valdemanco;Valdemanco;37;39;42;
Municipios;1599;Valdemaqueda;Valdemaqueda;36;33;30;
Municipios;1603;Valdemorillo;Valdemorillo;581;581;595;
Municipios;1610;Valdemoro;Valdemoro;3551;3362;3296;
Municipios;1625;Valdeolmos-Alalpardo;Valdeolmos-Alalpardo;204;189;202;
Municipios;1631;Valdepiélagos;Valdepiélagos;28;28;25;
Municipios;1646;Valdetorres de Jarama;Valdetorres de Jarama;210;218;210;
Municipios;1659;Valdilecha;Valdilecha;166;166;166;
Municipios;1662;Valverde de Alcalá;Valverde de Alcalá;18;23;27;
Municipios;1678;Velilla de San Antonio;Velilla de San Antonio;572;567;613;
Municipios;1684;Vellón (El);Vellón (El);113;101;87;
Municipios;1697;Venturada;Venturada;105;95;94;
Municipios;1718;Villa del Prado;Villa del Prado;322;314;328;
Municipios;1701;Villaconejos;Villaconejos;152;149;138;
Municipios;1723;Villalbilla;Villalbilla;987;1039;1041;
Municipios;1739;Villamanrique de Tajo;Villamanrique de Tajo;28;22;21;
Municipios;1744;Villamanta;Villamanta;108;114;113;
Municipios;1757;Villamantilla;Villamantilla;75;68;63;
Municipios;1782;Villanueva de Perales;Villanueva de Perales;68;66;67;
Municipios;1760;Villanueva de la Cañada;Villanueva de la Cañada;1000;1018;1009;
Municipios;1776;Villanueva del Pardillo;Villanueva del Pardillo;784;729;671;
Municipios;1795;Villar del Olmo;Villar del Olmo;86;85;80;
Municipios;1809;Villarejo de Salvanés;Villarejo de Salvanés;357;328;313;
Municipios;1816;Villaviciosa de Odón;Villaviciosa de Odón;973;889;891;
Municipios;1821;Villavieja del Lozoya;Villavieja del Lozoya;10;13;19;
Municipios;1837;Zarzalejo;Zarzalejo;95;80;75;
