Serie;Codigo_municipio;Nombre;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados
Municipios;0133;Aranjuez;24;193;217;152;4184;4336;1131;955;11516;12471;15893;6.64;93.36;17024
Municipios;0148;Arganda del Rey;1;57;58;779;4754;5533;1999;1219;6141;7360;10952;15.44;84.56;12951
Municipios;0151;Arroyomolinos;0;3;3;139;991;1130;961;822;4054;4876;5048;15.99;84.01;6009
Municipios;0164;Atazar (El);1;3;4;5;10;15;101;95;70;165;83;54.89;45.11;184
Municipios;0170;Batres;0;0;0;6;19;25;34;28;1527;1555;1546;2.15;97.85;1580
Municipios;0186;Becerril de la Sierra;0;3;3;9;52;61;106;97;262;359;317;25.06;74.94;423
Municipios;0199;Belmonte de Tajo;0;20;20;4;50;54;67;63;1517;1580;1587;4.05;95.95;1654
Municipios;0210;Berrueco (El);0;0;0;27;52;79;56;29;314;343;366;13.27;86.73;422
Municipios;0203;Berzosa del Lozoya;0;0;0;1;6;7;92;91;203;294;209;30.56;69.44;301
Municipios;0225;Boadilla del Monte;14;216;230;219;1342;1561;3281;3048;7523;10571;9081;26.54;73.46;12362
Municipios;0231;Boalo (El);0;2;2;28;103;131;157;129;431;560;536;22.66;77.34;693
Municipios;0246;Braojos;0;0;0;0;1;1;65;65;105;170;106;38.01;61.99;171
Municipios;0259;Brea de Tajo;1;13;14;2;8;10;20;17;172;189;193;9.39;90.61;213
Municipios;0262;Brunete;0;2;2;27;148;175;254;227;924;1151;1074;19.13;80.87;1328
Municipios;0278;Buitrago del Lozoya;7;174;181;6;27;33;70;57;692;749;893;7.27;92.73;963
Municipios;0284;Bustarviejo;0;3;3;17;23;40;203;186;288;474;314;39.26;60.74;517
Municipios;0297;Cabanillas de la Sierra;0;2;2;0;14;14;12;12;88;100;104;10.34;89.66;116
Municipios;0301;Cabrera (La);0;2;2;7;16;23;86;79;270;349;288;22.99;77.01;374
Municipios;0318;Cadalso de los Vidrios;1;77;78;69;189;258;114;44;344;388;610;15.75;84.25;724
Municipios;0323;Camarma de Esteruelas;1;0;1;98;1228;1326;204;105;912;1017;2140;8.70;91.30;2344
Municipios;0339;Campo Real;1;23;24;83;432;515;182;98;500;598;955;16.01;83.99;1137
Municipios;0344;Canencia;0;0;0;7;85;92;23;16;179;195;264;8.01;91.99;287
Municipios;0357;Carabaña;3;14;17;7;46;53;38;28;92;120;152;20.00;80.00;190
Municipios;0360;Casarrubuelos;0;3;3;40;262;302;117;77;1651;1728;1916;5.76;94.24;2033
Municipios;0376;Cenicientos;0;16;16;4;17;21;36;32;413;445;446;7.47;92.53;482
Municipios;0382;Cercedilla;1;5;6;23;65;88;147;123;1053;1176;1123;11.57;88.43;1270
Municipios;0395;Cervera de Buitrago;0;0;0;7;7;14;10;3;67;70;74;11.90;88.10;84
Municipios;0513;Chapinería;0;0;0;5;37;42;49;44;207;251;244;16.72;83.28;293
Municipios;0528;Chinchón;14;148;162;13;117;130;140;113;1485;1598;1750;7.41;92.59;1890
Municipios;0409;Ciempozuelos;0;13;13;131;714;845;797;666;6367;7033;7094;10.10;89.90;7891
Municipios;0416;Cobeña;1;1;2;40;225;265;178;137;434;571;660;21.24;78.76;838
Municipios;0468;Collado Mediano;0;4;4;28;210;238;202;174;320;494;534;27.45;72.55;736
Municipios;0474;Collado Villalba;10;99;109;213;863;1076;1473;1250;5211;6461;6173;19.26;80.74;7646
Municipios;0455;Colmenar Viejo;19;33;52;220;1495;1715;1276;1037;5978;7015;7506;14.53;85.47;8782
Municipios;0437;Colmenar de Oreja;2;118;120;27;241;268;103;74;417;491;776;11.72;88.28;879
Municipios;0421;Colmenar del Arroyo;1;2;3;16;45;61;67;50;313;363;360;15.69;84.31;427
Municipios;0442;Colmenarejo;2;2;4;20;213;233;99;77;507;584;722;12.06;87.94;821
Municipios;0480;Corpa;0;0;0;1;1;2;7;6;34;40;35;16.67;83.33;42
Municipios;0493;Coslada;0;35;35;482;1843;2325;3236;2754;24096;26850;25974;11.08;88.92;29210
Municipios;0506;Cubas de la Sagra;1;7;8;49;257;306;391;341;270;611;534;42.27;57.73;925
Municipios;0534;Daganzo de Arriba;0;2;2;129;1679;1808;330;201;949;1150;2630;11.15;88.85;2960
Municipios;0549;Escorial (El);2;7;9;16;89;105;270;252;1108;1360;1204;18.32;81.68;1474
Municipios;0552;Estremera;3;408;411;11;27;38;36;22;215;237;650;5.25;94.75;686
Municipios;0565;Fresnedillas de la Oliva;0;0;0;1;39;40;10;9;64;73;103;8.85;91.15;113
Municipios;0571;Fresno de Torote;1;2;3;5;32;37;13;7;52;59;86;13.13;86.87;99
