Serie;Codigo_municipio;Nombre;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos
Comunidad de Madrid;;Comunidad de Madrid;77.16;4.91;19.18;3033.3;0.15;1180.09
Zonas Estadísticas;01;Municipio de Madrid ;1.09;0.03;0.12;20.3;0.0;0.72
Zonas Estadísticas;02;Norte Metropolitano ;0.0;0.0;0.0;0.0;0.0;0.0
Zonas Estadísticas;03;Este Metropolitano  ;0.0;0.0;0.0;0.0;0.0;0.0
Zonas Estadísticas;04;Sur Metropolitano   ;0.49;0.37;0.68;329.54;0.01;31.72
Zonas Estadísticas;05;Oeste Metropolitano ;0.0;0.0;0.0;0.0;0.0;0.0
Zonas Estadísticas;06;Sierra Norte        ;0.0;0.0;0.0;0.0;0.0;0.0
Zonas Estadísticas;07;Nordeste Comunidad  ;0.3;0.16;0.53;278.13;0.01;29.2
Zonas Estadísticas;08;Sudeste Comunidad   ;0.97;1.44;1.66;799.13;0.04;63.53
Zonas Estadísticas;09;Sudoeste Comunidad  ;0.0;0.0;0.0;0.0;0.0;0.0
Zonas Estadísticas;10;Sierra Sur          ;0.0;0.0;0.0;0.0;0.0;0.0
Zonas Estadísticas;11;Sierra Central      ;0.23;0.21;3.73;316.73;0.01;300.54
Municipios;0014;Acebeda (La);0.0;0.0;0.0;0.0;0.0;0.0
Municipios;0029;Ajalvir;0.19;0.0;0.01;11.77;0.0;0.11
Municipios;0035;Alameda del Valle;0.15;0.01;0.14;8.72;0.0;8.72
Municipios;0040;Alamo (El);0.72;0.05;0.04;17.52;0.0;1.01
Municipios;0053;Alcalá de Henares;0.21;0.01;0.01;22.59;0.0;10.0
Municipios;0066;Alcobendas;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;0072;Alcorcón;0.09;0.0;0.01;2.74;0.0;0.38
Municipios;0088;Aldea del Fresno;0.3;0.03;0.08;7.39;0.0;1.35
Municipios;0091;Algete;0.16;0.02;0.04;26.23;0.0;1.36
Municipios;0105;Alpedrete;0.09;0.01;0.09;5.71;0.0;5.71
Municipios;0112;Ambite;0.24;0.01;0.03;18.22;0.0;8.67
Municipios;0127;Anchuelo;0.3;0.01;0.0;14.55;0.0;0.0
Municipios;0133;Aranjuez;1.89;0.11;0.23;107.42;0.0;10.03
Municipios;0148;Arganda del Rey;1.7;0.1;0.14;25.37;0.0;4.12
Municipios;0151;Arroyomolinos;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;0164;Atazar (El);0.0;0.0;0.0;0.0;0.0;0.0
Municipios;0170;Batres;0.05;0.01;0.04;1.91;0.0;1.03
Municipios;0186;Becerril de la Sierra;0.22;0.02;0.21;13.58;0.0;13.56
Municipios;0199;Belmonte de Tajo;1.42;0.05;0.05;14.0;0.0;0.02
Municipios;0210;Berrueco (El);0.08;0.0;0.08;1.96;0.0;1.95
Municipios;0203;Berzosa del Lozoya;0.04;0.0;0.03;2.72;0.0;2.58
Municipios;0225;Boadilla del Monte;0.04;0.0;0.02;7.3;0.0;7.29
Municipios;0231;Boalo (El);0.27;0.02;0.27;17.95;0.0;17.95
Municipios;0246;Braojos;0.13;0.01;0.13;5.99;0.0;5.99
Municipios;0259;Brea de Tajo;0.85;0.07;0.03;25.32;0.0;0.93
Municipios;0262;Brunete;0.15;0.01;0.03;33.75;0.0;1.01
Municipios;0278;Buitrago del Lozoya;0.18;0.0;0.18;13.31;0.0;13.31
Municipios;0284;Bustarviejo;0.16;0.02;0.16;9.25;0.0;9.19
Municipios;0297;Cabanillas de la Sierra;0.07;0.0;0.07;6.33;0.0;5.98
Municipios;0301;Cabrera (La);0.06;0.0;0.06;7.99;0.0;7.99
Municipios;0318;Cadalso de los Vidrios;1.62;0.28;0.27;10.16;0.01;5.6
Municipios;0323;Camarma de Esteruelas;0.3;0.0;0.0;25.05;0.0;0.0
Municipios;0339;Campo Real;1.6;0.09;0.13;42.93;0.0;1.91
Municipios;0344;Canencia;0.24;0.02;0.24;14.59;0.0;14.59
Municipios;0357;Carabaña;1.02;0.06;0.07;18.68;0.0;0.53
Municipios;0360;Casarrubuelos;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;0376;Cenicientos;2.48;0.27;0.56;19.37;0.01;13.91
Municipios;0382;Cercedilla;0.3;0.01;0.29;7.98;0.0;7.97
Municipios;0395;Cervera de Buitrago;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;0513;Chapinería;0.05;0.0;0.03;3.07;0.0;2.98
Municipios;0528;Chinchón;3.83;0.12;0.09;46.08;0.0;2.37
Municipios;0409;Ciempozuelos;1.08;0.09;0.09;23.62;0.0;2.46
Municipios;0416;Cobeña;0.18;0.0;0.03;13.43;0.0;0.39
Municipios;0468;Collado Mediano;0.18;0.02;0.17;5.74;0.0;5.73
Municipios;0474;Collado Villalba;0.07;0.01;0.05;6.05;0.0;6.02
Municipios;0455;Colmenar Viejo;1.65;0.12;1.61;139.76;0.0;136.14
Municipios;0437;Colmenar de Oreja;5.01;0.17;0.22;79.56;0.0;11.66
Municipios;0421;Colmenar del Arroyo;0.16;0.01;0.13;25.2;0.0;24.05
Municipios;0442;Colmenarejo;0.07;0.0;0.07;17.28;0.0;17.28
Municipios;0480;Corpa;0.34;0.02;0.0;13.27;0.0;0.0
Municipios;0493;Coslada;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;0506;Cubas de la Sagra;0.09;0.0;0.02;2.48;0.0;0.08
Municipios;0534;Daganzo de Arriba;0.3;0.03;0.03;42.33;0.0;3.24
Municipios;0549;Escorial (El);0.37;0.01;0.36;34.85;0.0;34.82
Municipios;0552;Estremera;1.26;0.09;0.09;53.76;0.0;0.97
Municipios;0565;Fresnedillas de la Oliva;0.18;0.01;0.18;9.09;0.0;9.08
Municipios;0571;Fresno de Torote;0.09;0.01;0.02;20.73;0.0;1.1
Municipios;0587;Fuenlabrada;0.24;0.06;0.03;13.32;0.0;3.89
Municipios;0590;Fuente el Saz de Jarama;0.21;0.0;0.04;20.55;0.0;0.07
Municipios;0604;Fuentidueña de Tajo;0.57;0.06;0.01;36.82;0.0;0.0
Municipios;0611;Galapagar;0.18;0.01;0.18;7.19;0.0;7.19
Municipios;0626;Garganta de los Montes;0.23;0.03;0.23;18.15;0.0;18.12
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0.12;0.0;0.12;8.28;0.0;8.28
Municipios;0647;Gascones;0.1;0.0;0.1;5.29;0.0;5.26
Municipios;0650;Getafe;0.29;0.0;0.06;27.13;0.0;3.42
Municipios;0663;Griñón;0.13;0.02;0.01;14.59;0.0;7.44
Municipios;0679;Guadalix de la Sierra;0.68;0.07;0.68;36.87;0.0;36.47
Municipios;0685;Guadarrama;0.43;0.01;0.43;19.3;0.0;19.3
Municipios;0698;Hiruela (La);0.0;0.0;0.0;0.0;0.0;0.0
Municipios;0702;Horcajo de la Sierra0Aoslos;0.08;0.01;0.08;4.94;0.0;4.91
Municipios;0719;Horcajuelo de la Sierra;0.04;0.0;0.04;4.05;0.0;3.96
Municipios;0724;Hoyo de Manzanares;0.13;0.0;0.13;4.12;0.0;3.32
Municipios;0730;Humanes de Madrid;0.21;0.01;0.03;11.11;0.0;0.03
Municipios;0745;Leganés;0.09;0.0;0.02;8.14;0.0;0.09
Municipios;0758;Loeches;0.07;0.0;0.01;21.11;0.0;0.04
Municipios;0761;Lozoya;0.22;0.0;0.21;15.09;0.0;15.07
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;0.24;0.04;0.23;15.13;0.0;15.11
Municipios;0783;Madarcos;0.05;0.0;0.05;9.45;0.0;9.08
Municipios;0796;Madrid;1.09;0.03;0.12;20.3;0.0;0.72
Municipios;0800;Majadahonda;0.08;0.0;0.04;15.47;0.0;6.81
Municipios;0822;Manzanares el Real;0.19;0.01;0.19;58.24;0.0;54.95
Municipios;0838;Meco;0.33;0.0;0.02;38.19;0.0;16.57
Municipios;0843;Mejorada del Campo;0.17;0.01;0.03;5.4;0.0;0.66
Municipios;0856;Miraflores de la Sierra;0.25;0.02;0.25;25.4;0.0;25.28
Municipios;0869;Molar (El);0.99;0.07;0.21;16.74;0.0;2.47
Municipios;0875;Molinos (Los);0.28;0.01;0.28;7.71;0.0;7.71
Municipios;0881;Montejo de la Sierra;0.12;0.02;0.11;6.27;0.0;6.24
Municipios;0894;Moraleja de Enmedio;0.25;0.03;0.08;22.28;0.0;0.59
Municipios;0908;Moralzarzal;0.14;0.0;0.14;12.95;0.0;11.91
Municipios;0915;Morata de Tajuña;1.21;0.08;0.06;25.75;0.0;1.27
Municipios;0920;Móstoles;0.19;0.0;0.05;21.2;0.0;1.03
Municipios;0936;Navacerrada;0.12;0.0;0.12;13.89;0.0;13.89
Municipios;0941;Navalafuente;0.14;0.01;0.14;6.49;0.0;6.42
Municipios;0954;Navalagamella;0.19;0.01;0.19;22.5;0.0;16.62
Municipios;0967;Navalcarnero;2.23;0.09;0.27;51.79;0.0;2.45
Municipios;0973;Navarredonda y San Mamés;0.1;0.0;0.1;5.54;0.0;5.48
Municipios;0992;Navas del Rey;0.46;0.03;0.15;15.27;0.0;14.36
Municipios;1006;Nuevo Baztán;0.09;0.0;0.0;8.21;0.0;0.0
Municipios;1013;Olmeda de las Fuentes;0.09;0.0;0.02;7.38;0.0;0.15
Municipios;1028;Orusco de Tajuña;0.35;0.05;0.04;3.53;0.0;0.09
Municipios;1049;Paracuellos de Jarama;0.15;0.01;0.04;12.7;0.0;0.2
Municipios;1065;Parla;0.17;0.0;0.02;14.71;0.0;0.02
Municipios;1071;Patones;0.11;0.02;0.05;4.82;0.0;4.32
Municipios;1087;Pedrezuela;0.15;0.0;0.14;4.56;0.0;4.56
Municipios;1090;Pelayos de la Presa;0.04;0.0;0.03;1.02;0.0;0.83
Municipios;1104;Perales de Tajuña;0.89;0.08;0.05;6.5;0.0;1.29
Municipios;1111;Pezuela de las Torres;0.36;0.01;0.02;31.39;0.0;1.27
Municipios;1126;Pinilla del Valle;0.06;0.0;0.06;4.01;0.0;4.01
Municipios;1132;Pinto;0.26;0.02;0.01;45.42;0.0;3.69
Municipios;1147;Piñuécar0Gandullas;0.15;0.02;0.15;8.22;0.0;8.17
Municipios;1150;Pozuelo de Alarcón;0.11;0.01;0.0;0.12;0.0;0.0
Municipios;1163;Pozuelo del Rey;0.24;0.0;0.03;25.86;0.0;0.19
Municipios;1179;Prádena del Rincón;0.08;0.01;0.08;4.42;0.0;4.42
Municipios;1185;Puebla de la Sierra;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;9020;Puentes Viejas;0.22;0.04;0.22;9.8;0.0;9.79
Municipios;1198;Quijorna;0.09;0.02;0.02;10.81;0.0;3.55
Municipios;1202;Rascafría;0.35;0.01;0.34;23.45;0.0;23.36
Municipios;1219;Redueña;0.12;0.01;0.06;6.44;0.0;4.87
Municipios;1224;Ribatejada;0.16;0.0;0.02;17.68;0.0;1.88
Municipios;1230;Rivas0Vaciamadrid;0.18;0.01;0.06;11.9;0.0;0.58
Municipios;1245;Robledillo de la Jara;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;1258;Robledo de Chavela;0.34;0.02;0.34;29.74;0.0;29.74
Municipios;1261;Robregordo;0.05;0.0;0.05;2.42;0.0;2.42
Municipios;1277;Rozas de Madrid (Las);0.05;0.0;0.04;9.52;0.0;6.03
Municipios;1283;Rozas de Puerto Real;0.32;0.0;0.2;6.29;0.0;5.56
Municipios;1296;San Agustín del Guadalix;0.21;0.03;0.17;23.34;0.0;14.16
Municipios;1300;San Fernando de Henares;0.12;0.01;0.03;11.46;0.0;1.42
Municipios;1317;San Lorenzo de El Escorial;0.2;0.01;0.19;19.71;0.0;19.69
Municipios;1338;San Martín de Valdeiglesias;2.84;0.45;0.5;14.98;0.02;7.17
Municipios;1322;San Martín de la Vega;1.16;0.07;0.09;43.62;0.0;5.53
Municipios;1343;San Sebastián de los Reyes;0.19;0.02;0.07;16.53;0.0;0.14
Municipios;1356;Santa María de la Alameda;0.38;0.01;0.38;32.63;0.0;32.63
Municipios;1369;Santorcaz;0.43;0.02;0.04;16.72;0.0;1.84
Municipios;1375;Santos de la Humosa (Los);0.22;0.01;0.04;26.34;0.0;8.56
Municipios;1381;Serna del Monte (La);0.04;0.0;0.04;2.85;0.0;2.85
Municipios;1408;Serranillos del Valle;0.1;0.01;0.01;6.73;0.0;0.34
Municipios;1415;Sevilla la Nueva;0.08;0.01;0.03;9.66;0.0;0.03
Municipios;1436;Somosierra;0.11;0.0;0.11;3.23;0.0;3.2
Municipios;1441;Soto del Real;0.23;0.0;0.23;18.87;0.0;18.87
