Serie;Codigo_municipio;Nombre;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario
Municipios;0571;Fresno de Torote;5;61;270
Municipios;0587;Fuenlabrada;79;4943;30111
Municipios;0590;Fuente el Saz de Jarama;27;363;1539
Municipios;0604;Fuentidueña de Tajo;26;44;295
Municipios;0611;Galapagar;36;551;6146
Municipios;0626;Garganta de los Montes;6;24;81
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5;8;64
Municipios;0647;Gascones;7;5;54
Municipios;0650;Getafe;63;3127;25537
Municipios;0663;Griñón;18;545;2511
Municipios;0679;Guadalix de la Sierra;43;158;965
Municipios;0685;Guadarrama;17;308;2766
Municipios;0698;Hiruela (La);0;1;29
Municipios;0702;Horcajo de la Sierra-Aoslos;7;4;49
Municipios;0719;Horcajuelo de la Sierra;3;6;23
Municipios;0724;Hoyo de Manzanares;10;100;1709
Municipios;0730;Humanes de Madrid;21;2744;5800
Municipios;0745;Leganés;35;3880;26537
Municipios;0758;Loeches;7;514;1711
Municipios;0761;Lozoya;5;18;129
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5;44;284
Municipios;0783;Madarcos;1;3;19
Municipios;0796;Madrid;1499;41056;815868
Municipios;0800;Majadahonda;37;698;19851
Municipios;0822;Manzanares el Real;12;164;1382
Municipios;0838;Meco;10;467;2195
Municipios;0843;Mejorada del Campo;9;1140;3884
Municipios;0856;Miraflores de la Sierra;17;175;1045
Municipios;0869;Molar (El);20;177;1237
Municipios;0875;Molinos (Los);10;113;717
Municipios;0881;Montejo de la Sierra;7;10;80
Municipios;0894;Moraleja de Enmedio;13;520;1312
Municipios;0908;Moralzarzal;15;225;2336
Municipios;0915;Morata de Tajuña;53;174;1015
Municipios;0920;Móstoles;57;3383;25078
Municipios;0936;Navacerrada;1;67;708
Municipios;0941;Navalafuente;10;25;184
Municipios;0954;Navalagamella;13;34;331
Municipios;0967;Navalcarnero;40;755;4170
Municipios;0973;Navarredonda y San Mamés;3;4;31
Municipios;0992;Navas del Rey;7;87;476
Municipios;1006;Nuevo Baztán;6;167;1016
Municipios;1013;Olmeda de las Fuentes;4;10;107
Municipios;1028;Orusco de Tajuña;4;21;126
Municipios;1049;Paracuellos de Jarama;13;736;4751
Municipios;1065;Parla;39;1848;12726
Municipios;1071;Patones;1;11;111
Municipios;1087;Pedrezuela;11;99;832
Municipios;1090;Pelayos de la Presa;4;83;460
Municipios;1104;Perales de Tajuña;11;90;398
Municipios;1111;Pezuela de las Torres;17;21;136
Municipios;1126;Pinilla del Valle;1;2;25
Municipios;1132;Pinto;25;1263;8467
Municipios;1147;Piñuécar-Gandullas;5;5;32
Municipios;1150;Pozuelo de Alarcón;63;959;30259
Municipios;1163;Pozuelo del Rey;8;22;149
Municipios;1179;Prádena del Rincón;3;9;25
Municipios;1185;Puebla de la Sierra;2;1;15
Municipios;9020;Puentes Viejas;4;15;115
Municipios;1198;Quijorna;13;50;546
Municipios;1202;Rascafría;25;55;457
Municipios;1219;Redueña;4;6;99
Municipios;1224;Ribatejada;3;18;108
Municipios;1230;Rivas-Vaciamadrid;23;1576;15833
Municipios;1245;Robledillo de la Jara;0;1;17
Municipios;1258;Robledo de Chavela;32;79;685
Municipios;1261;Robregordo;0;1;7
Municipios;1277;Rozas de Madrid (Las);29;1117;27736
Municipios;1283;Rozas de Puerto Real;3;7;139
Municipios;1296;San Agustín del Guadalix;10;243;2660
Municipios;1300;San Fernando de Henares;13;1197;7082
Municipios;1317;San Lorenzo de El Escorial;25;240;3542
Municipios;1338;San Martín de Valdeiglesias;21;223;1374
Municipios;1322;San Martín de la Vega;61;541;3087
Municipios;1343;San Sebastián de los Reyes;48;1744;18589
Municipios;1356;Santa María de la Alameda;21;61;252
Municipios;1369;Santorcaz;6;22;91
Municipios;1375;Santos de la Humosa (Los);8;47;336
Municipios;1381;Serna del Monte (La);5;2;36
Municipios;1408;Serranillos del Valle;7;191;803
Municipios;1415;Sevilla la Nueva;8;231;1608
Municipios;1436;Somosierra;1;1;34
Municipios;1441;Soto del Real;15;144;1796
Municipios;1454;Talamanca de Jarama;11;88;533
Municipios;1467;Tielmes;14;75;343
Municipios;1473;Titulcia;7;44;192
Municipios;1489;Torrejón de Ardoz;40;2430;17167
