Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;afiliados_30a49;afiliados_mayores_50;afiliados_menores_18;afiliados_menores_30;afiliados_total;porcentaje_30a49;porcentaje_mayores_50;porcentaje_menores_30;censo_0a4;censo_5a9;censo_10a14;censo_15a19;censo_20a24;censo_25a29;censo_30a34;censo_35a39;censo_40a44;censo_45a49;censo_50a54;censo_55a59;censo_60a64;censo_65a69;censo_70a74;censo_75a79;censo_80a84;censo_85a89;censo_90a94;censo_95a99;censo_100;censo_total;crecimiento_relativo_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;ocupados_total;paro_25_44;paro_mayores_25;paro_mayores_45;paro_menores_25;paro_100_habitantes;paro_registrado_total;porcentaje_mayores_25;porcentaje_menores_25;variacion_paro_registrado;sector
Municipios;0259;Brea de Tajo;280259;08;Sudeste Comunidad;44.73;1;10;11;10;0;10;84;73;180;253;190;30.66;69.34;274;11.30;25;16;370;0.85;0.07;0.03;25.32;0.0;0.93;0;0;0;0;4;3;33;707;15;12;82;53;75;69;1;31;175;42.86;39.43;17.71;14;17;19;27;34;35;23;22;40;41;42;38;40;38;31;32;27;18;9;2;0;549;1.10;48.80;57.92;42.81;28.60;16.03;5.28;9.11;20.22;30.78;42.08;240;0;0;0;7;36;29;6;7.73;42;Terciario
Municipios;0262;Brunete;280262;05;Oeste Metropolitano;49.17;1;0;1;92;27;119;682;589;545;1134;572;54.39;45.61;1254;218.65;28;375;4838;0.15;0.01;0.03;33.75;0.0;1.01;0;0;0;0;5;65;423;10.760;23;221;2095;1153;2287;1656;0;746;4689;48.77;35.32;15.91;410;559;749;779;678;620;586;643;882;1102;1006;871;618;419;369;301;173;143;65;19;0;10992;1.66;40.74;46.27;27.09;13.55;6.38;2.07;15.63;28.88;39.86;53.73;2816;0;0;0;149;421;272;23;4.03;444;Terciario
Municipios;0278;Buitrago del Lozoya;280761;06;Sierra Norte;57.69;0;0;0;52;10;62;190;138;523;661;533;26.28;73.72;723;75.43;11;60;1711;0.18;0.0;0.18;13.31;0.0;13.31;0;0;0;0;4;8;68;262;10;37;439;242;398;300;0;130;828;48.07;36.23;15.70;74;102;126;114;92;108;105;131;141;179;152;129;128;87;75;61;57;47;30;13;3;1954;0.10;43.53;49.18;32.24;19.09;10.80;4.76;15.46;26.00;36.90;50.82;1311;0;0;0;33;87;54;5;4.68;92;Terciario
Municipios;0284;Bustarviejo;280284;06;Sierra Norte;56.13;1;0;1;91;11;102;318;226;129;355;140;69.43;30.57;458;44.88;17;73;904;0.16;0.02;0.16;9.25;0.0;9.19;0;0;0;0;3;21;127;2.522;16;57;465;263;527;369;0;96;992;53.13;37.20;9.68;90;140;182;142;115;95;133;175;261;317;253;222;177;136;100;81;43;47;33;10;0;2752;1.66;43.56;51.56;30.85;16.35;7.78;3.27;14.97;24.31;32.59;48.44;605;0;0;0;60;147;87;7;5.61;154;Terciario
Municipios;0297;Cabanillas de la Sierra;280297;06;Sierra Norte;13.81;1;0;1;15;7;22;147;131;83;214;90;62.03;37.97;237;56.80;6;28;301;0.07;0.0;0.07;6.33;0.0;5.98;0;0;0;0;0;2;24;73;5;14;136;77;165;131;0;41;337;48.96;38.87;12.17;45;47;57;47;50;32;35;63;83;95;86;79;64;54;26;22;32;10;9;1;0;937;7.21;42.94;51.01;31.70;16.44;7.90;2.13;15.90;26.25;33.40;48.99;252;0;0;0;9;35;26;1;3.83;36;Terciario
Municipios;0301;Cabrera (La);280301;06;Sierra Norte;22.14;2;0;2;21;5;26;190;167;190;357;195;49.35;50.65;385;123.47;2;112;1466;0.06;0.0;0.06;7.99;0.0;7.99;0;0;0;0;1;34;158;65;2;71;523;293;532;421;1;158;1111;47.88;37.89;14.22;100;141;168;173;159;142;134;184;269;282;254;237;167;137;107;80;74;55;22;11;2;2898;2.58;43.11;49.28;30.78;16.84;8.42;3.11;14.11;25.57;35.09;50.72;833;0;0;0;51;163;112;5;5.83;168;Terciario
Municipios;0318;Cadalso de los Vidrios;280318;10;Sierra Sur;47.84;21;14;35;99;103;202;252;132;141;273;258;49.41;50.59;510;63.65;26;226;1245;1.62;0.28;0.27;10.16;0.01;5.6;0;0;0;0;17;49;207;3.047;14;110;400;250;524;343;0;171;1038;50.48;33.04;16.47;123;149;181;141;166;152;183;209;229;264;245;250;212;183;194;149;83;51;45;7;2;3218;0.09;45.05;52.36;36.54;22.19;10.47;3.26;14.08;23.62;34.03;47.64;796;0;0;0;89;221;132;24;7.72;245;Terciario
Municipios;0323;Camarma de Esteruelas;280323;07;Nordeste Comunidad;35.15;0;0;0;255;566;821;668;413;322;735;888;42.93;57.07;1556;211.22;10;1508;3882;0.3;0.0;0.0;25.05;0.0;0.0;0;0;0;0;5;88;378;7.437;8;298;1268;742;1523;987;0;390;2900;52.52;34.03;13.45;302;423;588;550;423;344;440;511;712;890;726;529;421;312;236;185;86;72;26;5;1;7782;2.60;39.76;44.83;24.07;11.86;4.82;1.34;16.87;29.38;39.45;55.17;2607;0;0;0;136;395;259;33;5.49;428;Terciario
Municipios;0339;Campo Real;280339;08;Sudeste Comunidad;61.75;7;21;28;177;111;288;1323;1139;390;1529;522;71.71;28.29;1845;103.87;18;1313;2994;1.6;0.09;0.13;42.93;0.0;1.91;9.63;6.74;0;0;6;87;298;6.420;9;328;1165;696;1487;845;1;368;2700;55.07;31.30;13.63;325;427;416;361;303;356;414;515;683;643;534;457;373;287;178;152;100;108;65;14;0;6711;0.74;40.41;43.38;25.84;13.47;6.54;2.79;17.40;27.30;38.77;56.62;2143;6.74;0;0;145;365;220;20;5.68;385;Terciario
Municipios;0344;Canencia;280344;06;Sierra Norte;54.18;0;0;0;19;0;19;271;252;120;372;120;69.31;30.69;391;8.25;8;34;204;0.24;0.02;0.24;14.59;0.0;14.59;0;0;0;0;0;1;26;447;8;24;84;57;42;69;0;22;133;31.58;51.88;16.54;11;12;13;20;26;19;20;22;17;25;46;57;43;33;19;24;17;22;14;2;2;464;1.53;51.71;65.52;50.22;28.66;17.46;8.62;7.76;17.67;26.08;34.48;156;0;0;0;4;21;17;2;5.00;23;Terciario
Municipios;0357;Carabaña;280357;08;Sudeste Comunidad;47.64;12;3;15;16;14;30;100;72;192;264;209;32.36;67.64;309;43.65;21;94;632;1.02;0.06;0.07;18.68;0.0;0.53;0;0;0;0;1;28;110;2.081;11;64;284;174;428;254;0;117;799;53.57;31.79;14.64;93;130;137;113;106;96;122;168;246;211;177;150;136;101;89;71;54;44;26;15;1;2286;2.33;42.91;47.03;30.05;17.54;9.23;3.76;15.75;25.33;34.86;52.97;433;0;0;0;45;127;82;14;6.20;141;Terciario
Municipios;0360;Casarrubuelos;280360;09;Sudoeste Comunidad;5.33;0;0;0;182;39;221;726;544;1029;1573;1068;40.47;59.53;1794;720.04;2;558;1510;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;48;171;3.845;2;154;602;361;794;478;0;226;1498;53.00;31.91;15.09;202;240;291;252;230;197;225;313;389;466;355;245;210;173;125;95;45;24;18;4;0;4099;2.81;39.16;42.94;22.91;11.81;4.54;1.12;17.88;29.64;39.94;57.06;1127;0;0;0;60;178;118;19;4.85;197;Terciario
Municipios;0376;Cenicientos;280376;10;Sierra Sur;68.25;3;11;14;23;3;26;116;90;168;258;182;38.93;61.07;298;29.85;32;70;699;2.48;0.27;0.56;19.37;0.01;13.91;0;0;0;0;7;35;138;2.038;26;34;249;152;321;225;0;109;655;49.01;34.35;16.64;66;81;101;102;100;108;102;120;136;144;122;169;172;134;107;105;88;78;38;15;0;2088;0.38;48.06;56.13;43.39;27.06;15.52;6.27;11.88;21.55;31.61;43.87;386;0;0;0;68;142;74;18;7.63;160;Terciario
Municipios;0382;Cercedilla;280382;11;Sierra Central;40.82;3;0;3;123;1;124;747;621;709;1330;710;51.27;48.73;1457;201.48;10;210;4143;0.3;0.01;0.29;7.98;0.0;7.97;0;0;0;0;5;45;296;7.205;8;158;1342;742;1377;1256;1;444;3077;44.75;40.82;14.43;267;352;372;392;474;425;430;477;575;636;681;657;540;397;292;241;176;158;79;28;3;7652;1.66;43.94;50.81;33.60;17.96;8.95;3.50;12.95;24.27;35.44;49.19;2381;0;0;0;131;322;191;33;4.64;355;Terciario
Municipios;0395;Cervera de Buitrago;280395;06;Sierra Norte;11.54;0;1;1;6;1;7;68;62;76;138;78;46.58;53.42;146;14.03;0;2;68;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;1;8;162;0;1;37;19;12;15;0;6;33;36.36;45.45;18.18;3;4;4;6;7;10;2;7;7;17;14;20;14;9;11;10;8;9;1;1;0;164;-1.20;52.73;69.51;50.61;29.88;17.68;6.71;6.71;14.63;21.95;30.49;86;0;0;0;1;11;10;2;7.93;13;Terciario
Municipios;0513;Chapinería;280513;10;Sierra Sur;25.55;8;3;11;17;3;20;244;219;141;360;147;62.40;37.60;391;94.44;4;167;837;0.05;0.0;0.03;3.07;0.0;2.98;0;0;0;0;5;18;159;2.414;4;80;358;212;431;313;0;117;861;50.06;36.35;13.59;130;165;187;150;105;116;133;156;212;234;200;209;174;113;84;64;64;58;34;8;2;2598;3.59;41.94;47.88;31.18;16.44;8.85;3.93;18.55;28.37;37.95;52.12;612;0;0;0;55;137;82;10;5.65;147;Terciario
Municipios;0528;Chinchón;280528;08;Sudeste Comunidad;115.79;49;40;89;91;30;121;589;449;685;1134;755;43.82;56.18;1344;46.71;183;411;2801;3.83;0.12;0.09;46.08;0.0;2.37;0;0;0;0;22;54;264;5.413;111;154;1143;681;998;784;2;326;2108;47.34;37.19;15.46;201;269;297;279;275;280;324;368;476;433;494;425;422;329;257;205;150;104;62;19;1;5670;-0.05;44.59;51.16;34.81;19.88;9.54;3.28;13.53;23.30;33.95;48.84;1747;0;0;0;122;318;196;23;6.02;341;Terciario
Municipios;0409;Ciempozuelos;280409;04;Sur Metropolitano;49.41;7;13;20;616;220;836;2138;1515;4343;5858;4576;31.84;68.16;6714;508.28;49;2303;21521;1.08;0.09;0.09;23.62;0.0;2.46;0;0;0;0;14;289;1275;25.104;44;585;3080;1780;4959;3309;1;1459;9727;50.98;34.02;15.00;1025;1339;1547;1444;1349;1397;1557;1716;2210;2462;2234;1873;1559;1183;847;717;469;451;210;71;12;25672;1.86;41.94;47.09;28.79;15.43;7.52;2.90;15.23;26.11;37.62;52.91;8878;0;0;0;591;1315;724;167;5.73;1482;Terciario
Municipios;0416;Cobeña;280416;02;Norte Metropolitano;20.79;3;1;4;89;49;138;545;453;369;822;419;56.54;43.46;964;359.73;22;483;3297;0.18;0.0;0.03;13.43;0.0;0.39;0;0;0;0;2;38;180;7.486;18;141;1325;723;1503;1163;0;465;3131;48.00;37.14;14.85;335;546;611;560;452;361;344;486;697;814;692;592;444;268;155;133;78;74;49;11;0;7702;2.37;38.48;42.98;23.42;9.97;4.48;1.74;19.37;32.51;41.66;57.02;1864;0;0;0;77;234;157;12;3.20;246;Terciario
Municipios;0468;Collado Mediano;280468;11;Sierra Central;22.19;0;2;2;177;19;196;522;345;320;665;341;60.49;39.51;863;319.90;3;345;2772;0.18;0.02;0.17;5.74;0.0;5.73;0;0;0;0;1;80;332;7.105;3;134;1317;715;1334;1244;0;416;2994;44.56;41.55;13.89;293;362;450;485;418;396;369;395;522;724;748;646;508;361;274;222;141;101;40;7;1;7463;0.11;42.33;50.56;30.83;15.37;6.86;2.00;14.81;26.91;37.16;49.44;1789;0;0;0;109;354;245;26;5.07;380;Terciario
Municipios;0474;Collado Villalba;280474;05;Oeste Metropolitano;25.19;11;41;52;606;182;788;4268;3651;3371;7022;3594;54.29;45.71;7862;2552.66;82;2529;33572;0.07;0.01;0.05;6.05;0.0;6.02;0;0;0;0;31;587;3382;64.378;38;1087;10724;5830;14555;10457;8;4599;29611;49.15;35.31;15.53;2501;3180;3656;3776;3901;4003;4323;4485;5268;5713;5547;5353;4336;3195;2492;1885;1142;939;416;131;18;66260;2.19;42.04;47.04;30.04;15.42;6.84;2.27;14.09;25.68;38.24;52.96;18403;0;0;0;1308;3299;1991;271;5.44;3570;Terciario
Municipios;0455;Colmenar Viejo;280455;02;Norte Metropolitano;182.88;26;6;32;1057;313;1370;3952;2869;3395;6264;3714;51.55;48.45;7666;283.85;164;4684;33302;1.65;0.12;1.61;139.76;0.0;136.14;0;0;1316.5;964.08;21;407;2021;51.938;112;981;8291;4589;12193;8039;4;3571;23803;51.22;33.77;15.00;2706;3231;3298;3167;3083;3034;3398;4126;4842;4807;4307;3959;3425;2347;1838;1374;850;742;418;132;16;55100;3.35;40.53;43.95;27.41;14.01;6.41;2.37;16.76;28.10;39.78;56.05;18846;0;1316.5;964.08;829;2045;1216;137;3.95;2182;Terciario
Municipios;0437;Colmenar de Oreja;280437;08;Sudeste Comunidad;126.33;28;16;44;141;92;233;439;270;419;689;527;45.45;54.55;966;64.49;78;620;2499;5.01;0.17;0.22;79.56;0.0;11.66;0;0;0;0;14;153;444;8.154;54;310;1167;733;1603;1069;1;535;3207;49.98;33.33;16.68;290;402;490;505;450;433;506;534;699;819;719;651;589;478;384;277;211;192;100;19;2;8750;2.21;43.98;50.75;33.18;19.01;9.15;3.58;13.51;24.42;35.15;49.25;1635;0;0;0;195;495;300;42;6.21;537;Terciario
Municipios;0421;Colmenar del Arroyo;280421;10;Sierra Sur;49.31;1;0;1;79;30;109;364;284;276;560;306;54.33;45.67;670;36.20;18;254;1890;0.16;0.01;0.13;25.2;0.0;24.05;0;0;0;0;5;13;91;1.785;15;47;291;172;319;211;0;82;612;52.12;34.48;13.40;87;90;100;109;68;90;116;137;158;163;179;149;129;105;78;81;41;35;32;5;2;1954;0.77;44.33;51.13;33.62;19.40;10.03;3.79;14.18;23.23;33.78;48.87;1017;0;0;0;34;100;66;7;5.50;107;Terciario
Municipios;0442;Colmenarejo;280442;11;Sierra Central;31.49;1;0;1;76;26;102;418;341;370;711;396;51.35;48.65;814;293.02;7;518;6418;0.07;0.0;0.07;17.28;0.0;17.28;0;0;0;0;2;73;400;9.230;5;158;1332;737;1780;1580;1;658;4018;44.30;39.32;16.38;302;479;692;734;665;516;464;521;736;944;932;791;598;409;323;251;141;95;43;14;5;9655;1.16;40.79;47.08;27.65;13.27;5.69;1.63;15.26;29.75;39.90;52.92;2866;0;0;0;152;420;268;24;4.66;444;Terciario
Municipios;0480;Corpa;280480;08;Sudeste Comunidad;25.94;1;0;1;3;0;3;54;50;49;99;49;52.43;47.57;103;27.85;2;11;172;0.34;0.02;0.0;13.27;0.0;0.0;0;0;0;0;0;7;38;723;2;11;74;41;171;74;0;26;271;63.10;27.31;9.59;35;56;45;45;25;27;53;65;89;83;44;48;47;40;35;17;13;18;10;1;0;796;3.11;41.86;44.72;28.77;16.83;7.41;3.64;17.09;25.88;35.93;55.28;101;0;0;0;18;42;24;0;5.26;42;Terciario
Municipios;0493;Coslada;280493;03;Este Metropolitano;12.02;17;0;17;1865;1320;3185;12237;10355;9944;20299;11264;52.07;47.93;23501;6765.67;24;8372;65242;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;17;769;3625;81.391;19;1833;13793;7658;21717;12272;5;5004;38993;55.69;31.47;12.83;2689;3318;3861;3765;3659;4036;4841;5374;6356;6984;5668;5320;6043;6091;5448;3519;1650;946;452;112;14;80146;-0.54;45.33;52.71;36.93;22.75;8.35;1.90;12.31;21.58;32.65;47.29;39876;0;0;0;1395;3680;2285;254;4.91;3934;Terciario
Municipios;0506;Cubas de la Sagra;280506;09;Sudoeste Comunidad;12.89;4;1;5;153;119;272;1183;1026;1707;2733;1827;39.30;60.70;3010;506.90;10;867;2416;0.09;0.0;0.02;2.48;0.0;0.08;0;0;0;0;1;62;230;6.539;9;188;873;516;1356;799;2;324;2479;54.70;32.23;13.07;323;480;583;549;321;221;301;451;736;800;558;424;297;220;167;117;90;81;68;17;3;6807;1.72;38.41;41.75;21.80;11.21;5.52;2.48;20.36;33.14;40.81;58.25;1537;0;0;0;96;240;144;34;4.02;274;Terciario
Municipios;0534;Daganzo de Arriba;280534;07;Nordeste Comunidad;43.40;0;0;0;273;1696;1969;955;682;872;1554;2568;27.11;72.89;3523;237.96;22;3123;7455;0.3;0.03;0.03;42.33;0.0;3.24;0;0;0;0;3;93;387;10.337;21;347;1885;1069;2082;1819;0;713;4614;45.12;39.42;15.45;423;598;897;941;711;405;414;559;848;1226;1299;846;526;314;216;161;86;89;35;5;2;10601;-0.30;38.36;45.33;21.51;8.57;3.57;1.24;18.09;33.68;41.40;54.67;4645;0;0;0;105;414;309;42;4.30;456;Terciario
Municipios;0549;Escorial (El);280549;11;Sierra Central;68.81;6;11;17;87;10;97;955;862;836;1698;857;52.70;47.30;1812;237.79;34;337;7531;0.37;0.01;0.36;34.85;0.0;34.82;0;0;0;0;9;96;715;2.004;31;240;2856;1543;3103;2619;1;914;6636;46.76;39.47;13.77;603;773;881;952;952;848;879;993;1251;1390;1336;1480;1327;1002;794;637;373;289;167;46;5;16978;1.46;44.39;52.10;36.05;19.51;8.94;2.99;13.29;24.51;34.68;47.90;3915;0;0;0;243;717;474;43;4.50;760;Terciario
Municipios;0552;Estremera;280552;08;Sudeste Comunidad;79.13;295;73;368;24;14;38;442;123;95;218;182;70.83;29.17;624;16.84;50;68;2189;1.26;0.09;0.09;53.76;0.0;0.97;0;0;0;0;2;21;62;1.334;24;35;247;151;229;148;0;88;465;49.25;31.83;18.92;55;54;79;67;71;74;69;85;117;118;123;91;101;83;66;52;49;49;34;11;1;1449;2.91;46.56;53.69;37.06;23.81;13.53;6.56;12.97;22.50;32.37;46.31;1326;0;0;0;41;91;50;3;6.47;94;Terciario
Municipios;0565;Fresnedillas de la Oliva;280565;10;Sierra Sur;28.34;0;1;1;23;1;24;61;38;65;103;67;47.66;52.34;128;58.09;8;52;495;0.18;0.01;0.18;9.09;0.0;9.08;0;0;0;0;2;16;86;1.651;6;31;257;144;314;231;0;91;636;49.37;36.32;14.31;90;99;143;88;111;87;99;128;169;153;135;125;124;78;55;57;25;13;17;3;0;1799;1.01;40.15;43.64;27.63;13.79;6.39;1.83;18.45;29.52;39.86;56.36;335;0;0;0;45;114;69;7;6.76;121;Terciario
Municipios;0571;Fresno de Torote;280571;07;Nordeste Comunidad;31.75;1;0;1;19;5;24;39;19;34;53;39;50.00;50.00;78;72.34;7;91;509;0.09;0.01;0.02;20.73;0.0;1.1;0;0;0;0;5;22;98;2.299;5;61;270;162;417;291;0;96;804;51.87;36.19;11.94;104;157;190;158;111;91;124;183;238;260;258;166;108;98;84;98;40;26;12;2;0;2508;2.87;40.60;45.93;25.28;14.35;7.10;1.59;17.98;28.71;37.28;54.07;355;0;0;0;48;113;65;12;4.96;125;Terciario
Municipios;0587;Fuenlabrada;280587;04;Sur Metropolitano;39.18;14;41;55;3819;3010;6829;16294;12461;11454;23915;14505;52.90;47.10;30799;4960.83;97;22689;104614;0.24;0.06;0.03;13.32;0.0;3.89;67.81;40.68;409.31;490.91;66;2245;10161;194.514;79;4943;30111;16940;46792;29641;10;13682;90115;51.92;32.89;15.18;6885;8873;10444;11191;10955;9761;10896;13140;15864;15603;15388;14159;13560;14234;8710;4716;2314;1578;767;222;27;189287;-0.49;42.46;48.22;31.85;17.21;5.08;1.37;13.84;25.54;36.46;51.78;60258;40.68;409.31;490.91;3997;10083;6086;1108;5.93;11191;Terciario
Municipios;0590;Fuente el Saz de Jarama;280590;07;Nordeste Comunidad;33.15;5;1;6;191;63;254;576;380;248;628;312;64.86;35.14;888;205.22;31;1014;3669;0.21;0.0;0.04;20.55;0.0;0.07;0;0;0;0;3;56;332;4.581;27;363;1539;905;1470;1040;1;474;2984;49.26;34.85;15.88;288;370;430;475;442;375;425;490;606;657;638;565;443;320;264;200;114;95;43;18;2;7260;3.21;41.32;46.27;28.43;14.55;6.50;2.18;14.99;27.62;38.64;53.73;2322;0;0;0;123;323;200;29;4.90;352;Terciario
Municipios;0604;Fuentidueña de Tajo;280604;08;Sudeste Comunidad;60.18;27;3;30;27;19;46;117;63;51;114;73;61.58;38.42;190;35.46;50;80;714;0.57;0.06;0.01;36.82;0.0;0.0;0;0;0;0;13;37;106;707;26;44;295;179;350;233;0;112;695;50.36;33.53;16.12;94;101;112;116;103;113;137;134;202;193;165;171;166;140;118;76;44;42;26;7;0;2260;0.49;44.34;50.80;34.96;20.04;8.63;3.32;13.58;23.27;34.34;49.20;496;0;0;0;63;147;84;9;6.87;156;Terciario
Municipios;0611;Galapagar;280611;05;Oeste Metropolitano;65.20;5;5;10;328;125;453;1451;1118;2407;3525;2537;36.38;63.62;3988;528.77;50;1010;11920;0.18;0.01;0.18;7.19;0.0;7.19;0;0;0;0;25;237;1470;34.497;36;551;6146;3333;7214;6254;2;2472;15940;45.26;39.23;15.51;1360;1857;2155;2246;2211;2108;1970;2061;2549;3046;3045;2986;2549;1653;1214;974;594;430;224;59;7;35298;1.26;41.50;47.54;30.29;14.60;6.48;2.04;15.22;27.85;39.40;52.46;6819;0;0;0;545;1510;965;107;4.58;1617;Terciario
Municipios;0626;Garganta de los Montes;280626;06;Sierra Norte;40.33;0;2;2;5;1;6;17;12;21;33;24;41.46;58.54;41;9.34;7;52;166;0.23;0.03;0.23;18.15;0.0;18.12;0;0;0;0;2;3;24;377;6;24;81;53;67;52;0;21;140;47.86;37.14;15.00;13;14;13;15;18;20;29;27;28;46;36;34;36;34;21;14;14;2;4;1;0;419;5.81;46.88;57.76;38.19;21.48;8.35;1.67;9.55;17.42;29.12;42.24;178;0;0;0;4;21;17;1;5.24;22;Terciario
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;280761;06;Sierra Norte;57.69;0;0;0;0;1;1;24;24;41;65;42;36.36;63.64;66;12.77;5;9;237;0.12;0.0;0.12;8.28;0.0;8.28;0;0;0;0;1;0;16;262;5;8;64;38;51;50;1;9;110;46.36;45.45;8.18;15;10;17;17;13;13;15;17;25;42;43;45;29;29;19;11;10;12;6;0;0;388;1.31;48.04;63.40;41.49;22.42;10.05;4.64;10.82;18.56;25.77;36.60;194;0;0;0;7;21;14;1;5.67;22;Terciario
Municipios;0647;Gascones;280647;06;Sierra Norte;20.07;0;0;0;4;4;8;21;17;23;40;27;43.75;56.25;48;8.77;10;8;138;0.1;0.0;0.1;5.29;0.0;5.26;0;0;0;0;0;1;5;176;7;5;54;33;42;44;0;15;101;41.58;43.56;14.85;8;7;21;10;10;11;13;19;11;21;20;22;17;17;5;7;6;0;2;0;0;227;7.08;43.08;51.54;33.48;16.30;6.61;0.88;15.86;24.67;35.24;48.46;116;0;0;0;5;9;4;1;4.37;10;Terciario
Municipios;0650;Getafe;280650;04;Sur Metropolitano;78.59;63;48;111;5973;4427;10400;27407;21371;35736;57107;40211;40.53;59.47;67618;2353.29;85;36374;148412;0.29;0.0;0.06;27.13;0.0;3.42;1702.33;1074.3;334.13;118.42;56;1656;8058;185.180;63;3127;25537;14038;44084;25574;8;11340;80998;54.43;31.57;14.00;8378;10142;10242;9680;9071;9012;10601;13397;16097;17731;15189;11629;9774;8266;9340;9591;4979;2937;1149;274;46;187525;1.30;43.09;48.48;30.92;19.51;10.12;2.35;15.34;25.34;35.80;51.52;90643;1074.3;334.13;118.42;3352;8413;5061;753;4.93;9166;Terciario
Municipios;0663;Griñón;280663;09;Sudoeste Comunidad;17.09;99;9;108;754;469;1223;1926;1073;685;1758;1163;62.35;37.65;3089;610.23;22;3574;10340;0.13;0.02;0.01;14.59;0.0;7.44;0;0;0;0;4;68;364;10.435;18;545;2511;1450;2061;1483;0;661;4205;49.01;35.27;15.72;368;569;729;722;620;496;486;623;914;1000;914;754;675;576;415;264;168;162;104;34;6;10599;0.89;41.93;47.85;29.80;16.31;6.96;2.89;15.72;28.38;37.65;52.15;6679;0;0;0;140;369;229;36;4.02;405;Terciario
Municipios;0679;Guadalix de la Sierra;280679;06;Sierra Norte;60.26;11;5;16;69;66;135;383;303;316;619;387;49.74;50.26;770;106.78;58;233;2237;0.68;0.07;0.68;36.87;0.0;36.47;0;0;0;0;3;63;287;73;43;158;965;571;1268;990;3;408;2666;47.56;37.13;15.30;306;343;397;427;393;320;372;406;557;653;673;530;406;319;240;183;135;100;40;11;2;6813;1.99;41.77;48.32;28.86;15.12;6.91;2.25;15.35;27.39;37.55;51.68;1419;0;0;0;130;332;202;18;5.14;350;Terciario
Municipios;0685;Guadarrama;280685;11;Sierra Central;57.18;4;2;6;148;44;192;1001;849;1836;2685;1882;34.72;65.28;2883;289.56;20;692;7600;0.43;0.01;0.43;19.3;0.0;19.3;0;0;0;0;6;96;680;16.560;17;308;2766;1520;3215;2686;0;1009;6910;46.53;38.87;14.60;625;865;1026;1030;975;825;806;987;1307;1524;1533;1388;1082;814;728;565;423;299;171;59;12;17044;1.03;43.29;50.45;32.51;18.02;8.97;3.17;14.76;26.53;36.09;49.55;4564;0;0;0;260;670;410;57;4.26;727;Terciario
Municipios;0698;Hiruela (La);280698;06;Sierra Norte;17.16;0;0;0;3;0;3;20;17;15;32;15;57.14;42.86;35;3.79;0;2;94;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;2;65;0;1;29;15;3;4;0;0;7;42.86;57.14;0.00;3;2;0;1;3;1;2;5;4;4;8;5;12;7;9;2;4;1;1;0;0;74;-2.63;53.90;71.62;55.41;32.43;10.81;2.70;6.76;12.16;16.22;28.38;85;0;0;0;1;2;1;0;2.70;2;Terciario
Municipios;0702;Horcajo de la Sierra-Aoslos;280702;06;Sierra Norte;21.20;4;1;5;8;0;8;38;26;33;59;34;52.78;47.22;72;7.16;7;10;121;0.08;0.01;0.08;4.94;0.0;4.91;0;0;0;0;0;1;5;73;7;4;49;30;27;25;0;8;60;45.00;41.67;13.33;9;11;11;7;7;15;13;18;24;25;18;16;13;19;15;7;3;2;1;0;0;234;17.59;44.38;50.85;32.48;20.09;5.56;1.28;13.25;19.23;31.20;49.15;147;0;0;0;4;8;4;0;3.42;8;Terciario
Municipios;0719;Horcajuelo de la Sierra;280719;06;Sierra Norte;23.83;0;0;0;0;0;0;25;25;25;50;25;50.00;50.00;50;3.73;3;11;106;0.04;0.0;0.04;4.05;0.0;3.96;0;0;0;0;0;0;3;73;3;6;23;16;15;14;0;6;35;42.86;40.00;17.14;5;2;7;3;7;6;5;3;4;7;11;10;9;8;5;9;3;3;1;0;0;108;-0.92;48.10;61.11;44.44;26.85;14.81;3.70;12.96;22.22;32.41;38.89;89;0;0;0;2;3;1;0;2.78;3;Terciario
