Serie;Codigo_municipio;Nombre;sector
Municipios;1322;San Martín de la Vega;Terciario
Municipios;1343;San Sebastián de los Reyes;Terciario
Municipios;1356;Santa María de la Alameda;Terciario
Municipios;1369;Santorcaz;Terciario
Municipios;1375;Santos de la Humosa (Los);Terciario
Municipios;1381;Serna del Monte (La);Terciario
Municipios;1408;Serranillos del Valle;Terciario
Municipios;1415;Sevilla la Nueva;Terciario
Municipios;1436;Somosierra;Terciario
Municipios;1441;Soto del Real;Terciario
Municipios;1454;Talamanca de Jarama;Terciario
Municipios;1467;Tielmes;Terciario
Municipios;1473;Titulcia;Terciario
Municipios;1489;Torrejón de Ardoz;Terciario
Municipios;1505;Torrejón de Velasco;Terciario
Municipios;1492;Torrejón de la Calzada;Terciario
Municipios;1512;Torrelaguna;Terciario
Municipios;1527;Torrelodones;Terciario
Municipios;1533;Torremocha de Jarama;Secundario
Municipios;1548;Torres de la Alameda;Terciario
Municipios;9036;Tres Cantos;Terciario
Municipios;1551;Valdaracete;Terciario
Municipios;1564;Valdeavero;Terciario
Municipios;1570;Valdelaguna;Terciario
Municipios;1586;Valdemanco;Secundario
Municipios;1599;Valdemaqueda;Terciario
Municipios;1603;Valdemorillo;Terciario
Municipios;1610;Valdemoro;Terciario
Municipios;1625;Valdeolmos-Alalpardo;Terciario
Municipios;1631;Valdepiélagos;Terciario
Municipios;1646;Valdetorres de Jarama;Terciario
Municipios;1659;Valdilecha;Terciario
Municipios;1662;Valverde de Alcalá;Terciario
Municipios;1678;Velilla de San Antonio;Terciario
Municipios;1684;Vellón (El);Terciario
Municipios;1697;Venturada;Terciario
Municipios;1718;Villa del Prado;Terciario
Municipios;1701;Villaconejos;Terciario
Municipios;1723;Villalbilla;Terciario
Municipios;1739;Villamanrique de Tajo;Terciario
Municipios;1744;Villamanta;Terciario
Municipios;1757;Villamantilla;Terciario
Municipios;1782;Villanueva de Perales;Terciario
Municipios;1760;Villanueva de la Cañada;Terciario
Municipios;1776;Villanueva del Pardillo;Terciario
Municipios;1795;Villar del Olmo;Terciario
Municipios;1809;Villarejo de Salvanés;Secundario
Municipios;1816;Villaviciosa de Odón;Terciario
Municipios;1821;Villavieja del Lozoya;Terciario
Municipios;1837;Zarzalejo;Secundario
