superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;afiliados_30a49;afiliados_mayores_50;afiliados_menores_18;afiliados_menores_30;afiliados_total;porcentaje_30a49;porcentaje_mayores_50;porcentaje_menores_30;censo_0a4;censo_5a9;censo_10a14;censo_15a19;censo_20a24;censo_25a29;censo_30a34;censo_35a39;censo_40a44;censo_45a49;censo_50a54;censo_55a59;censo_60a64;censo_65a69;censo_70a74;censo_75a79;censo_80a84;censo_85a89;censo_90a94;censo_95a99;censo_100;censo_total;crecimiento_relativo_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;ocupados_total;paro_25_44;paro_mayores_25;paro_mayores_45;paro_menores_25;paro_100_habitantes;paro_registrado_total;porcentaje_mayores_25;porcentaje_menores_25;variacion_paro_registrado;sector
68.25;3;11;14;23;3;26;116;90;168;258;182;38.93;61.07;298;30.58;28;59;695;248;27;56;1937.01;0.76;1390.8;0.0;0.0;0.0;0.0;9;15;123;2088;23;31;242;146;321;225;0;109;655;49.01;34.35;16.64;66;81;101;102;100;108;102;120;136;144;122;169;172;134;107;105;88;78;38;15;0;2088;0.38;48.06;56.13;43.39;27.06;15.52;6.27;11.88;21.55;31.61;43.87;386;68;142;74;18;7.63;160;88.75;11.25;-13.04;Terciario
40.82;3;0;3;123;1;124;747;621;709;1330;710;51.27;48.73;1457;213.98;11;465;4414;30;1;29;798.29;0.01;797.23;0.0;0.0;0.0;0.0;4;42;271;7652;7;184;1444;804;1377;1256;1;444;3077;44.75;40.82;14.43;267;352;372;392;474;425;430;477;575;636;681;657;540;397;292;241;176;158;79;28;3;7652;1.66;43.94;50.81;33.6;17.96;8.95;3.5;12.95;24.27;35.44;49.19;2381;131;322;191;33;4.64;355;90.7;9.3;-5.33;Terciario
11.54;0;1;1;6;1;7;68;62;76;138;78;46.58;53.42;146;14.2;0;14;158;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;10;164;0;3;27;15;12;15;0;6;33;36.36;45.45;18.18;3;4;4;6;7;10;2;7;7;17;14;20;14;9;11;10;8;9;1;1;0;164;-1.2;52.73;69.51;50.61;29.88;17.68;6.71;6.71;14.63;21.95;30.49;86;1;11;10;2;7.93;13;84.62;15.38;18.18;Terciario
25.55;8;3;11;17;3;20;244;219;141;360;147;62.4;37.6;391;101.64;4;190;1078;5;0;3;306.7;0.0;297.71;0.0;0.0;0.0;0.0;1;23;115;2598;4;88;394;232;431;313;0;117;861;50.06;36.35;13.59;130;165;187;150;105;116;133;156;212;234;200;209;174;113;84;64;64;58;34;8;2;2598;3.59;41.94;47.88;31.18;16.44;8.85;3.93;18.55;28.37;37.95;52.12;612;55;137;82;10;5.65;147;93.2;6.8;1.38;Terciario
115.79;49;40;89;91;30;121;589;449;685;1134;755;43.82;56.18;1344;48.93;167;542;3008;383;12;9;4608.05;0.38;237.44;0.0;0.0;0.0;0.0;14;42;253;5670;105;136;1108;655;998;784;2;326;2108;47.34;37.19;15.46;201;269;297;279;275;280;324;368;476;433;494;425;422;329;257;205;150;104;62;19;1;5670;-0.05;44.59;51.16;34.81;19.88;9.54;3.28;13.53;23.3;33.95;48.84;1747;122;318;196;23;6.02;341;93.26;6.74;-3.13;Terciario
49.41;7;13;20;616;220;836;2138;1515;4343;5858;4576;31.84;68.16;6714;519.78;43;2566;16046;108;9;9;2361.62;0.2;246.19;0.0;0.0;0.0;0.0;12;204;1154;25672;39;610;3139;1815;4959;3309;1;1459;9727;50.98;34.02;15.0;1025;1339;1547;1444;1349;1397;1557;1716;2210;2462;2234;1873;1559;1183;847;717;469;451;210;71;12;25672;1.86;41.94;47.09;28.79;15.43;7.52;2.9;15.23;26.11;37.62;52.91;8878;591;1315;724;167;5.73;1482;88.73;11.27;-8.12;Terciario
20.79;3;1;4;89;49;138;545;453;369;822;419;56.54;43.46;964;370.11;22;469;3395;18;0;3;1343.35;0.0;39.47;0.0;0.0;0.0;0.0;1;39;189;7702;20;134;1426;772;1503;1163;0;465;3131;48.0;37.14;14.85;335;546;611;560;452;361;344;486;697;814;692;592;444;268;155;133;78;74;49;11;0;7702;2.37;38.48;42.98;23.42;9.97;4.48;1.74;19.37;32.51;41.66;57.02;1864;77;234;157;12;3.2;246;95.12;4.88;-0.4;Terciario
22.19;0;2;2;177;19;196;522;345;320;665;341;60.49;39.51;863;336.02;4;392;3228;18;2;17;573.58;0.02;572.56;0.0;0.0;0.0;0.0;4;56;295;7463;4;146;1416;772;1334;1244;0;416;2994;44.56;41.55;13.89;293;362;450;485;418;396;369;395;522;724;748;646;508;361;274;222;141;101;40;7;1;7463;0.11;42.33;50.56;30.83;15.37;6.86;2.0;14.81;26.91;37.16;49.44;1789;109;354;245;26;5.07;380;93.16;6.84;-9.74;Terciario
25.19;11;41;52;606;182;788;4268;3651;3371;7022;3594;54.29;45.71;7862;2627.28;66;2832;34533;7;1;5;605.48;0.05;602.41;0.0;0.0;0.0;0.0;26;398;2875;66260;34;1165;11004;6010;14555;10457;8;4599;29611;49.15;35.31;15.53;2501;3180;3656;3776;3901;4003;4323;4485;5268;5713;5547;5353;4336;3195;2492;1885;1142;939;416;131;18;66260;2.19;42.04;47.04;30.04;15.42;6.84;2.27;14.09;25.68;38.24;52.96;18403;1308;3299;1991;271;5.44;3570;92.41;7.59;-6.4;Terciario
182.88;26;6;32;1057;313;1370;3952;2869;3395;6264;3714;51.55;48.45;7666;301.13;158;5596;33632;165;12;161;13976.4;0.39;13613.71;0.0;0.0;1316.5;964.08;13;329;1724;55100;103;1047;8697;4813;12193;8039;4;3571;23803;51.22;33.77;15.0;2706;3231;3298;3167;3083;3034;3398;4126;4842;4807;4307;3959;3425;2347;1838;1374;850;742;418;132;16;55100;3.35;40.53;43.95;27.41;14.01;6.41;2.37;16.76;28.1;39.78;56.05;18846;829;2045;1216;137;3.95;2182;93.72;6.28;-7.31;Terciario
126.33;28;16;44;141;92;233;439;270;419;689;527;45.45;54.55;966;69.21;87;641;2649;501;17;22;7955.99;0.48;1165.52;0.0;0.0;0.0;0.0;11;138;354;8750;53;297;1159;729;1603;1069;1;535;3207;49.98;33.33;16.68;290;402;490;505;450;433;506;534;699;819;719;651;589;478;384;277;211;192;100;19;2;8750;2.21;43.98;50.75;33.18;19.01;9.15;3.58;13.51;24.42;35.15;49.25;1635;195;495;300;42;6.21;537;92.18;7.82;-6.93;Terciario
49.31;1;0;1;79;30;109;364;284;276;560;306;54.33;45.67;670;39.63;18;294;1843;16;1;13;2519.57;0.02;2405.17;0.0;0.0;0.0;0.0;0;13;88;1954;16;36;309;179;319;211;0;82;612;52.12;34.48;13.4;87;90;100;109;68;90;116;137;158;163;179;149;129;105;78;81;41;35;32;5;2;1954;0.77;44.33;51.13;33.62;19.4;10.03;3.79;14.18;23.23;33.78;48.87;1017;34;100;66;7;5.5;107;93.46;6.54;-7.76;Terciario
31.49;1;0;1;76;26;102;418;341;370;711;396;51.35;48.65;814;306.51;8;436;5300;7;0;7;1727.93;0.0;1727.93;0.0;0.0;0.0;0.0;1;48;373;9655;6;156;1405;778;1780;1580;1;658;4018;44.3;39.32;16.38;302;479;692;734;665;516;464;521;736;944;932;791;598;409;323;251;141;95;43;14;5;9655;1.16;40.79;47.08;27.65;13.27;5.69;1.63;15.26;29.75;39.9;52.92;2866;152;420;268;24;4.66;444;94.59;5.41;-7.69;Terciario
25.94;1;0;1;3;0;3;54;50;49;99;49;52.43;47.57;103;30.66;3;8;193;34;2;0;1327.01;0.03;0.0;0.0;0.0;0.0;0.0;1;6;34;796;3;8;67;38;171;74;0;26;271;63.1;27.31;9.59;35;56;45;45;25;27;53;65;89;83;44;48;47;40;35;17;13;18;10;1;0;796;3.11;41.86;44.72;28.77;16.83;7.41;3.64;17.09;25.88;35.93;55.28;101;18;42;24;0;5.26;42;100.0;0.0;-23.64;Terciario
12.02;17;0;17;1865;1320;3185;12237;10355;9944;20299;11264;52.07;47.93;23501;6662.18;25;8395;73602;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15;618;3144;80146;16;1845;12907;7230;21717;12272;5;5004;38993;55.69;31.47;12.83;2689;3318;3861;3765;3659;4036;4841;5374;6356;6984;5668;5320;6043;6091;5448;3519;1650;946;452;112;14;80146;-0.54;45.33;52.71;36.93;22.75;8.35;1.9;12.31;21.58;32.65;47.29;39876;1395;3680;2285;254;4.91;3934;93.54;6.46;-9.0;Terciario
12.89;4;1;5;153;119;272;1183;1026;1707;2733;1827;39.3;60.7;3010;527.67;9;761;2549;9;0;2;248.23;0.0;8.45;0.0;0.0;0.0;0.0;1;40;217;6807;7;213;917;548;1356;799;2;324;2479;54.7;32.23;13.07;323;480;583;549;321;221;301;451;736;800;558;424;297;220;167;117;90;81;68;17;3;6807;1.72;38.41;41.75;21.8;11.21;5.52;2.48;20.36;33.14;40.81;58.25;1537;96;240;144;34;4.02;274;87.59;12.41;3.79;Terciario
43.4;0;0;0;273;1696;1969;955;682;872;1554;2568;27.11;72.89;3523;244.04;21;2904;7680;30;3;3;4232.89;0.05;323.84;0.0;0.0;0.0;0.0;5;76;350;10601;19;343;1871;1057;2082;1819;0;713;4614;45.12;39.42;15.45;423;598;897;941;711;405;414;559;848;1226;1299;846;526;314;216;161;86;89;35;5;2;10601;-0.3;38.36;45.33;21.51;8.57;3.57;1.24;18.09;33.68;41.4;54.67;4645;105;414;309;42;4.3;456;90.79;9.21;-6.37;Terciario
68.81;6;11;17;87;10;97;955;862;836;1698;857;52.7;47.3;1812;246.7;33;398;7452;37;1;36;3485.26;0.01;3482.38;0.0;0.0;0.0;0.0;2;82;619;16978;31;265;3021;1637;3103;2619;1;914;6636;46.76;39.47;13.77;603;773;881;952;952;848;879;993;1251;1390;1336;1480;1327;1002;794;637;373;289;167;46;5;16978;1.46;44.39;52.1;36.05;19.51;8.94;2.99;13.29;24.51;34.68;47.9;3915;243;717;474;43;4.5;760;94.34;5.66;1.74;Terciario
79.13;295;73;368;24;14;38;442;123;95;218;182;70.83;29.17;624;18.3;46;74;2544;126;9;9;5375.96;0.2;96.57;0.0;0.0;0.0;0.0;4;15;69;1449;24;29;254;152;229;148;0;88;465;49.25;31.83;18.92;55;54;79;67;71;74;69;85;117;118;123;91;101;83;66;52;49;49;34;11;1;1449;2.91;46.56;53.69;37.06;23.81;13.53;6.56;12.97;22.5;32.37;46.31;1326;41;91;50;3;6.47;94;96.81;3.19;4.44;Terciario
28.34;0;1;1;23;1;24;61;38;65;103;67;47.66;52.34;128;63.3;5;70;605;18;1;18;908.95;0.05;907.9;0.0;0.0;0.0;0.0;1;24;86;1799;4;32;246;138;314;231;0;91;636;49.37;36.32;14.31;90;99;143;88;111;87;99;128;169;153;135;125;124;78;55;57;25;13;17;3;0;1799;1.01;40.15;43.64;27.63;13.79;6.39;1.83;18.45;29.52;39.86;56.36;335;45;114;69;7;6.76;121;94.21;5.79;-6.2;Terciario
31.75;1;0;1;19;5;24;39;19;34;53;39;50.0;50.0;78;78.92;6;111;614;9;1;2;2073.0;0.05;110.43;0.0;0.0;0.0;0.0;3;18;97;2508;5;56;262;156;417;291;0;96;804;51.87;36.19;11.94;104;157;190;158;111;91;124;183;238;260;258;166;108;98;84;98;40;26;12;2;0;2508;2.87;40.6;45.93;25.28;14.35;7.1;1.59;17.98;28.71;37.28;54.07;355;48;113;65;12;4.96;125;90.4;9.6;-19.35;Terciario
39.18;14;41;55;3819;3010;6829;16294;12461;11454;23915;14505;52.9;47.1;30799;4827.52;128;23199;105738;24;6;3;1332.18;0.3;388.67;67.81;40.68;409.31;490.91;57;1821;8499;189287;93;4846;29588;16673;46792;29641;10;13682;90115;51.92;32.89;15.18;6885;8873;10444;11191;10955;9761;10896;13140;15864;15603;15388;14159;13560;14234;8710;4716;2314;1578;767;222;27;189287;-0.49;42.46;48.22;31.85;17.21;5.08;1.37;13.84;25.54;36.46;51.78;60258;3997;10083;6086;1108;5.93;11191;90.1;9.9;-7.8;Terciario
33.15;5;1;6;191;63;254;576;380;248;628;312;64.86;35.14;888;218.87;26;1024;3987;21;0;4;2054.8;0.0;7.31;0.0;0.0;0.0;0.0;2;53;273;7260;22;370;1566;918;1470;1040;1;474;2984;49.26;34.85;15.88;288;370;430;475;442;375;425;490;606;657;638;565;443;320;264;200;114;95;43;18;2;7260;3.21;41.32;46.27;28.43;14.55;6.5;2.18;14.99;27.62;38.64;53.73;2322;123;323;200;29;4.9;352;91.76;8.24;-9.04;Terciario
60.18;27;3;30;27;19;46;117;63;51;114;73;61.58;38.42;190;37.52;60;127;838;57;6;1;3681.86;0.16;0.39;0.0;0.0;0.0;0.0;6;27;119;2260;27;54;308;190;350;233;0;112;695;50.36;33.53;16.12;94;101;112;116;103;113;137;134;202;193;165;171;166;140;118;76;44;42;26;7;0;2260;0.49;44.34;50.8;34.96;20.04;8.63;3.32;13.58;23.27;34.34;49.2;496;63;147;84;9;6.87;156;94.23;5.77;-18.75;Terciario
65.2;5;5;10;328;125;453;1451;1118;2407;3525;2537;36.38;63.62;3988;541.05;45;1118;12581;18;1;18;718.95;0.02;718.93;0.0;0.0;0.0;0.0;23;205;1272;35298;28;622;6401;3486;7214;6254;2;2472;15940;45.26;39.23;15.51;1360;1857;2155;2246;2211;2108;1970;2061;2549;3046;3045;2986;2549;1653;1214;974;594;430;224;59;7;35298;1.26;41.5;47.54;30.29;14.6;6.48;2.04;15.22;27.85;39.4;52.46;6819;545;1510;965;107;4.58;1617;93.38;6.62;-3.92;Terciario
40.33;0;2;2;5;1;6;17;12;21;33;24;41.46;58.54;41;10.38;8;60;304;23;3;23;1815.26;0.11;1812.45;0.0;0.0;0.0;0.0;2;2;18;419;7;24;76;51;67;52;0;21;140;47.86;37.14;15.0;13;14;13;15;18;20;29;27;28;46;36;34;36;34;21;14;14;2;4;1;0;419;5.81;46.88;57.76;38.19;21.48;8.35;1.67;9.55;17.42;29.12;42.24;178;4;21;17;1;5.24;22;95.45;4.55;10.0;Terciario
57.69;0;0;0;0;1;1;24;24;41;65;42;36.36;63.64;66;16.03;4;19;366;12;0;12;827.74;0.0;827.74;0.0;0.0;0.0;0.0;0;1;20;388;4;8;73;42;51;50;1;9;110;46.36;45.45;8.18;15;10;17;17;13;13;15;17;25;42;43;45;29;29;19;11;10;12;6;0;0;388;1.31;48.04;63.4;41.49;22.42;10.05;4.64;10.82;18.56;25.77;36.6;194;7;21;14;1;5.67;22;95.45;4.55;-18.52;Terciario
20.07;0;0;0;4;4;8;21;17;23;40;27;43.75;56.25;48;11.32;8;17;209;10;0;10;529.46;0.0;526.31;0.0;0.0;0.0;0.0;0;0;10;227;7;11;59;38;42;44;0;15;101;41.58;43.56;14.85;8;7;21;10;10;11;13;19;11;21;20;22;17;17;5;7;6;0;2;0;0;227;7.08;43.08;51.54;33.48;16.3;6.61;0.88;15.86;24.67;35.24;48.46;116;5;9;4;1;4.37;10;90.0;10.0;-23.08;Terciario
78.59;63;48;111;5973;4427;10400;27407;21371;35736;57107;40211;40.53;59.47;67618;2383.09;67;38450;158235;29;0;6;2713.24;0.0;342.07;1702.33;1074.3;334.13;118.42;36;1344;7136;187525;56;3281;26370;14522;44084;25574;8;11340;80998;54.43;31.57;14.0;8378;10142;10242;9680;9071;9012;10601;13397;16097;17731;15189;11629;9774;8266;9340;9591;4979;2937;1149;274;46;187525;1.3;43.09;48.48;30.92;19.51;10.12;2.35;15.34;25.34;35.8;51.52;90643;3352;8413;5061;753;4.93;9166;91.78;8.22;-6.48;Terciario
17.09;99;9;108;754;469;1223;1926;1073;685;1758;1163;62.35;37.65;3089;619.82;40;3468;11201;13;2;1;1458.62;0.04;743.95;0.0;0.0;0.0;0.0;3;55;325;10599;17;545;2529;1461;2061;1483;0;661;4205;49.01;35.27;15.72;368;569;729;722;620;496;486;623;914;1000;914;754;675;576;415;264;168;162;104;34;6;10599;0.89;41.93;47.85;29.8;16.31;6.96;2.89;15.72;28.38;37.65;52.15;6679;140;369;229;36;4.02;405;91.11;8.89;-10.99;Terciario
60.26;11;5;16;69;66;135;383;303;316;619;387;49.74;50.26;770;112.97;56;288;2535;68;7;68;3686.51;0.19;3646.66;0.0;0.0;0.0;0.0;3;38;284;6813;42;170;1044;616;1268;990;3;408;2666;47.56;37.13;15.3;306;343;397;427;393;320;372;406;557;653;673;530;406;319;240;183;135;100;40;11;2;6813;1.99;41.77;48.32;28.86;15.12;6.91;2.25;15.35;27.39;37.55;51.68;1419;130;332;202;18;5.14;350;94.86;5.14;-6.42;Terciario
57.18;4;2;6;148;44;192;1001;849;1836;2685;1882;34.72;65.28;2883;298.02;27;710;8531;43;1;43;1929.58;0.01;1929.54;0.0;0.0;0.0;0.0;7;75;610;17044;22;314;2852;1569;3215;2686;0;1009;6910;46.53;38.87;14.6;625;865;1026;1030;975;825;806;987;1307;1524;1533;1388;1082;814;728;565;423;299;171;59;12;17044;1.03;43.29;50.45;32.51;18.02;8.97;3.17;14.76;26.53;36.09;49.55;4564;260;670;410;57;4.26;727;92.16;7.84;-6.68;Terciario
17.16;0;0;0;3;0;3;20;17;15;32;15;57.14;42.86;35;4.31;0;12;158;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;2;74;0;1;35;18;3;4;0;0;7;42.86;57.14;0.0;3;2;0;1;3;1;2;5;4;4;8;5;12;7;9;2;4;1;1;0;0;74;-2.63;53.9;71.62;55.41;32.43;10.81;2.7;6.76;12.16;16.22;28.38;85;1;2;1;0;2.7;2;100.0;0.0;0.0;Terciario
21.2;4;1;5;8;0;8;38;26;33;59;34;52.78;47.22;72;11.03;6;19;269;8;1;8;493.96;0.01;491.45;0.0;0.0;0.0;0.0;1;0;5;234;6;3;53;31;27;25;0;8;60;45.0;41.67;13.33;9;11;11;7;7;15;13;18;24;25;18;16;13;19;15;7;3;2;1;0;0;234;17.59;44.38;50.85;32.48;20.09;5.56;1.28;13.25;19.23;31.2;49.15;147;4;8;4;0;3.42;8;100.0;0.0;-11.11;Terciario
23.83;0;0;0;0;0;0;25;25;25;50;25;50.0;50.0;50;4.53;3;19;156;4;0;4;404.84;0.0;395.8;0.0;0.0;0.0;0.0;0;0;3;108;3;4;23;15;15;14;0;6;35;42.86;40.0;17.14;5;2;7;3;7;6;5;3;4;7;11;10;9;8;5;9;3;3;1;0;0;108;-0.92;48.1;61.11;44.44;26.85;14.81;3.7;12.96;22.22;32.41;38.89;89;2;3;1;0;2.78;3;100.0;0.0;0.0;Terciario
45.23;1;7;8;43;4;47;299;255;236;491;247;54.76;45.24;546;198.3;9;187;4034;13;0;13;412.25;0.0;332.15;0.0;0.0;0.0;0.0;4;26;261;8971;7;118;1818;962;1543;1425;0;546;3514;43.91;40.55;15.54;302;440;552;528;571;550;478;491;620;768;753;795;715;451;330;256;158;107;78;27;1;8971;1.74;42.52;49.48;32.53;15.7;6.99;2.37;14.42;26.67;38.13;50.52;2102;88;290;202;13;3.38;303;95.71;4.29;-5.02;Terciario
19.66;3;33;36;1766;635;2401;3506;1737;1242;2979;1910;64.73;35.27;5416;1007.31;24;10590;20590;21;1;3;1110.61;0.04;3.03;98.85;118.59;499.23;1627.75;14;192;841;19834;22;2633;5819;3748;5065;2430;2;1132;8627;58.71;28.17;13.12;903;1240;1705;1321;1002;972;1168;1449;2208;2171;1481;1117;992;797;551;350;186;135;67;15;4;19834;0.36;38.03;39.66;21.25;10.61;3.82;1.11;19.4;31.11;41.9;60.34;13525;499;1053;554;116;5.87;1169;90.08;9.92;-7.88;Terciario
43.23;19;307;326;3924;1470;5394;17080;13137;16497;29634;18274;48.31;51.69;35354;4415.58;49;16810;126476;9;0;2;813.65;0.0;9.49;0.0;0.0;226.59;117.47;55;1334;7544;190974;30;3702;26428;14708;43953;26496;7;11449;81898;53.67;32.35;13.98;6671;8956;10297;10031;9444;9710;10280;11386;14963;18027;15102;12373;10824;9237;11702;10675;5999;3534;1407;297;59;190974;1.52;44.88;51.96;34.62;22.47;11.5;2.77;13.57;23.77;34.24;48.04;69270;3395;8805;5410;786;5.03;9591;91.8;8.2;-8.9;Terciario
44.32;0;0;0;580;461;1041;1137;557;551;1108;1012;52.91;47.09;2149;206.38;9;4435;7089;7;0;1;2110.5;0.0;3.5;0.0;0.0;0.0;0.0;9;95;353;9153;9;515;1750;1049;2047;1275;1;556;3878;52.78;32.88;14.34;409;560;632;662;481;449;527;738;851;1085;834;636;465;281;198;142;90;72;35;6;0;9153;1.76;38.41;42.0;21.03;9.0;3.77;1.23;17.49;29.98;40.64;58.0;4776;149;429;280;49;5.25;478;89.75;10.25;-7.72;Secundario
57.69;0;0;0;5;18;23;69;64;352;416;370;15.72;84.28;439;10.73;4;31;503;22;0;21;1509.12;0.0;1506.52;0.0;0.0;0.0;0.0;1;2;27;621;4;17;133;75;109;77;0;15;201;54.23;38.31;7.46;16;17;18;22;23;26;34;41;42;46;53;59;51;48;45;28;26;16;6;4;0;621;3.5;50.2;61.51;45.57;27.86;12.88;4.19;8.21;15.46;25.12;38.49;265;11;30;19;2;5.15;32;93.75;6.25;14.29;
51.43;5;0;5;28;1;29;164;131;211;342;212;43.62;56.38;376;28.62;7;120;1193;24;4;23;1513.26;0.12;1511.21;0.0;0.0;0.0;0.0;2;6;65;1473;7;48;300;173;210;170;0;69;449;46.77;37.86;15.37;49;70;95;72;74;65;67;86;120;169;129;109;83;72;50;59;38;36;25;4;1;1473;1.03;44.43;52.61;32.38;19.35;11.07;4.48;14.53;24.44;33.4;47.39;652;27;73;46;4;5.19;77;94.81;5.19;14.93;Terciario
8.55;0;0;0;53;12;65;262;209;238;447;250;51.17;48.83;512;8.41;1;14;126;5;0;5;945.25;0.0;908.09;0.0;0.0;0.0;0.0;0;0;1;72;1;3;19;11;11;15;0;3;29;37.93;51.72;10.34;2;1;4;4;0;7;1;5;4;7;6;9;2;6;3;1;6;3;1;0;0;72;14.29;49.27;61.11;43.06;27.78;15.28;5.56;9.72;15.28;26.39;38.89;70;0;1;1;0;1.39;1;100.0;0.0;0.0;Terciario
38.47;14;31;45;521;293;814;8588;8053;7392;15445;7716;52.67;47.33;16304;1892.26;68;2424;66414;8;0;4;1546.76;0.0;680.92;0.0;0.0;11.36;27.27;8;191;1711;72833;42;753;20263;10453;15543;11844;3;4513;31900;48.72;37.13;14.15;2940;3850;4746;5061;4583;3828;3620;4122;5024;6183;6005;5332;4324;3531;3453;2958;1660;983;486;128;16;72833;0.61;42.06;48.14;31.4;18.14;8.56;2.21;15.84;29.08;39.31;51.86;34209;612;1912;1300;65;2.73;1977;96.71;3.29;-8.34;Terciario
128.31;3;1;4;39;16;55;286;244;345;589;362;44.14;55.86;648;73.52;19;221;2754;19;1;19;5824.04;0.03;5495.23;0.0;0.0;0.0;0.0;2;43;380;9396;16;158;1438;798;1775;1382;1;425;3582;49.55;38.58;11.86;366;563;594;569;430;362;421;577;883;1099;947;727;566;375;329;234;175;108;54;17;0;9396;1.26;41.69;49.29;27.51;13.75;6.26;1.91;16.21;26.84;35.17;50.71;1486;141;409;268;24;4.61;433;94.46;5.54;-0.23;Terciario
34.93;7;5;12;920;853;1773;2550;1623;7762;9385;8620;22.83;77.17;11170;442.09;41;2844;14285;33;0;2;3819.25;0.0;1656.81;62.26;46.69;0.0;0.0;4;133;571;15451;13;505;2354;1373;2817;2000;1;956;5773;48.8;34.64;16.56;684;912;1058;1058;870;865;974;1095;1396;1587;1380;1206;918;566;361;236;120;109;47;9;0;15451;1.66;38.67;42.32;23.12;9.37;3.37;1.07;17.18;29.66;41.56;57.68;8030;271;678;407;65;4.82;743;91.25;8.75;-6.66;Terciario
17.93;0;0;0;719;204;923;1884;1165;1053;2218;1257;59.98;40.02;3141;1344.46;5;4241;11617;17;1;3;540.05;0.04;65.64;0.0;0.0;0.0;0.0;17;223;1019;24133;5;1160;3914;2378;5824;3341;1;1579;10744;54.21;31.1;14.7;935;1261;1505;1497;1332;1285;1405;1737;2340;2216;1863;1745;1497;1407;950;564;245;224;95;26;4;24133;1.5;40.94;44.9;28.0;14.57;4.8;1.45;15.34;27.06;38.2;55.1;7192;505;1198;693;128;5.46;1326;90.35;9.65;-9.18;Terciario
56.4;9;4;13;23;4;27;240;208;461;669;469;33.85;66.15;709;123.83;21;231;2298;25;2;25;2539.95;0.08;2527.95;0.0;0.0;0.0;0.0;3;50;280;6990;16;161;1057;605;1262;998;1;328;2588;48.76;38.56;12.67;247;336;429;432;355;314;383;443;603;690;644;584;503;315;234;199;142;88;45;4;0;6990;4.22;42.42;49.33;30.24;14.69;6.84;1.96;14.48;25.74;35.71;50.67;1255;107;332;225;24;5.13;356;93.26;6.74;-6.56;Terciario
50.19;8;0;8;73;18;91;408;327;509;836;527;43.64;56.36;935;194.8;27;284;2975;99;7;21;1674.35;0.26;247.0;0.0;0.0;0.0;0.0;1;71;380;9781;20;190;1253;715;1970;1182;1;491;3643;54.08;32.45;13.48;445;547;624;540;530;522;647;764;956;992;814;678;510;371;304;217;145;102;59;13;1;9781;3.65;40.01;43.0;24.54;12.39;5.49;1.79;16.52;27.46;39.41;57.0;1620;182;448;266;37;4.97;485;92.37;7.63;-1.42;Terciario
19.16;2;0;2;28;5;33;223;193;113;306;118;65.4;34.6;341;252.45;10;159;1819;28;1;28;771.21;0.02;771.19;0.0;0.0;0.0;0.0;3;32;154;4842;9;113;837;474;889;710;0;294;1893;46.96;37.51;15.53;153;168;216;263;311;268;315;261;315;345;384;455;416;294;201;180;135;94;52;15;1;4842;1.81;45.32;53.12;38.06;20.07;9.85;3.35;11.09;22.95;34.99;46.88;985;66;193;127;10;4.24;203;95.07;4.93;-9.38;Terciario
32.18;0;0;0;1;1;2;50;49;66;115;67;42.74;57.26;117;11.77;5;18;330;12;2;11;626.8;0.04;623.53;0.0;0.0;0.0;0.0;0;0;11;379;5;7;63;37;35;50;0;25;110;31.82;45.45;22.73;2;12;12;20;23;21;14;12;22;32;38;41;32;17;16;18;16;15;10;6;0;379;1.61;50.74;63.59;45.12;25.86;17.15;8.18;6.86;18.21;27.44;36.41;176;6;11;5;0;2.89;11;100.0;0.0;0.0;Terciario
31.17;1;0;1;313;147;460;615;301;151;452;298;67.36;32.64;913;176.53;11;1942;3735;25;3;8;2228.0;0.08;58.91;0.0;0.0;0.0;0.0;2;48;179;5506;10;502;1315;827;1163;769;2;402;2334;49.83;32.95;17.22;222;320;368;328;297;308;306;384;523;481;471;416;300;286;175;131;81;67;36;5;1;5506;1.53;40.67;44.5;27.21;14.2;5.83;1.98;16.53;27.88;39.03;55.5;2451;90;225;135;19;4.47;244;92.21;7.79;-7.58;Terciario
