superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;afiliados_30a49;afiliados_mayores_50;afiliados_menores_18;afiliados_menores_30;afiliados_total;porcentaje_30a49;porcentaje_mayores_50;porcentaje_menores_30;censo_0a4;censo_5a9;censo_10a14;censo_15a19;censo_20a24;censo_25a29;censo_30a34;censo_35a39;censo_40a44;censo_45a49;censo_50a54;censo_55a59;censo_60a64;censo_65a69;censo_70a74;censo_75a79;censo_80a84;censo_85a89;censo_90a94;censo_95a99;censo_100;censo_total;crecimiento_relativo_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;ocupados_total;paro_25_44;paro_mayores_25;paro_mayores_45;paro_menores_25;paro_100_habitantes;paro_registrado_total;porcentaje_mayores_25;porcentaje_menores_25;variacion_paro_registrado;sector
51.6;0;1;1;13;1;14;69;56;65;121;67;50.74;49.26;136;26.72;9;29;314;24;1;3;1822.3;0.04;866.98;0.0;0.0;0.0;0.0;0;8;49;690;7;17;102;62;93;95;0;20;208;44.71;45.67;9.62;30;33;33;28;19;27;25;46;56;67;72;65;47;29;30;22;24;28;8;1;0;690;4.55;46.53;56.96;36.81;20.58;12.03;5.36;13.91;20.72;28.26;43.04;175;17;55;38;2;8.33;57;96.49;3.51;18.75;Terciario
21.59;0;0;0;12;0;12;131;119;336;455;336;28.05;71.95;467;63.81;6;58;621;30;1;0;1455.15;0.01;0.0;0.0;0.0;0.0;0.0;0;4;51;1379;6;26;193;109;258;170;0;57;485;53.2;35.05;11.75;68;100;101;67;61;64;93;108;137;135;93;70;93;62;40;39;21;12;12;2;1;1379;1.62;39.7;42.06;25.53;13.71;6.31;1.96;19.51;28.79;40.17;57.94;332;24;50;26;9;4.28;59;84.75;15.25;-15.71;Terciario
189.01;55;76;131;755;1861;2616;7234;6424;10010;16434;11947;37.71;62.29;19181;322.45;160;6512;36921;189;11;23;10742.0;0.36;1002.53;0.0;0.0;0.0;0.0;67;486;2762;60998;98;795;8370;4557;10929;7130;4;3252;21311;51.28;33.46;15.26;2435;3267;3931;3735;3297;3269;3320;3894;4827;5557;4785;4385;3590;2991;2579;2131;1358;995;526;110;16;60998;1.43;42.2;47.58;30.63;17.55;8.42;2.7;15.79;27.32;38.12;52.42;20453;1420;3367;1947;309;6.06;3676;91.59;8.41;-8.28;Terciario
80.27;12;15;27;3719;1589;5308;8345;4614;4633;9247;6237;57.23;42.77;14582;729.87;93;18159;49921;170;10;14;2536.56;0.3;411.91;0.0;0.0;0.0;0.0;25;949;2448;58623;37;3086;10433;6265;13833;7530;8;3619;24982;55.37;30.14;14.49;2685;3420;3828;3395;2949;3103;3826;4492;5460;5742;4683;3877;3262;2576;2099;1440;863;545;290;77;11;58623;2.27;40.14;43.44;25.66;13.48;5.5;1.57;16.94;27.77;39.59;56.56;30375;1368;3380;2012;282;6.21;3662;92.3;7.7;-9.06;Terciario
20.78;0;0;0;622;140;762;4439;3817;2315;6132;2455;64.39;35.61;6894;1734.84;9;2326;22412;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;180;1022;36102;8;817;5910;3304;7687;3753;2;1762;13202;58.23;28.43;13.35;2253;3257;3220;2407;1600;1251;1643;2983;4535;4492;2829;1866;1207;986;700;452;213;131;60;14;3;36102;3.29;35.26;35.88;15.6;7.09;2.42;0.58;24.18;35.28;43.3;64.12;12222;504;1202;698;119;3.67;1321;90.99;9.01;-7.1;Terciario
28.43;0;0;0;2;1;3;95;93;76;169;77;55.23;44.77;172;3.66;0;14;184;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;10;104;0;3;11;7;11;22;0;1;34;32.35;64.71;2.94;0;4;3;7;4;6;1;2;9;6;18;14;7;6;3;4;3;6;1;0;0;104;-2.8;50.19;65.38;42.31;22.12;13.46;6.73;6.73;17.31;24.04;34.62;99;1;13;12;0;12.5;13;100.0;0.0;0.0;Terciario
21.36;0;0;0;24;2;26;132;108;162;270;164;44.59;55.41;296;87.98;3;90;674;5;1;4;190.99;0.02;103.15;0.0;0.0;0.0;0.0;1;15;60;1881;2;40;293;165;265;267;0;103;635;41.73;42.05;16.22;59;89;97;124;113;74;95;103;154;181;209;174;114;97;86;55;24;23;8;2;0;1881;2.34;43.03;51.73;30.99;15.68;5.95;1.75;13.02;25.62;34.61;48.27;378;23;73;50;4;4.11;77;94.81;5.19;-15.38;Terciario
29.64;4;0;4;75;23;98;355;276;363;639;386;47.91;52.09;741;211.29;9;205;2262;22;2;21;1358.1;0.05;1356.43;0.0;0.0;0.0;0.0;5;49;234;6267;7;133;1214;670;1136;957;0;342;2435;46.65;39.3;14.05;237;298;341;420;321;305;291;348;521;649;546;492;437;308;258;218;117;87;59;13;1;6267;1.34;43.12;50.82;31.75;16.93;7.9;2.55;13.98;25.8;35.31;49.18;1229;105;307;202;15;5.13;322;95.34;4.66;11.42;Terciario
24.07;2;7;9;25;6;31;166;139;347;486;360;31.56;68.44;526;76.46;10;116;659;142;5;5;1400.13;0.18;2.04;0.0;0.0;0.0;0.0;5;17;82;1842;9;87;220;142;367;225;0;90;682;53.81;32.99;13.2;77;93;105;96;87;88;121;149;170;143;144;114;123;108;75;59;36;30;19;4;1;1842;3.72;42.77;46.47;30.89;18.02;8.09;2.93;14.93;24.86;36.21;53.53;372;42;96;54;12;5.87;108;88.89;11.11;-6.9;Terciario
28.4;0;0;0;33;3;36;146;113;220;333;223;39.57;60.43;369;28.88;0;51;386;8;0;8;195.56;0.0;195.16;0.0;0.0;0.0;0.0;0;4;31;821;0;23;130;75;110;91;0;33;234;47.01;38.89;14.1;32;51;42;23;34;41;27;56;70;78;62;49;66;51;46;32;25;23;11;2;0;821;0.74;45.95;54.2;37.15;23.14;11.33;4.38;15.23;22.17;30.45;45.8;217;12;36;24;0;4.49;36;100.0;0.0;9.09;Terciario
