Serie;Codigo_municipio;Nombre;poblacion_censada_total
Municipios;1454;Talamanca de Jarama;4.012
Municipios;1467;Tielmes;2.736
Municipios;1473;Titulcia;1.341
Municipios;1489;Torrejón de Ardoz;132.853
Municipios;1505;Torrejón de Velasco;4.386
Municipios;1492;Torrejón de la Calzada;9.194
Municipios;1512;Torrelaguna;4.854
Municipios;1527;Torrelodones;23.902
Municipios;1533;Torremocha de Jarama;1.075
Municipios;1548;Torres de la Alameda;7.833
Municipios;9036;Tres Cantos;48.326
Municipios;1551;Valdaracete;605
Municipios;1564;Valdeavero;1.591
Municipios;1570;Valdelaguna;979
Municipios;1586;Valdemanco;963
Municipios;1599;Valdemaqueda;775
Municipios;1603;Valdemorillo;12.772
Municipios;1610;Valdemoro;77.270
Municipios;1625;Valdeolmos-Alalpardo;4.232
Municipios;1631;Valdepiélagos;614
Municipios;1646;Valdetorres de Jarama;4.581
Municipios;1659;Valdilecha;2.982
Municipios;1662;Valverde de Alcalá;498
Municipios;1678;Velilla de San Antonio;12.380
Municipios;1684;Vellón (El);2.004
Municipios;1697;Venturada;2.241
Municipios;1718;Villa del Prado;6.661
Municipios;1701;Villaconejos;3.422
Municipios;1723;Villalbilla;14.392
Municipios;1739;Villamanrique de Tajo;707
Municipios;1744;Villamanta;2.605
Municipios;1757;Villamantilla;1.482
Municipios;1782;Villanueva de Perales;1.592
Municipios;1760;Villanueva de la Cañada;22.115
Municipios;1776;Villanueva del Pardillo;17.396
Municipios;1795;Villar del Olmo;2.079
Municipios;1809;Villarejo de Salvanés;7.433
Municipios;1816;Villaviciosa de Odón;28.148
Municipios;1821;Villavieja del Lozoya;262
Municipios;1837;Zarzalejo;1.734
