Serie;Codigo_municipio;Nombre;unidades_productivas_primario_2020;unidades_productivas_primario_2021;unidades_productivas_primario_2022;unidades_productivas_primario_2023;unidades_productivas_secundario_2020;unidades_productivas_secundario_2021;unidades_productivas_secundario_2022;unidades_productivas_secundario_2023;unidades_productivas_terciario_2020;unidades_productivas_terciario_2021;unidades_productivas_terciario_2022;unidades_productivas_terciario_2023
Municipios;0552;Estremera;24;23;24;24;35;35;31;29;247;246;249;254
Municipios;0565;Fresnedillas de la Oliva;6;5;5;4;31;31;33;32;257;241;238;246
Municipios;0571;Fresno de Torote;5;5;7;5;61;60;53;56;270;255;241;262
Municipios;0587;Fuenlabrada;79;91;88;93;4943;4869;4929;4846;30111;29604;29919;29588
Municipios;0590;Fuente el Saz de Jarama;27;24;27;22;363;361;385;370;1539;1561;1603;1566
Municipios;0604;Fuentidueña de Tajo;26;26;27;27;44;49;59;54;295;307;319;308
Municipios;0611;Galapagar;36;32;33;28;551;576;617;622;6146;6062;6301;6401
Municipios;0626;Garganta de los Montes;6;7;7;7;24;23;24;24;81;73;76;76
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5;4;4;4;8;7;7;8;64;68;68;73
Municipios;0647;Gascones;7;6;7;7;5;8;9;11;54;63;65;59
Municipios;0650;Getafe;63;59;55;56;3127;3169;3252;3281;25537;25661;26454;26370
Municipios;0663;Griñón;18;18;15;17;545;559;564;545;2511;2529;2511;2529
Municipios;0679;Guadalix de la Sierra;43;40;37;42;158;163;174;170;965;984;1021;1044
Municipios;0685;Guadarrama;17;17;25;22;308;305;304;314;2766;2760;2825;2852
Municipios;0698;Hiruela (La);0;0;0;0;1;1;1;1;29;35;33;35
Municipios;0702;Horcajo de la Sierra-Aoslos;7;7;7;6;4;4;3;3;49;55;54;53
Municipios;0719;Horcajuelo de la Sierra;3;3;3;3;6;6;4;4;23;33;33;23
Municipios;0724;Hoyo de Manzanares;10;8;8;7;100;102;107;118;1709;1753;1823;1818
Municipios;0730;Humanes de Madrid;21;20;20;22;2744;2710;2710;2633;5800;5828;5885;5819
Municipios;0745;Leganés;35;43;38;30;3880;3874;3675;3702;26537;26302;26485;26428
Municipios;0758;Loeches;7;7;8;9;514;499;502;515;1711;1697;1740;1750
Municipios;0761;Lozoya;5;4;4;4;18;17;16;17;129;123;136;133
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5;5;7;7;44;49;46;48;284;294;297;300
Municipios;0783;Madarcos;1;2;3;1;3;3;3;3;19;24;21;19
Municipios;0796;Madrid;1499;1446;1520;1539;41056;40984;41987;43033;815868;805275;818258;823488
Municipios;0800;Majadahonda;37;37;41;42;698;700;737;753;19851;19594;20093;20263
Municipios;0822;Manzanares el Real;12;14;15;16;164;170;162;158;1382;1384;1459;1438
Municipios;0838;Meco;10;11;11;13;467;462;457;505;2195;2158;2307;2354
Municipios;0843;Mejorada del Campo;9;7;8;5;1140;1129;1177;1160;3884;3885;3916;3914
Municipios;0856;Miraflores de la Sierra;17;16;16;16;175;175;170;161;1045;1088;1078;1057
Municipios;0869;Molar (El);20;19;17;20;177;184;190;190;1237;1228;1245;1253
Municipios;0875;Molinos (Los);10;8;10;9;113;113;115;113;717;771;842;837
Municipios;0881;Montejo de la Sierra;7;7;7;5;10;8;7;7;80;76;73;63
Municipios;0894;Moraleja de Enmedio;13;11;10;10;520;507;496;502;1312;1303;1337;1315
Municipios;0908;Moralzarzal;15;11;13;12;225;230;239;239;2336;2349;2436;2449
Municipios;0915;Morata de Tajuña;53;50;59;56;174;166;174;182;1015;993;1010;1034
Municipios;0920;Móstoles;57;54;43;47;3383;3388;3377;3322;25078;24764;25017;24800
Municipios;0936;Navacerrada;1;1;0;0;67;61;58;59;708;746;719;721
Municipios;0941;Navalafuente;10;8;10;9;25;22;22;25;184;190;200;180
Municipios;0954;Navalagamella;13;12;13;12;34;40;41;37;331;326;332;330
Municipios;0967;Navalcarnero;40;47;43;43;755;776;781;780;4170;4263;4379;4411
Municipios;0973;Navarredonda y San Mamés;3;3;3;3;4;4;4;4;31;35;35;31
Municipios;0992;Navas del Rey;7;7;9;8;87;78;91;82;476;486;489;514
Municipios;1006;Nuevo Baztán;6;5;6;6;167;168;168;169;1016;1065;1116;1057
Municipios;1013;Olmeda de las Fuentes;4;4;6;6;10;6;8;7;107;110;102;95
Municipios;1028;Orusco de Tajuña;4;4;3;4;21;20;26;25;126;135;149;146
Municipios;1049;Paracuellos de Jarama;13;12;10;11;736;725;730;720;4751;4748;4998;4961
Municipios;1065;Parla;39;42;38;34;1848;1929;1956;1966;12726;12784;13041;13050
Municipios;1071;Patones;1;1;4;4;11;8;7;6;111;115;120;118
Municipios;1087;Pedrezuela;11;10;10;7;99;99;100;104;832;836;841;820
Municipios;1090;Pelayos de la Presa;4;4;4;1;83;91;95;98;460;471;514;509
Municipios;1104;Perales de Tajuña;11;10;11;11;90;87;88;93;398;418;421;424
Municipios;1111;Pezuela de las Torres;17;18;14;16;21;17;15;14;136;147;147;146
Municipios;1126;Pinilla del Valle;1;1;1;1;2;2;2;2;25;29;27;23
Municipios;1132;Pinto;25;25;24;24;1263;1253;1269;1258;8467;8280;8582;8557
Municipios;1147;Piñuécar-Gandullas;5;5;5;6;5;6;5;6;32;35;40;32
Municipios;1150;Pozuelo de Alarcón;63;61;65;67;959;967;944;971;30259;29946;30786;31017
Municipios;1163;Pozuelo del Rey;8;8;8;8;22;25;25;23;149;146;158;143
Municipios;1179;Prádena del Rincón;3;3;6;5;9;7;9;10;25;30;32;32
Municipios;1185;Puebla de la Sierra;2;1;1;1;1;1;1;1;15;20;18;20
Municipios;9020;Puentes Viejas;4;4;5;5;15;18;17;17;115;122;118;122
Municipios;1198;Quijorna;13;9;8;10;50;49;47;51;546;537;566;557
Municipios;1202;Rascafría;25;26;26;29;55;60;54;54;457;436;454;437
Municipios;1219;Redueña;4;3;3;2;6;6;5;5;99;96;97;92
Municipios;1224;Ribatejada;3;3;4;5;18;19;19;20;108;109;117;113
