Serie;Codigo_municipio;Nombre;afiliados_30a49_2020;afiliados_30a49_2021;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2020;afiliados_mayores_50_2021;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2020;afiliados_menores_18_2021;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2020;afiliados_menores_30_2021;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2020;afiliados_total_2021;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2020;porcentaje_30a49_2021;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2020;porcentaje_mayores_50_2021;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2020;porcentaje_menores_30_2021;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;0936;Navacerrada;579;561;568;579;389;416;451;471;0;0;0;1;121;117;124;145;1089;1094;1143;1195;53.17;51.28;49.69;48.45;35.72;38.03;39.46;39.41;11.11;10.69;10.85;12.13
Municipios;0941;Navalafuente;287;276;303;307;173;166;188;204;0;0;0;0;74;65;79;95;534;507;570;606;53.75;54.44;53.16;50.66;32.40;32.74;32.98;33.66;13.86;12.82;13.86;15.68
Municipios;0954;Navalagamella;491;465;494;500;285;318;319;369;0;0;0;0;146;133;151;144;922;916;964;1013;53.25;50.76;51.24;49.36;30.91;34.72;33.09;36.43;15.84;14.52;15.66;14.22
Municipios;0967;Navalcarnero;6344;6242;6468;6678;2911;3085;3396;3664;1;1;0;2;1593;1503;1697;1805;10848;10830;11561;12147;58.48;57.64;55.95;54.98;26.83;28.49;29.37;30.16;14.68;13.88;14.68;14.86
Municipios;0973;Navarredonda y San Mamés;7;12;14;14;19;19;22;19;0;0;0;0;4;6;5;5;30;37;41;38;23.33;32.43;34.15;36.84;63.33;51.35;53.66;50.00;13.33;16.22;12.20;13.16
Municipios;0992;Navas del Rey;525;531;556;558;272;283;291;319;0;0;0;0;150;132;156;165;947;946;1003;1042;55.44;56.13;55.43;53.55;28.72;29.92;29.01;30.61;15.84;13.95;15.55;15.83
Municipios;1006;Nuevo Baztán;1057;1032;1060;1072;886;900;945;1012;1;0;0;1;332;308;361;388;2275;2240;2366;2472;46.46;46.07;44.80;43.37;38.95;40.18;39.94;40.94;14.59;13.75;15.26;15.70
Municipios;1013;Olmeda de las Fuentes;87;79;78;71;44;48;52;51;0;0;0;0;9;11;11;12;140;138;141;134;62.14;57.25;55.32;52.99;31.43;34.78;36.88;38.06;6.43;7.97;7.80;8.96
Municipios;1028;Orusco de Tajuña;219;206;234;234;111;120;133;156;0;0;0;0;63;56;66;63;393;382;433;453;55.73;53.93;54.04;51.66;28.24;31.41;30.72;34.44;16.03;14.66;15.24;13.91
Municipios;1049;Paracuellos de Jarama;5985;5837;5942;5821;2452;2733;3111;3487;2;1;1;1;956;896;1031;1184;9393;9466;10084;10492;63.72;61.66;58.93;55.48;26.10;28.87;30.85;33.23;10.18;9.47;10.22;11.28
Municipios;1065;Parla;31567;30653;31290;31614;12227;12625;13730;14867;6;6;5;6;7699;6846;7796;8132;51493;50124;52816;54613;61.30;61.15;59.24;57.89;23.74;25.19;26.00;27.22;14.95;13.66;14.76;14.89
Municipios;1071;Patones;82;80;83;83;59;55;58;62;0;0;0;0;10;12;14;12;151;147;155;157;54.30;54.42;53.55;52.87;39.07;37.41;37.42;39.49;6.62;8.16;9.03;7.64
Municipios;1087;Pedrezuela;1314;1272;1281;1304;639;701;750;820;1;1;1;1;241;221;261;306;2194;2194;2292;2430;59.89;57.98;55.89;53.66;29.12;31.95;32.72;33.74;10.98;10.07;11.39;12.59
Municipios;1090;Pelayos de la Presa;413;403;423;453;255;259;281;299;0;0;1;0;125;109;142;141;793;771;846;893;52.08;52.27;50.00;50.73;32.16;33.59;33.22;33.48;15.76;14.14;16.78;15.79
Municipios;1104;Perales de Tajuña;592;569;590;566;318;353;370;399;0;0;0;0;147;138;172;178;1057;1060;1132;1143;56.01;53.68;52.12;49.52;30.09;33.30;32.69;34.91;13.91;13.02;15.19;15.57
Municipios;1111;Pezuela de las Torres;156;158;163;152;79;69;76;88;0;1;0;0;35;32;33;34;270;259;272;274;57.78;61.00;59.93;55.47;29.26;26.64;27.94;32.12;12.96;12.36;12.13;12.41
Municipios;1126;Pinilla del Valle;21;23;17;22;23;23;26;25;0;0;0;0;7;6;11;13;51;52;54;60;41.18;44.23;31.48;36.67;45.10;44.23;48.15;41.67;13.73;11.54;20.37;21.67
Municipios;1132;Pinto;12332;11920;12164;12236;5769;6025;6542;7059;2;0;3;3;2935;2646;2953;3185;21036;20591;21659;22480;58.62;57.89;56.16;54.43;27.42;29.26;30.20;31.40;13.95;12.85;13.63;14.17
Municipios;1147;Piñuécar0Gandullas;31;31;29;32;30;31;32;36;0;0;0;0;13;11;14;11;74;73;75;79;41.89;42.47;38.67;40.51;40.54;42.47;42.67;45.57;17.57;15.07;18.67;13.92
Municipios;1150;Pozuelo de Alarcón;17460;16996;17018;16995;13575;13989;14580;15283;1;1;2;4;5353;5069;5706;5998;36388;36054;37304;38276;47.98;47.14;45.62;44.40;37.31;38.80;39.08;39.93;14.71;14.06;15.30;15.67
Municipios;1163;Pozuelo del Rey;296;279;285;292;116;122;137;147;0;0;0;0;34;32;42;46;446;433;464;485;66.37;64.43;61.42;60.21;26.01;28.18;29.53;30.31;7.62;7.39;9.05;9.48
Municipios;1179;Prádena del Rincón;28;28;29;32;12;12;10;17;0;0;0;0;2;4;4;1;42;44;43;50;66.67;63.64;67.44;64.00;28.57;27.27;23.26;34.00;4.76;9.09;9.30;2.00
Municipios;1185;Puebla de la Sierra;17;14;14;12;4;4;5;7;0;0;0;0;1;1;0;0;22;19;19;19;77.27;73.68;73.68;63.16;18.18;21.05;26.32;36.84;4.55;5.26;0.00;0.00
Municipios;9020;Puentes Viejas;101;100;101;101;105;103;114;104;0;0;0;0;27;24;27;32;233;227;242;237;43.35;44.05;41.74;42.62;45.06;45.37;47.11;43.88;11.59;10.57;11.16;13.50
Municipios;1198;Quijorna;738;715;711;726;407;445;499;544;2;0;0;0;177;180;192;221;1322;1340;1402;1491;55.82;53.36;50.71;48.69;30.79;33.21;35.59;36.49;13.39;13.43;13.69;14.82
Municipios;1202;Rascafría;296;290;291;289;255;262;269;276;0;0;0;0;102;93;106;105;653;645;666;670;45.33;44.96;43.69;43.13;39.05;40.62;40.39;41.19;15.62;14.42;15.92;15.67
Municipios;1219;Redueña;61;62;55;53;29;36;40;42;0;0;0;0;9;5;12;17;99;103;107;112;61.62;60.19;51.40;47.32;29.29;34.95;37.38;37.50;9.09;4.85;11.21;15.18
Municipios;1224;Ribatejada;127;128;128;136;85;89;98;106;0;0;0;0;28;26;30;40;240;243;256;282;52.92;52.67;50.00;48.23;35.42;36.63;38.28;37.59;11.67;10.70;11.72;14.18
Municipios;1230;Rivas0Vaciamadrid;19367;19406;20220;20816;12522;12776;13434;14232;5;4;5;6;5663;5135;5815;6039;37552;37317;39469;41087;51.57;52.00;51.23;50.66;33.35;34.24;34.04;34.64;15.08;13.76;14.73;14.70
Municipios;1245;Robledillo de la Jara;15;12;14;12;7;8;8;10;0;0;0;0;3;2;3;9;25;22;25;31;60.00;54.55;56.00;38.71;28.00;36.36;32.00;32.26;12.00;9.09;12.00;29.03
Municipios;1258;Robledo de Chavela;671;661;695;697;485;502;559;589;0;1;0;1;164;157;178;217;1320;1320;1432;1503;50.83;50.08;48.53;46.37;36.74;38.03;39.04;39.19;12.42;11.89;12.43;14.44
Municipios;1261;Robregordo;9;8;9;14;3;4;3;2;0;0;0;0;1;1;2;0;13;13;14;16;69.23;61.54;64.29;87.50;23.08;30.77;21.43;12.50;7.69;7.69;14.29;0.00
Municipios;1277;Rozas de Madrid (Las);21097;20252;20308;20425;13448;14035;14922;15845;2;3;1;4;5292;4797;5533;5897;39837;39084;40763;42167;52.96;51.82;49.82;48.44;33.76;35.91;36.61;37.58;13.28;12.27;13.57;13.98
Municipios;1283;Rozas de Puerto Real;47;49;61;66;43;39;46;50;0;0;0;0;21;17;27;21;111;105;134;137;42.34;46.67;45.52;48.18;38.74;37.14;34.33;36.50;18.92;16.19;20.15;15.33
Municipios;1296;San Agustín del Guadalix;2942;2857;2847;2782;1815;1886;2006;2169;0;0;0;0;777;739;844;880;5534;5482;5697;5831;53.16;52.12;49.97;47.71;32.80;34.40;35.21;37.20;14.04;13.48;14.81;15.09
Municipios;1300;San Fernando de Henares;10160;9673;9563;9654;6533;6573;6750;6875;3;1;4;3;2928;2623;2936;2959;19621;18869;19249;19488;51.78;51.26;49.68;49.54;33.30;34.83;35.07;35.28;14.92;13.90;15.25;15.18
Municipios;1317;San Lorenzo de El Escorial;3533;3419;3458;3487;2658;2730;2862;2980;7;3;1;2;1073;946;1087;1145;7264;7095;7407;7612;48.64;48.19;46.69;45.81;36.59;38.48;38.64;39.15;14.77;13.33;14.68;15.04
Municipios;1338;San Martín de Valdeiglesias;1448;1400;1462;1475;937;966;1023;1055;2;2;1;1;419;354;415;447;2804;2720;2900;2977;51.64;51.47;50.41;49.55;33.42;35.51;35.28;35.44;14.94;13.01;14.31;15.02
Municipios;1322;San Martín de la Vega;4160;4057;4155;4204;2268;2327;2463;2628;0;1;2;0;1221;1111;1270;1325;7649;7495;7888;8157;54.39;54.13;52.67;51.54;29.65;31.05;31.22;32.22;15.96;14.82;16.10;16.24
Municipios;1343;San Sebastián de los Reyes;22609;21984;22235;22409;11953;12262;13030;13981;7;2;4;3;5677;5026;5640;6005;40239;39272;40905;42395;56.19;55.98;54.36;52.86;29.71;31.22;31.85;32.98;14.11;12.80;13.79;14.16
Municipios;1356;Santa María de la Alameda;218;210;226;221;170;175;179;193;1;0;0;0;66;57;59;72;454;442;464;486;48.02;47.51;48.71;45.47;37.44;39.59;38.58;39.71;14.54;12.90;12.72;14.81
Municipios;1369;Santorcaz;134;136;151;160;85;95;110;108;0;0;0;0;35;44;40;36;254;275;301;304;52.76;49.45;50.17;52.63;33.46;34.55;36.54;35.53;13.78;16.00;13.29;11.84
Municipios;1375;Santos de la Humosa (Los);527;532;538;525;202;224;233;251;0;0;0;0;98;90;99;99;827;846;870;875;63.72;62.88;61.84;60.00;24.43;26.48;26.78;28.69;11.85;10.64;11.38;11.31
Municipios;1381;Serna del Monte (La);13;14;15;13;19;21;20;19;0;0;0;0;2;4;6;5;34;39;41;37;38.24;35.90;36.59;35.14;55.88;53.85;48.78;51.35;5.88;10.26;14.63;13.51
Municipios;1408;Serranillos del Valle;845;818;832;854;544;571;597;645;0;0;0;0;235;238;249;291;1624;1627;1678;1790;52.03;50.28;49.58;47.71;33.50;35.10;35.58;36.03;14.47;14.63;14.84;16.26
Municipios;1415;Sevilla la Nueva;2193;2071;2068;2026;1116;1189;1295;1415;1;1;1;1;472;465;537;572;3781;3725;3900;4013;58.00;55.60;53.03;50.49;29.52;31.92;33.21;35.26;12.48;12.48;13.77;14.25
Municipios;1436;Somosierra;13;13;8;10;10;13;13;14;0;0;0;0;5;4;4;7;28;30;25;31;46.43;43.33;32.00;32.26;35.71;43.33;52.00;45.16;17.86;13.33;16.00;22.58
Municipios;1441;Soto del Real;1637;1568;1569;1613;1411;1417;1485;1577;0;0;0;0;555;495;567;559;3603;3480;3621;3749;45.43;45.06;43.33;43.02;39.16;40.72;41.01;42.06;15.40;14.22;15.66;14.91
Municipios;1454;Talamanca de Jarama;874;840;901;878;388;387;430;499;0;0;0;0;185;148;178;207;1447;1375;1509;1584;60.40;61.09;59.71;55.43;26.81;28.15;28.50;31.50;12.79;10.76;11.80;13.07
Municipios;1467;Tielmes;543;564;566;558;253;271;286;313;1;0;0;0;167;151;162;164;963;986;1014;1035;56.39;57.20;55.82;53.91;26.27;27.48;28.21;30.24;17.34;15.31;15.98;15.85
Municipios;1473;Titulcia;257;261;248;271;177;183;195;187;0;0;0;0;80;76;85;81;514;520;528;539;50.00;50.19;46.97;50.28;34.44;35.19;36.93;34.69;15.56;14.62;16.10;15.03
Municipios;1489;Torrejón de Ardoz;33802;32681;33340;33552;15489;15879;16930;17938;7;3;7;3;7930;7060;8262;8651;57221;55620;58532;60141;59.07;58.76;56.96;55.79;27.07;28.55;28.92;29.83;13.86;12.69;14.12;14.38
Municipios;1505;Torrejón de Velasco;905;875;915;936;490;532;600;653;0;0;0;1;261;226;255;267;1656;1633;1770;1856;54.65;53.58;51.69;50.43;29.59;32.58;33.90;35.18;15.76;13.84;14.41;14.39
Municipios;1492;Torrejón de la Calzada;1881;1865;1883;1955;979;1019;1086;1165;3;0;2;0;516;487;582;555;3376;3371;3551;3675;55.72;55.32;53.03;53.20;29.00;30.23;30.58;31.70;15.28;14.45;16.39;15.10
Municipios;1512;Torrelaguna;1002;966;969;975;572;604;671;707;0;0;0;0;281;266;299;292;1855;1836;1939;1974;54.02;52.61;49.97;49.39;30.84;32.90;34.61;35.82;15.15;14.49;15.42;14.79
Municipios;1527;Torrelodones;4275;4194;4252;4298;3632;3781;3992;4184;0;0;0;0;1332;1288;1438;1556;9239;9263;9682;10038;46.27;45.28;43.92;42.82;39.31;40.82;41.23;41.68;14.42;13.90;14.85;15.50
Municipios;1533;Torremocha de Jarama;135;125;135;139;99;105;107;112;0;1;1;0;40;39;51;49;274;269;293;300;49.27;46.47;46.08;46.33;36.13;39.03;36.52;37.33;14.60;14.50;17.41;16.33
Municipios;1548;Torres de la Alameda;1738;1714;1683;1660;932;958;1026;1065;1;2;2;1;446;420;496;520;3116;3092;3205;3245;55.78;55.43;52.51;51.16;29.91;30.98;32.01;32.82;14.31;13.58;15.48;16.02
Municipios;9036;Tres Cantos;9899;9809;10190;10506;7084;7170;7415;7690;1;2;1;0;3115;2796;3124;3248;20098;19775;20729;21444;49.25;49.60;49.16;48.99;35.25;36.26;35.77;35.86;15.50;14.14;15.07;15.15
Municipios;1551;Valdaracete;120;114;117;118;53;59;64;72;0;0;0;0;40;46;44;44;213;219;225;234;56.34;52.05;52.00;50.43;24.88;26.94;28.44;30.77;18.78;21.00;19.56;18.80
Municipios;1564;Valdeavero;322;313;320;319;128;134;131;160;0;0;0;0;64;69;78;88;514;516;529;567;62.65;60.66;60.49;56.26;24.90;25.97;24.76;28.22;12.45;13.37;14.74;15.52
Municipios;1570;Valdelaguna;126;120;129;132;65;73;86;86;0;0;0;0;29;24;25;22;220;217;240;240;57.27;55.30;53.75;55.00;29.55;33.64;35.83;35.83;13.18;11.06;10.42;9.17
Municipios;1586;Valdemanco;165;161;167;163;95;101;114;122;0;0;0;0;35;39;41;47;295;301;322;332;55.93;53.49;51.86;49.10;32.20;33.55;35.40;36.75;11.86;12.96;12.73;14.16
Municipios;1599;Valdemaqueda;132;132;141;128;92;91;105;117;0;0;0;0;32;30;35;31;256;253;281;276;51.56;52.17;50.18;46.38;35.94;35.97;37.37;42.39;12.50;11.86;12.46;11.23
Municipios;1603;Valdemorillo;2630;2567;2601;2574;1722;1884;2088;2250;1;0;0;0;721;636;751;771;5073;5087;5440;5595;51.84;50.46;47.81;46.01;33.94;37.04;38.38;40.21;14.21;12.50;13.81;13.78
Municipios;1610;Valdemoro;17152;16497;16640;16599;7801;8385;9300;10293;4;5;4;3;3977;3713;4307;4686;28930;28595;30247;31578;59.29;57.69;55.01;52.57;26.97;29.32;30.75;32.60;13.75;12.98;14.24;14.84
Municipios;1625;Valdeolmos0Alalpardo;846;824;850;888;482;492;531;582;1;1;1;1;224;194;225;247;1552;1510;1606;1717;54.51;54.57;52.93;51.72;31.06;32.58;33.06;33.90;14.43;12.85;14.01;14.39
Municipios;1631;Valdepiélagos;108;115;132;135;76;73;80;91;0;0;0;0;27;27;31;30;211;215;243;256;51.18;53.49;54.32;52.73;36.02;33.95;32.92;35.55;12.80;12.56;12.76;11.72
Municipios;1646;Valdetorres de Jarama;967;925;962;956;507;522;574;619;0;1;1;0;231;199;257;289;1705;1646;1793;1864;56.72;56.20;53.65;51.29;29.74;31.71;32.01;33.21;13.55;12.09;14.33;15.50
Municipios;1659;Valdilecha;618;631;645;638;313;324;342;367;0;0;0;1;185;168;189;200;1116;1123;1176;1205;55.38;56.19;54.85;52.95;28.05;28.85;29.08;30.46;16.58;14.96;16.07;16.60
Municipios;1662;Valverde de Alcalá;92;89;87;84;60;63;75;75;0;0;0;0;15;14;12;17;167;166;174;176;55.09;53.61;50.00;47.73;35.93;37.95;43.10;42.61;8.98;8.43;6.90;9.66
Municipios;1678;Velilla de San Antonio;2876;2830;2850;2923;1651;1711;1883;1984;2;2;2;1;860;799;927;965;5387;5340;5660;5872;53.39;53.00;50.35;49.78;30.65;32.04;33.27;33.79;15.96;14.96;16.38;16.43
Municipios;1684;Vellón (El);395;380;377;373;190;207;225;247;0;1;0;0;84;85;84;105;669;672;686;725;59.04;56.55;54.96;51.45;28.40;30.80;32.80;34.07;12.56;12.65;12.24;14.48
Municipios;1697;Venturada;344;322;335;330;303;336;367;399;0;0;0;0;115;91;111;125;762;749;813;854;45.14;42.99;41.21;38.64;39.76;44.86;45.14;46.72;15.09;12.15;13.65;14.64
Municipios;1718;Villa del Prado;1268;1305;1318;1361;760;812;862;908;0;2;2;1;422;406;441;456;2450;2523;2621;2725;51.76;51.72;50.29;49.94;31.02;32.18;32.89;33.32;17.22;16.09;16.83;16.73
Municipios;1701;Villaconejos;670;682;716;675;349;374;409;426;0;1;0;1;253;233;232;233;1272;1289;1357;1334;52.67;52.91;52.76;50.60;27.44;29.01;30.14;31.93;19.89;18.08;17.10;17.47
Municipios;1723;Villalbilla;3111;3090;3306;3474;1565;1620;1773;1917;2;2;4;4;702;628;712;785;5378;5338;5791;6176;57.85;57.89;57.09;56.25;29.10;30.35;30.62;31.04;13.05;11.76;12.29;12.71
Municipios;1739;Villamanrique de Tajo;122;130;130;124;67;72;82;80;0;0;0;0;26;36;33;39;215;238;245;243;56.74;54.62;53.06;51.03;31.16;30.25;33.47;32.92;12.09;15.13;13.47;16.05
Municipios;1744;Villamanta;471;454;479;492;259;268;298;334;0;0;0;0;137;132;157;164;867;854;934;990;54.33;53.16;51.28;49.70;29.87;31.38;31.91;33.74;15.80;15.46;16.81;16.57
Municipios;1757;Villamantilla;308;300;302;291;147;155;187;224;0;0;0;0;43;39;62;63;498;494;551;578;61.85;60.73;54.81;50.35;29.52;31.38;33.94;38.75;8.63;7.89;11.25;10.90
Municipios;1782;Villanueva de Perales;332;296;297;305;204;219;236;252;0;0;0;1;87;70;88;107;623;585;621;664;53.29;50.60;47.83;45.93;32.74;37.44;38.00;37.95;13.96;11.97;14.17;16.11
Municipios;1760;Villanueva de la Cañada;4170;4155;4270;4284;2959;3058;3277;3460;0;0;1;0;1394;1276;1416;1514;8523;8489;8963;9258;48.93;48.95;47.64;46.27;34.72;36.02;36.56;37.37;16.36;15.03;15.80;16.35
Municipios;1776;Villanueva del Pardillo;4102;3914;3856;3750;2246;2448;2700;3036;1;1;0;0;936;863;993;1097;7284;7225;7549;7883;56.32;54.17;51.08;47.57;30.83;33.88;35.77;38.51;12.85;11.94;13.15;13.92
Municipios;1795;Villar del Olmo;487;482;516;530;349;358;394;418;0;1;0;0;156;133;151;158;992;973;1061;1106;49.09;49.54;48.63;47.92;35.18;36.79;37.13;37.79;15.73;13.67;14.23;14.29
Municipios;1809;Villarejo de Salvanés;1543;1560;1595;1615;827;809;853;904;5;4;2;0;509;470;482;475;2879;2839;2930;2994;53.59;54.95;54.44;53.94;28.73;28.50;29.11;30.19;17.68;16.56;16.45;15.87
Municipios;1816;Villaviciosa de Odón;5647;5512;5584;5540;3933;4027;4198;4384;1;2;0;1;1678;1478;1668;1769;11258;11017;11450;11693;50.16;50.03;48.77;47.38;34.94;36.55;36.66;37.49;14.90;13.42;14.57;15.13
Municipios;1821;Villavieja del Lozoya;29;27;31;31;44;42;42;48;0;0;0;1;17;21;17;21;90;90;90;100;32.22;30.00;34.44;31.00;48.89;46.67;46.67;48.00;18.89;23.33;18.89;21.00
Municipios;1837;Zarzalejo;301;295;292;280;203;218;224;252;0;0;0;0;64;54;64;76;568;567;580;608;52.99;52.03;50.34;46.05;35.74;38.45;38.62;41.45;11.27;9.52;11.03;12.50
