Serie;Codigo_municipio;Nombre;afiliados_30a49_2020;afiliados_30a49_2021;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2020;afiliados_mayores_50_2021;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2020;afiliados_menores_18_2021;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2020;afiliados_menores_30_2021;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2020;afiliados_total_2021;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2020;porcentaje_30a49_2021;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2020;porcentaje_mayores_50_2021;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2020;porcentaje_menores_30_2021;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;0112;Ambite;95;90;99;93;91;91;93;95;0;0;0;0;17;15;17;20;203;196;209;208;46.80;45.92;47.37;44.71;44.83;46.43;44.50;45.67;8.37;7.65;8.13;9.62
Municipios;0127;Anchuelo;263;257;264;258;142;140;155;170;0;0;0;0;52;36;38;57;457;433;457;485;57.55;59.35;57.77;53.20;31.07;32.33;33.92;35.05;11.38;8.31;8.32;11.75
Municipios;0133;Aranjuez;10961;10729;10865;10929;6125;6355;6772;7130;4;3;4;4;2905;2756;3087;3252;19991;19840;20724;21311;54.83;54.08;52.43;51.28;30.64;32.03;32.68;33.46;14.53;13.89;14.90;15.26
Municipios;0148;Arganda del Rey;13970;13566;13934;13833;6375;6604;7055;7530;4;5;8;8;3436;3088;3444;3619;23781;23258;24433;24982;58.74;58.33;57.03;55.37;26.81;28.39;28.87;30.14;14.45;13.28;14.10;14.49
Municipios;0151;Arroyomolinos;7300;7310;7491;7687;2778;2962;3337;3753;2;1;2;2;1443;1319;1603;1762;11521;11591;12431;13202;63.36;63.07;60.26;58.23;24.11;25.55;26.84;28.43;12.52;11.38;12.90;13.35
Municipios;0164;Atazar (El);19;17;16;11;25;24;24;22;0;0;0;0;1;3;2;1;45;44;42;34;42.22;38.64;38.10;32.35;55.56;54.55;57.14;64.71;2.22;6.82;4.76;2.94
Municipios;0170;Batres;261;265;278;265;221;239;253;267;0;0;0;0;68;79;87;103;550;583;618;635;47.45;45.45;44.98;41.73;40.18;40.99;40.94;42.05;12.36;13.55;14.08;16.22
Municipios;0186;Becerril de la Sierra;1124;1114;1142;1136;766;797;861;957;2;1;0;0;306;272;333;342;2196;2183;2336;2435;51.18;51.03;48.89;46.65;34.88;36.51;36.86;39.30;13.93;12.46;14.26;14.05
Municipios;0199;Belmonte de Tajo;345;348;355;367;214;220;231;225;0;1;0;0;90;102;86;90;649;670;672;682;53.16;51.94;52.83;53.81;32.97;32.84;34.38;32.99;13.87;15.22;12.80;13.20
Municipios;0210;Berrueco (El);108;109;118;110;83;82;86;91;0;0;0;0;28;26;29;33;219;217;233;234;49.32;50.23;50.64;47.01;37.90;37.79;36.91;38.89;12.79;11.98;12.45;14.10
Municipios;0203;Berzosa del Lozoya;27;22;21;25;26;30;28;27;0;0;0;0;5;7;8;7;58;59;57;59;46.55;37.29;36.84;42.37;44.83;50.85;49.12;45.76;8.62;11.86;14.04;11.86
Municipios;0225;Boadilla del Monte;11120;10834;11141;11264;7529;8177;9081;9999;2;3;2;2;2688;2549;3074;3315;21337;21560;23296;24578;52.12;50.25;47.82;45.83;35.29;37.93;38.98;40.68;12.60;11.82;13.20;13.49
Municipios;0231;Boalo (El);1696;1664;1647;1606;1018;1069;1191;1284;1;3;1;0;319;285;339;347;3033;3018;3177;3237;55.92;55.14;51.84;49.61;33.56;35.42;37.49;39.67;10.52;9.44;10.67;10.72
Municipios;0246;Braojos;37;37;35;37;53;52;55;54;0;0;0;0;13;13;19;14;103;102;109;105;35.92;36.27;32.11;35.24;51.46;50.98;50.46;51.43;12.62;12.75;17.43;13.33
Municipios;0259;Brea de Tajo;81;75;73;75;80;80;76;69;0;0;0;1;31;25;28;31;192;180;177;175;42.19;41.67;41.24;42.86;41.67;44.44;42.94;39.43;16.15;13.89;15.82;17.71
Municipios;0262;Brunete;2401;2279;2358;2287;1390;1474;1573;1656;0;0;0;0;618;597;641;746;4409;4350;4572;4689;54.46;52.39;51.57;48.77;31.53;33.89;34.41;35.32;14.02;13.72;14.02;15.91
Municipios;0278;Buitrago del Lozoya;421;396;399;398;280;288;304;300;1;0;0;0;131;127;135;130;832;811;838;828;50.60;48.83;47.61;48.07;33.65;35.51;36.28;36.23;15.75;15.66;16.11;15.70
Municipios;0284;Bustarviejo;509;497;530;527;318;342;352;369;0;0;0;0;94;92;84;96;921;931;966;992;55.27;53.38;54.87;53.13;34.53;36.73;36.44;37.20;10.21;9.88;8.70;9.68
Municipios;0297;Cabanillas de la Sierra;153;151;156;165;122;120;132;131;0;0;0;0;34;28;32;41;309;299;320;337;49.51;50.50;48.75;48.96;39.48;40.13;41.25;38.87;11.00;9.36;10.00;12.17
Municipios;0301;Cabrera (La);538;521;538;532;379;369;386;421;1;1;2;1;155;144;164;158;1072;1034;1088;1111;50.19;50.39;49.45;47.88;35.35;35.69;35.48;37.89;14.46;13.93;15.07;14.22
Municipios;0318;Cadalso de los Vidrios;508;524;530;524;307;317;332;343;0;0;0;0;162;142;168;171;977;983;1030;1038;52.00;53.31;51.46;50.48;31.42;32.25;32.23;33.04;16.58;14.45;16.31;16.47
Municipios;0323;Camarma de Esteruelas;1556;1499;1502;1523;794;857;941;987;0;0;0;0;339;319;387;390;2689;2675;2830;2900;57.87;56.04;53.07;52.52;29.53;32.04;33.25;34.03;12.61;11.93;13.67;13.45
Municipios;0339;Campo Real;1506;1493;1497;1487;686;731;778;845;1;0;0;1;361;333;345;368;2553;2557;2620;2700;58.99;58.39;57.14;55.07;26.87;28.59;29.69;31.30;14.14;13.02;13.17;13.63
Municipios;0344;Canencia;57;47;45;42;68;74;73;69;0;0;0;0;12;13;24;22;137;134;142;133;41.61;35.07;31.69;31.58;49.64;55.22;51.41;51.88;8.76;9.70;16.90;16.54
Municipios;0357;Carabaña;414;424;455;428;181;196;214;254;0;0;0;0;97;95;102;117;692;715;771;799;59.83;59.30;59.01;53.57;26.16;27.41;27.76;31.79;14.02;13.29;13.23;14.64
Municipios;0360;Casarrubuelos;790;747;773;794;368;418;443;478;0;0;0;0;193;204;206;226;1351;1369;1422;1498;58.48;54.57;54.36;53.00;27.24;30.53;31.15;31.91;14.29;14.90;14.49;15.09
Municipios;0376;Cenicientos;328;319;319;321;200;208;208;225;0;0;0;0;116;112;117;109;644;639;644;655;50.93;49.92;49.53;49.01;31.06;32.55;32.30;34.35;18.01;17.53;18.17;16.64
