Serie;Codigo_municipio;Nombre;contratos_indefinidos_2020;contratos_indefinidos_2021;contratos_indefinidos_2022;contratos_indefinidos_2023;contratos_temp_2020;contratos_temp_2021;contratos_temp_2022;contratos_temp_2023;porcentaje_indefinidos_2020;porcentaje_indefinidos_2021;porcentaje_indefinidos_2022;porcentaje_indefinidos_2023;porcentaje_temp_2020;porcentaje_temp_2021;porcentaje_temp_2022;porcentaje_temp_2023;total_registrados_2020;total_registrados_2021;total_registrados_2022;total_registrados_2023
Municipios;0246;Braojos;65;40;92;;106;144;71;;38.01;21.74;56.44;;61.99;78.26;43.56;;171;184;163;
Municipios;0259;Brea de Tajo;20;78;151;;193;274;149;;9.39;22.16;50.33;;90.61;77.84;49.67;;213;352;300;
Municipios;0262;Brunete;254;285;973;;1074;1598;809;;19.13;15.14;54.60;;80.87;84.86;45.40;;1328;1883;1782;
Municipios;0278;Buitrago del Lozoya;70;111;213;;893;1098;582;;7.27;9.18;26.79;;92.73;90.82;73.21;;963;1209;795;
Municipios;0284;Bustarviejo;203;148;313;;314;468;178;;39.26;24.03;63.75;;60.74;75.97;36.25;;517;616;491;
Municipios;0297;Cabanillas de la Sierra;12;63;139;;104;146;106;;10.34;30.14;56.73;;89.66;69.86;43.27;;116;209;245;
Municipios;0301;Cabrera (La);86;110;250;;288;431;320;;22.99;20.33;43.86;;77.01;79.67;56.14;;374;541;570;
Municipios;0318;Cadalso de los Vidrios;114;106;290;;610;575;338;;15.75;15.57;46.18;;84.25;84.43;53.82;;724;681;628;
Municipios;0323;Camarma de Esteruelas;204;269;718;;2140;2898;1038;;8.70;8.49;40.89;;91.30;91.51;59.11;;2344;3167;1756;
Municipios;0339;Campo Real;182;256;597;;955;851;677;;16.01;23.13;46.86;;83.99;76.87;53.14;;1137;1107;1274;
Municipios;0344;Canencia;23;60;201;;264;298;107;;8.01;16.76;65.26;;91.99;83.24;34.74;;287;358;308;
Municipios;0357;Carabaña;38;44;156;;152;486;365;;20.00;8.30;29.94;;80.00;91.70;70.06;;190;530;521;
Municipios;0360;Casarrubuelos;117;197;847;;1916;1899;1075;;5.76;9.40;44.07;;94.24;90.60;55.93;;2033;2096;1922;
Municipios;0376;Cenicientos;36;82;296;;446;271;182;;7.47;23.23;61.92;;92.53;76.77;38.08;;482;353;478;
Municipios;0382;Cercedilla;147;253;655;;1123;1554;1097;;11.57;14.00;37.39;;88.43;86.00;62.61;;1270;1807;1752;
Municipios;0395;Cervera de Buitrago;10;30;78;;74;90;175;;11.90;25.00;30.83;;88.10;75.00;69.17;;84;120;253;
Municipios;0513;Chapinería;49;55;268;;244;369;211;;16.72;12.97;55.95;;83.28;87.03;44.05;;293;424;479;
Municipios;0528;Chinchón;140;164;688;;1750;2119;1327;;7.41;7.18;34.14;;92.59;92.82;65.86;;1890;2283;2015;
Municipios;0409;Ciempozuelos;797;1011;2183;;7094;7865;5906;;10.10;11.39;26.99;;89.90;88.61;73.01;;7891;8876;8089;
Municipios;0416;Cobeña;178;218;578;;660;985;621;;21.24;18.12;48.21;;78.76;81.88;51.79;;838;1203;1199;
Municipios;0468;Collado Mediano;202;277;580;;534;632;391;;27.45;30.47;59.73;;72.55;69.53;40.27;;736;909;971;
Municipios;0474;Collado Villalba;1473;1817;4875;;6173;8092;4626;;19.26;18.34;51.31;;80.74;81.66;48.69;;7646;9909;9501;
Municipios;0455;Colmenar Viejo;1276;1768;4368;;7506;7382;4825;;14.53;19.32;47.51;;85.47;80.68;52.49;;8782;9150;9193;
Municipios;0437;Colmenar de Oreja;103;186;492;;776;960;579;;11.72;16.23;45.94;;88.28;83.77;54.06;;879;1146;1071;
Municipios;0421;Colmenar del Arroyo;67;98;314;;360;440;632;;15.69;18.22;33.19;;84.31;81.78;66.81;;427;538;946;
Municipios;0442;Colmenarejo;99;197;510;;722;1034;499;;12.06;16.00;50.55;;87.94;84.00;49.45;;821;1231;1009;
Municipios;0480;Corpa;7;7;52;;35;103;47;;16.67;6.36;52.53;;83.33;93.64;47.47;;42;110;99;
Municipios;0493;Coslada;3236;4298;10713;;25974;31644;22967;;11.08;11.96;31.81;;88.92;88.04;68.19;;29210;35942;33680;
Municipios;0506;Cubas de la Sagra;391;1337;659;;534;716;494;;42.27;65.12;57.16;;57.73;34.88;42.84;;925;2053;1153;
Municipios;0534;Daganzo de Arriba;330;381;1182;;2630;4706;2893;;11.15;7.49;29.01;;88.85;92.51;70.99;;2960;5087;4075;
Municipios;0549;Escorial (El);270;340;974;;1204;1532;1142;;18.32;18.16;46.03;;81.68;81.84;53.97;;1474;1872;2116;
Municipios;0552;Estremera;36;65;518;;650;655;155;;5.25;9.03;76.97;;94.75;90.97;23.03;;686;720;673;
Municipios;0565;Fresnedillas de la Oliva;10;11;56;;103;109;75;;8.85;9.17;42.75;;91.15;90.83;57.25;;113;120;131;
Municipios;0571;Fresno de Torote;13;26;46;;86;106;78;;13.13;19.70;37.10;;86.87;80.30;62.90;;99;132;124;
Municipios;0587;Fuenlabrada;5335;6043;16597;;31104;42427;23901;;14.64;12.47;40.98;;85.36;87.53;59.02;;36439;48470;40498;
Municipios;0590;Fuente el Saz de Jarama;199;209;625;;532;923;1082;;27.22;18.46;36.61;;72.78;81.54;63.39;;731;1132;1707;
Municipios;0604;Fuentidueña de Tajo;37;52;152;;349;404;139;;9.59;11.40;52.23;;90.41;88.60;47.77;;386;456;291;
Municipios;0611;Galapagar;536;736;1568;;2069;2282;1384;;20.58;24.39;53.12;;79.42;75.61;46.88;;2605;3018;2952;
Municipios;0626;Garganta de los Montes;4;11;13;;24;35;23;;14.29;23.91;36.11;;85.71;76.09;63.89;;28;46;36;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;7;4;52;;28;69;59;;20.00;5.48;46.85;;80.00;94.52;53.15;;35;73;111;
Municipios;0647;Gascones;12;23;36;;26;44;14;;31.58;34.33;72.00;;68.42;65.67;28.00;;38;67;50;
Municipios;0650;Getafe;6567;8877;25722;;57423;74862;52813;;10.26;10.60;32.75;;89.74;89.40;67.25;;63990;83739;78535;
Municipios;0663;Griñón;578;740;2026;;1836;2334;1300;;23.94;24.07;60.91;;76.06;75.93;39.09;;2414;3074;3326;
Municipios;0679;Guadalix de la Sierra;350;143;354;;570;910;760;;38.04;13.58;31.78;;61.96;86.42;68.22;;920;1053;1114;
Municipios;0685;Guadarrama;380;487;1346;;1818;2450;1929;;17.29;16.58;41.10;;82.71;83.42;58.90;;2198;2937;3275;
Municipios;0698;Hiruela (La);1;9;23;;26;37;28;;3.70;19.57;45.10;;96.30;80.43;54.90;;27;46;51;
Municipios;0702;Horcajo de la Sierra0Aoslos;3;16;37;;52;34;38;;5.45;32.00;49.33;;94.55;68.00;50.67;;55;50;75;
Municipios;0719;Horcajuelo de la Sierra;11;44;99;;113;203;173;;8.87;17.81;36.40;;91.13;82.19;63.60;;124;247;272;
Municipios;0724;Hoyo de Manzanares;120;136;416;;492;537;772;;19.61;20.21;35.02;;80.39;79.79;64.98;;612;673;1188;
Municipios;0730;Humanes de Madrid;1284;1639;3631;;4282;5362;3156;;23.07;23.41;53.50;;76.93;76.59;46.50;;5566;7001;6787;
Municipios;0745;Leganés;4912;6668;17459;;25240;30840;18540;;16.29;17.78;48.50;;83.71;82.22;51.50;;30152;37508;35999;
Municipios;0758;Loeches;367;518;1328;;2292;3252;1594;;13.80;13.74;45.45;;86.20;86.26;54.55;;2659;3770;2922;
Municipios;0761;Lozoya;18;24;94;;667;632;369;;2.63;3.66;20.30;;97.37;96.34;79.70;;685;656;463;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;45;62;149;;207;320;256;;17.86;16.23;36.79;;82.14;83.77;63.21;;252;382;405;
Municipios;0783;Madarcos;93;107;280;;430;312;215;;17.78;25.54;56.57;;82.22;74.46;43.43;;523;419;495;
Municipios;0796;Madrid;206214;292869;699901;;862118;1128857;847350;;19.30;20.60;45.24;;80.70;79.40;54.76;;1068332;1421726;1547251;
Municipios;0800;Majadahonda;3067;3818;9458;;9748;13182;8338;;23.93;22.46;53.15;;76.07;77.54;46.85;;12815;17000;17796;
Municipios;0822;Manzanares el Real;91;129;246;;490;561;400;;15.66;18.70;38.08;;84.34;81.30;61.92;;581;690;646;
Municipios;0838;Meco;646;928;2207;;7116;10427;8008;;8.32;8.17;21.61;;91.68;91.83;78.39;;7762;11355;10215;
Municipios;0843;Mejorada del Campo;661;741;1696;;2651;3097;1850;;19.96;19.31;47.83;;80.04;80.69;52.17;;3312;3838;3546;
Municipios;0856;Miraflores de la Sierra;81;114;224;;550;672;389;;12.84;14.50;36.54;;87.16;85.50;63.46;;631;786;613;
Municipios;0869;Molar (El);96;159;457;;454;613;303;;17.45;20.60;60.13;;82.55;79.40;39.87;;550;772;760;
Municipios;0875;Molinos (Los);86;78;187;;221;340;149;;28.01;18.66;55.65;;71.99;81.34;44.35;;307;418;336;
Municipios;0881;Montejo de la Sierra;17;21;30;;84;104;107;;16.83;16.80;21.90;;83.17;83.20;78.10;;101;125;137;
Municipios;0894;Moraleja de Enmedio;196;266;636;;3707;828;495;;5.02;24.31;56.23;;94.98;75.69;43.77;;3903;1094;1131;
Municipios;0908;Moralzarzal;246;385;1027;;950;1235;507;;20.57;23.77;66.95;;79.43;76.23;33.05;;1196;1620;1534;
Municipios;0915;Morata de Tajuña;87;131;371;;588;680;393;;12.89;16.15;48.56;;87.11;83.85;51.44;;675;811;764;
Municipios;0920;Móstoles;3538;4561;11440;;14779;20765;11968;;19.32;18.01;48.87;;80.68;81.99;51.13;;18317;25326;23408;
Municipios;0936;Navacerrada;62;90;237;;257;402;306;;19.44;18.29;43.65;;80.56;81.71;56.35;;319;492;543;
Municipios;0941;Navalafuente;20;10;58;;75;98;73;;21.05;9.26;44.27;;78.95;90.74;55.73;;95;108;131;
Municipios;0954;Navalagamella;19;28;71;;119;125;103;;13.77;18.30;40.80;;86.23;81.70;59.20;;138;153;174;
Municipios;0967;Navalcarnero;543;734;2712;;3101;3586;2081;;14.90;16.99;56.58;;85.10;83.01;43.42;;3644;4320;4793;
Municipios;0973;Navarredonda y San Mamés;11;5;26;;49;26;58;;18.33;16.13;30.95;;81.67;83.87;69.05;;60;31;84;
Municipios;0992;Navas del Rey;56;48;167;;235;260;106;;19.24;15.58;61.17;;80.76;84.42;38.83;;291;308;273;
Municipios;1006;Nuevo Baztán;150;269;414;;394;420;206;;27.57;39.04;66.77;;72.43;60.96;33.23;;544;689;620;
Municipios;1013;Olmeda de las Fuentes;15;18;18;;37;26;26;;28.85;40.91;40.91;;71.15;59.09;59.09;;52;44;44;
Municipios;1028;Orusco de Tajuña;17;17;27;;68;59;70;;20.00;22.37;27.84;;80.00;77.63;72.16;;85;76;97;
Municipios;1049;Paracuellos de Jarama;693;947;1965;;3509;4010;2332;;16.49;19.10;45.73;;83.51;80.90;54.27;;4202;4957;4297;
Municipios;1065;Parla;1920;2239;6101;;7989;10917;10050;;19.38;17.02;37.77;;80.62;82.98;62.23;;9909;13156;16151;
Municipios;1071;Patones;11;27;49;;145;135;67;;7.05;16.67;42.24;;92.95;83.33;57.76;;156;162;116;
Municipios;1087;Pedrezuela;148;214;311;;428;413;232;;25.69;34.13;57.27;;74.31;65.87;42.73;;576;627;543;
Municipios;1090;Pelayos de la Presa;53;78;247;;286;302;226;;15.63;20.53;52.22;;84.37;79.47;47.78;;339;380;473;
Municipios;1104;Perales de Tajuña;29;33;199;;175;333;194;;14.22;9.02;50.64;;85.78;90.98;49.36;;204;366;393;
Municipios;1111;Pezuela de las Torres;13;19;34;;64;137;75;;16.88;12.18;31.19;;83.12;87.82;68.81;;77;156;109;
Municipios;1126;Pinilla del Valle;4;8;14;;17;33;25;;19.05;19.51;35.90;;80.95;80.49;64.10;;21;41;39;
Municipios;1132;Pinto;1879;2638;6917;;16230;20832;12345;;10.38;11.24;35.91;;89.62;88.76;64.09;;18109;23470;19262;
Municipios;1147;Piñuécar0Gandullas;4;1;2;;9;26;19;;30.77;3.70;9.52;;69.23;96.30;90.48;;13;27;21;
Municipios;1150;Pozuelo de Alarcón;7508;10563;17062;;26449;31358;21578;;22.11;25.20;44.16;;77.89;74.80;55.84;;33957;41921;38640;
Municipios;1163;Pozuelo del Rey;18;29;72;;61;87;54;;22.78;25.00;57.14;;77.22;75.00;42.86;;79;116;126;
Municipios;1179;Prádena del Rincón;2;5;3;;23;24;24;;8.00;17.24;11.11;;92.00;82.76;88.89;;25;29;27;
Municipios;1185;Puebla de la Sierra;2;5;1;;20;17;8;;9.09;22.73;11.11;;90.91;77.27;88.89;;22;22;9;
Municipios;9020;Puentes Viejas;7;6;41;;50;132;54;;12.28;4.35;43.16;;87.72;95.65;56.84;;57;138;95;
Municipios;1198;Quijorna;37;68;111;;342;320;272;;9.76;17.53;28.98;;90.24;82.47;71.02;;379;388;383;
Municipios;1202;Rascafría;45;65;153;;222;202;148;;16.85;24.34;50.83;;83.15;75.66;49.17;;267;267;301;
Municipios;1219;Redueña;11;9;14;;32;51;28;;25.58;15.00;33.33;;74.42;85.00;66.67;;43;60;42;
Municipios;1224;Ribatejada;6;14;38;;90;93;85;;6.25;13.08;30.89;;93.75;86.92;69.11;;96;107;123;
Municipios;1230;Rivas0Vaciamadrid;2915;3838;9508;;11591;15916;10100;;20.10;19.43;48.49;;79.90;80.57;51.51;;14506;19754;19608;
Municipios;1245;Robledillo de la Jara;0;5;3;;17;8;21;;0.00;38.46;12.50;;100.00;61.54;87.50;;17;13;24;
Municipios;1258;Robledo de Chavela;57;86;212;;296;492;392;;16.15;14.88;35.10;;83.85;85.12;64.90;;353;578;604;
Municipios;1261;Robregordo;1;0;2;;15;8;9;;6.25;0.00;18.18;;93.75;100.00;81.82;;16;8;11;
Municipios;1277;Rozas de Madrid (Las);5967;8145;18107;;24651;23795;13610;;19.49;25.50;57.09;;80.51;74.50;42.91;;30618;31940;31717;
Municipios;1283;Rozas de Puerto Real;19;16;60;;82;133;86;;18.81;10.74;41.10;;81.19;89.26;58.90;;101;149;146;
Municipios;1296;San Agustín del Guadalix;501;628;1349;;1920;2563;2640;;20.69;19.68;33.82;;79.31;80.32;66.18;;2421;3191;3989;
Municipios;1300;San Fernando de Henares;3098;3151;6604;;15880;17363;10078;;16.32;15.36;39.59;;83.68;84.64;60.41;;18978;20514;16682;
Municipios;1317;San Lorenzo de El Escorial;334;507;1472;;2083;2391;2869;;13.82;17.49;33.91;;86.18;82.51;66.09;;2417;2898;4341;
Municipios;1338;San Martín de Valdeiglesias;147;205;650;;1187;1174;873;;11.02;14.87;42.68;;88.98;85.13;57.32;;1334;1379;1523;
Municipios;1322;San Martín de la Vega;532;625;1616;;2351;3503;2340;;18.45;15.14;40.85;;81.55;84.86;59.15;;2883;4128;3956;
Municipios;1343;San Sebastián de los Reyes;4042;5795;14921;;26035;34863;26884;;13.44;14.25;35.69;;86.56;85.75;64.31;;30077;40658;41805;
Municipios;1356;Santa María de la Alameda;11;22;55;;80;94;56;;12.09;18.97;49.55;;87.91;81.03;50.45;;91;116;111;
Municipios;1369;Santorcaz;6;8;47;;25;94;34;;19.35;7.84;58.02;;80.65;92.16;41.98;;31;102;81;
Municipios;1375;Santos de la Humosa (Los);30;48;98;;93;111;61;;24.39;30.19;61.64;;75.61;69.81;38.36;;123;159;159;
Municipios;1381;Serna del Monte (La);6;1;5;;10;16;2;;37.50;5.88;71.43;;62.50;94.12;28.57;;16;17;7;
Municipios;1408;Serranillos del Valle;127;159;308;;438;626;306;;22.48;20.25;50.16;;77.52;79.75;49.84;;565;785;614;
Municipios;1415;Sevilla la Nueva;174;172;642;;726;762;599;;19.33;18.42;51.73;;80.67;81.58;48.27;;900;934;1241;
Municipios;1436;Somosierra;4;6;18;;10;30;19;;28.57;16.67;48.65;;71.43;83.33;51.35;;14;36;37;
Municipios;1441;Soto del Real;183;198;479;;647;812;385;;22.05;19.60;55.44;;77.95;80.40;44.56;;830;1010;864;
Municipios;1454;Talamanca de Jarama;69;86;266;;199;398;784;;25.75;17.77;25.33;;74.25;82.23;74.67;;268;484;1050;
Municipios;1467;Tielmes;41;37;164;;198;366;405;;17.15;9.18;28.82;;82.85;90.82;71.18;;239;403;569;
Municipios;1473;Titulcia;20;31;99;;136;317;551;;12.82;8.91;15.23;;87.18;91.09;84.77;;156;348;650;
Municipios;1489;Torrejón de Ardoz;3617;4652;12688;;21713;28950;19589;;14.28;13.84;39.31;;85.72;86.16;60.69;;25330;33602;32277;
Municipios;1505;Torrejón de Velasco;63;102;249;;332;305;124;;15.95;25.06;66.76;;84.05;74.94;33.24;;395;407;373;
Municipios;1492;Torrejón de la Calzada;325;359;863;;1203;1440;759;;21.27;19.96;53.21;;78.73;80.04;46.79;;1528;1799;1622;
Municipios;1512;Torrelaguna;37;66;149;;362;366;388;;9.27;15.28;27.75;;90.73;84.72;72.25;;399;432;537;
Municipios;1527;Torrelodones;845;1023;2119;;3317;3445;2673;;20.30;22.90;44.22;;79.70;77.10;55.78;;4162;4468;4792;
Municipios;1533;Torremocha de Jarama;19;18;27;;121;141;103;;13.57;11.32;20.77;;86.43;88.68;79.23;;140;159;130;
Municipios;1548;Torres de la Alameda;197;246;598;;1057;1261;719;;15.71;16.32;45.41;;84.29;83.68;54.59;;1254;1507;1317;
Municipios;9036;Tres Cantos;3734;5026;9379;;17533;27542;16709;;17.56;15.43;35.95;;82.44;84.57;64.05;;21267;32568;26088;
Municipios;1551;Valdaracete;5;8;25;;53;70;52;;8.62;10.26;32.47;;91.38;89.74;67.53;;58;78;77;
Municipios;1564;Valdeavero;34;50;92;;114;120;71;;22.97;29.41;56.44;;77.03;70.59;43.56;;148;170;163;
Municipios;1570;Valdelaguna;1;9;20;;25;59;45;;3.85;13.24;30.77;;96.15;86.76;69.23;;26;68;65;
Municipios;1586;Valdemanco;6;11;21;;32;39;23;;15.79;22.00;47.73;;84.21;78.00;52.27;;38;50;44;
Municipios;1599;Valdemaqueda;11;8;62;;79;57;60;;12.22;12.31;50.82;;87.78;87.69;49.18;;90;65;122;
Municipios;1603;Valdemorillo;193;208;679;;685;1027;536;;21.98;16.84;55.88;;78.02;83.16;44.12;;878;1235;1215;
Municipios;1610;Valdemoro;2649;2817;8624;;17346;28584;13943;;13.25;8.97;38.22;;86.75;91.03;61.78;;19995;31401;22567;
Municipios;1625;Valdeolmos0Alalpardo;67;92;227;;622;1199;987;;9.72;7.13;18.70;;90.28;92.87;81.30;;689;1291;1214;
Municipios;1631;Valdepiélagos;9;11;24;;24;57;53;;27.27;16.18;31.17;;72.73;83.82;68.83;;33;68;77;
Municipios;1646;Valdetorres de Jarama;48;84;237;;237;312;311;;16.84;21.21;43.25;;83.16;78.79;56.75;;285;396;548;
Municipios;1659;Valdilecha;71;74;150;;277;294;310;;20.40;20.11;32.61;;79.60;79.89;67.39;;348;368;460;
Municipios;1662;Valverde de Alcalá;0;4;17;;20;98;303;;0.00;3.92;5.31;;100.00;96.08;94.69;;20;102;320;
Municipios;1678;Velilla de San Antonio;381;444;2023;;1538;1841;1111;;19.85;19.43;64.55;;80.15;80.57;35.45;;1919;2285;3134;
Municipios;1684;Vellón (El);6;13;39;;72;81;49;;7.69;13.83;44.32;;92.31;86.17;55.68;;78;94;88;
Municipios;1697;Venturada;55;43;301;;224;353;227;;19.71;10.86;57.01;;80.29;89.14;42.99;;279;396;528;
Municipios;1718;Villa del Prado;111;130;577;;1052;1239;632;;9.54;9.50;47.73;;90.46;90.50;52.27;;1163;1369;1209;
Municipios;1701;Villaconejos;41;72;198;;483;452;248;;7.82;13.74;44.39;;92.18;86.26;55.61;;524;524;446;
Municipios;1723;Villalbilla;286;353;768;;1303;1379;771;;18.00;20.38;49.90;;82.00;79.62;50.10;;1589;1732;1539;
Municipios;1739;Villamanrique de Tajo;3;11;123;;184;274;69;;1.60;3.86;64.06;;98.40;96.14;35.94;;187;285;192;
Municipios;1744;Villamanta;23;42;137;;357;382;182;;6.05;9.91;42.95;;93.95;90.09;57.05;;380;424;319;
Municipios;1757;Villamantilla;6;20;68;;59;84;62;;9.23;19.23;52.31;;90.77;80.77;47.69;;65;104;130;
Municipios;1782;Villanueva de Perales;21;22;70;;85;125;334;;19.81;14.97;17.33;;80.19;85.03;82.67;;106;147;404;
Municipios;1760;Villanueva de la Cañada;772;1066;2766;;2246;2600;1475;;25.58;29.08;65.22;;74.42;70.92;34.78;;3018;3666;4241;
Municipios;1776;Villanueva del Pardillo;415;437;1023;;1199;1285;782;;25.71;25.38;56.68;;74.29;74.62;43.32;;1614;1722;1805;
Municipios;1795;Villar del Olmo;31;27;82;;106;122;68;;22.63;18.12;54.67;;77.37;81.88;45.33;;137;149;150;
Municipios;1809;Villarejo de Salvanés;129;224;415;;3059;3631;1014;;4.05;5.81;29.04;;95.95;94.19;70.96;;3188;3855;1429;
Municipios;1816;Villaviciosa de Odón;989;1322;3214;;3554;5545;2394;;21.77;19.25;57.31;;78.23;80.75;42.69;;4543;6867;5608;
Municipios;1821;Villavieja del Lozoya;1;5;5;;33;24;35;;2.94;17.24;12.50;;97.06;82.76;87.50;;34;29;40;
Municipios;1837;Zarzalejo;19;40;83;;196;147;131;;8.84;21.39;38.79;;91.16;78.61;61.21;;215;187;214;
