Serie;Codigo_municipio;Nombre;ocupados_primario_2022;ocupados_primario_2023;ocupados_secundario_2022;ocupados_secundario_2023;ocupados_terciario_2022;ocupados_terciario_2023
Municipios;0455;Colmenar Viejo;168;158;5283;5596;32633;33632
Municipios;0437;Colmenar de Oreja;86;87;672;641;2677;2649
Municipios;0421;Colmenar del Arroyo;18;18;273;294;2111;1843
Municipios;0442;Colmenarejo;11;8;487;436;5287;5300
Municipios;0480;Corpa;2;3;7;8;165;193
Municipios;0493;Coslada;29;25;8342;8395;72478;73602
Municipios;0506;Cubas de la Sagra;6;9;754;761;2531;2549
Municipios;0534;Daganzo de Arriba;20;21;3345;2904;7273;7680
Municipios;0549;Escorial (El);34;33;366;398;7729;7452
Municipios;0552;Estremera;45;46;76;74;2504;2544
Municipios;0565;Fresnedillas de la Oliva;6;5;70;70;513;605
Municipios;0571;Fresno de Torote;8;6;117;111;544;614
Municipios;0587;Fuenlabrada;125;128;22812;23199;104336;105738
Municipios;0590;Fuente el Saz de Jarama;33;26;1071;1024;3965;3987
Municipios;0604;Fuentidueña de Tajo;71;60;134;127;931;838
Municipios;0611;Galapagar;50;45;1110;1118;12270;12581
Municipios;0626;Garganta de los Montes;9;8;60;60;188;304
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4;4;20;19;253;366
Municipios;0647;Gascones;8;8;14;17;178;209
Municipios;0650;Getafe;68;67;36336;38450;155965;158235
Municipios;0663;Griñón;21;40;3608;3468;10524;11201
Municipios;0679;Guadalix de la Sierra;48;56;259;288;2557;2535
Municipios;0685;Guadarrama;29;27;729;710;8124;8531
Municipios;0698;Hiruela (La);0;0;14;12;110;158
Municipios;0702;Horcajo de la Sierra-Aoslos;7;6;22;19;153;269
Municipios;0719;Horcajuelo de la Sierra;3;3;21;19;128;156
Municipios;0724;Hoyo de Manzanares;10;9;177;187;3819;4034
Municipios;0730;Humanes de Madrid;22;24;10895;10590;20447;20590
Municipios;0745;Leganés;57;49;16538;16810;123977;126476
Municipios;0758;Loeches;8;9;4416;4435;6940;7089
Municipios;0761;Lozoya;4;4;28;31;437;503
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;7;7;125;120;1006;1193
Municipios;0783;Madarcos;3;1;16;14;84;126
Municipios;0796;Madrid;3175;3177;210068;217858;4095186;4268525
Municipios;0800;Majadahonda;60;68;2373;2424;64677;66414
