Serie;Codigo_municipio;Nombre;evolucion_paro_registrado_2020;evolucion_paro_registrado_2021;evolucion_paro_registrado_2022;evolucion_paro_registrado_2023;paro_y_44_2020;paro_y_44_2021;paro_y_44_2022;paro_y_44_2023;paro_mayores_25_2020;paro_mayores_25_2021;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2020;paro_mayores_45_2021;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2020;paro_menores_25_2021;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2020;paro_100_habitantes_2021;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2020;paro_registrado_total_2021;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_mayores_25_2020;porcentaje_mayores_25_2021;porcentaje_mayores_25_2022;porcentaje_mayores_25_2023;porcentaje_menores_25_2020;porcentaje_menores_25_2021;porcentaje_menores_25_2022;porcentaje_menores_25_2023;variacion_paro_registrado_2020;variacion_paro_registrado_2021;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0066;Alcobendas;0.26;1.10;-1.40;;2035;2504;1701;1440;4626;5657;4322;3897;2591;3153;2621;2457;351;521;238;247;4.20;5.30;3.90;;4977;6178;4560;4144;92.95;91.57;94.78;94.04;7.05;8.43;5.22;5.96;7.77;24.13;-26.19;-9.12
Municipios;0072;Alcorcón;0.05;1.05;-1.46;;3889;4407;3067;2680;8736;10185;8139;7386;4847;5778;5072;4706;830;1082;610;655;5.55;6.60;5.14;;9566;11267;8749;8041;91.32;90.40;93.03;91.85;8.68;9.60;6.97;8.15;1.99;17.78;-22.35;-8.09
Municipios;0088;Aldea del Fresno;0.43;1.07;-2.20;;97;116;78;75;227;259;205;209;130;143;127;134;11;21;17;13;8.01;9.08;6.88;;238;280;222;222;95.38;92.50;92.34;94.14;4.62;7.50;7.66;5.86;10.70;17.65;-20.71;0.00
Municipios;0091;Algete;0.12;1.07;-1.12;;298;425;292;250;850;1048;850;751;552;623;558;501;77;95;62;59;4.44;5.51;4.39;;927;1143;912;810;91.69;91.69;93.20;92.72;8.31;8.31;6.80;7.28;4.04;23.30;-20.21;-11.18
Municipios;0105;Alpedrete;0.25;0.84;-1.13;;248;298;209;195;675;777;642;628;427;479;433;433;44;73;41;50;4.85;5.68;4.55;;719;850;683;678;93.88;91.41;94.00;92.63;6.12;8.59;6.00;7.37;7.31;18.22;-19.65;-0.73
Municipios;0112;Ambite;-0.11;1.34;-3.62;;15;30;17;17;54;68;46;55;39;38;29;38;5;5;2;2;9.69;11.03;7.41;;59;73;48;57;91.53;93.15;95.83;96.49;8.47;6.85;4.17;3.51;1.72;23.73;-34.25;18.75
Municipios;0127;Anchuelo;-0.15;1.29;-2.19;;30;49;32;24;70;93;61;50;40;44;29;26;8;7;9;9;6.07;7.36;5.17;;78;100;70;59;89.74;93.00;87.14;84.75;10.26;7.00;12.86;15.25;-1.27;28.21;-30.00;-15.71
Municipios;0133;Aranjuez;-0.04;1.04;-1.42;;1855;2077;1625;1420;3928;4444;3674;3367;2073;2367;2049;1947;350;420;334;309;7.09;8.13;6.71;;4278;4864;4008;3676;91.82;91.37;91.67;91.59;8.18;8.63;8.33;8.41;0.59;13.70;-17.60;-8.28
Municipios;0148;Arganda del Rey;0.19;1.04;-1.92;;1931;2099;1555;1368;4080;4582;3733;3380;2149;2483;2178;2012;387;447;294;282;7.88;8.92;7.00;;4467;5029;4027;3662;91.34;91.11;92.70;92.30;8.66;8.89;7.30;7.70;4.86;12.58;-19.92;-9.06
Municipios;0151;Arroyomolinos;0.01;0.81;-1.06;;676;781;581;504;1286;1530;1298;1202;610;749;717;698;143;203;124;119;4.34;5.14;4.08;;1429;1733;1422;1321;89.99;88.29;91.28;90.99;10.01;11.71;8.72;9.01;5.07;21.27;-17.95;-7.10
