Serie;Codigo_municipio;Nombre;evolucion_paro_registrado_2020;evolucion_paro_registrado_2021;evolucion_paro_registrado_2022;evolucion_paro_registrado_2023;paro_y_44_2020;paro_y_44_2021;paro_y_44_2022;paro_y_44_2023;paro_mayores_25_2020;paro_mayores_25_2021;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2020;paro_mayores_45_2021;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2020;paro_menores_25_2021;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2020;paro_100_habitantes_2021;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2020;paro_registrado_total_2021;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_mayores_25_2020;porcentaje_mayores_25_2021;porcentaje_mayores_25_2022;porcentaje_mayores_25_2023;porcentaje_menores_25_2020;porcentaje_menores_25_2021;porcentaje_menores_25_2022;porcentaje_menores_25_2023;variacion_paro_registrado_2020;variacion_paro_registrado_2021;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0626;Garganta de los Montes;1.64;-1.37;-1.26;;11;8;2;4;28;23;19;21;17;15;17;17;1;3;1;1;7.69;6.33;5.06;;29;26;20;22;96.55;88.46;95.00;95.45;3.45;11.54;5.00;4.55;38.10;-10.34;-23.08;10.00
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;-0.18;0.83;0.50;;4;5;7;7;19;24;27;21;15;19;20;14;0;0;0;1;6.15;6.98;7.48;;19;24;27;22;100.00;100.00;100.00;95.45;0.00;0.00;0.00;4.55;-5.00;26.32;12.50;-18.52
Municipios;0647;Gascones;-1.77;2.35;0.37;;2;5;4;5;5;9;9;9;3;4;5;4;1;2;4;1;3.41;5.76;6.13;;6;11;13;10;83.33;81.82;69.23;90.00;16.67;18.18;30.77;10.00;-40.00;83.33;18.18;-23.08
Municipios;0650;Getafe;0.08;1.36;-1.64;;4375;5440;3720;3352;9582;11616;9068;8413;5207;6176;5348;5061;853;1183;733;753;5.64;6.99;5.35;;10435;12799;9801;9166;91.83;90.76;92.52;91.78;8.17;9.24;7.48;8.22;2.41;22.65;-23.42;-6.48
Municipios;0663;Griñón;0.31;0.55;-0.74;;167;206;179;140;430;479;422;369;263;273;243;229;42;52;33;36;4.52;5.07;4.34;;472;531;455;405;91.10;90.21;92.75;91.11;8.90;9.79;7.25;8.89;8.51;12.50;-14.31;-10.99
Municipios;0679;Guadalix de la Sierra;-0.26;1.03;-1.37;;126;156;134;130;348;414;359;332;222;258;225;202;35;46;15;18;5.95;6.98;5.61;;383;460;374;350;90.86;90.00;95.99;94.86;9.14;10.00;4.01;5.14;-0.78;20.10;-18.70;-6.42
Municipios;0685;Guadarrama;0.27;0.55;-0.88;;326;366;292;260;748;836;716;670;422;470;424;410;69;83;63;57;4.93;5.49;4.60;;817;919;779;727;91.55;90.97;91.91;92.16;8.45;9.03;8.09;7.84;9.37;12.48;-15.23;-6.68
Municipios;0698;Hiruela (La);-0.43;-0.30;-0.11;;0;1;1;1;2;2;2;2;2;1;1;1;0;0;0;0;3.08;2.78;2.67;;2;2;2;2;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Municipios;0702;Horcajo de la Sierra-Aoslos;-0.88;1.93;-1.40;;3;5;6;4;6;10;9;8;3;5;3;4;0;0;0;0;3.95;5.88;4.48;;6;10;9;8;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;-14.29;66.67;-10.00;-11.11
Municipios;0719;Horcajuelo de la Sierra;1.05;4.18;-4.82;;2;4;1;2;3;7;3;3;1;3;2;1;0;1;0;0;3.37;7.55;2.73;;3;8;3;3;100.00;87.50;100.00;100.00;0.00;12.50;0.00;0.00;50.00;166.67;-62.50;0.00
Municipios;0724;Hoyo de Manzanares;0.36;0.76;-1.18;;116;139;94;88;324;390;300;290;208;251;206;202;21;27;19;13;4.05;4.80;3.62;;345;417;319;303;93.91;93.53;94.04;95.71;6.09;6.47;5.96;4.29;10.93;20.87;-23.50;-5.02
Municipios;0730;Humanes de Madrid;-0.15;1.23;-1.71;;625;745;571;499;1210;1427;1166;1053;585;682;595;554;145;173;103;116;6.88;8.11;6.40;;1355;1600;1269;1169;89.30;89.19;91.88;90.08;10.70;10.81;8.12;9.92;-2.38;18.08;-20.69;-7.88
Municipios;0745;Leganés;0.02;1.19;-1.48;;4655;5452;3979;3395;10265;12018;9715;8805;5610;6566;5736;5410;1065;1347;813;786;5.93;7.12;5.64;;11330;13365;10528;9591;90.60;89.92;92.28;91.80;9.40;10.08;7.72;8.20;0.99;17.96;-21.23;-8.90
Municipios;0758;Loeches;0.19;1.12;-0.99;;210;244;185;149;460;546;473;429;250;302;288;280;44;55;45;49;5.66;6.78;5.79;;504;601;518;478;91.27;90.85;91.31;89.75;8.73;9.15;8.69;10.25;4.78;19.25;-13.81;-7.72
Municipios;0761;Lozoya;1.04;0.23;-0.58;;9;7;7;11;27;29;27;30;18;22;20;19;2;2;1;2;5.00;5.23;4.65;;29;31;28;32;93.10;93.55;96.43;93.75;6.90;6.45;3.57;6.25;26.09;6.90;-9.68;14.29
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0.13;2.65;-3.59;;24;39;21;27;69;103;62;73;45;64;41;46;5;12;5;4;5.52;8.17;4.59;;74;115;67;77;93.24;89.57;92.54;94.81;6.76;10.43;7.46;5.19;5.71;55.41;-41.74;14.93
Municipios;0783;Madarcos;-0.09;-4.08;1.59;;0;0;0;0;2;0;1;1;2;0;1;1;0;0;0;0;4.08;0.00;1.59;;2;0;1;1;100.00;-;100.00;100.00;0.00;-;0.00;0.00;0.00;-100.00;0.00;0.00
Municipios;0796;Madrid;0.04;1.31;-1.63;;70059;88917;58938;54392;160007;196161;149239;138992;89948;107244;90301;84600;12663;18285;10172;10271;5.18;6.49;4.86;;172670;214446;159411;149263;92.67;91.47;93.62;93.12;7.33;8.53;6.38;6.88;2.98;24.19;-25.66;-6.37
Municipios;0800;Majadahonda;0.18;0.86;-1.01;;834;1115;676;612;2157;2690;2066;1912;1323;1575;1390;1300;107;193;91;65;3.14;4.00;2.99;;2264;2883;2157;1977;95.27;93.31;95.78;96.71;4.73;6.69;4.22;3.29;6.69;27.34;-25.18;-8.34
Municipios;0822;Manzanares el Real;0.18;0.39;-1.34;;205;226;159;141;470;512;416;409;265;286;257;268;34;43;18;24;5.64;6.03;4.69;;504;555;434;433;93.25;92.25;95.85;94.46;6.75;7.75;4.15;5.54;4.35;10.12;-21.80;-0.23
Municipios;0838;Meco;0.58;0.51;-1.57;;419;423;303;271;844;914;748;678;425;491;445;407;83;104;48;65;6.32;6.83;5.26;;927;1018;796;743;91.05;89.78;93.97;91.25;8.95;10.22;6.03;8.75;12.91;9.82;-21.81;-6.66
Municipios;0843;Mejorada del Campo;0.07;1.25;-1.81;;688;814;592;505;1432;1686;1350;1198;744;872;758;693;145;194;110;128;6.67;7.92;6.11;;1577;1880;1460;1326;90.81;89.68;92.47;90.35;9.19;10.32;7.53;9.65;2.67;19.21;-22.34;-9.18
Municipios;0856;Miraflores de la Sierra;0.19;0.44;-1.14;;159;169;140;107;380;421;366;332;221;252;226;225;26;28;15;24;6.38;6.82;5.68;;406;449;381;356;93.60;93.76;96.06;93.26;6.40;6.24;3.94;6.74;7.41;10.59;-15.14;-6.56
Municipios;0869;Molar (El);-0.03;1.20;-1.44;;224;266;184;182;477;590;462;448;253;324;278;266;29;28;30;37;5.45;6.65;5.21;;506;618;492;485;94.27;95.47;93.90;92.37;5.73;4.53;6.10;7.63;3.27;22.13;-20.39;-1.42
Municipios;0875;Molinos (Los);-0.35;0.88;-1.44;;90;117;86;66;219;261;205;193;129;144;119;127;17;22;19;10;5.32;6.20;4.77;;236;283;224;203;92.80;92.23;91.52;95.07;7.20;7.77;8.48;4.93;-5.22;19.92;-20.85;-9.38
Municipios;0881;Montejo de la Sierra;2.95;-2.21;-0.06;;8;6;5;6;15;10;8;11;7;4;3;5;4;1;3;0;5.22;3.01;2.96;;19;11;11;11;78.95;90.91;72.73;100.00;21.05;9.09;27.27;0.00;137.50;-42.11;0.00;0.00
Municipios;0894;Moraleja de Enmedio;-0.21;0.92;-1.56;;111;141;102;90;264;310;235;225;153;169;133;135;25;33;29;19;5.56;6.48;4.92;;289;343;264;244;91.35;90.38;89.02;92.21;8.65;9.62;10.98;7.79;-2.36;18.69;-23.03;-7.58
Municipios;0908;Moralzarzal;0.42;0.66;-1.33;;209;238;157;130;585;667;542;488;376;429;385;358;61;80;38;48;4.84;5.50;4.17;;646;747;580;536;90.56;89.29;93.45;91.04;9.44;10.71;6.55;8.96;11.96;15.63;-22.36;-7.59
Municipios;0915;Morata de Tajuña;0.05;0.97;-1.63;;230;267;204;176;532;614;504;441;302;347;300;265;55;56;39;39;7.48;8.46;6.82;;587;670;543;480;90.63;91.64;92.82;91.88;9.37;8.36;7.18;8.13;2.80;14.14;-18.96;-11.60
Municipios;0920;Móstoles;0.07;1.16;-1.57;;5660;6620;4856;4185;11911;13903;11074;10022;6251;7283;6218;5837;1008;1414;897;838;6.14;7.31;5.73;;12919;15317;11971;10860;92.20;90.77;92.51;92.28;7.80;9.23;7.49;7.72;1.63;18.56;-21.85;-9.28
Municipios;0936;Navacerrada;0.43;1.16;-1.49;;50;60;41;39;128;169;117;128;78;109;76;89;8;10;14;5;4.40;5.56;4.07;;136;179;131;133;94.12;94.41;89.31;96.24;5.88;5.59;10.69;3.76;15.25;31.62;-26.82;1.53
Municipios;0941;Navalafuente;0.10;1.43;-2.42;;45;51;36;38;106;126;94;97;61;75;58;59;5;12;6;9;7.35;8.77;6.35;;111;138;100;106;95.50;91.30;94.00;91.51;4.50;8.70;6.00;8.49;5.71;24.32;-27.54;6.00
Municipios;0954;Navalagamella;0.50;0.12;-0.75;;75;93;66;62;167;182;169;170;92;89;103;108;13;7;5;9;6.83;6.95;6.19;;180;189;174;179;92.78;96.30;97.13;94.97;7.22;3.70;2.87;5.03;9.09;5.00;-7.94;2.87
Municipios;0967;Navalcarnero;0.01;1.07;-1.19;;837;1006;772;637;1645;1954;1667;1413;808;948;895;776;143;206;169;138;5.96;7.04;5.85;;1788;2160;1836;1551;92.00;90.46;90.80;91.10;8.00;9.54;9.20;8.90;2.58;20.81;-15.00;-15.52
Municipios;0973;Navarredonda y San Mamés;0.00;-1.88;0.80;;1;2;2;2;7;5;6;6;6;3;4;4;0;0;0;0;5.43;3.55;4.35;;7;5;6;6;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;-28.57;20.00;0.00
Municipios;0992;Navas del Rey;0.01;0.90;-1.82;;79;94;68;60;199;230;196;167;120;136;128;107;27;31;14;18;7.62;8.52;6.70;;226;261;210;185;88.05;88.12;93.33;90.27;11.95;11.88;6.67;9.73;1.80;15.49;-19.54;-11.90
Municipios;1006;Nuevo Baztán;0.55;1.23;-2.21;;137;193;124;129;380;469;353;368;243;276;229;239;45;49;26;30;6.59;7.81;5.61;;425;518;379;398;89.41;90.54;93.14;92.46;10.59;9.46;6.86;7.54;12.14;21.88;-26.83;5.01
Municipios;1013;Olmeda de las Fuentes;0.03;-0.70;-0.73;;6;4;3;7;14;13;12;19;8;9;9;12;2;1;0;1;4.62;3.92;3.19;;16;14;12;20;87.50;92.86;100.00;95.00;12.50;7.14;0.00;5.00;0.00;-12.50;-14.29;66.67
Municipios;1028;Orusco de Tajuña;-0.24;1.73;-1.83;;42;50;35;31;93;114;93;83;51;64;58;52;7;8;8;12;7.72;9.45;7.62;;100;122;101;95;93.00;93.44;92.08;87.37;7.00;6.56;7.92;12.63;1.01;22.00;-17.21;-5.94
Municipios;1049;Paracuellos de Jarama;-0.08;0.91;-0.84;;364;437;322;267;786;1012;827;760;422;575;505;493;43;67;39;53;3.20;4.11;3.27;;829;1079;866;813;94.81;93.79;95.50;93.48;5.19;6.21;4.50;6.52;0.12;30.16;-19.74;-6.12
Municipios;1065;Parla;0.05;1.26;-1.77;;4858;5413;4095;3567;9223;10516;8465;7718;4365;5103;4370;4151;860;1089;732;662;7.55;8.81;7.04;;10083;11605;9197;8380;91.47;90.62;92.04;92.10;8.53;9.38;7.96;7.90;3.30;15.09;-20.75;-8.88
Municipios;1071;Patones;0.01;1.80;-1.79;;5;12;7;4;14;23;14;20;9;11;7;16;2;2;2;1;2.97;4.77;2.99;;16;25;16;21;87.50;92.00;87.50;95.24;12.50;8.00;12.50;4.76;0.00;56.25;-36.00;31.25
Municipios;1087;Pedrezuela;-0.15;0.98;-1.28;;140;164;119;114;288;350;283;264;148;186;164;150;19;22;13;12;4.99;5.97;4.69;;307;372;296;276;93.81;94.09;95.61;95.65;6.19;5.91;4.39;4.35;1.32;21.17;-20.43;-6.76
Municipios;1090;Pelayos de la Presa;-0.55;2.56;-2.53;;83;127;96;76;215;288;238;202;132;161;142;126;28;41;23;11;9.08;11.64;9.10;;243;329;261;213;88.48;87.54;91.19;94.84;11.52;12.46;8.81;5.16;-2.80;35.39;-20.67;-18.39
Municipios;1104;Perales de Tajuña;0.00;1.10;-1.25;;97;124;103;93;249;292;268;237;152;168;165;144;29;26;17;16;9.30;10.40;9.14;;278;318;285;253;89.57;91.82;94.04;93.68;10.43;8.18;5.96;6.32;1.83;14.39;-10.38;-11.23
Municipios;1111;Pezuela de las Torres;-0.25;1.65;-2.17;;14;21;9;15;35;52;33;51;21;31;24;36;4;5;4;3;4.50;6.15;3.97;;39;57;37;54;89.74;91.23;89.19;94.44;10.26;8.77;10.81;5.56;-2.50;46.15;-35.09;45.95
Municipios;1126;Pinilla del Valle;2.65;0.33;-0.57;;5;6;4;4;11;11;11;9;6;5;7;5;0;1;0;1;5.79;6.12;5.56;;11;12;11;10;100.00;91.67;100.00;90.00;0.00;8.33;0.00;10.00;83.33;9.09;-8.33;-9.09
Municipios;1132;Pinto;0.28;1.02;-1.66;;1411;1658;1180;1014;3042;3517;2796;2558;1631;1859;1616;1544;265;350;215;224;6.20;7.22;5.57;;3307;3867;3011;2782;91.99;90.95;92.86;91.95;8.01;9.05;7.14;8.05;6.30;16.93;-22.14;-7.61
Municipios;1147;Piñuécar-Gandullas;2.92;1.94;-4.30;;7;10;4;2;11;14;6;4;4;4;2;2;1;2;2;0;6.70;8.65;4.35;;12;16;8;4;91.67;87.50;75.00;100.00;8.33;12.50;25.00;0.00;71.43;33.33;-50.00;-50.00
Municipios;1150;Pozuelo de Alarcón;0.03;0.46;-0.63;;814;990;658;577;2243;2601;2144;2000;1429;1611;1486;1423;110;156;79;83;2.70;3.16;2.53;;2353;2757;2223;2083;95.33;94.34;96.45;96.02;4.67;5.66;3.55;3.98;1.91;17.17;-19.37;-6.30
Municipios;1163;Pozuelo del Rey;1.16;1.58;-2.46;;44;51;26;27;74;95;65;68;30;44;39;41;5;4;4;9;6.74;8.32;5.86;;79;99;69;77;93.67;95.96;94.20;88.31;6.33;4.04;5.80;11.69;23.44;25.32;-30.30;11.59
Municipios;1179;Prádena del Rincón;-0.16;-0.39;0.71;;2;2;2;0;3;3;4;5;1;1;2;5;0;0;0;1;2.40;2.01;2.72;;3;3;4;6;100.00;100.00;100.00;83.33;0.00;0.00;0.00;16.67;0.00;0.00;33.33;50.00
Municipios;1185;Puebla de la Sierra;-0.84;-2.85;-1.62;;2;0;2;2;5;3;2;5;3;3;0;3;0;0;0;0;6.85;4.00;2.38;;5;3;2;5;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;-40.00;-33.33;150.00
Municipios;9020;Puentes Viejas;-1.47;0.84;-1.40;;14;14;11;10;32;38;30;28;18;24;19;18;2;3;0;0;4.86;5.70;4.30;;34;41;30;28;94.12;92.68;100.00;100.00;5.88;7.32;0.00;0.00;-20.93;20.59;-26.83;-6.67
Municipios;1198;Quijorna;-0.35;1.52;-1.19;;61;84;67;52;163;210;179;163;102;126;112;111;8;18;11;9;4.83;6.35;5.16;;171;228;190;172;95.32;92.11;94.21;94.77;4.68;7.89;5.79;5.23;-3.93;33.33;-16.67;-9.47
Municipios;1202;Rascafría;-0.10;0.95;-0.17;;28;24;28;20;74;85;84;69;46;61;56;49;2;9;6;5;4.41;5.36;5.18;;76;94;90;74;97.37;90.43;93.33;93.24;2.63;9.57;6.67;6.76;1.33;23.68;-4.26;-17.78
Municipios;1219;Redueña;-0.54;6.13;-5.84;;4;12;3;4;10;27;13;10;6;15;10;6;1;3;0;4;4.07;10.20;4.36;;11;30;13;14;90.91;90.00;100.00;71.43;9.09;10.00;0.00;28.57;-8.33;172.73;-56.67;7.69
Municipios;1224;Ribatejada;0.46;0.50;-0.99;;20;17;14;13;54;62;55;50;34;45;41;37;7;8;7;2;7.62;8.11;7.12;;61;70;62;52;88.52;88.57;88.71;96.15;11.48;11.43;11.29;3.85;8.93;14.75;-11.43;-16.13
Municipios;1230;Rivas-Vaciamadrid;0.00;0.93;-1.18;;1640;2076;1608;1483;3815;4639;3854;3765;2175;2563;2246;2282;344;474;323;374;4.57;5.50;4.32;;4159;5113;4177;4139;91.73;90.73;92.27;90.96;8.27;9.27;7.73;9.04;3.30;22.94;-18.31;-0.91
Municipios;1245;Robledillo de la Jara;1.71;-1.12;2.17;;0;0;0;1;4;3;6;9;4;3;6;8;0;0;0;1;4.21;3.09;5.26;;4;3;6;10;100.00;100.00;100.00;90.00;0.00;0.00;0.00;10.00;100.00;-25.00;100.00;66.67
Municipios;1258;Robledo de Chavela;0.66;1.20;-0.79;;101;113;105;85;251;281;277;241;150;168;172;156;24;55;31;34;6.30;7.50;6.71;;275;336;308;275;91.27;83.63;89.94;87.64;8.73;16.37;10.06;12.36;14.11;22.18;-8.33;-10.71
Municipios;1261;Robregordo;1.17;-1.80;1.47;;3;2;3;2;3;2;3;4;0;0;0;2;0;0;0;0;4.62;2.82;4.29;;3;2;3;4;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;50.00;-33.33;50.00;33.33
Municipios;1277;Rozas de Madrid (Las);0.17;0.54;-0.78;;1131;1326;913;782;2963;3394;2790;2524;1832;2068;1877;1742;156;199;88;88;3.25;3.79;3.01;;3119;3593;2878;2612;95.00;94.46;96.94;96.63;5.00;5.54;3.06;3.37;5.91;15.20;-19.90;-9.24
Municipios;1283;Rozas de Puerto Real;-1.32;3.15;-2.44;;7;15;8;14;21;37;24;29;14;22;16;15;1;5;3;6;3.96;7.12;4.68;;22;42;27;35;95.45;88.10;88.89;82.86;4.55;11.90;11.11;17.14;-21.43;90.91;-35.71;29.63
Municipios;1296;San Agustín del Guadalix;-0.03;1.13;-1.11;;182;245;170;140;497;648;518;468;315;403;348;328;30;35;17;23;3.91;5.05;3.93;;527;683;535;491;94.31;94.88;96.82;95.32;5.69;5.12;3.18;4.68;0.00;29.60;-21.67;-8.22
Municipios;1300;San Fernando de Henares;0.16;1.39;-1.53;;890;1106;827;712;2158;2595;2091;1909;1268;1489;1264;1197;210;303;181;158;5.98;7.37;5.84;;2368;2898;2272;2067;91.13;89.54;92.03;92.36;8.87;10.46;7.97;7.64;3.05;22.38;-21.60;-9.02
Municipios;1317;San Lorenzo de El Escorial;0.52;1.15;-1.35;;335;428;307;248;850;1018;818;701;515;590;511;453;67;108;57;38;4.95;6.10;4.75;;917;1126;875;739;92.69;90.41;93.49;94.86;7.31;9.59;6.51;5.14;12.79;22.79;-22.29;-15.54
Municipios;1338;San Martín de Valdeiglesias;-0.06;1.80;-1.87;;289;361;263;237;593;736;593;575;304;375;330;338;57;78;61;53;7.49;9.29;7.42;;650;814;654;628;91.23;90.42;90.67;91.56;8.77;9.58;9.33;8.44;1.72;25.23;-19.66;-3.98
Municipios;1322;San Martín de la Vega;0.21;1.61;-1.96;;594;740;515;492;1264;1554;1231;1172;670;814;716;680;137;182;121;106;7.14;8.74;6.78;;1401;1736;1352;1278;90.22;89.52;91.05;91.71;9.78;10.48;8.95;8.29;5.58;23.91;-22.12;-5.47
Municipios;1343;San Sebastián de los Reyes;-0.03;0.99;-1.26;;1644;2038;1435;1241;3774;4557;3568;3275;2130;2519;2133;2034;264;374;221;229;4.43;5.42;4.16;;4038;4931;3789;3504;93.46;92.42;94.17;93.46;6.54;7.58;5.83;6.54;1.38;22.11;-23.16;-7.52
Municipios;1356;Santa María de la Alameda;-0.22;1.44;-2.03;;30;38;33;38;89;113;95;101;59;75;62;63;6;11;4;6;7.19;8.64;6.60;;95;124;99;107;93.68;91.13;95.96;94.39;6.32;8.87;4.04;5.61;2.15;30.53;-20.16;8.08
Municipios;1369;Santorcaz;-0.40;0.74;0.12;;15;17;16;13;39;46;47;44;24;29;31;31;1;2;3;9;4.45;5.19;5.31;;40;48;50;53;97.50;95.83;94.00;83.02;2.50;4.17;6.00;16.98;-6.98;20.00;4.17;6.00
Municipios;1375;Santos de la Humosa (Los);-0.59;1.22;-0.89;;61;86;63;54;128;160;140;121;67;74;77;67;10;13;10;9;5.12;6.34;5.45;;138;173;150;130;92.75;92.49;93.33;93.08;7.25;7.51;6.67;6.92;-6.76;25.36;-13.29;-13.33
Municipios;1381;Serna del Monte (La);4.90;-8.91;-1.85;;5;4;3;3;13;7;7;7;8;3;4;4;2;1;0;0;17.24;8.33;6.48;;15;8;7;7;86.67;87.50;100.00;100.00;13.33;12.50;0.00;0.00;50.00;-46.67;-12.50;0.00
Municipios;1408;Serranillos del Valle;-0.19;0.93;-1.25;;96;112;82;70;220;255;222;200;124;143;140;130;21;35;17;20;5.62;6.55;5.30;;241;290;239;220;91.29;87.93;92.89;90.91;8.71;12.07;7.11;9.09;-0.41;20.33;-17.59;-7.95
Municipios;1415;Sevilla la Nueva;0.18;1.48;-1.92;;182;226;153;134;449;567;417;368;267;341;264;234;41;59;30;36;5.22;6.70;4.78;;490;626;447;404;91.63;90.58;93.29;91.09;8.37;9.42;6.71;8.91;4.48;27.76;-28.59;-9.62
Municipios;1436;Somosierra;-2.35;0.00;6.90;;1;2;5;1;2;2;7;5;1;0;2;4;0;0;1;0;2.30;2.30;9.20;;2;2;8;5;100.00;100.00;87.50;100.00;0.00;0.00;12.50;0.00;-50.00;0.00;300.00;-37.50
Municipios;1441;Soto del Real;-0.39;0.81;-1.02;;119;145;103;93;318;381;317;292;199;236;214;199;31;46;21;23;3.89;4.70;3.68;;349;427;338;315;91.12;89.23;93.79;92.70;8.88;10.77;6.21;7.30;-7.18;22.35;-20.84;-6.80
Municipios;1454;Talamanca de Jarama;-0.07;0.69;-1.14;;92;105;73;70;191;222;184;179;99;117;111;109;12;15;10;12;5.06;5.75;4.61;;203;237;194;191;94.09;93.67;94.85;93.72;5.91;6.33;5.15;6.28;2.53;16.75;-18.14;-1.55
Municipios;1467;Tielmes;-1.30;1.50;-1.48;;85;92;87;77;190;231;197;183;105;139;110;106;14;18;11;13;7.46;8.95;7.47;;204;249;208;196;93.14;92.77;94.71;93.37;6.86;7.23;5.29;6.63;-12.07;22.06;-16.47;-5.77
Municipios;1473;Titulcia;-0.46;2.25;-1.33;;40;48;39;30;81;111;98;86;41;63;59;56;15;17;10;12;7.16;9.41;8.08;;96;128;108;98;84.38;86.72;90.74;87.76;15.63;13.28;9.26;12.24;-4.00;33.33;-15.63;-9.26
Municipios;1489;Torrejón de Ardoz;-0.12;1.44;-1.66;;3569;4298;3224;2725;7746;9330;7692;6810;4177;5032;4468;4085;786;1112;674;713;6.42;7.86;6.21;;8532;10442;8366;7523;90.79;89.35;91.94;90.52;9.21;10.65;8.06;9.48;-0.73;22.39;-19.88;-10.08
Municipios;1505;Torrejón de Velasco;0.04;0.47;-1.00;;83;82;69;59;203;227;194;167;120;145;125;108;20;28;19;22;5.08;5.55;4.55;;223;255;213;189;91.03;89.02;91.08;88.36;8.97;10.98;8.92;11.64;0.90;14.35;-16.47;-11.27
Municipios;1492;Torrejón de la Calzada;0.08;0.60;-1.09;;200;232;188;185;426;489;422;394;226;257;234;209;36;48;29;35;5.03;5.62;4.53;;462;537;451;429;92.21;91.06;93.57;91.84;7.79;8.94;6.43;8.16;5.24;16.23;-16.01;-4.88
Municipios;1512;Torrelaguna;0.09;0.69;-0.94;;98;119;100;83;235;263;226;220;137;144;126;137;20;28;21;20;5.25;5.94;5.00;;255;291;247;240;92.16;90.38;91.50;91.67;7.84;9.62;8.50;8.33;3.66;14.12;-15.12;-2.83
Municipios;1527;Torrelodones;0.35;0.66;-0.81;;238;323;234;182;729;880;717;631;491;557;483;449;29;44;32;25;3.17;3.83;3.02;;758;924;749;656;96.17;95.24;95.73;96.19;3.83;4.76;4.27;3.81;13.13;21.90;-18.94;-12.42
Municipios;1533;Torremocha de Jarama;-2.05;1.38;-0.63;;9;16;15;14;34;43;44;42;25;27;29;28;3;9;2;4;3.44;4.82;4.19;;37;52;46;46;91.89;82.69;95.65;91.30;8.11;17.31;4.35;8.70;-33.93;40.54;-11.54;0.00
Municipios;1548;Torres de la Alameda;0.27;0.82;-1.81;;244;265;183;165;515;548;446;404;271;283;263;239;64;87;48;54;7.39;8.22;6.40;;579;635;494;458;88.95;86.30;90.28;88.21;11.05;13.70;9.72;11.79;4.51;9.67;-22.20;-7.29
Municipios;9036;Tres Cantos;0.20;0.54;-0.71;;595;714;558;463;1536;1774;1521;1315;941;1060;963;852;82;122;73;65;3.35;3.89;3.18;;1618;1896;1594;1380;94.93;93.57;95.42;95.29;5.07;6.43;4.58;4.71;7.58;17.18;-15.93;-13.43
Municipios;1551;Valdaracete;1.39;-0.61;-0.72;;20;20;24;18;64;61;58;51;44;41;34;33;2;2;2;3;10.91;10.29;9.57;;66;63;60;54;96.97;96.83;96.67;94.44;3.03;3.17;3.33;5.56;13.79;-4.55;-4.76;-10.00
Municipios;1564;Valdeavero;1.25;0.27;-0.72;;51;50;50;35;100;110;107;88;49;60;57;53;12;12;5;4;7.04;7.31;6.58;;112;122;112;92;89.29;90.16;95.54;95.65;10.71;9.84;4.46;4.35;24.44;8.93;-8.20;-17.86
Municipios;1570;Valdelaguna;-0.27;0.80;0.17;;21;28;35;23;52;62;67;58;31;34;32;35;7;8;4;3;6.03;6.82;6.99;;59;70;71;61;88.14;88.57;94.37;95.08;11.86;11.43;5.63;4.92;0.00;18.64;1.43;-14.08
Municipios;1586;Valdemanco;-0.03;0.66;-0.50;;16;18;23;15;43;50;49;42;27;32;26;27;2;4;1;2;4.67;5.34;4.84;;45;54;50;44;95.56;92.59;98.00;95.45;4.44;7.41;2.00;4.55;4.65;20.00;-7.41;-12.00
Municipios;1599;Valdemaqueda;0.08;0.46;-2.12;;27;30;23;15;73;75;59;50;46;45;36;35;5;8;8;6;10.06;10.52;8.40;;78;83;67;56;93.59;90.36;88.06;89.29;6.41;9.64;11.94;10.71;0.00;6.41;-19.28;-16.42
Municipios;1603;Valdemorillo;0.29;0.83;-1.36;;217;257;196;192;634;759;607;596;417;502;411;404;34;44;26;31;5.23;6.06;4.71;;668;803;633;627;94.91;94.52;95.89;95.06;5.09;5.48;4.11;4.94;7.92;20.21;-21.17;-0.95
Municipios;1610;Valdemoro;-0.02;1.13;-1.63;;2033;2302;1594;1390;4280;5026;4051;3695;2247;2724;2457;2305;431;582;377;390;6.10;7.23;5.60;;4711;5608;4428;4085;90.85;89.62;91.49;90.45;9.15;10.38;8.51;9.55;1.44;19.04;-21.04;-7.75
Municipios;1625;Valdeolmos-Alalpardo;0.09;1.01;-0.73;;71;83;69;42;138;176;159;117;67;93;90;75;8;16;5;10;3.45;4.46;3.73;;146;192;164;127;94.52;91.67;96.95;92.13;5.48;8.33;3.05;7.87;5.04;31.51;-14.58;-22.56
