Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0133;Aranjuez;-0.03;1.43;317.90;322.45;41.99;42.20;46.92;47.58;30.01;30.63;17.19;17.55;8.29;8.42;2.69;2.70;16.26;15.79;27.37;27.32;38.09;38.12;53.08;52.42
Municipios;0148;Arganda del Rey;1.79;2.27;713.70;729.87;39.86;40.14;42.50;43.44;24.90;25.66;13.06;13.48;5.36;5.50;1.56;1.57;17.45;16.94;27.82;27.77;39.67;39.59;57.50;56.56
Municipios;0151;Arroyomolinos;3.54;3.29;1679.58;1734.84;34.80;35.26;33.98;35.88;14.78;15.60;6.76;7.09;2.22;2.42;0.53;0.58;24.77;24.18;35.47;35.28;43.73;43.30;66.02;64.12
Municipios;0164;Atazar (El);-1.83;-2.80;3.76;3.66;48.93;50.19;63.55;65.38;39.25;42.31;19.63;22.12;12.15;13.46;4.67;6.73;7.48;6.73;17.76;17.31;24.30;24.04;36.45;34.62
Municipios;0170;Batres;1.10;2.34;85.97;87.98;42.53;43.03;50.92;51.73;30.36;30.99;15.51;15.68;5.44;5.95;1.47;1.75;13.49;13.02;25.73;25.62;35.36;34.61;49.08;48.27
Municipios;0186;Becerril de la Sierra;1.44;1.34;208.50;211.29;42.66;43.12;49.68;50.82;30.81;31.75;16.17;16.93;7.50;7.90;2.43;2.55;14.65;13.98;26.25;25.80;35.61;35.31;50.32;49.18
Municipios;0199;Belmonte de Tajo;1.54;3.72;73.72;76.46;42.78;42.77;46.79;46.47;30.86;30.89;17.74;18.02;8.45;8.09;3.27;2.93;15.15;14.93;24.72;24.86;36.04;36.21;53.21;53.53
Municipios;0210;Berrueco (El);0.62;0.74;28.67;28.88;45.54;45.95;53.13;54.20;37.55;37.15;23.31;23.14;11.78;11.33;4.79;4.38;15.34;15.23;23.44;22.17;30.43;30.45;46.87;45.80
Municipios;0203;Berzosa del Lozoya;6.57;-3.52;15.52;14.97;49.17;49.78;62.11;62.10;45.37;46.12;27.31;28.31;13.22;12.79;5.73;5.94;8.81;8.22;22.47;21.00;31.28;29.68;37.89;37.90
Municipios;0225;Boadilla del Monte;6.14;3.21;1318.70;1361.02;38.10;38.50;43.53;44.34;22.34;23.39;11.15;11.57;5.22;5.53;1.54;1.62;20.54;19.85;34.88;34.69;42.70;42.64;56.47;55.66
