Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0915;Morata de Tajuña;0.63;1.60;175.60;178.40;42.88;43.19;47.74;48.55;31.44;31.82;18.11;18.65;9.12;9.23;3.61;3.57;15.33;14.81;25.22;25.16;37.23;36.65;52.26;51.45
Municipios;0920;Móstoles;-0.05;0.99;4637.14;4682.94;44.07;44.33;49.15;49.92;34.35;34.66;21.95;22.39;8.18;8.83;1.98;2.05;14.02;13.79;23.18;23.27;34.19;34.10;50.85;50.08
Municipios;0936;Navacerrada;0.06;1.82;99.11;100.92;44.76;44.43;54.05;53.96;34.17;34.01;19.08;18.65;8.91;8.81;2.94;2.98;13.64;13.48;23.22;24.26;32.47;33.37;45.95;46.04
Municipios;0941;Navalafuente;1.20;4.17;131.67;137.16;40.30;40.39;44.92;45.99;26.85;28.17;12.46;13.16;4.92;4.61;1.68;1.61;17.69;18.18;27.35;28.05;37.32;37.44;55.08;54.01
Municipios;0954;Navalagamella;4.91;5.87;37.53;39.73;40.39;40.48;45.39;45.87;26.55;26.93;13.43;13.02;5.66;5.71;1.69;1.66;17.37;17.10;28.20;28.10;39.14;39.22;54.61;54.13
Municipios;0967;Navalcarnero;2.16;1.90;310.82;316.73;38.65;39.08;39.86;41.20;23.04;23.75;12.27;12.66;5.84;6.05;2.24;2.31;20.11;19.65;30.38;30.31;41.15;40.53;60.14;58.80
Municipios;0973;Navarredonda y San Mamés;1.42;6.99;5.02;5.37;53.02;53.26;69.23;66.67;58.04;56.21;29.37;29.41;13.29;14.38;5.59;6.54;4.90;5.88;11.89;11.11;22.38;21.57;30.77;33.33
Municipios;0992;Navas del Rey;2.22;3.77;61.85;64.19;43.01;43.02;47.73;48.06;31.51;31.69;18.91;18.74;9.56;9.56;3.39;3.58;14.81;14.80;25.59;25.83;36.66;36.44;52.27;51.94
Municipios;1006;Nuevo Baztán;3.17;3.43;342.45;354.17;41.89;42.20;48.61;48.93;30.07;31.04;14.06;14.62;4.88;5.02;1.29;1.36;14.18;13.88;25.98;25.68;36.63;35.97;51.39;51.07
Municipios;1013;Olmeda de las Fuentes;4.11;6.58;22.97;24.49;42.01;43.61;51.05;56.05;28.42;32.10;13.68;15.06;6.58;7.41;2.63;2.72;17.11;15.31;26.84;24.20;34.47;32.84;48.95;43.95
Municipios;1028;Orusco de Tajuña;3.95;5.96;62.77;66.51;44.97;45.24;51.04;51.48;33.08;34.11;20.86;21.52;12.00;12.80;6.18;6.33;13.34;13.01;23.55;24.12;34.20;34.60;48.96;48.52
Municipios;1049;Paracuellos de Jarama;1.31;1.49;608.01;617.07;36.21;36.75;38.70;40.53;17.13;18.07;8.23;8.61;3.47;3.64;0.96;1.04;24.23;23.29;34.88;35.02;42.02;41.72;61.30;59.47
Municipios;1065;Parla;-0.25;2.02;5212.89;5317.93;38.70;39.03;39.93;41.14;23.10;23.52;12.98;13.33;4.50;4.80;1.06;1.07;19.25;18.58;29.90;29.77;41.23;41.10;60.07;58.86
Municipios;1071;Patones;1.91;6.19;15.20;16.14;49.27;50.70;57.04;59.19;43.34;44.88;30.39;32.51;16.14;18.73;9.01;11.66;12.76;12.37;19.51;19.43;28.14;26.33;42.96;40.81
Municipios;1087;Pedrezuela;2.06;1.53;220.49;223.85;39.00;39.50;41.78;43.33;22.05;23.45;10.77;11.45;4.81;5.19;1.78;1.88;19.41;19.04;28.64;28.35;38.65;38.51;58.22;56.67
Municipios;1090;Pelayos de la Presa;2.10;3.10;379.52;391.28;43.85;43.99;49.43;50.10;33.52;34.17;19.87;19.78;10.13;9.79;3.24;3.48;13.99;13.44;24.82;24.41;35.61;35.38;50.57;49.90
Municipios;1104;Perales de Tajuña;2.30;1.83;63.00;64.15;42.19;42.53;47.22;48.20;29.71;30.18;15.84;16.12;8.40;8.41;2.35;2.69;15.93;15.14;26.10;25.32;36.40;36.16;52.78;51.80
Municipios;1111;Pezuela de las Torres;0.86;5.25;22.37;23.54;43.57;43.31;47.80;48.17;32.69;32.89;19.72;18.84;9.32;9.06;3.86;3.56;16.40;16.50;24.44;25.25;34.19;34.73;52.20;51.83
Municipios;1126;Pinilla del Valle;1.02;3.03;7.78;8.02;50.44;49.91;62.63;61.76;46.97;44.12;27.27;26.47;13.13;11.76;5.05;5.39;9.60;9.31;17.17;16.67;24.24;25.49;37.37;38.24
Municipios;1132;Pinto;0.98;1.90;872.95;889.54;39.98;40.22;43.16;44.07;24.66;25.23;13.18;13.49;5.71;5.94;1.77;1.76;17.43;17.02;28.02;28.11;38.88;38.95;56.84;55.93
Municipios;1147;Piñuécar-Gandullas;0.00;-3.26;10.08;9.75;46.68;47.26;55.43;55.62;36.96;39.33;20.65;20.22;11.41;11.24;7.07;7.30;12.50;10.67;19.57;17.98;29.35;27.53;44.57;44.38
Municipios;1150;Pozuelo de Alarcón;0.64;0.99;2033.72;2053.93;42.16;42.42;48.74;49.12;32.50;33.11;18.30;18.74;8.64;8.99;2.60;2.64;16.05;15.68;29.77;29.51;39.82;39.72;51.26;50.88
Municipios;1163;Pozuelo del Rey;0.16;4.93;39.30;41.24;38.28;38.56;37.09;38.64;21.63;22.18;10.53;10.42;4.52;4.62;1.64;1.49;20.81;19.98;28.54;28.21;38.82;39.66;62.91;61.36
Municipios;1179;Prádena del Rincón;-1.35;2.74;6.48;6.66;47.37;47.67;58.90;59.33;34.93;34.67;23.29;22.00;15.75;14.67;8.90;8.67;13.01;13.33;20.55;19.33;30.82;28.67;41.10;40.67
Municipios;1185;Puebla de la Sierra;13.33;20.00;1.50;1.80;49.44;50.69;60.00;60.78;40.00;42.16;24.71;28.43;9.41;10.78;2.35;4.90;5.88;6.86;7.06;9.80;25.88;28.43;40.00;39.22
Municipios;9020;Puentes Viejas;-2.37;8.44;11.93;12.94;46.20;45.06;54.51;52.77;37.63;35.36;21.03;18.87;10.30;9.23;3.72;3.30;13.88;14.12;20.74;22.43;28.47;31.13;45.49;47.23
Municipios;1198;Quijorna;2.62;4.70;143.31;150.04;39.45;39.98;44.31;45.57;23.62;24.87;12.73;13.38;6.43;6.92;2.09;2.52;18.22;17.51;31.98;31.54;41.16;40.87;55.69;54.43
Municipios;1202;Rascafría;-0.68;-0.63;11.72;11.64;49.54;49.84;60.69;61.13;45.94;47.10;26.51;27.37;12.40;12.48;4.40;4.14;8.06;8.45;16.74;16.39;27.43;27.43;39.31;38.87
Municipios;1219;Redueña;1.02;2.35;22.85;23.39;43.50;43.38;50.34;48.20;29.19;29.18;18.79;17.70;12.08;11.48;2.35;2.95;12.42;12.13;23.15;24.26;34.56;35.74;49.66;51.80
Municipios;1224;Ribatejada;1.27;5.15;27.13;28.53;43.74;43.87;50.46;51.03;30.21;31.99;16.93;17.19;9.15;9.14;3.89;3.48;13.62;13.38;24.14;23.83;34.32;34.39;49.54;48.97
Municipios;1230;Rivas-Vaciamadrid;3.63;3.51;1435.17;1485.57;37.76;38.11;40.01;40.76;22.77;23.50;9.19;9.89;2.91;3.05;1.00;1.02;19.54;19.11;31.05;30.80;42.29;42.06;59.99;59.24
Municipios;1245;Robledillo de la Jara;17.53;17.54;5.42;6.37;50.32;46.69;62.28;56.72;43.86;38.06;27.19;23.88;14.91;12.69;7.89;8.21;3.51;11.19;20.18;23.13;28.07;32.84;37.72;43.28
Municipios;1258;Robledo de Chavela;2.99;2.68;49.02;50.34;44.91;45.19;53.67;54.56;35.16;35.95;19.46;19.78;9.20;9.32;3.18;3.06;12.56;12.42;23.71;23.57;32.67;32.09;46.33;45.44
Municipios;1261;Robregordo;0.00;12.86;3.81;4.30;51.88;49.23;55.71;51.90;41.43;39.24;32.86;32.91;21.43;17.72;12.86;11.39;7.14;11.39;10.00;15.19;24.29;27.85;44.29;48.10
Municipios;1277;Rozas de Madrid (Las);0.96;2.51;1648.83;1690.16;40.44;40.71;46.04;46.49;27.70;28.33;14.79;15.22;6.27;6.59;1.92;1.94;17.49;17.03;30.59;30.33;40.20;40.18;53.96;53.51
Municipios;1283;Rozas de Puerto Real;1.38;-1.70;19.86;19.53;51.02;50.81;62.69;62.05;44.46;44.02;28.62;28.60;17.55;18.02;6.30;6.76;7.16;6.93;16.35;16.98;25.04;26.52;37.31;37.95
Municipios;1296;San Agustín del Guadalix;0.64;-0.04;358.32;358.19;39.00;39.52;44.22;45.44;23.87;25.05;11.18;11.62;4.80;4.99;1.60;1.70;18.69;17.64;32.15;31.79;41.52;41.04;55.78;54.56
Municipios;1300;San Fernando de Henares;-0.88;0.12;1001.83;1002.98;42.81;43.27;48.82;49.53;32.01;33.21;16.18;17.24;6.21;6.55;2.09;2.17;13.06;12.74;24.74;24.43;36.14;35.74;51.18;50.47
Municipios;1317;San Lorenzo de El Escorial;0.21;0.28;327.50;328.40;43.69;44.21;51.14;52.33;33.87;35.22;18.36;19.27;8.94;9.44;3.36;3.50;14.06;13.52;25.91;25.50;36.40;35.90;48.86;47.67
Municipios;1338;San Martín de Valdeiglesias;0.81;1.96;75.54;77.01;43.85;43.90;49.47;50.05;33.61;33.99;20.30;20.37;10.51;10.46;4.19;4.18;15.16;15.05;25.80;25.93;35.86;36.14;50.53;49.95
Municipios;1322;San Martín de la Vega;0.51;1.92;189.10;192.73;38.65;39.02;41.21;42.15;23.09;23.91;10.71;11.11;4.66;4.88;1.46;1.58;18.55;17.97;30.00;29.71;41.87;41.66;58.79;57.85
Municipios;1343;San Sebastián de los Reyes;0.02;1.58;1535.23;1559.52;40.82;41.13;44.89;45.85;27.23;27.79;15.26;15.54;6.21;6.55;1.65;1.73;16.94;16.59;27.54;27.48;38.40;38.26;55.11;54.15
Municipios;1356;Santa María de la Alameda;5.56;1.07;19.80;20.01;45.10;45.39;55.37;56.04;37.22;37.69;19.15;19.80;7.61;8.05;2.94;2.44;14.68;13.93;22.55;22.77;30.62;30.36;44.63;43.96
Municipios;1369;Santorcaz;2.27;0.00;33.46;33.46;44.13;44.52;51.22;53.02;32.38;32.38;18.73;17.88;10.05;9.52;3.17;3.07;12.70;11.01;24.23;23.92;33.65;33.12;48.78;46.98
Municipios;1375;Santos de la Humosa (Los);1.09;0.40;79.06;79.38;38.58;38.86;40.84;41.65;21.36;21.85;11.11;11.17;5.59;5.61;1.30;1.47;19.99;19.40;29.44;29.68;40.15;39.63;59.16;58.35
Municipios;1381;Serna del Monte (La);13.68;-1.85;19.57;19.20;42.25;41.78;45.37;44.34;34.26;33.02;14.81;16.04;2.78;2.83;0.93;0.94;13.89;14.15;21.30;23.58;35.19;38.68;54.63;55.66
Municipios;1408;Serranillos del Valle;2.39;1.59;348.31;353.83;39.64;40.10;43.81;44.89;24.99;26.01;12.07;12.35;5.59;5.74;1.85;2.02;17.61;16.93;30.27;29.91;40.18;39.36;56.19;55.11
Municipios;1415;Sevilla la Nueva;0.16;1.71;380.03;386.54;39.90;40.30;44.92;46.18;23.88;24.97;12.41;12.72;6.14;6.35;2.41;2.59;17.93;16.92;30.36;30.30;39.06;39.15;55.08;53.82
Municipios;1436;Somosierra;1.15;-3.41;4.31;4.16;50.73;50.64;62.50;61.18;43.18;42.35;23.86;23.53;13.64;11.76;9.09;8.24;3.41;2.35;11.36;11.76;31.82;31.76;37.50;38.82
Municipios;1441;Soto del Real;1.47;2.12;214.84;219.39;43.19;43.27;51.01;50.99;33.33;33.59;16.96;17.37;8.08;8.28;3.06;2.98;13.71;13.75;27.58;27.40;36.91;37.00;48.99;49.01
Municipios;1454;Talamanca de Jarama;2.48;3.72;109.48;113.55;39.99;40.25;42.15;43.04;24.98;25.43;13.52;13.74;6.55;6.88;2.32;2.47;18.60;18.48;27.92;28.15;38.71;38.60;57.85;56.96
Municipios;1467;Tielmes;0.07;-1.37;104.14;102.71;42.58;42.83;46.97;47.44;30.14;30.93;17.00;17.13;9.53;9.41;3.65;3.51;15.31;14.93;25.23;25.15;36.68;36.46;53.03;52.56
Municipios;1473;Titulcia;-1.32;1.26;133.04;134.71;42.92;43.10;49.59;50.29;30.76;31.92;17.57;17.94;9.19;9.37;2.45;2.64;14.97;14.93;24.98;25.70;36.10;36.02;50.41;49.71
Municipios;1489;Torrejón de Ardoz;1.62;1.96;4184.62;4266.66;41.07;41.33;44.21;44.99;27.06;27.51;15.48;15.81;6.16;6.47;1.68;1.74;16.07;15.61;26.22;26.16;37.71;37.65;55.79;55.01
Municipios;1505;Torrejón de Velasco;2.09;1.28;89.71;90.86;40.15;40.52;45.19;46.18;24.95;25.90;13.35;13.50;5.64;5.76;2.14;2.09;17.19;16.51;29.22;29.04;39.32;38.93;54.81;53.82
Municipios;1492;Torrejón de la Calzada;4.13;2.71;1107.13;1137.12;37.80;38.22;38.70;39.86;21.94;22.81;11.08;11.75;3.88;4.25;1.10;1.22;19.72;19.47;30.92;30.86;42.60;42.23;61.30;60.14
Municipios;1512;Torrelaguna;0.61;0.24;114.46;114.74;42.55;43.04;48.56;49.53;30.27;31.11;16.97;17.70;8.50;8.74;3.49;3.48;16.04;15.19;26.60;25.97;36.37;36.19;51.44;50.47
Municipios;1527;Torrelodones;2.74;1.52;1140.08;1157.43;40.53;40.71;47.28;47.66;28.73;29.39;14.23;14.55;6.43;6.64;2.20;2.21;17.04;16.75;31.50;31.57;41.23;41.27;52.72;52.34
Municipios;1533;Torremocha de Jarama;3.19;4.09;58.09;60.47;48.61;48.65;57.78;58.30;40.49;41.26;28.39;28.67;17.83;18.53;8.55;9.09;13.10;13.29;24.02;24.04;29.94;30.68;42.22;41.70
Municipios;1548;Torres de la Alameda;-0.21;0.27;177.38;177.86;41.26;41.53;45.87;46.71;27.68;28.36;15.02;15.38;7.05;6.95;2.98;2.81;16.02;15.25;28.53;28.37;38.34;38.03;54.13;53.29
Municipios;9036;Tres Cantos;2.86;2.46;1320.31;1352.85;40.70;40.98;45.01;45.47;29.31;29.87;14.48;15.26;5.54;5.88;1.83;1.84;16.36;16.23;28.29;28.12;39.87;39.62;54.99;54.53
Municipios;1551;Valdaracete;4.23;0.47;10.02;10.07;46.55;47.09;52.97;53.19;39.06;40.59;23.44;23.79;12.34;12.91;6.09;6.07;11.56;10.58;20.00;19.91;32.81;32.81;47.03;46.81
Municipios;1564;Valdeavero;1.80;4.35;90.76;94.71;40.59;40.43;43.82;43.80;25.94;25.87;14.41;14.71;5.88;5.75;1.94;1.63;17.29;16.63;27.06;27.06;37.59;38.84;56.18;56.20
Municipios;1570;Valdelaguna;-0.98;2.57;24.07;24.69;43.15;43.20;47.48;48.41;30.11;30.80;17.97;17.61;9.67;9.53;2.67;2.98;14.22;13.76;24.78;25.12;34.75;35.71;52.52;51.59
Municipios;1586;Valdemanco;3.13;1.80;59.21;60.28;44.55;44.92;51.99;52.75;32.54;33.18;21.35;21.44;10.63;11.18;3.13;3.82;15.46;15.00;23.53;23.11;32.16;32.15;48.01;47.25
Municipios;1599;Valdemaqueda;1.01;2.37;15.46;15.83;46.31;46.60;56.00;57.51;39.88;40.66;22.50;22.95;11.38;10.99;3.38;2.93;13.63;12.94;21.88;21.12;31.38;30.28;44.00;42.49
Municipios;1603;Valdemorillo;1.33;1.55;143.02;145.24;41.48;41.77;48.99;49.59;28.38;29.29;14.39;14.61;6.50;6.70;2.00;2.11;16.46;15.83;28.25;28.14;37.18;37.25;51.01;50.41
Municipios;1610;Valdemoro;1.94;2.74;1236.67;1270.53;38.53;38.96;42.29;43.46;21.12;22.16;10.36;10.79;4.62;4.87;1.41;1.50;18.70;17.79;31.16;30.77;40.93;40.85;57.71;56.54
Municipios;1625;Valdeolmos-Alalpardo;2.32;2.93;170.31;175.30;38.52;38.72;40.97;42.36;22.08;22.62;11.58;11.86;4.93;5.16;1.61;1.52;19.63;19.56;31.48;31.62;41.42;41.46;59.03;57.64
Municipios;1631;Valdepiélagos;0.97;0.64;35.31;35.54;43.27;43.80;50.24;51.51;30.72;31.00;16.16;17.33;8.80;9.06;2.88;2.38;13.76;12.72;22.56;21.78;34.08;33.55;49.76;48.49
Municipios;1646;Valdetorres de Jarama;2.98;3.22;137.99;142.44;42.13;42.42;47.66;48.47;29.21;29.65;16.04;16.20;7.72;7.84;2.89;2.90;15.05;14.64;26.42;25.89;36.99;36.55;52.34;51.53
Municipios;1659;Valdilecha;1.50;2.73;73.06;75.06;40.95;40.72;43.75;43.90;27.74;28.04;14.69;14.58;6.91;6.73;2.54;2.44;16.68;16.99;26.65;27.32;38.89;39.67;56.25;56.10
Municipios;1662;Valverde de Alcalá;4.85;-0.74;39.27;38.98;43.77;43.87;50.19;50.75;31.30;32.46;16.67;16.79;7.22;7.65;2.41;3.17;12.59;13.62;22.59;22.76;32.96;32.46;49.81;49.25
Municipios;1678;Velilla de San Antonio;2.03;4.56;889.92;930.46;39.02;39.23;42.57;42.65;23.28;23.94;9.84;10.33;3.68;3.87;1.24;1.33;16.29;15.87;29.33;28.95;40.78;41.00;57.43;57.35
Municipios;1684;Vellón (El);1.53;3.92;63.21;65.68;41.86;42.11;45.66;46.39;26.77;27.58;16.19;15.90;8.31;8.31;2.83;2.95;16.05;14.99;24.98;25.40;35.60;35.71;54.34;53.61
Municipios;1697;Venturada;3.01;4.10;240.86;250.73;41.79;41.84;51.01;51.31;29.06;29.40;13.51;13.41;5.93;6.00;1.66;1.72;15.14;15.01;28.21;27.80;36.44;36.76;48.99;48.69
Municipios;1718;Villa del Prado;4.38;2.56;91.48;93.82;42.26;42.29;46.68;46.52;30.74;30.90;17.82;17.83;9.33;9.38;3.61;3.57;16.01;15.47;27.09;27.19;38.84;39.05;53.32;53.48
Municipios;1701;Villaconejos;0.15;1.42;103.42;104.90;43.10;43.36;48.01;48.60;32.12;32.96;19.00;19.47;9.50;9.51;2.90;2.92;14.58;14.03;25.24;25.06;37.79;37.08;51.99;51.40
Municipios;1723;Villalbilla;5.28;6.05;456.25;483.87;37.39;37.65;37.71;38.35;20.77;20.98;10.00;10.29;3.54;3.81;1.11;1.13;20.66;20.27;31.08;30.70;41.52;41.26;62.29;61.65
Municipios;1739;Villamanrique de Tajo;-0.65;5.50;25.77;27.19;45.88;46.19;52.16;52.67;35.78;35.78;22.02;21.74;11.80;11.55;3.93;4.10;11.93;10.56;21.89;21.24;31.59;31.55;47.84;47.33
Municipios;1744;Villamanta;2.83;2.17;43.04;43.98;43.74;43.92;48.07;49.28;32.57;33.00;19.72;20.24;11.20;10.96;5.62;5.03;15.42;15.13;25.38;25.05;37.24;36.77;51.93;50.72
Municipios;1757;Villamantilla;3.30;1.21;65.37;66.17;39.30;39.85;44.09;45.08;23.26;23.99;11.31;11.11;5.62;5.37;2.11;2.34;19.68;18.37;30.67;29.67;39.62;38.01;55.91;54.92
Municipios;1782;Villanueva de Perales;3.30;3.19;52.81;54.50;40.97;41.09;47.62;47.96;26.73;27.07;13.79;13.54;5.72;5.66;1.57;1.46;16.13;15.75;28.36;28.30;36.66;36.52;52.38;52.04
Municipios;1760;Villanueva de la Cañada;1.70;2.80;656.37;674.76;38.78;38.92;42.41;42.69;25.18;25.62;11.92;12.32;5.24;5.50;1.70;1.71;17.64;17.34;32.80;33.00;44.31;44.42;57.59;57.31
Municipios;1776;Villanueva del Pardillo;0.60;1.74;682.51;694.38;37.59;38.21;43.06;44.25;20.30;21.62;9.10;9.67;4.02;4.37;1.18;1.29;19.99;18.33;34.55;33.85;43.53;43.37;56.94;55.75
Municipios;1795;Villar del Olmo;1.51;1.39;80.04;81.15;42.04;42.18;48.81;48.71;31.33;31.74;13.75;13.96;5.26;4.96;1.80;1.55;14.11;14.23;25.71;26.29;36.81;35.99;51.19;51.29
Municipios;1809;Villarejo de Salvanés;0.85;1.39;63.90;64.79;41.99;42.21;46.40;46.73;30.41;30.91;16.93;17.42;8.27;8.40;3.19;3.27;15.57;15.29;27.02;26.81;38.70;38.56;53.60;53.27
Municipios;1816;Villaviciosa de Odón;0.38;2.10;412.18;420.84;43.48;43.51;50.29;50.31;34.05;34.08;20.31;20.48;8.87;9.32;2.62;2.67;13.65;13.12;27.47;27.85;37.71;38.33;49.71;49.69
Municipios;1821;Villavieja del Lozoya;5.00;7.82;12.61;13.60;45.63;44.75;56.46;54.26;35.37;35.33;19.05;17.67;10.54;9.46;2.72;2.84;11.22;12.62;24.49;23.34;32.99;33.44;43.54;45.74
Municipios;1837;Zarzalejo;-0.40;2.21;87.37;89.30;43.22;43.43;51.53;52.25;33.16;33.56;17.01;17.42;8.96;9.26;3.74;3.61;16.50;16.14;26.59;26.29;35.03;34.55;48.47;47.75
