Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2020;crecimiento_relativo_poblacion_2021;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2020;densidad_poblacion_2021;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2020;edad_media_total_2021;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2020;grado_envejecimiento_mayores_45_2021;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2020;grado_envejecimiento_mayores_55_2021;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2020;grado_envejecimiento_mayores_65_2021;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2020;grado_envejecimiento_mayores_75_2021;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2020;grado_envejecimiento_mayores_85_2021;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2020;grado_juventud_menores_15_2021;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2020;grado_juventud_menores_25_2021;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2020;grado_juventud_menores_35_2021;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2020;grado_juventud_menores_45_2021;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0029;Ajalvir;0.19;-0.95;1.6;;238.43;236.16;239.95;;38.81;39.37;39.73;;41.18;42.99;43.82;;20.93;22.39;23.09;;10.42;11.01;11.39;;4.72;4.9;5.41;;1.5;1.63;1.81;;16.78;16.0;14.9;;26.31;26.09;26.23;;38.51;37.79;37.97;;58.82;57.01;56.18;
Municipios;0035;Alameda del Valle;2.0;20.59;-2.03;;7.93;9.56;9.36;;49.75;47.89;48.72;;66.18;62.2;62.66;;42.16;42.68;46.06;;23.53;21.14;25.31;;12.75;10.57;11.62;;3.92;3.25;4.15;;9.31;12.6;11.62;;16.18;18.29;17.43;;22.55;24.8;26.14;;33.82;37.8;37.34;
Municipios;0040;Alamo (El);4.14;0.47;2.17;;448.07;450.16;459.93;;41.57;41.58;42.23;;45.71;46.1;47.22;;28.76;28.94;30.15;;18.06;17.77;18.68;;10.64;10.1;10.89;;5.01;4.49;4.98;;17.11;16.76;15.99;;27.86;27.8;27.34;;38.73;38.44;38.06;;54.29;53.9;52.78;
Municipios;0053;Alcalá de Henares;0.98;-0.8;0.46;;2245.28;2227.32;2237.62;;42.32;42.62;42.99;;47.65;48.61;49.56;;30.95;31.5;32.15;;18.18;18.53;19.02;;8.08;8.32;8.69;;2.32;2.32;2.48;;14.43;14.08;13.74;;24.81;24.65;24.41;;36.38;35.91;35.56;;52.35;51.39;50.44;
Municipios;0066;Alcobendas;1.18;-1.54;0.39;;2615.79;2575.41;2585.4;;40.5;40.94;41.3;;44.26;45.49;46.54;;27.92;28.79;29.49;;16.49;16.9;17.28;;6.9;7.34;7.83;;1.9;1.92;2.04;;16.49;16.14;15.87;;27.47;27.21;27.07;;39.28;38.69;38.37;;55.74;54.51;53.46;
Municipios;0072;Alcorcón;1.1;-0.91;-0.31;;5130.48;5083.84;5068.33;;43.74;43.99;44.45;;50.08;51.09;52.31;;33.02;33.34;34.06;;22.58;22.52;22.78;;10.68;11.28;12.01;;2.55;2.55;2.81;;14.66;14.31;13.8;;24.26;24.3;24.12;;33.65;33.52;33.3;;49.92;48.91;47.69;
Municipios;0088;Aldea del Fresno;4.76;3.77;4.6;;57.52;59.68;62.43;;42.29;42.38;42.91;;46.92;47.33;48.74;;31.48;31.64;32.38;;18.97;19.16;19.52;;9.42;9.56;10.13;;3.5;3.34;3.94;;16.82;16.18;15.77;;25.29;24.89;24.48;;36.63;36.47;35.61;;53.08;52.67;51.26;
Municipios;0091;Algete;1.23;-0.55;0.09;;549.78;546.75;547.22;;39.43;39.89;40.15;;44.37;45.41;46.17;;26.87;27.97;28.98;;12.72;13.34;14.04;;5.61;5.82;5.95;;1.92;1.89;1.91;;16.81;16.13;16.17;;30.43;30.15;30.08;;41.35;40.7;40.45;;55.63;54.59;53.83;
Municipios;0105;Alpedrete;1.81;0.81;0.31;;1171.19;1180.66;1184.37;;40.06;40.52;40.89;;46.67;47.98;49.09;;25.98;27.17;28.1;;13.75;14.04;14.18;;6.89;7.09;7.29;;2.1;2.05;2.16;;17.48;16.55;15.85;;29.97;29.67;29.4;;39.04;38.77;38.5;;53.33;52.02;50.91;
Municipios;0112;Ambite;2.87;8.7;-2.11;;23.59;25.64;25.1;;45.98;45.64;46.17;;55.67;54.98;56.94;;33.83;34.14;37.04;;20.53;21.0;21.91;;13.14;12.69;12.65;;4.6;4.83;5.71;;11.82;12.39;13.27;;19.7;20.54;20.52;;28.08;29.0;28.09;;44.33;45.02;43.06;
Municipios;0127;Anchuelo;1.18;5.68;-0.37;;59.51;62.89;62.66;;39.81;39.34;39.24;;41.06;41.21;41.8;;25.89;25.24;25.78;;13.92;13.39;13.59;;6.45;6.4;5.98;;2.57;2.13;1.92;;18.12;18.25;19.72;;26.05;27.52;28.36;;38.1;39.51;39.36;;58.94;58.79;58.2;
Municipios;0133;Aranjuez;1.22;-0.83;-0.12;;318.93;316.29;315.92;;40.83;41.15;41.49;;44.9;45.92;46.9;;28.75;29.36;30.12;;16.68;16.89;17.31;;8.2;8.26;8.4;;2.78;2.72;2.75;;16.96;16.65;16.33;;27.91;27.62;27.47;;39.02;38.56;38.18;;55.1;54.08;53.1;
Municipios;0148;Arganda del Rey;2.33;-0.52;2.07;;705.65;702.02;716.55;;38.65;38.94;39.36;;40.05;41.27;42.48;;23.72;24.16;24.88;;12.37;12.61;13.04;;5.19;5.17;5.36;;1.74;1.55;1.57;;18.28;17.93;17.41;;28.19;28.04;27.8;;40.65;40.23;39.68;;59.95;58.73;57.52;
Municipios;0151;Arroyomolinos;4.9;2.28;3.4;;1582.65;1618.79;1673.86;;33.26;33.86;34.32;;29.9;31.96;33.99;;13.26;13.93;14.81;;5.91;6.33;6.77;;1.85;1.99;2.22;;0.42;0.45;0.53;;25.99;25.17;24.71;;35.59;35.48;35.43;;45.03;44.26;43.7;;70.1;68.04;66.01;
Municipios;0164;Atazar (El);1.12;21.11;-1.83;;3.16;3.83;3.76;;50.23;47.64;48.38;;66.67;62.39;63.55;;43.33;36.7;39.25;;23.33;20.18;19.63;;14.44;13.76;12.15;;3.33;4.59;4.67;;5.56;9.17;7.48;;15.56;19.27;17.76;;24.44;24.77;24.3;;33.33;37.61;36.45;
Municipios;0170;Batres;3.92;4.0;0.16;;81.85;85.13;85.27;;41.58;41.79;42.08;;50.46;50.16;51.01;;29.43;29.89;30.39;;15.09;15.16;15.69;;4.97;4.89;5.6;;1.77;1.54;1.54;;14.8;13.9;13.38;;25.94;25.55;25.67;;35.66;35.49;35.33;;49.54;49.84;48.99;
Municipios;0186;Becerril de la Sierra;2.82;3.97;1.46;;198.08;205.93;208.93;;41.54;41.99;42.13;;48.15;49.21;49.62;;29.51;30.34;30.74;;15.8;16.03;16.14;;7.37;7.42;7.5;;2.57;2.55;2.44;;16.02;15.14;14.67;;26.72;26.39;26.29;;36.32;35.59;35.65;;51.85;50.79;50.38;
Municipios;0199;Belmonte de Tajo;1.14;4.04;1.03;;69.86;72.69;73.43;;41.88;42.19;42.32;;45.4;46.49;46.98;;30.54;30.61;30.98;;16.7;17.36;17.81;;8.56;8.51;8.48;;3.09;3.54;3.28;;15.27;15.25;15.15;;24.24;24.33;24.7;;36.72;36.32;36.01;;54.6;53.51;53.02;
Municipios;0210;Berrueco (El);2.24;2.45;0.63;;27.33;28.0;28.17;;45.2;45.34;45.23;;51.22;52.89;53.43;;36.94;37.19;37.7;;23.94;23.62;23.47;;12.23;12.31;11.86;;4.38;5.15;4.87;;15.32;15.45;15.23;;22.27;22.74;23.1;;31.02;30.28;30.09;;48.78;47.11;46.57;
Municipios;0203;Berzosa del Lozoya;8.29;-2.7;5.09;;15.17;14.76;15.52;;50.5;49.78;48.64;;63.96;62.96;62.11;;48.2;46.76;45.37;;26.58;28.7;27.31;;15.77;14.81;13.22;;9.01;8.33;5.73;;8.56;10.19;8.81;;22.07;23.15;22.47;;28.83;30.56;31.28;;36.04;37.04;37.89;
Municipios;0225;Boadilla del Monte;3.97;4.09;6.05;;1194.65;1243.46;1318.74;;37.3;37.45;37.62;;42.68;43.11;43.55;;21.5;21.91;22.37;;11.28;11.13;11.17;;5.04;5.1;5.22;;1.52;1.45;1.54;;21.55;20.97;20.5;;34.89;34.94;34.84;;42.66;42.7;42.69;;57.32;56.89;56.45;
Municipios;0231;Boalo (El);2.06;4.52;2.58;;190.95;199.58;204.73;;39.01;39.41;39.72;;44.71;45.99;47.25;;23.62;24.27;25.05;;12.07;12.2;12.33;;5.31;5.49;5.53;;1.58;1.65;1.53;;19.9;19.4;18.78;;29.78;29.57;29.7;;37.92;37.53;37.59;;55.29;54.01;52.75;
Municipios;0246;Braojos;0.49;5.83;0.0;;8.26;8.74;8.74;;44.67;44.58;45.43;;51.46;50.46;52.29;;33.98;34.86;35.32;;18.45;18.81;19.72;;9.71;10.09;10.55;;3.88;5.05;5.05;;8.74;9.17;8.26;;22.82;22.02;21.1;;32.04;33.03;31.65;;48.54;49.54;47.71;
Municipios;0259;Brea de Tajo;-3.44;3.36;3.44;;11.3;11.68;12.09;;47.95;48.41;47.9;;55.53;56.79;57.49;;42.09;42.45;41.77;;28.26;30.02;28.65;;16.01;16.25;15.71;;5.34;5.35;5.18;;8.1;8.41;8.87;;22.33;20.08;21.44;;31.82;30.02;31.42;;44.47;43.21;42.51;
Municipios;0262;Brunete;0.22;-0.32;1.11;;218.65;217.96;220.38;;38.96;39.4;40.05;;42.48;43.78;45.54;;23.56;24.59;26.07;;12.22;12.6;13.43;;5.6;5.61;6.21;;1.96;1.82;2.07;;17.61;16.63;15.92;;29.73;29.28;28.83;;40.46;39.94;39.54;;57.52;56.22;54.46;
Municipios;0278;Buitrago del Lozoya;3.98;-0.97;0.41;;75.43;74.7;75.01;;41.68;42.56;42.41;;45.43;47.78;47.95;;30.37;31.34;31.57;;18.17;19.12;19.15;;10.77;10.88;10.63;;4.8;4.64;4.62;;16.44;15.41;15.97;;28.89;27.11;27.41;;39.51;37.99;38.4;;54.57;52.22;52.05;
Municipios;0284;Bustarviejo;0.76;7.1;0.19;;44.88;48.06;48.15;;42.26;42.46;42.95;;49.01;49.69;51.48;;29.86;29.8;30.6;;15.5;15.4;15.85;;8.01;7.92;7.8;;3.41;3.26;3.25;;16.46;15.7;15.19;;24.43;24.07;23.87;;33.58;33.32;32.71;;50.99;50.31;48.52;
