Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2020;crecimiento_relativo_poblacion_2021;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2020;densidad_poblacion_2021;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2020;edad_media_total_2021;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2020;grado_envejecimiento_mayores_45_2021;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2020;grado_envejecimiento_mayores_55_2021;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2020;grado_envejecimiento_mayores_65_2021;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2020;grado_envejecimiento_mayores_75_2021;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2020;grado_envejecimiento_mayores_85_2021;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2020;grado_juventud_menores_15_2021;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2020;grado_juventud_menores_25_2021;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2020;grado_juventud_menores_35_2021;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2020;grado_juventud_menores_45_2021;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0474;Collado Villalba;1.1;-0.86;0.69;;2552.66;2530.73;2548.1;;40.43;40.86;41.23;;44.49;45.64;46.48;;27.54;28.46;29.45;;14.21;14.61;15.11;;6.46;6.57;6.83;;2.13;2.14;2.28;;15.41;15.03;14.6;;26.7;26.35;26.06;;39.36;38.7;38.46;;55.51;54.36;53.52;
Municipios;0455;Colmenar Viejo;2.34;1.04;1.73;;283.85;286.81;291.78;;39.38;39.53;39.89;;42.13;42.71;43.54;;25.84;26.27;26.95;;13.42;13.43;13.77;;6.3;6.23;6.36;;2.47;2.31;2.35;;17.36;17.16;16.87;;28.51;28.43;28.17;;40.75;40.39;39.76;;57.87;57.29;56.46;
Municipios;0437;Colmenar de Oreja;1.52;1.83;1.91;;64.49;65.67;66.93;;42.77;43.04;43.22;;48.65;49.48;49.95;;32.01;32.53;32.7;;18.29;18.48;18.67;;9.63;9.44;9.21;;3.42;3.3;3.3;;14.43;14.36;13.9;;25.4;25.14;24.88;;36.15;35.77;35.56;;51.35;50.52;50.05;
Municipios;0421;Colmenar del Arroyo;3.48;5.04;3.25;;36.2;38.02;39.26;;43.45;43.36;43.7;;49.02;49.49;50.52;;32.16;32.27;33.16;;19.5;19.04;19.11;;9.86;9.71;10.07;;4.31;4.0;3.98;;15.13;14.99;14.41;;23.08;23.15;23.14;;33.95;33.71;33.73;;50.98;50.51;49.48;
Municipios;0442;Colmenarejo;1.1;1.58;1.03;;293.02;297.65;300.73;;38.84;39.27;39.77;;43.95;44.77;45.87;;24.44;25.36;26.52;;11.84;12.14;12.74;;5.1;5.25;5.53;;1.56;1.7;1.66;;17.65;16.74;16.19;;31.29;31.04;30.56;;41.06;40.69;40.5;;56.05;55.23;54.13;
Municipios;0480;Corpa;1.4;2.63;2.96;;27.85;28.58;29.43;;39.83;39.68;40.52;;39.97;39.89;42.93;;26.83;26.68;27.88;;16.04;15.09;16.62;;8.02;7.14;7.46;;3.04;2.83;3.01;;19.64;19.27;18.19;;26.97;26.95;26.44;;39.28;38.81;37.96;;60.03;60.11;57.07;
Municipios;0493;Coslada;-0.33;-0.14;-0.83;;6765.67;6755.86;6699.58;;43.6;43.98;44.51;;49.49;50.57;51.89;;35.19;35.63;36.33;;19.98;20.7;21.68;;6.82;7.19;7.75;;1.78;1.77;1.85;;13.14;12.85;12.46;;21.71;21.58;21.38;;34.18;33.65;32.9;;50.51;49.43;48.11;
Municipios;0506;Cubas de la Sagra;1.96;1.58;0.84;;506.9;514.88;519.22;;37.31;37.17;37.36;;37.91;38.71;40.12;;20.63;20.46;20.74;;11.13;10.61;10.54;;6.24;5.75;5.36;;3.29;2.77;2.45;;22.45;22.12;21.22;;32.99;33.32;33.58;;41.75;41.92;41.62;;62.09;61.29;59.88;
Municipios;0534;Daganzo de Arriba;1.29;1.77;1.24;;237.96;242.17;245.17;;36.4;36.83;37.35;;41.12;42.73;44.07;;17.7;18.74;20.14;;7.78;8.0;8.36;;3.32;3.3;3.5;;1.04;0.99;1.23;;21.27;20.31;19.21;;34.5;34.29;34.0;;42.41;42.11;41.75;;58.88;57.27;55.93;
Municipios;0549;Escorial (El);1.26;1.4;0.14;;237.79;241.12;241.47;;42.93;43.21;43.61;;50.31;50.86;51.63;;33.21;34.07;35.17;;17.81;18.15;18.82;;8.12;8.29;8.62;;2.87;2.8;2.92;;14.1;13.78;13.45;;24.95;24.67;24.47;;35.32;35.16;34.92;;49.69;49.14;48.37;
Municipios;0552;Estremera;5.87;3.52;2.1;;16.84;17.44;17.8;;45.83;45.62;45.89;;52.47;52.79;53.4;;36.66;35.92;36.81;;24.14;23.24;23.33;;15.67;13.76;13.33;;7.27;6.23;6.74;;13.57;13.32;13.05;;23.39;23.03;22.2;;33.96;32.8;32.41;;47.53;47.21;46.6;
Municipios;0565;Fresnedillas de la Oliva;5.03;5.51;2.41;;58.09;61.29;62.77;;38.78;38.71;39.37;;41.37;41.56;42.88;;25.5;25.6;26.35;;12.48;12.28;13.06;;5.45;5.57;5.94;;2.12;1.78;1.91;;18.9;18.89;18.33;;30.28;30.37;29.65;;41.91;41.73;40.3;;58.63;58.44;57.12;
Municipios;0571;Fresno de Torote;3.51;5.09;1.16;;72.34;76.02;76.9;;39.57;39.78;40.04;;44.28;44.62;45.34;;24.31;24.75;24.8;;14.05;14.28;14.48;;5.92;6.62;6.87;;1.3;1.61;1.76;;19.18;18.63;18.13;;28.06;28.31;28.27;;37.41;37.46;37.64;;55.72;55.38;54.66;
Municipios;0587;Fuenlabrada;0.42;-1.17;-1.22;;4960.83;4902.65;4842.92;;40.4;40.93;41.51;;44.87;46.06;47.24;;28.69;29.69;30.84;;13.59;14.75;16.05;;4.26;4.5;4.81;;1.29;1.32;1.4;;15.27;14.82;14.28;;26.28;26.05;25.7;;38.47;37.68;36.99;;55.13;53.94;52.76;
Municipios;0590;Fuente el Saz de Jarama;1.66;1.12;2.19;;205.22;207.51;212.06;;40.15;40.43;40.64;;44.72;45.58;45.83;;27.03;27.59;27.94;;14.34;14.51;14.47;;6.54;6.58;6.41;;2.37;2.32;2.3;;16.0;15.72;15.61;;28.32;28.3;28.06;;39.9;39.29;38.7;;55.28;54.42;54.17;
Municipios;0604;Fuentidueña de Tajo;4.04;4.31;0.99;;35.46;36.99;37.36;;43.17;43.06;43.54;;49.39;48.88;49.73;;33.24;33.35;33.96;;18.91;18.76;19.11;;8.19;8.12;8.36;;3.14;3.23;3.24;;13.72;13.6;13.69;;23.31;23.7;22.84;;35.35;35.41;34.53;;50.61;51.12;50.27;
Municipios;0611;Galapagar;2.24;0.62;0.35;;528.77;532.07;533.94;;39.69;40.24;40.71;;44.64;45.83;46.8;;27.16;28.41;29.56;;13.06;13.6;14.24;;5.68;5.99;6.3;;1.86;1.95;2.02;;16.69;16.14;15.55;;29.23;28.65;28.27;;40.65;39.99;39.59;;55.36;54.17;53.2;
Municipios;0626;Garganta de los Montes;8.65;9.02;-3.89;;9.34;10.18;9.79;;47.18;46.25;47.12;;56.5;56.45;58.23;;38.73;37.96;39.75;;21.75;20.44;22.03;;10.08;9.0;9.62;;3.98;2.68;2.28;;7.96;9.25;8.86;;16.18;16.79;15.44;;28.65;27.74;27.34;;43.5;43.55;41.77;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;-2.22;11.33;4.94;;12.77;14.21;14.92;;48.12;47.69;47.51;;62.78;62.79;64.27;;41.1;38.95;41.27;;22.33;21.22;21.61;;9.71;8.72;8.86;;3.24;2.91;3.05;;12.62;11.34;10.53;;17.8;17.73;18.84;;24.6;24.71;25.76;;37.22;37.21;35.73;
Municipios;0647;Gascones;-8.81;8.52;10.99;;8.77;9.52;10.57;;42.68;42.63;42.73;;51.7;50.26;50.94;;32.39;33.51;34.43;;18.18;18.32;17.45;;5.68;6.81;7.08;;1.14;1.57;1.42;;14.2;14.66;15.57;;23.3;23.56;23.11;;35.8;37.7;37.26;;48.3;49.74;49.06;
Municipios;0650;Getafe;0.98;-1.13;0.07;;2353.29;2326.79;2328.36;;41.88;42.18;42.47;;45.98;47.11;48.04;;29.95;30.39;30.82;;19.23;19.45;19.61;;8.63;9.22;9.75;;2.11;2.15;2.27;;15.81;15.77;15.53;;25.19;25.19;25.23;;36.66;36.14;35.81;;54.02;52.89;51.96;
Municipios;0663;Griñón;1.12;0.31;0.23;;610.23;612.11;613.51;;40.25;40.61;40.99;;44.49;45.65;46.74;;27.38;27.87;28.78;;14.87;15.1;15.73;;6.72;6.6;6.7;;2.91;2.8;2.91;;16.95;16.59;16.13;;28.8;28.6;28.46;;38.97;38.39;38.16;;55.51;54.35;53.26;
Municipios;0679;Guadalix de la Sierra;3.64;2.39;1.18;;106.78;109.34;110.63;;40.23;40.52;40.98;;46.27;46.77;47.83;;25.92;26.74;27.86;;13.85;14.23;14.66;;6.86;6.76;7.03;;2.41;2.32;2.41;;16.72;16.36;15.92;;28.42;28.21;27.71;;38.29;38.19;37.75;;53.73;53.23;52.17;
Municipios;0685;Guadarrama;3.29;1.13;1.04;;289.56;292.83;295.87;;41.8;41.94;42.35;;47.62;48.29;49.41;;30.01;30.42;31.41;;17.26;17.04;17.33;;8.75;8.49;8.59;;3.43;3.05;3.11;;16.09;15.68;15.12;;27.07;26.95;26.65;;37.2;36.91;36.46;;52.38;51.71;50.59;
Municipios;0698;Hiruela (La);14.04;10.77;4.17;;3.79;4.19;4.37;;53.54;52.13;50.88;;72.31;69.44;66.67;;56.92;51.39;50.67;;27.69;26.39;26.67;;13.85;11.11;10.67;;3.08;2.78;2.67;;4.62;6.94;9.33;;9.23;11.11;13.33;;15.38;13.89;17.33;;27.69;30.56;33.33;
Municipios;0702;Horcajo de la Sierra-Aoslos;4.83;11.84;18.24;;7.16;8.01;9.47;;44.67;44.55;44.93;;51.32;50.59;49.75;;35.53;35.29;35.32;;19.74;21.76;21.89;;7.89;7.06;6.47;;1.97;1.76;1.49;;15.13;15.29;12.94;;17.76;19.41;17.91;;30.26;29.41;28.86;;48.68;49.41;50.25;
Municipios;0719;Horcajuelo de la Sierra;3.49;19.1;3.77;;3.73;4.44;4.61;;47.61;46.65;46.93;;61.8;60.38;60.0;;41.57;38.68;42.73;;25.84;23.58;24.55;;11.24;13.21;13.64;;4.49;2.83;2.73;;11.24;12.26;13.64;;20.22;21.7;21.82;;29.21;31.13;33.64;;38.2;39.62;40.0;
Municipios;0724;Hoyo de Manzanares;1.13;1.77;1.51;;188.53;191.87;194.76;;40.83;41.09;41.55;;46.86;47.6;48.39;;29.76;30.4;31.36;;14.39;14.47;14.85;;6.79;6.73;6.8;;2.43;2.26;2.34;;15.78;15.31;15.0;;28.34;27.94;27.13;;39.47;39.33;38.67;;53.14;52.4;51.61;
Municipios;0730;Humanes de Madrid;-0.21;0.18;0.52;;1000.56;1002.34;1007.52;;36.01;36.45;37.04;;34.31;35.92;37.79;;19.13;19.79;20.44;;9.09;9.53;10.13;;3.26;3.35;3.58;;0.97;0.96;1.03;;21.88;21.33;20.42;;31.62;31.47;31.1;;43.51;43.05;42.3;;65.69;64.08;62.21;
Municipios;0745;Leganés;0.66;-1.75;-0.59;;4418.82;4341.32;4315.84;;43.54;43.94;44.35;;49.1;50.37;51.67;;33.55;34.11;34.68;;22.21;22.43;22.7;;9.87;10.49;11.15;;2.34;2.48;2.72;;14.65;14.38;13.95;;23.84;23.7;23.58;;34.58;34.1;33.82;;50.9;49.63;48.33;
Municipios;0758;Loeches;1.21;-0.42;0.95;;200.61;199.77;201.67;;36.63;37.04;37.52;;37.35;39.0;40.94;;18.26;19.47;20.54;;8.18;8.56;8.94;;3.62;3.56;3.64;;1.32;1.25;1.3;;19.69;19.36;18.67;;30.66;30.56;30.39;;42.41;41.72;41.17;;62.65;61.0;59.06;
Municipios;0761;Lozoya;-0.17;2.24;1.52;;10.02;10.25;10.4;;49.42;49.86;50.23;;61.21;63.58;64.12;;42.59;43.68;44.85;;27.24;26.64;27.24;;13.1;12.14;12.29;;4.83;3.88;3.82;;8.62;7.42;6.64;;16.03;14.67;13.95;;24.31;23.78;23.75;;38.79;36.42;35.88;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;3.16;5.0;3.84;;26.03;27.34;28.39;;44.11;44.23;44.21;;50.37;51.53;51.88;;32.01;31.84;32.24;;20.15;19.76;19.78;;11.72;11.37;11.29;;5.07;4.55;5.2;;14.03;14.07;14.24;;23.58;23.74;23.55;;33.21;33.05;33.4;;49.63;48.47;48.12;
Municipios;0783;Madarcos;2.08;16.33;10.53;;5.72;6.66;7.36;;53.1;48.11;48.56;;73.47;59.65;61.9;;44.9;35.09;38.1;;30.61;28.07;28.57;;22.45;17.54;17.46;;6.12;5.26;4.76;;8.16;12.28;11.11;;12.24;17.54;15.87;;20.41;29.82;30.16;;26.53;40.35;38.1;
Municipios;0796;Madrid;2.1;-0.88;-0.75;;5512.13;5463.66;5422.96;;43.56;43.7;43.95;;48.22;48.7;49.41;;32.79;33.16;33.76;;20.06;20.06;20.3;;11.0;10.96;11.07;;4.02;3.99;4.11;;13.08;12.89;12.66;;22.64;22.49;22.37;;36.21;36.06;35.83;;51.78;51.3;50.59;
Municipios;0800;Majadahonda;0.46;-0.17;0.2;;1874.64;1871.5;1875.27;;40.35;40.74;41.14;;45.36;46.21;47.17;;28.83;29.64;30.55;;16.78;17.12;17.61;;7.1;7.47;8.0;;2.04;2.03;2.16;;17.41;16.84;16.44;;29.68;29.36;29.32;;40.34;39.94;39.58;;54.64;53.79;52.83;
Municipios;0822;Manzanares el Real;1.09;2.98;0.49;;69.92;72.0;72.36;;39.68;40.11;40.61;;45.0;46.03;47.57;;24.53;25.16;26.08;;12.44;12.61;13.11;;5.62;5.72;6.05;;1.59;1.64;1.86;;18.18;17.72;17.13;;27.59;27.33;27.25;;36.85;36.41;35.65;;55.0;53.97;52.43;
Municipios;0838;Meco;2.55;1.59;1.61;;419.74;426.41;433.28;;36.9;37.29;37.7;;38.94;40.13;41.1;;19.91;20.83;21.88;;8.3;8.69;8.92;;3.39;3.26;3.3;;1.15;1.0;1.04;;19.28;18.45;17.84;;30.91;30.52;30.09;;42.86;42.31;41.9;;61.06;59.87;58.9;
Municipios;0843;Mejorada del Campo;1.57;0.41;0.67;;1316.94;1322.4;1331.31;;39.34;39.71;40.17;;41.83;42.64;44.04;;25.67;26.51;27.31;;12.59;13.17;13.89;;4.28;4.39;4.64;;1.35;1.38;1.48;;16.49;16.1;15.82;;27.37;27.14;26.99;;39.38;39.12;38.4;;58.17;57.36;55.96;
Municipios;0856;Miraflores de la Sierra;4.16;3.51;1.91;;112.7;116.65;118.88;;41.2;41.54;41.87;;46.93;47.96;49.13;;28.18;29.01;29.74;;14.37;14.64;14.71;;6.96;7.23;7.06;;2.03;2.11;1.95;;15.51;15.34;14.68;;25.48;25.45;25.42;;36.42;36.14;35.48;;53.07;52.04;50.87;
Municipios;0869;Molar (El);3.9;0.04;1.57;;184.96;185.04;187.95;;38.52;38.99;39.32;;39.6;41.15;42.13;;22.57;23.17;23.95;;11.88;12.1;12.25;;5.16;5.28;5.49;;1.95;1.8;1.85;;17.78;17.48;17.23;;27.68;27.47;27.45;;40.73;39.48;39.27;;60.4;58.85;57.87;
Municipios;0875;Molinos (Los);1.0;2.93;2.98;;231.13;237.9;244.99;;44.08;44.22;44.46;;52.13;52.58;52.56;;35.42;36.23;37.26;;18.86;19.26;19.6;;9.59;9.62;9.9;;3.11;3.31;3.58;;12.38;12.43;11.9;;23.69;23.69;23.41;;34.81;35.37;35.22;;47.87;47.42;47.44;
Municipios;0881;Montejo de la Sierra;3.12;0.27;1.92;;11.3;11.33;11.55;;49.89;50.35;50.89;;64.56;64.38;63.98;;42.58;44.66;45.43;;25.55;26.58;28.23;;18.41;19.45;19.62;;8.79;7.67;8.87;;7.97;7.12;7.26;;21.15;20.55;19.35;;26.37;27.12;26.34;;35.44;35.62;36.02;
Municipios;0894;Moraleja de Enmedio;1.25;1.81;1.4;;166.72;169.73;172.11;;39.59;39.77;40.07;;43.17;43.73;44.43;;26.08;26.73;27.33;;12.9;13.3;14.12;;5.63;5.55;5.7;;2.13;1.98;2.09;;17.44;17.17;16.93;;28.15;28.03;28.04;;39.6;39.44;39.1;;56.83;56.27;55.57;
Municipios;0908;Moralzarzal;2.36;1.79;2.45;;306.18;311.66;319.29;;39.76;40.11;40.6;;46.5;47.87;49.03;;25.41;26.26;27.16;;12.91;13.24;13.56;;6.34;6.31;6.55;;2.06;1.93;2.07;;17.95;17.16;16.25;;30.28;30.09;29.56;;38.69;38.61;38.02;;53.5;52.13;50.97;
Municipios;0915;Morata de Tajuña;2.13;0.98;0.45;;173.15;174.85;175.64;;41.87;41.79;42.42;;45.85;46.31;47.76;;30.16;30.12;31.44;;17.7;17.19;18.1;;9.21;8.64;9.12;;3.86;3.15;3.61;;16.02;15.74;15.2;;25.49;25.63;25.1;;37.89;37.86;37.22;;54.15;53.69;52.24;
Municipios;0920;Móstoles;0.54;-0.32;-0.42;;4676.65;4661.75;4642.23;;42.81;43.14;43.58;;47.06;47.97;49.16;;33.28;33.71;34.34;;20.63;21.23;21.95;;7.05;7.56;8.19;;1.84;1.86;1.99;;14.36;14.19;14.0;;23.31;23.25;23.17;;35.3;34.77;34.18;;52.94;52.03;50.84;
Municipios;0936;Navacerrada;4.0;4.17;-0.06;;94.73;98.68;98.62;;43.78;43.82;44.46;;52.31;53.04;54.35;;32.97;33.11;34.4;;18.83;18.45;19.27;;9.12;8.85;9.11;;2.85;2.67;3.14;;14.23;13.98;13.46;;23.42;23.51;22.96;;32.97;32.73;32.1;;47.69;46.96;45.65;
Municipios;0941;Navalafuente;4.28;4.1;0.06;;123.95;129.04;129.12;;39.25;39.64;39.88;;43.02;44.5;45.17;;24.75;26.06;27.13;;11.91;12.14;12.71;;5.03;4.9;5.02;;1.59;1.65;1.72;;17.6;17.04;17.73;;27.53;26.76;27.45;;38.72;37.19;37.29;;56.98;55.5;54.83;
Municipios;0954;Navalagamella;1.03;3.15;3.27;;34.8;35.89;37.07;;39.75;39.92;39.87;;43.65;44.6;45.39;;25.29;26.29;26.66;;14.14;13.86;13.49;;6.3;5.99;5.66;;1.9;1.76;1.71;;17.94;17.54;17.3;;27.87;27.65;28.3;;39.48;39.23;39.27;;56.35;55.4;54.61;
Municipios;0967;Navalcarnero;2.34;2.37;2.23;;297.2;304.24;311.02;;37.53;37.68;38.19;;37.55;38.42;39.9;;22.03;22.38;23.06;;11.82;11.79;12.29;;5.86;5.63;5.86;;2.24;2.1;2.28;;20.72;20.53;20.05;;30.7;30.72;30.32;;42.02;41.73;41.1;;62.45;61.58;60.1;
Municipios;0973;Navarredonda y San Mamés;0.0;9.3;-2.13;;4.53;4.95;4.84;;55.29;53.6;53.28;;73.64;68.09;70.29;;58.91;57.45;59.42;;29.46;29.08;30.43;;14.73;13.48;13.77;;9.3;7.09;5.8;;2.33;3.55;4.35;;5.43;9.93;10.87;;17.83;22.7;21.01;;26.36;31.91;29.71;
Municipios;0992;Navas del Rey;1.64;3.24;2.35;;58.69;60.59;62.01;;42.34;42.34;42.48;;47.24;47.19;47.67;;30.75;30.96;31.43;;19.08;18.81;18.86;;9.61;9.37;9.54;;3.47;3.0;3.38;;15.14;14.5;14.74;;25.69;25.44;25.59;;37.56;37.36;36.76;;52.76;52.81;52.33;
Municipios;1006;Nuevo Baztán;2.84;2.73;1.96;;320.78;329.52;335.98;;40.71;41.13;41.44;;47.72;48.17;48.64;;28.71;29.38;30.16;;12.78;13.32;14.13;;4.48;4.68;4.97;;1.16;1.27;1.36;;14.84;14.28;14.08;;26.99;26.18;26.01;;37.73;37.33;36.76;;52.28;51.83;51.36;
Municipios;1013;Olmeda de las Fuentes;-0.57;3.18;5.32;;20.92;21.58;22.73;;41.15;41.64;41.71;;47.69;50.7;51.33;;28.03;28.57;28.46;;14.16;14.29;13.56;;6.65;7.0;6.65;;2.6;2.8;2.66;;17.63;17.09;16.49;;27.46;27.45;26.33;;33.53;33.61;34.04;;52.31;49.3;48.67;
Municipios;1028;Orusco de Tajuña;4.1;-0.31;2.71;;60.57;60.38;62.02;;44.1;44.53;44.45;;49.96;51.36;51.13;;34.05;33.69;33.18;;21.7;20.84;20.81;;13.13;12.55;11.92;;6.02;6.27;6.03;;15.6;13.87;13.42;;24.4;24.01;23.6;;35.52;34.78;34.16;;50.04;48.64;48.87;
Municipios;1049;Paracuellos de Jarama;2.56;1.23;0.82;;591.58;598.84;603.74;;34.74;35.2;35.75;;34.73;36.62;38.78;;15.54;16.26;17.19;;7.77;7.96;8.25;;3.31;3.46;3.5;;0.94;0.93;0.99;;25.52;24.99;24.18;;34.69;34.76;34.86;;42.92;42.44;42.0;;65.27;63.38;61.22;
Municipios;1065;Parla;2.58;-1.34;-0.84;;5343.55;5271.78;5227.26;;37.3;37.74;38.23;;36.65;38.25;39.98;;21.72;22.34;23.12;;11.82;12.38;12.98;;3.94;4.22;4.5;;1.02;1.0;1.06;;19.79;19.55;19.15;;29.9;29.92;29.79;;42.2;41.71;41.14;;63.35;61.75;60.02;
Municipios;1071;Patones;-0.37;-2.78;2.29;;15.37;14.95;15.29;;50.28;48.1;48.61;;59.0;56.87;56.53;;45.83;41.98;42.91;;31.91;28.63;30.04;;18.55;14.69;16.04;;10.95;7.82;8.96;;11.87;12.98;12.69;;17.81;19.27;19.4;;26.72;28.63;28.36;;41.0;43.13;43.47;
Municipios;1087;Pedrezuela;4.38;1.24;1.3;;215.41;218.07;220.91;;37.65;38.16;38.49;;38.81;40.89;41.75;;20.93;21.59;22.05;;10.68;10.52;10.78;;5.01;4.61;4.82;;2.1;1.83;1.79;;20.88;20.14;19.39;;29.43;28.91;28.68;;39.82;38.58;38.69;;61.19;59.11;58.25;
Municipios;1090;Pelayos de la Presa;3.08;5.64;1.41;;353.5;373.45;378.73;;42.95;43.13;43.34;;48.43;48.57;49.32;;32.4;33.0;33.48;;19.43;19.49;19.81;;10.16;9.8;10.12;;3.36;3.04;3.24;;13.98;13.62;13.88;;25.07;24.66;24.83;;36.14;35.73;35.61;;51.57;51.43;50.68;
Municipios;1104;Perales de Tajuña;1.87;2.31;1.9;;60.62;62.02;63.2;;41.71;41.66;41.7;;46.76;46.75;47.22;;29.3;29.78;29.68;;16.22;15.99;15.78;;8.96;8.47;8.37;;2.51;2.45;2.34;;15.62;15.79;15.91;;25.52;25.69;26.05;;36.66;36.19;36.35;;53.24;53.25;52.78;
Municipios;1111;Pezuela de las Torres;2.97;6.92;0.43;;20.79;22.22;22.32;;43.09;43.25;43.15;;47.64;48.11;47.91;;32.76;33.33;32.76;;19.72;20.28;19.76;;10.03;10.25;9.34;;4.15;4.53;3.87;;16.03;16.5;16.43;;23.07;23.73;24.17;;34.49;33.76;33.94;;52.36;51.89;52.09;
Municipios;1126;Pinilla del Valle;-0.52;3.16;1.02;;7.47;7.7;7.78;;50.16;50.04;49.98;;61.05;62.76;62.63;;46.32;47.45;46.97;;27.89;27.55;27.27;;14.74;13.78;13.13;;6.32;5.61;5.05;;7.37;7.65;9.6;;16.84;16.33;17.17;;23.68;24.49;24.24;;38.95;37.24;37.37;
Municipios;1132;Pinto;1.52;0.4;1.03;;859.66;863.08;871.97;;38.73;39.05;39.5;;40.39;41.79;43.2;;23.2;23.75;24.69;;12.56;12.75;13.2;;5.42;5.53;5.73;;1.7;1.69;1.79;;18.23;18.04;17.4;;28.1;28.06;27.99;;39.89;39.27;38.85;;59.61;58.21;56.8;
Municipios;1147;Piñuécar-Gandullas;-3.24;3.35;-0.54;;9.81;10.14;10.08;;45.89;46.96;46.16;;54.75;56.22;55.43;;35.2;37.84;36.96;;21.23;21.62;20.65;;13.97;14.05;11.41;;6.7;8.11;7.07;;12.29;11.35;12.5;;19.55;17.84;19.57;;31.28;28.65;29.35;;45.25;43.78;44.57;
Municipios;1150;Pozuelo de Alarcón;0.86;-0.04;0.68;;2022.86;2022.14;2035.92;;41.1;41.37;41.67;;47.55;48.17;48.74;;31.15;31.81;32.5;;17.62;17.87;18.3;;7.95;8.25;8.64;;2.46;2.5;2.6;;16.57;16.26;16.0;;30.11;29.89;29.73;;39.98;39.87;39.79;;52.45;51.83;51.26;
Municipios;1163;Pozuelo del Rey;2.18;1.54;-1.01;;37.88;38.46;38.07;;36.92;37.43;37.89;;34.98;35.71;37.27;;20.65;21.01;21.65;;9.73;9.92;10.61;;3.84;4.2;4.67;;1.54;1.43;1.7;;22.01;20.92;20.54;;28.07;27.98;28.44;;40.44;40.0;39.05;;65.02;64.29;62.73;
Municipios;1179;Prádena del Rincón;6.84;19.2;-1.34;;5.55;6.62;6.53;;46.54;45.62;46.64;;50.4;53.02;58.5;;35.2;32.89;34.69;;23.2;21.48;23.13;;18.4;15.44;15.65;;11.2;9.4;8.84;;15.2;16.11;13.61;;20.0;23.49;21.09;;30.4;31.54;31.29;;49.6;46.98;41.5;
Municipios;1185;Puebla de la Sierra;12.31;2.74;12.0;;1.29;1.32;1.48;;51.59;49.8;49.43;;68.49;64.0;60.71;;46.58;44.0;40.48;;31.51;26.67;25.0;;10.96;6.67;9.52;;5.48;2.67;2.38;;8.22;5.33;4.76;;9.59;6.67;5.95;;19.18;21.33;25.0;;31.51;36.0;39.29;
Municipios;9020;Puentes Viejas;2.95;2.86;-3.06;;11.93;12.27;11.9;;45.36;45.21;45.77;;53.51;53.13;54.66;;36.48;36.44;37.73;;20.89;20.45;21.09;;9.87;9.46;10.33;;3.43;3.34;3.73;;13.88;14.05;13.77;;21.17;21.28;20.66;;28.47;28.93;28.41;;46.49;46.87;45.34;
Municipios;1198;Quijorna;2.97;1.47;2.5;;137.78;139.81;143.31;;38.19;38.42;38.96;;41.97;43.2;44.34;;22.28;22.85;23.62;;12.68;12.58;12.79;;6.24;6.21;6.43;;2.03;1.7;2.09;;19.46;18.9;18.16;;32.7;32.48;31.96;;41.97;41.64;41.13;;58.03;56.8;55.66;
Municipios;1202;Rascafría;3.67;1.68;-1.03;;11.55;11.74;11.62;;47.71;48.15;49.06;;57.91;59.18;60.83;;41.51;43.39;45.91;;23.88;24.74;26.56;;11.54;11.74;12.5;;4.41;4.45;4.44;;9.33;8.95;8.06;;17.39;17.05;16.71;;29.1;28.68;27.19;;42.09;40.82;39.17;
Municipios;1219;Redueña;3.85;8.89;1.36;;20.71;22.55;22.85;;42.85;43.26;43.27;;48.89;50.68;51.01;;29.63;29.93;29.53;;17.78;18.03;18.79;;10.74;10.2;12.08;;1.11;1.36;2.35;;14.07;11.9;12.08;;23.33;22.45;22.82;;33.7;33.33;34.23;;51.11;49.32;48.99;
Municipios;1224;Ribatejada;2.3;7.74;0.93;;24.87;26.79;27.04;;42.34;42.72;43.29;;48.69;49.02;50.63;;29.34;29.43;30.31;;16.1;16.69;16.99;;8.99;8.92;9.18;;3.87;3.59;3.9;;15.11;14.25;13.55;;24.22;23.99;24.0;;35.83;35.23;34.21;;51.31;50.98;49.37;
