Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;1049;Paracuellos de Jarama;;26293;26637;27034;
Municipios;1065;Parla;;130550;130218;132842;
Municipios;1071;Patones;;523;533;566;
Municipios;1087;Pedrezuela;;6168;6295;6391;
Municipios;1090;Pelayos de la Presa;;2814;2873;2962;
Municipios;1104;Perales de Tajuña;;3037;3107;3164;
Municipios;1111;Pezuela de las Torres;;925;933;982;
Municipios;1126;Pinilla del Valle;;196;198;204;
Municipios;1132;Pinto;;53625;54149;55178;
Municipios;1147;Piñuécar-Gandullas;;184;184;178;
Municipios;1150;Pozuelo de Alarcón;;87080;87633;88504;
Municipios;1163;Pozuelo del Rey;;1214;1216;1276;
Municipios;1179;Prádena del Rincón;;148;146;150;
Municipios;1185;Puebla de la Sierra;;75;85;102;
Municipios;9020;Puentes Viejas;;716;699;758;
Municipios;1198;Quijorna;;3589;3683;3856;
Municipios;1202;Rascafría;;1762;1750;1739;
Municipios;1219;Redueña;;295;298;305;
Municipios;1224;Ribatejada;;863;874;919;
Municipios;1230;Rivas-Vaciamadrid;;93272;96659;100053;
Municipios;1245;Robledillo de la Jara;;97;114;134;
Municipios;1258;Robledo de Chavela;;4485;4619;4743;
Municipios;1261;Robregordo;;70;70;79;
Municipios;1277;Rozas de Madrid (Las);;95294;96209;98621;
Municipios;1283;Rozas de Puerto Real;;579;587;577;
Municipios;1296;San Agustín del Guadalix;;13626;13713;13708;
Municipios;1300;San Fernando de Henares;;39286;38941;38986;
Municipios;1317;San Lorenzo de El Escorial;;18432;18471;18522;
Municipios;1338;San Martín de Valdeiglesias;;8726;8797;8969;
Municipios;1322;San Martín de la Vega;;19788;19888;20269;
Municipios;1343;San Sebastián de los Reyes;;90958;90978;92417;
Municipios;1356;Santa María de la Alameda;;1420;1499;1515;
Municipios;1369;Santorcaz;;924;945;945;
Municipios;1375;Santos de la Humosa (Los);;2742;2772;2783;
Municipios;1381;Serna del Monte (La);;95;108;106;
Municipios;1408;Serranillos del Valle;;4436;4542;4614;
Municipios;1415;Sevilla la Nueva;;9387;9402;9563;
Municipios;1436;Somosierra;;87;88;85;
Municipios;1441;Soto del Real;;9075;9208;9403;
Municipios;1454;Talamanca de Jarama;;4114;4216;4373;
Municipios;1467;Tielmes;;2768;2770;2732;
Municipios;1473;Titulcia;;1367;1349;1366;
Municipios;1489;Torrejón de Ardoz;;133377;135540;138197;
Municipios;1505;Torrejón de Velasco;;4586;4682;4742;
Municipios;1492;Torrejón de la Calzada;;9537;9931;10200;
Municipios;1512;Torrelaguna;;4902;4932;4944;
Municipios;1527;Torrelodones;;24057;24717;25093;
Municipios;1533;Torremocha de Jarama;;1065;1099;1144;
Municipios;1548;Torres de la Alameda;;7707;7691;7712;
Municipios;9036;Tres Cantos;;48726;50119;51354;
Municipios;1551;Valdaracete;;614;640;643;
Municipios;1564;Valdeavero;;1670;1700;1774;
Municipios;1570;Valdelaguna;;1023;1013;1039;
Municipios;1586;Valdemanco;;1022;1054;1073;
Municipios;1599;Valdemaqueda;;792;800;819;
Municipios;1603;Valdemorillo;;13254;13430;13638;
Municipios;1610;Valdemoro;;77931;79444;81619;
Municipios;1625;Valdeolmos-Alalpardo;;4306;4406;4535;
Municipios;1631;Valdepiélagos;;619;625;629;
Municipios;1646;Valdetorres de Jarama;;4705;4845;5001;
Municipios;1659;Valdilecha;;3065;3111;3196;
Municipios;1662;Valverde de Alcalá;;515;540;536;
Municipios;1678;Velilla de San Antonio;;12542;12797;13380;
Municipios;1684;Vellón (El);;2086;2118;2201;
Municipios;1697;Venturada;;2392;2464;2565;
Municipios;1718;Villa del Prado;;6775;7072;7253;
Municipios;1701;Villaconejos;;3438;3443;3492;
Municipios;1723;Villalbilla;;15046;15841;16800;
Municipios;1739;Villamanrique de Tajo;;768;763;805;
Municipios;1744;Villamanta;;2648;2723;2782;
Municipios;1757;Villamantilla;;1515;1565;1584;
Municipios;1782;Villanueva de Perales;;1608;1661;1714;
Municipios;1760;Villanueva de la Cañada;;22453;22835;23475;
Municipios;1776;Villanueva del Pardillo;;17266;17370;17672;
Municipios;1795;Villar del Olmo;;2192;2225;2256;
Municipios;1809;Villarejo de Salvanés;;7546;7610;7716;
Municipios;1816;Villaviciosa de Odón;;28016;28123;28714;
Municipios;1821;Villavieja del Lozoya;;280;294;317;
Municipios;1837;Zarzalejo;;1771;1764;1803;
