Serie;Codigo_municipio;Nombre;2021;2022;2023
Municipios;1179;Prádena del Rincón;7;10;11;
Municipios;1185;Puebla de la Sierra;6;13;15;
Municipios;9020;Puentes Viejas;30;33;36;
Municipios;1198;Quijorna;168;171;164;
Municipios;1202;Rascafría;120;103;113;
Municipios;1219;Redueña;19;17;24;
Municipios;1224;Ribatejada;56;53;55;
Municipios;1230;Rivas-Vaciamadrid;5795;5929;6127;
Municipios;1245;Robledillo de la Jara;3;6;8;
Municipios;1258;Robledo de Chavela;209;221;213;
Municipios;1261;Robregordo;5;6;6;
Municipios;1277;Rozas de Madrid (Las);4712;4660;4846;
Municipios;1283;Rozas de Puerto Real;31;30;35;
Municipios;1296;San Agustín del Guadalix;669;635;636;
Municipios;1300;San Fernando de Henares;2456;2312;2294;
Municipios;1317;San Lorenzo de El Escorial;931;948;942;
Municipios;1338;San Martín de Valdeiglesias;506;463;455;
Municipios;1322;San Martín de la Vega;1256;1231;1241;
Municipios;1343;San Sebastián de los Reyes;5585;5272;5256;
Municipios;1356;Santa María de la Alameda;68;67;60;
Municipios;1369;Santorcaz;44;50;56;
Municipios;1375;Santos de la Humosa (Los);173;175;172;
Municipios;1381;Serna del Monte (La);4;5;9;
Municipios;1408;Serranillos del Valle;267;257;248;
Municipios;1415;Sevilla la Nueva;450;432;419;
Municipios;1436;Somosierra;11;11;12;
Municipios;1441;Soto del Real;419;424;471;
Municipios;1454;Talamanca de Jarama;282;261;264;
Municipios;1467;Tielmes;179;173;175;
Municipios;1473;Titulcia;82;77;77;
Municipios;1489;Torrejón de Ardoz;8791;8730;8827;
Municipios;1505;Torrejón de Velasco;245;246;261;
Municipios;1492;Torrejón de la Calzada;634;663;684;
Municipios;1512;Torrelaguna;259;253;273;
Municipios;1527;Torrelodones;1036;1060;1087;
Municipios;1533;Torremocha de Jarama;50;43;45;
Municipios;1548;Torres de la Alameda;401;391;378;
Municipios;9036;Tres Cantos;2822;2929;2964;
Municipios;1551;Valdaracete;45;45;49;
Municipios;1564;Valdeavero;105;96;118;
Municipios;1570;Valdelaguna;57;63;70;
Municipios;1586;Valdemanco;36;38;43;
Municipios;1599;Valdemaqueda;39;40;41;
Municipios;1603;Valdemorillo;656;589;632;
Municipios;1610;Valdemoro;4058;4160;4331;
Municipios;1625;Valdeolmos-Alalpardo;220;234;247;
Municipios;1631;Valdepiélagos;35;36;34;
Municipios;1646;Valdetorres de Jarama;304;276;269;
Municipios;1659;Valdilecha;218;210;212;
Municipios;1662;Valverde de Alcalá;33;32;28;
Municipios;1678;Velilla de San Antonio;720;751;865;
Municipios;1684;Vellón (El);131;123;121;
Municipios;1697;Venturada;96;95;98;
Municipios;1718;Villa del Prado;426;425;432;
Municipios;1701;Villaconejos;237;232;212;
Municipios;1723;Villalbilla;942;969;1033;
Municipios;1739;Villamanrique de Tajo;44;42;47;
Municipios;1744;Villamanta;182;178;175;
Municipios;1757;Villamantilla;84;80;72;
Municipios;1782;Villanueva de Perales;77;68;63;
Municipios;1760;Villanueva de la Cañada;1227;1201;1208;
Municipios;1776;Villanueva del Pardillo;775;802;865;
Municipios;1795;Villar del Olmo;128;146;126;
Municipios;1809;Villarejo de Salvanés;488;478;505;
Municipios;1816;Villaviciosa de Odón;1339;1336;1362;
Municipios;1821;Villavieja del Lozoya;7;17;17;
Municipios;1837;Zarzalejo;79;80;74;
