Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;poblacion_0a4;poblacion_5a9;poblacion_10a14;poblacion_15a19;poblacion_20a24;poblacion_25a29;poblacion_30a34;poblacion_35a39;poblacion_40a44;poblacion_45a49;poblacion_50a54;poblacion_55a59;poblacion_60a64;poblacion_65a69;poblacion_70a74;poblacion_75a79;poblacion_80a84;poblacion_85a89;poblacion_90a94;poblacion_95a99;poblacion_100;poblacion_censada;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;distancia_capital;ocupados_primario;ocupados_secundario;ocupados_terciario;ocupados_total;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_25_44;paro_mayores_25;paro_mayores_45;paro_menores_25;paro_100_habitantes;paro_registrado_total;porcentaje_paro_mayores_25;porcentaje_paro_menores_25;variacion_paro_registrado;paro_primario;paro_secundario;paro_terciario;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;cluster_demografico;cluster_sector;poblacion_activa;ratio_contratos_por_poblacion;ratio_contratos_por_up;ratio_paro_por_poblacion_activa;ratio_paro_por_contrato;ratio_contratos_primario;ratio_contratos_secundario;ratio_contratos_terciario;ratio_contratos_por_poblacion_15a19;ratio_paro_por_poblacion_15a19;ratio_contratos_por_poblacion_20a24;ratio_paro_por_poblacion_20a24;ratio_contratos_por_poblacion_25a29;ratio_paro_por_poblacion_25a29;ratio_contratos_por_poblacion_30a34;ratio_paro_por_poblacion_30a34;ratio_contratos_por_poblacion_35a39;ratio_paro_por_poblacion_35a39;ratio_contratos_por_poblacion_40a44;ratio_paro_por_poblacion_40a44;ratio_contratos_por_poblacion_45a49;ratio_paro_por_poblacion_45a49;ratio_contratos_por_poblacion_50a54;ratio_paro_por_poblacion_50a54;ratio_contratos_por_poblacion_55a59;ratio_paro_por_poblacion_55a59;ratio_contratos_por_poblacion_60a64;ratio_paro_por_poblacion_60a64;ratio_up_por_poblacion_activa
Municipios;1369;Santorcaz;281369;8;Sudeste Comunidad;28.22;29;34;41;73;49;31;56;50;81;92;103;79;58;45;34;37;24;21;8;0;0;945;0;0;0;5;0;5;31;26;49;75;49;38.75;61.25;80;0.0;33.46;44.52;53.02;32.38;17.88;9.52;3.07;11.01;23.92;33.12;46.98;45.724;7;29;396;214;0.43;0.02;0.04;16.72;0.0;1.84;0.0;0.0;0.0;0.0;13;44;31;9;5.63;53;83.02;16.98;6.0;0;6;42;7;25;119;74;1.0;Terciario;672;0.119;1.081;0.079;0.662;0.0;0.007;0.112;1.096;0.726;1.633;1.082;2.581;1.71;1.429;0.946;1.6;1.06;0.988;0.654;0.87;0.576;0.777;0.515;1.013;0.671;1.379;0.914;0.11
Municipios;1322;San Martín de la Vega;281322;4;Sur Metropolitano;105.1;935;1232;1476;1285;1093;1182;1241;1417;1865;2037;1659;1467;1129;727;535;401;268;213;79;27;1;20269;9;7;16;316;186;502;1633;1308;1226;2534;1419;53.51;46.49;3052;1.92;192.73;39.02;42.15;23.91;11.11;4.88;1.58;17.97;29.71;41.66;57.85;30.402;78;2506;10415;6030;1.16;0.07;0.09;43.62;0.0;5.53;0.0;0.0;0.0;0.0;492;1172;680;106;6.29;1278;91.71;8.29;-5.47;25;213;955;64;583;3152;1834;0.0;Terciario;14375;0.212;1.664;0.089;0.419;0.001;0.035;0.176;2.375;0.995;2.792;1.169;2.582;1.081;2.459;1.03;2.154;0.902;1.636;0.685;1.498;0.627;1.84;0.77;2.08;0.871;2.703;1.132;0.128
Municipios;1343;San Sebastián de los Reyes;281343;2;Norte Metropolitano;59.1;3920;5585;5826;5168;4897;4705;5256;6402;8285;9111;7582;6209;5107;4217;4092;2908;1549;1022;444;124;8;92417;6;10;16;1895;746;2641;14346;12445;17241;29686;17997;44.36;55.64;32343;1.58;1559.52;41.13;45.85;27.79;15.54;6.55;1.73;16.59;27.48;38.26;54.15;20.284;186;7659;90940;48321;0.19;0.02;0.07;16.53;0.0;0.14;0.0;0.0;122.5;165.0;1241;3275;2034;229;3.78;3504;93.46;6.54;-7.52;19;395;2919;47;1788;18720;10068;0.0;Terciario;62722;0.516;3.212;0.056;0.108;0.0;0.042;0.473;6.258;0.678;6.605;0.716;6.874;0.745;6.154;0.667;5.052;0.547;3.904;0.423;3.55;0.385;4.266;0.462;5.209;0.564;6.333;0.686;0.161
Municipios;1224;Ribatejada;281224;7;Nordeste Comunidad;32.16;29;51;43;50;46;42;55;59;75;73;102;86;50;49;25;28;24;15;12;4;1;919;0;0;0;3;17;20;22;19;97;116;114;16.18;83.82;136;5.15;28.53;43.87;51.03;31.99;17.19;9.14;3.48;13.38;23.83;34.39;48.97;51.73;6;24;400;212;0.16;0.0;0.02;17.68;0.0;1.88;0.0;0.0;0.0;0.0;13;50;37;2;5.7;52;96.15;3.85;-16.13;4;2;45;5;20;113;67;1.0;Terciario;638;0.213;2.03;0.082;0.382;0.0;0.031;0.182;2.72;1.04;2.957;1.13;3.238;1.238;2.473;0.945;2.305;0.881;1.813;0.693;1.863;0.712;1.333;0.51;1.581;0.605;2.72;1.04;0.105
Municipios;1356;Santa María de la Alameda;281356;10;Sierra Sur;75.66;51;76;84;64;70;55;60;104;102;136;142;153;118;106;72;54;31;23;12;1;1;1515;1;0;1;7;19;26;42;34;27;61;46;47.73;52.27;88;1.07;20.01;45.39;56.04;37.69;19.8;8.05;2.44;13.93;22.77;30.36;43.96;70.111;24;155;810;486;0.38;0.01;0.38;32.63;0.0;32.63;0.0;0.0;0.0;0.0;38;101;63;6;7.05;107;94.39;5.61;8.08;1;14;89;20;63;266;172;1.0;Terciario;1004;0.088;0.512;0.107;1.216;0.001;0.026;0.061;1.375;1.672;1.257;1.529;1.6;1.945;1.467;1.783;0.846;1.029;0.863;1.049;0.647;0.787;0.62;0.754;0.575;0.699;0.746;0.907;0.171
Municipios;1230;Rivas-Vaciamadrid;281230;3;Este Metropolitano;67.43;5458;6873;6791;6275;5424;5134;6127;7994;9197;9347;7923;7312;6299;4314;2530;1328;710;605;321;86;5;100053;11;0;11;1728;359;2087;9455;7716;6382;14098;6741;58.38;41.62;16196;3.51;1485.57;38.11;40.76;23.5;9.89;3.05;1.02;19.11;30.8;42.06;59.24;16.274;34;6579;57556;31270;0.18;0.01;0.06;11.9;0.0;0.58;0.0;0.0;0.0;0.0;1483;3765;2282;374;4.13;4139;90.96;9.04;-0.91;19;456;3438;25;1694;16724;9060;0.0;Terciario;71032;0.228;1.788;0.058;0.256;0.0;0.029;0.198;2.581;0.66;2.986;0.763;3.155;0.806;2.643;0.676;2.026;0.518;1.761;0.45;1.733;0.443;2.044;0.522;2.215;0.566;2.571;0.657;0.128
Municipios;1202;Rascafría;281202;6;Sierra Norte;149.28;42;52;53;60;78;79;113;98;101;112;132;185;158;152;107;86;59;42;25;5;0;1739;1;0;1;15;6;21;126;110;177;287;183;40.78;59.22;309;-0.63;11.64;49.84;61.13;47.1;27.37;12.48;4.14;8.45;16.39;27.43;38.87;95.391;34;125;1173;648;0.35;0.01;0.34;23.45;0.0;23.36;0.0;0.0;0.0;0.0;20;69;49;5;4.26;74;93.24;6.76;-17.78;1;13;58;29;54;437;256;2.0;Terciario;1116;0.277;1.207;0.066;0.239;0.001;0.019;0.257;5.15;1.233;3.962;0.949;3.911;0.937;2.735;0.655;3.153;0.755;3.059;0.733;2.759;0.661;2.341;0.561;1.67;0.4;1.956;0.468;0.229
Municipios;1219;Redueña;281219;6;Sierra Norte;13.03;12;10;15;24;13;11;24;26;23;26;32;20;15;11;8;14;12;8;1;0;0;305;0;0;0;1;1;2;17;16;24;40;25;40.48;59.52;42;2.35;23.39;43.38;48.2;29.18;17.7;11.48;2.95;12.13;24.26;35.74;51.8;56.05;2;19;452;236;0.12;0.01;0.06;6.44;0.0;4.87;0.0;0.0;0.0;0.0;4;10;6;4;4.61;14;71.43;28.57;7.69;0;5;8;2;5;92;49;1.0;Terciario;214;0.196;0.857;0.065;0.333;0.0;0.009;0.187;1.75;0.583;3.231;1.077;3.818;1.273;1.75;0.583;1.615;0.538;1.826;0.609;1.615;0.538;1.312;0.438;2.1;0.7;2.8;0.933;0.229
Municipios;1104;Perales de Tajuña;281104;8;Sudeste Comunidad;49.07;149;148;182;170;152;170;173;217;278;284;286;244;201;143;101;100;81;59;23;3;0;3164;2;3;5;33;9;42;195;160;103;263;115;62.9;37.1;310;1.83;64.15;42.53;48.2;30.18;16.12;8.41;2.69;15.14;25.32;36.16;51.8;40.166;13;195;1041;609;0.89;0.08;0.05;6.5;0.0;1.29;0.0;0.0;0.0;0.0;93;237;144;16;7.97;253;93.68;6.32;-11.23;3;55;171;11;93;424;255;1.0;Terciario;2175;0.143;1.216;0.116;0.816;0.002;0.019;0.121;1.824;1.488;2.039;1.664;1.824;1.488;1.792;1.462;1.429;1.166;1.115;0.91;1.092;0.891;1.084;0.885;1.27;1.037;1.542;1.259;0.117
Municipios;0992;Navas del Rey;280992;10;Sierra Sur;50.51;153;155;172;186;172;163;181;228;275;287;244;241;179;147;151;119;75;61;46;8;1;3244;1;0;1;25;6;31;138;112;159;271;165;45.54;54.46;303;3.77;64.19;43.02;48.06;31.69;18.74;9.56;3.58;14.8;25.83;36.44;51.94;60.506;8;185;1363;762;0.46;0.03;0.15;15.27;0.0;14.36;0.0;0.0;0.0;0.0;60;167;107;18;5.7;185;90.27;9.73;-11.9;2;29;138;8;82;514;296;1.0;Terciario;2156;0.141;1.024;0.086;0.611;0.0;0.014;0.126;1.629;0.995;1.762;1.076;1.859;1.135;1.674;1.022;1.329;0.811;1.102;0.673;1.056;0.645;1.242;0.758;1.257;0.768;1.693;1.034;0.137
Municipios;1006;Nuevo Baztán;281006;8;Sudeste Comunidad;20.1;261;340;388;451;390;351;382;505;571;626;649;629;541;405;279;172;89;64;24;9;0;7126;0;0;0;100;51;151;381;281;166;447;217;63.71;36.29;598;3.43;354.17;42.2;48.93;31.04;14.62;5.02;1.36;13.88;25.68;35.97;51.07;48.3;7;358;2153;1244;0.09;0.0;0.0;8.21;0.0;0.0;0.0;0.0;0.0;0.0;129;368;239;30;5.65;398;92.46;7.54;5.01;5;76;291;6;169;1057;607;1.0;Terciario;5095;0.117;0.985;0.078;0.666;0.0;0.03;0.088;1.326;0.882;1.533;1.021;1.704;1.134;1.565;1.042;1.184;0.788;1.047;0.697;0.955;0.636;0.921;0.613;0.951;0.633;1.105;0.736;0.119
Municipios;1013;Olmeda de las Fuentes;281013;8;Sudeste Comunidad;16.52;13;25;24;17;19;19;16;15;30;65;32;41;28;16;15;12;7;7;4;0;0;405;3;1;4;3;5;8;17;11;15;26;21;44.74;55.26;38;6.58;24.49;43.61;56.05;32.1;15.06;7.41;2.72;15.31;24.2;32.84;43.95;53.406;7;17;378;201;0.09;0.0;0.02;7.38;0.0;0.15;0.0;0.0;153.36;36.85;7;19;12;1;4.98;20;95.0;5.0;66.67;1;2;16;6;7;95;54;1.0;Terciario;282;0.135;0.704;0.071;0.526;0.014;0.028;0.092;2.235;1.176;2.0;1.053;2.0;1.053;2.375;1.25;2.533;1.333;1.267;0.667;0.585;0.308;1.188;0.625;0.927;0.488;1.357;0.714;0.191
Municipios;1028;Orusco de Tajuña;281028;8;Sudeste Comunidad;21.36;43;64;78;92;66;67;82;76;122;125;122;105;74;66;58;57;35;47;33;9;1;1422;3;0;3;9;7;16;29;17;54;71;61;32.22;67.78;90;5.96;66.51;45.24;51.48;34.11;21.52;12.8;6.33;13.01;24.12;34.6;48.52;57.456;4;42;565;302;0.35;0.05;0.04;3.53;0.0;0.09;0.0;0.0;0.0;0.0;31;83;52;12;6.71;95;87.37;12.63;-5.94;2;12;68;4;25;146;85;1.0;Terciario;931;0.097;1.059;0.102;1.056;0.003;0.017;0.076;0.978;1.033;1.364;1.439;1.343;1.418;1.098;1.159;1.184;1.25;0.738;0.779;0.72;0.76;0.738;0.779;0.857;0.905;1.216;1.284;0.091
Municipios;1049;Paracuellos de Jarama;281049;3;Este Metropolitano;43.78;1320;2285;2691;1969;1203;832;979;1804;2993;3460;2614;1552;1004;726;619;447;255;172;90;16;3;27034;5;2;7;530;202;732;1856;1321;1027;2348;1231;60.12;39.88;3087;1.49;617.07;36.75;40.53;18.07;8.61;3.64;1.04;23.29;35.02;41.72;59.47;24.676;24;2904;13451;7614;0.15;0.01;0.04;12.7;0.0;0.2;191.93;119.82;0.0;0.0;267;760;493;53;3.01;813;93.48;6.52;-6.12;25;99;668;11;720;4961;2731;0.0;Terciario;18410;0.168;1.13;0.044;0.263;0.0;0.04;0.128;1.568;0.413;2.566;0.676;3.71;0.977;3.153;0.83;1.711;0.451;1.031;0.272;0.892;0.235;1.181;0.311;1.989;0.524;3.075;0.81;0.148
Municipios;1065;Parla;281065;4;Sur Metropolitano;25.02;6196;8682;9810;7843;7021;7041;8010;9770;13824;13610;9788;7421;6114;6108;5234;3337;1613;917;390;96;17;132842;16;8;24;1551;561;2112;5832;4265;4852;9117;5421;51.83;48.17;11253;2.02;5317.93;39.03;41.14;23.52;13.33;4.8;1.07;18.58;29.77;41.1;58.86;23.672;45;5127;41788;22965;0.17;0.0;0.02;14.71;0.0;0.02;150.04;180.05;53.51;93.64;3567;7718;4151;662;6.3;8380;92.1;7.9;-8.88;67;1382;6069;34;1966;13050;7381;3.0;Terciario;90442;0.124;1.525;0.093;0.745;0.0;0.023;0.101;1.435;1.068;1.603;1.194;1.598;1.19;1.405;1.046;1.152;0.858;0.814;0.606;0.827;0.616;1.15;0.856;1.516;1.129;1.841;1.371;0.082
Municipios;1071;Patones;281071;6;Sierra Norte;35.07;23;26;21;22;18;16;23;42;40;39;42;33;37;35;43;20;20;35;21;10;0;566;0;0;0;0;1;1;35;35;74;109;75;31.82;68.18;110;6.19;16.14;50.7;59.19;44.88;32.51;18.73;11.66;12.37;19.43;26.33;40.81;65.895;4;8;454;233;0.11;0.02;0.05;4.82;0.0;4.32;0.0;0.0;0.0;0.0;4;20;16;1;3.71;21;95.24;4.76;31.25;0;4;16;4;6;118;64;2.0;Terciario;312;0.353;1.719;0.067;0.191;0.0;0.003;0.349;5.0;0.955;6.111;1.167;6.875;1.312;4.783;0.913;2.619;0.5;2.75;0.525;2.821;0.538;2.619;0.5;3.333;0.636;2.973;0.568;0.205
Municipios;1087;Pedrezuela;281087;6;Sierra Norte;28.54;310;438;469;342;253;301;348;457;704;715;555;451;316;221;179;138;74;67;38;12;3;6391;0;0;0;67;27;94;315;248;158;406;185;63.0;37.0;500;1.53;223.85;39.5;43.33;23.45;11.45;5.19;1.88;19.04;28.35;38.51;56.67;45.794;13;170;1947;1053;0.15;0.0;0.14;4.56;0.0;4.56;0.0;0.0;0.0;0.0;114;264;150;12;4.31;276;95.65;4.35;-6.76;3;43;215;7;104;820;456;1.0;Terciario;4442;0.113;1.096;0.062;0.552;0.0;0.021;0.091;1.462;0.807;1.976;1.091;1.661;0.917;1.437;0.793;1.094;0.604;0.71;0.392;0.699;0.386;0.901;0.497;1.109;0.612;1.582;0.873;0.103
Municipios;1090;Pelayos de la Presa;281090;10;Sierra Sur;7.57;117;134;147;159;166;159;166;204;226;240;232;237;189;170;126;99;88;70;26;6;1;2962;13;0;13;54;24;78;171;104;152;256;176;49.28;50.72;347;3.1;391.28;43.99;50.1;34.17;19.78;9.79;3.48;13.44;24.41;35.38;49.9;71.93;1;210;1252;710;0.04;0.0;0.03;1.02;0.0;0.83;0.0;0.0;0.0;0.0;76;202;126;11;7.14;213;94.84;5.16;-18.39;2;29;161;1;98;509;294;1.0;Terciario;1978;0.175;1.18;0.108;0.614;0.007;0.039;0.129;2.182;1.34;2.09;1.283;2.182;1.34;2.09;1.283;1.701;1.044;1.535;0.942;1.446;0.888;1.496;0.918;1.464;0.899;1.836;1.127;0.149
Municipios;1111;Pezuela de las Torres;281111;8;Sudeste Comunidad;41.68;48;58;56;38;48;40;53;74;94;75;75;74;64;51;45;27;27;18;15;2;0;982;2;10;12;1;1;2;34;31;92;123;103;24.82;75.18;137;5.25;23.54;43.31;48.17;32.89;18.84;9.06;3.56;16.5;25.25;34.73;51.83;51.574;21;26;369;207;0.36;0.01;0.02;31.39;0.0;1.27;0.0;0.0;0.0;0.0;15;51;36;3;5.53;54;94.44;5.56;45.95;0;12;40;16;14;146;87;1.0;Terciario;635;0.216;1.575;0.085;0.394;0.019;0.003;0.194;3.605;1.421;2.854;1.125;3.425;1.35;2.585;1.019;1.851;0.73;1.457;0.574;1.827;0.72;1.827;0.72;1.851;0.73;2.141;0.844;0.137
Municipios;1408;Serranillos del Valle;281408;9;Sudoeste Comunidad;13.29;192;271;318;325;274;188;248;317;410;465;406;376;254;180;125;102;70;41;42;10;0;4614;0;0;0;108;20;128;319;211;126;337;146;68.6;31.4;465;1.59;353.83;40.1;44.89;26.01;12.35;5.74;2.02;16.93;29.91;39.36;55.11;35.694;6;507;2276;1326;0.1;0.01;0.01;6.73;0.0;0.34;0.0;0.0;0.0;0.0;70;200;130;20;4.76;220;90.91;9.09;-7.95;1;42;163;6;183;846;497;1.0;Terciario;3263;0.143;0.936;0.067;0.473;0.0;0.039;0.103;1.431;0.677;1.697;0.803;2.473;1.17;1.875;0.887;1.467;0.694;1.134;0.537;1.0;0.473;1.145;0.542;1.237;0.585;1.831;0.866;0.152
Municipios;1126;Pinilla del Valle;281126;6;Sierra Norte;25.45;6;4;9;4;11;13;5;12;14;17;19;13;23;15;15;8;5;7;4;0;0;204;0;0;0;3;5;8;14;11;19;30;24;36.84;63.16;38;3.03;8.02;49.91;61.76;44.12;26.47;11.76;5.39;9.31;16.67;25.49;38.24;91.312;1;2;131;67;0.06;0.0;0.06;4.01;0.0;4.01;0.0;0.0;0.0;0.0;4;9;5;1;4.9;10;90.0;10.0;-9.09;0;1;9;1;2;23;13;2.0;Terciario;131;0.29;2.923;0.076;0.263;0.0;0.061;0.229;9.5;2.5;3.455;0.909;2.923;0.769;7.6;2.0;3.167;0.833;2.714;0.714;2.235;0.588;2.0;0.526;2.923;0.769;1.652;0.435;0.099
Municipios;1132;Pinto;281132;4;Sur Metropolitano;61.98;2421;3299;3673;3368;2750;2738;3241;4195;5178;5796;4599;3675;2802;2214;1951;1448;860;619;278;69;4;55178;4;28;32;1671;1500;3171;6491;4816;7154;11970;8682;42.78;57.22;15173;1.9;889.54;40.22;44.07;25.23;13.49;5.94;1.76;17.02;28.11;38.95;55.93;23.546;30;9153;41747;23726;0.26;0.02;0.01;45.42;0.0;3.69;23.36;14.02;54.82;41.11;1014;2558;1544;224;5.04;2782;91.95;8.05;-7.61;15;447;2098;24;1258;8557;4734;0.0;Terciario;38342;0.396;3.205;0.073;0.183;0.001;0.083;0.312;4.505;0.826;5.517;1.012;5.542;1.016;4.682;0.858;3.617;0.663;2.93;0.537;2.618;0.48;3.299;0.605;4.129;0.757;5.415;0.993;0.123
Municipios;1147;Piñuécar-Gandullas;281147;6;Sierra Norte;18.24;5;10;4;8;5;9;8;14;16;12;17;25;9;9;7;4;3;11;2;0;0;178;1;0;1;0;0;0;6;5;7;12;7;46.15;53.85;13;-3.26;9.75;47.26;55.62;39.33;20.22;11.24;7.3;10.67;17.98;27.53;44.38;83.028;6;28;228;131;0.15;0.02;0.15;8.22;0.0;8.17;0.0;0.0;0.0;0.0;2;4;2;0;2.25;4;100.0;0.0;-50.0;0;0;4;6;6;32;22;2.0;Terciario;123;0.106;0.591;0.033;0.308;0.008;0.0;0.098;1.625;0.5;2.6;0.8;1.444;0.444;1.625;0.5;0.929;0.286;0.812;0.25;1.083;0.333;0.765;0.235;0.52;0.16;1.444;0.444;0.179
Municipios;1150;Pozuelo de Alarcón;281150;5;Oeste Metropolitano;43.1;3449;4749;5682;6286;5953;5000;4038;4438;5437;6971;7197;7058;5663;4473;4154;3454;2164;1381;704;211;42;88504;10;24;34;1195;308;1503;15240;14035;17819;31854;18151;45.64;54.36;33391;0.99;2053.93;42.42;49.12;33.11;18.74;8.99;2.64;15.68;29.51;39.72;50.88;18.056;131;3834;159454;81280;0.11;0.01;0.0;0.12;0.0;0.0;0.0;0.0;0.0;0.0;577;2000;1423;83;2.35;2083;96.02;3.98;-6.3;7;179;1756;67;971;31017;15929;0.0;Terciario;58041;0.575;2.096;0.036;0.062;0.001;0.026;0.549;5.312;0.331;5.609;0.35;6.678;0.417;8.269;0.516;7.524;0.469;6.141;0.383;4.79;0.299;4.64;0.289;4.731;0.295;5.896;0.368;0.274
Municipios;1163;Pozuelo del Rey;281163;8;Sudeste Comunidad;30.91;65;91;99;65;40;37;109;122;155;125;85;80;70;51;23;27;13;10;8;1;0;1276;0;0;0;26;0;26;54;28;29;57;29;65.06;34.94;83;4.93;41.24;38.56;38.64;22.18;10.42;4.62;1.49;19.98;28.21;39.66;61.36;41.51;11;50;323;191;0.24;0.0;0.03;25.86;0.0;0.19;0.0;0.0;0.0;0.0;27;68;41;9;6.14;77;88.31;11.69;11.59;2;8;61;8;23;143;86;1.0;Terciario;888;0.093;0.965;0.087;0.928;0.0;0.029;0.064;1.277;1.185;2.075;1.925;2.243;2.081;0.761;0.706;0.68;0.631;0.535;0.497;0.664;0.616;0.976;0.906;1.038;0.962;1.186;1.1;0.097
Municipios;1179;Prádena del Rincón;281179;6;Sierra Norte;22.5;2;4;14;6;3;3;11;8;10;18;19;12;7;7;4;6;3;6;5;2;0;150;0;0;0;0;1;1;11;11;13;24;14;44.0;56.0;25;2.74;6.66;47.67;59.33;34.67;22.0;14.67;8.67;13.33;19.33;28.67;40.67;85.383;5;39;173;108;0.08;0.01;0.08;4.42;0.0;4.42;0.0;0.0;0.0;0.0;0;5;5;1;4.0;6;83.33;16.67;50.0;0;2;4;5;10;32;23;2.0;Terciario;97;0.258;1.087;0.062;0.24;0.0;0.01;0.247;4.167;1.0;8.333;2.0;8.333;2.0;2.273;0.545;3.125;0.75;2.5;0.6;1.389;0.333;1.316;0.316;2.083;0.5;3.571;0.857;0.237
Municipios;1185;Puebla de la Sierra;281185;6;Sierra Norte;56.69;1;3;3;1;2;4;15;7;4;11;8;7;7;7;11;5;1;1;1;3;0;102;0;0;0;0;0;0;4;4;13;17;13;23.53;76.47;17;20.0;1.8;50.69;60.78;42.16;28.43;10.78;4.9;6.86;9.8;28.43;39.22;103.62;1;12;131;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;5;3;0;5.05;5;100.0;0.0;150.0;2;1;2;1;1;20;11;2.0;Terciario;66;0.258;1.545;0.076;0.294;0.0;0.0;0.258;17.0;5.0;8.5;2.5;4.25;1.25;1.133;0.333;2.429;0.714;4.25;1.25;1.545;0.455;2.125;0.625;2.429;0.714;2.429;0.714;0.167
Municipios;9020;Puentes Viejas;289020;6;Sierra Norte;58.54;22;32;53;32;31;30;36;48;74;73;59;72;53;33;40;30;15;18;3;3;1;758;0;0;0;2;1;3;16;14;10;24;11;59.26;40.74;27;8.44;12.94;45.06;52.77;35.36;18.87;9.23;3.3;14.12;22.43;31.13;47.23;75.189;5;130;595;365;0.22;0.04;0.22;9.8;0.0;9.79;0.0;0.0;0.0;0.0;10;28;18;0;3.68;28;100.0;0.0;-6.67;2;3;23;5;17;122;72;2.0;Terciario;508;0.053;0.375;0.055;1.037;0.0;0.006;0.047;0.844;0.875;0.871;0.903;0.9;0.933;0.75;0.778;0.562;0.583;0.365;0.378;0.37;0.384;0.458;0.475;0.375;0.389;0.509;0.528;0.142
Municipios;1198;Quijorna;281198;9;Sudoeste Comunidad;25.68;164;214;297;301;240;196;164;248;275;417;381;273;170;124;125;99;71;56;32;9;0;3856;1;2;3;26;3;29;97;70;115;185;120;44.7;55.3;217;4.7;150.04;39.98;45.57;24.87;13.38;6.92;2.52;17.51;31.54;40.87;54.43;45.968;14;86;1100;598;0.09;0.02;0.02;10.81;0.0;3.55;0.0;0.0;0.0;0.0;52;163;111;9;4.45;172;94.77;5.23;-9.47;2;22;139;10;51;557;307;1.0;Terciario;2665;0.081;0.707;0.065;0.793;0.001;0.011;0.069;0.721;0.571;0.904;0.717;1.107;0.878;1.323;1.049;0.875;0.694;0.789;0.625;0.52;0.412;0.57;0.451;0.795;0.63;1.276;1.012;0.115
Municipios;1381;Serna del Monte (La);281381;6;Sierra Norte;5.52;5;4;6;6;4;7;9;11;7;4;8;8;10;9;5;0;2;1;0;0;0;106;0;0;0;0;0;0;7;7;10;17;10;41.18;58.82;17;-1.85;19.2;41.78;44.34;33.02;16.04;2.83;0.94;14.15;23.58;38.68;55.66;80.844;4;2;147;76;0.04;0.0;0.04;2.85;0.0;2.85;0.0;0.0;0.0;0.0;3;7;4;0;6.6;7;100.0;0.0;0.0;0;0;7;4;2;31;18;2.0;Terciario;74;0.23;0.944;0.095;0.412;0.0;0.0;0.23;2.833;1.167;4.25;1.75;2.429;1.0;1.889;0.778;1.545;0.636;2.429;1.0;4.25;1.75;2.125;0.875;2.125;0.875;1.7;0.7;0.243
Municipios;0014;Acebeda (La);280014;6;Sierra Norte;21.86;0;0;2;0;0;3;3;2;0;3;3;6;11;11;11;3;3;3;1;2;0;67;4;0;4;153;1797;1950;1147;990;729;1719;2526;31.23;68.77;3673;8.06;3.06;62.68;85.07;76.12;50.75;17.91;8.96;2.99;2.99;11.94;14.93;88.477;0;1;149;75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;6;4;0;8.96;6;100.0;0.0;50.0;0;0;6;0;1;43;22;2.0;Terciario;31;118.484;166.955;0.194;0.002;0.129;62.903;55.452;inf;inf;inf;inf;1224.333;2.0;1224.333;2.0;1836.5;3.0;inf;inf;1224.333;2.0;1224.333;2.0;612.167;1.0;333.909;0.545;0.71
Municipios;1415;Sevilla la Nueva;281415;9;Sudoeste Comunidad;24.74;353;512;753;761;519;427;419;549;854;1097;931;702;470;316;293;226;133;144;70;31;3;9563;0;1;1;87;15;102;631;544;644;1188;660;48.88;51.12;1291;1.71;386.54;40.3;46.18;24.97;12.72;6.35;2.59;16.92;30.3;39.15;53.82;42.875;11;421;3837;2087;0.08;0.01;0.03;9.66;0.0;0.03;0.0;0.0;0.0;0.0;134;368;234;36;4.23;404;91.09;8.91;-9.62;2;46;338;10;234;1589;891;1.0;Terciario;6729;0.192;1.449;0.06;0.313;0.0;0.015;0.177;1.696;0.531;2.487;0.778;3.023;0.946;3.081;0.964;2.352;0.736;1.512;0.473;1.177;0.368;1.387;0.434;1.839;0.575;2.747;0.86;0.132
