Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;poblacion_0a4;poblacion_5a9;poblacion_10a14;poblacion_15a19;poblacion_20a24;poblacion_25a29;poblacion_30a34;poblacion_35a39;poblacion_40a44;poblacion_45a49;poblacion_50a54;poblacion_55a59;poblacion_60a64;poblacion_65a69;poblacion_70a74;poblacion_75a79;poblacion_80a84;poblacion_85a89;poblacion_90a94;poblacion_95a99;poblacion_100;poblacion_censada;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;distancia_capital;ocupados_primario;ocupados_secundario;ocupados_terciario;ocupados_total;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_25_44;paro_mayores_25;paro_mayores_45;paro_menores_25;paro_100_habitantes;paro_registrado_total;porcentaje_paro_mayores_25;porcentaje_paro_menores_25;variacion_paro_registrado;paro_primario;paro_secundario;paro_terciario;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;cluster_demografico;cluster_sector;poblacion_activa;ratio_contratos_por_poblacion;ratio_contratos_por_up;ratio_paro_por_poblacion_activa;ratio_paro_por_contrato;ratio_contratos_primario;ratio_contratos_secundario;ratio_contratos_terciario;ratio_contratos_por_poblacion_15a19;ratio_paro_por_poblacion_15a19;ratio_contratos_por_poblacion_20a24;ratio_paro_por_poblacion_20a24;ratio_contratos_por_poblacion_25a29;ratio_paro_por_poblacion_25a29;ratio_contratos_por_poblacion_30a34;ratio_paro_por_poblacion_30a34;ratio_contratos_por_poblacion_35a39;ratio_paro_por_poblacion_35a39;ratio_contratos_por_poblacion_40a44;ratio_paro_por_poblacion_40a44;ratio_contratos_por_poblacion_45a49;ratio_paro_por_poblacion_45a49;ratio_contratos_por_poblacion_50a54;ratio_paro_por_poblacion_50a54;ratio_contratos_por_poblacion_55a59;ratio_paro_por_poblacion_55a59;ratio_contratos_por_poblacion_60a64;ratio_paro_por_poblacion_60a64;ratio_up_por_poblacion_activa
Municipios;1375;Santos de la Humosa (Los);281375;8;Sudeste Comunidad;34.82;137;182;221;158;128;105;172;224;297;333;218;164;133;90;65;73;42;29;6;6;0;2783;2;4;6;9;2;11;83;72;34;106;40;67.48;32.52;123;0.4;79.38;38.86;41.65;21.85;11.17;5.61;1.47;19.4;29.68;39.63;58.35;46.496;12;76;744;412;0.22;0.01;0.04;26.34;0.0;8.56;0.0;0.0;0.0;0.0;54;121;67;9;4.69;130;93.08;6.92;-13.33;1;23;103;8;45;325;185;1.0;Terciario;1932;0.064;0.665;0.067;1.057;0.003;0.006;0.055;0.778;0.823;0.961;1.016;1.171;1.238;0.715;0.756;0.549;0.58;0.414;0.438;0.369;0.39;0.564;0.596;0.75;0.793;0.925;0.977;0.096
Municipios;1300;San Fernando de Henares;281300;3;Este Metropolitano;38.84;1387;1683;1896;2134;2424;2116;2294;2713;3030;3082;3281;3377;2847;2577;1592;1036;670;511;263;65;8;38986;0;1;1;2007;1301;3308;6602;4595;7294;11889;8596;43.44;56.56;15198;0.12;1002.98;43.27;49.53;33.21;17.24;6.55;2.17;12.74;24.43;35.74;50.47;18.348;14;6749;50006;27152;0.12;0.01;0.03;11.46;0.0;1.42;37.58;32.32;0.0;0.0;712;1909;1197;158;5.3;2067;92.36;7.64;-9.02;16;290;1667;12;1224;7061;3984;0.0;Terciario;27298;0.557;3.815;0.076;0.136;0.0;0.121;0.436;7.122;0.969;6.27;0.853;7.182;0.977;6.625;0.901;5.602;0.762;5.016;0.682;4.931;0.671;4.632;0.63;4.5;0.612;5.338;0.726;0.146
Municipios;1245;Robledillo de la Jara;281245;6;Sierra Norte;21.02;6;6;3;8;8;5;8;6;8;16;9;12;7;7;8;2;4;6;3;2;0;134;0;0;0;0;0;0;10;10;13;23;13;43.48;56.52;23;17.54;6.37;46.69;56.72;38.06;23.88;12.69;8.21;11.19;23.13;32.84;43.28;79.092;0;13;151;82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;9;8;1;7.41;10;90.0;10.0;66.67;0;1;8;0;2;16;9;2.0;Terciario;87;0.264;2.556;0.115;0.435;0.0;0.0;0.264;2.875;1.25;2.875;1.25;4.6;2.0;2.875;1.25;3.833;1.667;2.875;1.25;1.438;0.625;2.556;1.111;1.917;0.833;3.286;1.429;0.103
Municipios;1258;Robledo de Chavela;281258;10;Sierra Sur;94.15;160;159;270;284;245;191;213;294;339;448;435;425;342;269;227;176;121;82;49;9;5;4743;5;14;19;77;109;186;292;210;195;405;318;47.87;52.13;610;2.68;50.34;45.19;54.56;35.95;19.78;9.32;3.06;12.42;23.57;32.09;45.44;74.92;71;196;1852;1051;0.34;0.02;0.34;29.74;0.0;29.74;0.0;0.0;0.0;0.0;85;241;156;34;5.84;275;87.64;12.36;-10.71;6;38;205;30;88;754;430;1.0;Terciario;3216;0.19;1.419;0.086;0.451;0.006;0.058;0.126;2.148;0.968;2.49;1.122;3.194;1.44;2.864;1.291;2.075;0.935;1.799;0.811;1.362;0.614;1.402;0.632;1.435;0.647;1.784;0.804;0.134
Municipios;1261;Robregordo;281261;6;Sierra Norte;18.35;4;2;3;1;2;4;6;5;11;7;3;1;4;7;5;4;1;8;1;0;0;79;0;0;0;0;0;0;1;1;9;10;9;10.0;90.0;10;12.86;4.3;49.23;51.9;39.24;32.91;17.72;11.39;11.39;15.19;27.85;48.1;89.533;0;12;118;65;0.05;0.0;0.05;2.42;0.0;2.42;0.0;0.0;0.0;0.0;2;4;2;0;5.06;4;100.0;0.0;33.33;0;0;4;0;1;11;6;2.0;Terciario;44;0.227;1.667;0.091;0.4;0.0;0.0;0.227;10.0;4.0;5.0;2.0;2.5;1.0;1.667;0.667;2.0;0.8;0.909;0.364;1.429;0.571;3.333;1.333;10.0;4.0;2.5;1.0;0.136
Municipios;1277;Rozas de Madrid (Las);281277;5;Oeste Metropolitano;58.28;4348;5633;6811;7155;5965;4865;4846;5976;7175;9037;8867;7232;5702;4504;4005;2961;1621;1069;620;203;26;98621;43;11;54;1454;370;1824;16329;14832;9047;23879;9428;63.4;36.6;25757;2.51;1690.16;40.71;46.49;28.33;15.22;6.59;1.94;17.03;30.33;40.18;53.51;19.981;153;6933;109796;57382;0.05;0.0;0.04;9.52;0.0;6.03;98.85;118.59;499.23;1627.75;782;2524;1742;88;2.66;2612;96.63;3.37;-9.24;4;190;2332;36;1186;28465;14727;0.0;Terciario;66820;0.385;1.749;0.039;0.101;0.001;0.027;0.357;3.6;0.365;4.318;0.438;5.294;0.537;5.315;0.539;4.31;0.437;3.59;0.364;2.85;0.289;2.905;0.295;3.562;0.361;4.517;0.458;0.22
Municipios;1283;Rozas de Puerto Real;281283;10;Sierra Sur;29.55;12;13;15;29;29;20;35;28;38;50;54;52;37;31;30;35;30;21;11;5;2;577;0;0;0;4;4;8;45;41;47;88;51;46.88;53.13;96;-1.7;19.53;50.81;62.05;44.02;28.6;18.02;6.76;6.93;16.98;26.52;37.95;92.193;10;23;1148;590;0.32;0.0;0.2;6.29;0.0;5.56;0.0;0.0;0.0;0.0;14;29;15;6;6.06;35;82.86;17.14;29.63;0;6;28;4;8;139;75;2.0;Terciario;372;0.258;1.28;0.094;0.365;0.0;0.022;0.237;3.31;1.207;3.31;1.207;4.8;1.75;2.743;1.0;3.429;1.25;2.526;0.921;1.92;0.7;1.778;0.648;1.846;0.673;2.595;0.946;0.202
Municipios;1296;San Agustín del Guadalix;281296;2;Norte Metropolitano;38.22;466;812;1140;1092;848;632;636;757;1096;1420;1375;1100;741;520;389;289;162;151;60;20;2;13708;2;2;4;472;833;1305;1204;730;625;1355;1460;45.2;54.8;2664;-0.04;358.19;39.52;45.44;25.05;11.62;4.99;1.7;17.64;31.79;41.04;54.56;36.132;12;3521;8940;5410;0.21;0.03;0.17;23.34;0.0;14.16;0.0;0.0;0.0;0.0;140;468;328;23;3.6;491;95.32;4.68;-8.22;0;65;415;12;234;2714;1453;0.0;Terciario;9697;0.275;1.833;0.051;0.184;0.0;0.135;0.14;2.44;0.45;3.142;0.579;4.215;0.777;4.189;0.772;3.519;0.649;2.431;0.448;1.876;0.346;1.937;0.357;2.422;0.446;3.595;0.663;0.15
Municipios;1338;San Martín de Valdeiglesias;281338;10;Sierra Sur;116.42;348;454;548;483;493;460;455;580;659;727;713;682;540;482;407;338;225;206;126;41;2;8969;8;14;22;101;43;144;539;430;659;1089;716;42.95;57.05;1255;1.96;77.01;43.9;50.05;33.99;20.37;10.46;4.18;15.05;25.93;36.14;49.95;78.77;23;445;4647;2532;2.84;0.45;0.5;14.98;0.02;7.17;0.0;0.0;0.0;0.0;237;575;338;53;6.98;628;91.56;8.44;-3.98;15;86;464;19;244;1395;809;2.0;Terciario;5792;0.217;1.551;0.108;0.5;0.004;0.025;0.188;2.598;1.3;2.546;1.274;2.728;1.365;2.758;1.38;2.164;1.083;1.904;0.953;1.726;0.864;1.76;0.881;1.84;0.921;2.324;1.163;0.14
Municipios;1317;San Lorenzo de El Escorial;281317;11;Sierra Central;56.38;577;883;1045;1155;1064;983;942;967;1213;1621;1549;1581;1372;1023;798;642;458;371;205;60;13;18522;2;1;3;90;30;120;1054;962;1708;2670;1739;37.74;62.26;2793;0.28;328.4;44.21;52.33;35.22;19.27;9.44;3.5;13.52;25.5;35.9;47.67;62.624;53;423;10767;5581;0.2;0.01;0.19;19.71;0.0;19.69;0.0;0.0;0.0;0.0;248;701;453;38;4.0;739;94.86;5.14;-15.54;6;59;630;25;255;3727;1986;1.0;Terciario;12447;0.224;1.406;0.059;0.265;0.0;0.01;0.215;2.418;0.64;2.625;0.695;2.841;0.752;2.965;0.785;2.888;0.764;2.303;0.609;1.723;0.456;1.803;0.477;1.767;0.467;2.036;0.539;0.16
