Serie;Codigo_municipio;Nombre;2020;2021;2022
Municipios;1147;Piñuécar0Gandullas;13;27;21;
Municipios;1150;Pozuelo de Alarcón;33957;41921;38640;
Municipios;1163;Pozuelo del Rey;79;116;126;
Municipios;1179;Prádena del Rincón;25;29;27;
Municipios;1185;Puebla de la Sierra;22;22;9;
Municipios;9020;Puentes Viejas;57;138;95;
Municipios;1198;Quijorna;379;388;383;
Municipios;1202;Rascafría;267;267;301;
Municipios;1219;Redueña;43;60;42;
Municipios;1224;Ribatejada;96;107;123;
Municipios;1230;Rivas0Vaciamadrid;14506;19754;19608;
Municipios;1245;Robledillo de la Jara;17;13;24;
Municipios;1258;Robledo de Chavela;353;578;604;
Municipios;1261;Robregordo;16;8;11;
Municipios;1277;Rozas de Madrid (Las);30618;31940;31717;
Municipios;1283;Rozas de Puerto Real;101;149;146;
Municipios;1296;San Agustín del Guadalix;2421;3191;3989;
Municipios;1300;San Fernando de Henares;18978;20514;16682;
Municipios;1317;San Lorenzo de El Escorial;2417;2898;4341;
Municipios;1338;San Martín de Valdeiglesias;1334;1379;1523;
Municipios;1322;San Martín de la Vega;2883;4128;3956;
Municipios;1343;San Sebastián de los Reyes;30077;40658;41805;
Municipios;1356;Santa María de la Alameda;91;116;111;
Municipios;1369;Santorcaz;31;102;81;
Municipios;1375;Santos de la Humosa (Los);123;159;159;
Municipios;1381;Serna del Monte (La);16;17;7;
Municipios;1408;Serranillos del Valle;565;785;614;
Municipios;1415;Sevilla la Nueva;900;934;1241;
Municipios;1436;Somosierra;14;36;37;
Municipios;1441;Soto del Real;830;1010;864;
Municipios;1454;Talamanca de Jarama;268;484;1050;
Municipios;1467;Tielmes;239;403;569;
Municipios;1473;Titulcia;156;348;650;
Municipios;1489;Torrejón de Ardoz;25330;33602;32277;
Municipios;1505;Torrejón de Velasco;395;407;373;
Municipios;1492;Torrejón de la Calzada;1528;1799;1622;
Municipios;1512;Torrelaguna;399;432;537;
Municipios;1527;Torrelodones;4162;4468;4792;
Municipios;1533;Torremocha de Jarama;140;159;130;
Municipios;1548;Torres de la Alameda;1254;1507;1317;
Municipios;9036;Tres Cantos;21267;32568;26088;
Municipios;1551;Valdaracete;58;78;77;
Municipios;1564;Valdeavero;148;170;163;
Municipios;1570;Valdelaguna;26;68;65;
Municipios;1586;Valdemanco;38;50;44;
Municipios;1599;Valdemaqueda;90;65;122;
Municipios;1603;Valdemorillo;878;1235;1215;
Municipios;1610;Valdemoro;19995;31401;22567;
Municipios;1625;Valdeolmos0Alalpardo;689;1291;1214;
Municipios;1631;Valdepiélagos;33;68;77;
Municipios;1646;Valdetorres de Jarama;285;396;548;
Municipios;1659;Valdilecha;348;368;460;
Municipios;1662;Valverde de Alcalá;20;102;320;
Municipios;1678;Velilla de San Antonio;1919;2285;3134;
Municipios;1684;Vellón (El);78;94;88;
Municipios;1697;Venturada;279;396;528;
Municipios;1718;Villa del Prado;1163;1369;1209;
Municipios;1701;Villaconejos;524;524;446;
Municipios;1723;Villalbilla;1589;1732;1539;
Municipios;1739;Villamanrique de Tajo;187;285;192;
Municipios;1744;Villamanta;380;424;319;
Municipios;1757;Villamantilla;65;104;130;
Municipios;1782;Villanueva de Perales;106;147;404;
Municipios;1760;Villanueva de la Cañada;3018;3666;4241;
Municipios;1776;Villanueva del Pardillo;1614;1722;1805;
Municipios;1795;Villar del Olmo;137;149;150;
Municipios;1809;Villarejo de Salvanés;3188;3855;1429;
Municipios;1816;Villaviciosa de Odón;4543;6867;5608;
Municipios;1821;Villavieja del Lozoya;34;29;40;
Municipios;1837;Zarzalejo;215;187;214;
