Serie;Codigo_municipio;Nombre;2020;2021;2022
Municipios;1150;Pozuelo de Alarcón;26449;31358;21578;
Municipios;1163;Pozuelo del Rey;61;87;54;
Municipios;1179;Prádena del Rincón;23;24;24;
Municipios;1185;Puebla de la Sierra;20;17;8;
Municipios;9020;Puentes Viejas;50;132;54;
Municipios;1198;Quijorna;342;320;272;
Municipios;1202;Rascafría;222;202;148;
Municipios;1219;Redueña;32;51;28;
Municipios;1224;Ribatejada;90;93;85;
Municipios;1230;Rivas0Vaciamadrid;11591;15916;10100;
Municipios;1245;Robledillo de la Jara;17;8;21;
Municipios;1258;Robledo de Chavela;296;492;392;
Municipios;1261;Robregordo;15;8;9;
Municipios;1277;Rozas de Madrid (Las);24651;23795;13610;
Municipios;1283;Rozas de Puerto Real;82;133;86;
Municipios;1296;San Agustín del Guadalix;1920;2563;2640;
Municipios;1300;San Fernando de Henares;15880;17363;10078;
Municipios;1317;San Lorenzo de El Escorial;2083;2391;2869;
Municipios;1338;San Martín de Valdeiglesias;1187;1174;873;
Municipios;1322;San Martín de la Vega;2351;3503;2340;
Municipios;1343;San Sebastián de los Reyes;26035;34863;26884;
Municipios;1356;Santa María de la Alameda;80;94;56;
Municipios;1369;Santorcaz;25;94;34;
Municipios;1375;Santos de la Humosa (Los);93;111;61;
Municipios;1381;Serna del Monte (La);10;16;2;
Municipios;1408;Serranillos del Valle;438;626;306;
Municipios;1415;Sevilla la Nueva;726;762;599;
Municipios;1436;Somosierra;10;30;19;
Municipios;1441;Soto del Real;647;812;385;
Municipios;1454;Talamanca de Jarama;199;398;784;
Municipios;1467;Tielmes;198;366;405;
Municipios;1473;Titulcia;136;317;551;
Municipios;1489;Torrejón de Ardoz;21713;28950;19589;
Municipios;1505;Torrejón de Velasco;332;305;124;
Municipios;1492;Torrejón de la Calzada;1203;1440;759;
Municipios;1512;Torrelaguna;362;366;388;
Municipios;1527;Torrelodones;3317;3445;2673;
Municipios;1533;Torremocha de Jarama;121;141;103;
Municipios;1548;Torres de la Alameda;1057;1261;719;
Municipios;9036;Tres Cantos;17533;27542;16709;
Municipios;1551;Valdaracete;53;70;52;
Municipios;1564;Valdeavero;114;120;71;
Municipios;1570;Valdelaguna;25;59;45;
Municipios;1586;Valdemanco;32;39;23;
Municipios;1599;Valdemaqueda;79;57;60;
Municipios;1603;Valdemorillo;685;1027;536;
Municipios;1610;Valdemoro;17346;28584;13943;
Municipios;1625;Valdeolmos0Alalpardo;622;1199;987;
Municipios;1631;Valdepiélagos;24;57;53;
Municipios;1646;Valdetorres de Jarama;237;312;311;
Municipios;1659;Valdilecha;277;294;310;
Municipios;1662;Valverde de Alcalá;20;98;303;
Municipios;1678;Velilla de San Antonio;1538;1841;1111;
Municipios;1684;Vellón (El);72;81;49;
Municipios;1697;Venturada;224;353;227;
Municipios;1718;Villa del Prado;1052;1239;632;
Municipios;1701;Villaconejos;483;452;248;
Municipios;1723;Villalbilla;1303;1379;771;
Municipios;1739;Villamanrique de Tajo;184;274;69;
Municipios;1744;Villamanta;357;382;182;
Municipios;1757;Villamantilla;59;84;62;
Municipios;1782;Villanueva de Perales;85;125;334;
Municipios;1760;Villanueva de la Cañada;2246;2600;1475;
Municipios;1776;Villanueva del Pardillo;1199;1285;782;
Municipios;1795;Villar del Olmo;106;122;68;
Municipios;1809;Villarejo de Salvanés;3059;3631;1014;
Municipios;1816;Villaviciosa de Odón;3554;5545;2394;
Municipios;1821;Villavieja del Lozoya;33;24;35;
Municipios;1837;Zarzalejo;196;147;131;
