Serie;Codigo_municipio;Nombre;2023
Municipios;0014;Acebeda (La);1;43;22;2;Terciario
Municipios;0029;Ajalvir;535;1604;965;0;Terciario
Municipios;0035;Alameda del Valle;1;70;37;2;Terciario
Municipios;0040;Alamo (El);271;1461;850;1;Terciario
Municipios;0053;Alcalá de Henares;3564;28865;15869;0;Terciario
Municipios;0066;Alcobendas;1786;29533;15477;0;Terciario
Municipios;0072;Alcorcón;2889;26395;14352;3;Terciario
Municipios;0088;Aldea del Fresno;62;407;246;1;Terciario
Municipios;0091;Algete;628;4645;2559;0;Terciario
Municipios;0105;Alpedrete;309;2957;1611;1;Terciario
Municipios;0112;Ambite;17;102;62;1;Terciario
Municipios;0127;Anchuelo;26;193;109;1;Terciario
Municipios;0133;Aranjuez;795;8370;4557;0;Terciario
Municipios;0148;Arganda del Rey;3086;10433;6265;0;Terciario
Municipios;0151;Arroyomolinos;817;5910;3304;1;Terciario
Municipios;0164;Atazar (El);3;11;7;2;Terciario
Municipios;0170;Batres;40;293;165;1;Terciario
Municipios;0186;Becerril de la Sierra;133;1214;670;1;Terciario
Municipios;0199;Belmonte de Tajo;87;220;142;1;Terciario
Municipios;0210;Berrueco (El);23;130;75;2;Terciario
Municipios;0203;Berzosa del Lozoya;10;52;31;2;Terciario
Municipios;0225;Boadilla del Monte;777;16825;8745;0;Terciario
Municipios;0231;Boalo (El);202;1458;824;1;Terciario
Municipios;0246;Braojos;3;55;31;2;Terciario
Municipios;0259;Brea de Tajo;14;85;55;1;Terciario
Municipios;0262;Brunete;223;2099;1158;0;Terciario
Municipios;0278;Buitrago del Lozoya;42;437;242;2;Terciario
Municipios;0284;Bustarviejo;64;504;283;2;Terciario
Municipios;0297;Cabanillas de la Sierra;15;149;83;1;Terciario
Municipios;0301;Cabrera (La);75;544;307;2;Terciario
Municipios;0318;Cadalso de los Vidrios;110;463;283;2;Terciario
Municipios;0323;Camarma de Esteruelas;324;1298;771;1;Terciario
Municipios;0339;Campo Real;318;1207;717;1;Terciario
Municipios;0344;Canencia;18;79;51;2;Terciario
Municipios;0357;Carabaña;76;314;191;1;Terciario
Municipios;0360;Casarrubuelos;169;628;379;1;Terciario
Municipios;0376;Cenicientos;31;242;146;2;Terciario
Municipios;0382;Cercedilla;184;1444;804;1;Terciario
Municipios;0395;Cervera de Buitrago;3;27;15;2;Terciario
Municipios;0513;Chapinería;88;394;232;1;Terciario
Municipios;0528;Chinchón;136;1108;655;1;Terciario
Municipios;0409;Ciempozuelos;610;3139;1815;0;Terciario
