Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
Guadalix de la Sierra;2.16;4.19;12.21;17.22;33.86;30.35
Guadarrama;0.27;3.35;11.47;21.98;27.05;35.88
Hiruela (La);0.33;18.55;0;18.19;9.43;53.5
Horcajo de la Sierra-Aoslos;3.62;23.31;7.4;15.97;18.74;30.97
Horcajuelo de la Sierra;2.62;15.03;14.32;6.37;9.01;52.64
Hoyo de Manzanares;0.46;1.85;6.36;16.49;49.22;25.62
Humanes de Madrid;0.26;33.23;20.24;27.25;10.48;8.54
Leganés;0.1;13.05;8.96;34.16;23.03;20.7
Loeches;1.09;45.29;8.21;25.55;11.69;8.17
Lozoya;1.97;2.57;6.36;19.08;46.32;23.71
Lozoyuela-Navas-Sieteiglesias;0.88;12.65;8.3;28.5;22.08;27.6
Madarcos;1.68;28.95;0;2.73;10.21;56.43
Madrid;0.05;6.39;4.26;17.86;47.38;24.05
Majadahonda;0.13;3.54;4.01;17.33;53.21;21.78
Manzanares el Real;0.64;2.35;11.53;15.63;40.52;29.32
Meco;0.29;29.71;5.49;44.9;10.3;9.32
Mejorada del Campo;0.1;29.97;14.23;27.32;14.79;13.59
Miraflores de la Sierra;3.02;4.91;11.51;20.48;34.33;25.75
Molar (El);1.52;5.14;12.18;25.22;30.31;25.64
Molinos (Los);0.54;20.24;11.15;12.89;28.63;26.55
Montejo de la Sierra;1.81;10.33;3.18;7.96;8.24;68.49
Moraleja de Enmedio;1.14;28.93;16.81;21.12;18.27;13.72
Moralzarzal;0.36;3.15;9.42;24.83;32.31;29.93
Morata de Tajuña;5.44;30.9;9.45;16.2;16.51;21.5
Móstoles;0.23;10.41;8.56;24.41;28.17;28.23
Navacerrada;1.91;2.48;9.13;28.51;40.27;17.71
Navalafuente;2.08;8.13;7.94;13.16;44.73;23.98
Navalagamella;7.54;6.57;6.29;14.42;31.08;34.1
Navalcarnero;1.74;8.81;11.64;19.45;28.32;30.05
Navarredonda y San Mamés;3.24;31.15;3.3;7.43;20.86;34.04
Navas del Rey;0.58;8.2;19.93;23.87;23.13;24.29
Nuevo Baztán;0.42;6.63;20.26;20.39;32.35;19.94
Olmeda de las Fuentes;2.57;0.85;15.61;47.42;16.34;17.25
Orusco de Tajuña;4.84;35.06;3.42;7.57;11.68;37.44
Paracuellos de Jarama;2.38;21.5;7.3;26.52;23.57;18.73
Parla;0.14;11.33;10.75;24.02;26.79;26.95
Patones;0.77;0.47;9.37;43.28;16.22;29.9
Pedrezuela;1.14;2.3;14.27;17.09;33.25;31.95
Pelayos de la Presa;0.47;5.15;12.39;18.11;26.94;36.95
Perales de Tajuña;1.11;22.91;13.71;21.72;21.01;19.55
Pezuela de las Torres;7.25;7.6;7.2;27.12;18.75;32.09
Pinilla del Valle;2.24;20.26;2.14;16.46;24.18;34.68
Pinto;0.28;21.39;6.73;36.49;17.79;17.33
Piñuécar-Gandullas;5.22;29.85;4.74;4.71;14.7;40.78
Pozuelo de Alarcón;0.07;2.49;2.69;10.78;69.3;14.66
Pozuelo del Rey;4.27;10.44;19.45;16.51;36.67;12.67
Prádena del Rincón;2.77;17.37;24.21;8.92;11.53;35.23
Puebla de la Sierra;4.99;32.25;0;10.82;19.91;31.99
Puentes Viejas;1.39;30.22;6.79;9.44;16.59;35.56
Quijorna;2.05;3.8;10.03;21.05;26.28;36.79
Rascafría;3.29;5.65;9.88;32.31;23.53;25.34
Redueña;1.17;26.58;1.66;56.57;7.54;6.49
Ribatejada;1.78;1.11;8.45;23.25;21.42;43.98
Rivas-Vaciamadrid;0.29;8.33;11.31;29.42;34.37;16.28
Robledillo de la Jara;1.21;24.83;0;3.15;17.1;53.7
Robledo de Chavela;3.13;5.85;14.57;19.18;26.7;30.58
Robregordo;0.82;25.14;0;0;14.62;59.42
Rozas de Madrid (Las);0.16;8.24;4.16;18.84;53.58;15.01
Rozas de Puerto Real;1.1;2.43;1.69;16.21;34.59;43.99
San Agustín del Guadalix;0.48;29.49;4.49;27.47;23.29;14.78
San Fernando de Henares;0.27;11.25;6.54;40.82;32.51;8.6
San Lorenzo de El Escorial;0.46;1.74;4.91;20.19;32.53;40.16
San Martín de Valdeiglesias;0.85;7.09;15.52;20.57;21.64;34.33
San Martín de la Vega;1.86;30.66;8.39;21.14;16.45;21.49
San Sebastián de los Reyes;0.66;9.12;6.35;24.01;41.94;17.92
Santa María de la Alameda;2.51;18.74;15.62;13.58;30.56;18.99
Santorcaz;4.67;3.8;19.58;22.91;31.85;17.19
Santos de la Humosa (Los);2.21;5.66;13.46;32.49;21.21;24.98
Serna del Monte (La);8.89;5.77;0;44.69;17.61;23.04
Serranillos del Valle;1.02;16.76;14.19;21.68;22.13;24.21
Sevilla la Nueva;0.27;7.53;10.21;19.76;30.76;31.47
Somosierra;4.07;24.01;0;30.04;12.51;29.37
Soto del Real;3.09;3.48;5.81;12.34;23.19;52.07
Talamanca de Jarama;1.26;26.83;8.08;11.67;19.35;32.8
Tielmes;1.44;11.45;9.64;36.79;17.94;22.75
Titulcia;1.96;8.61;17.44;37.33;14.21;20.46
Torrejón de Ardoz;0.04;25.02;6.09;28.46;22.94;17.46
Torrejón de Velasco;2.16;29.87;10.82;26.96;13.44;16.76
Torrejón de la Calzada;0.23;15.92;13.35;38.62;14.59;17.29
Torrelaguna;0.91;4.94;8.21;29.1;22.19;34.66
Torrelodones;0.06;0.98;5.04;17.74;31.87;44.32
Torremocha de Jarama;1.09;4.71;53.4;6.43;10.69;23.67
Torres de la Alameda;0.4;25.96;8.86;33.79;14.07;16.92
Tres Cantos;0.08;27.09;3.06;12.29;48.26;9.21
Valdaracete;12.79;19.22;5.64;13.29;15.62;33.45
Valdeavero;3.67;20.21;15.81;22.87;17.58;19.86
Valdelaguna;2.93;17.04;12.8;12.65;17.68;36.89
Valdemanco;0.81;38.77;16.62;13.92;19.73;10.15
Valdemaqueda;3.44;8.03;31.49;14.41;25.54;17.09
Valdemorillo;1.46;8.12;9.72;21.79;36.68;22.23
Valdemoro;0.37;9.13;8.06;25.6;16.69;40.15
Valdeolmos-Alalpardo;0.54;20.84;6.98;12.96;28.9;29.78
Valdepiélagos;3.37;25.31;6.62;13.92;17.69;33.1
Valdetorres de Jarama;1.53;4.76;17.28;25.7;30;20.73
Valdilecha;5.54;23.28;7.25;32.32;18.87;12.75
Valverde de Alcalá;8.66;23.21;6.54;20.69;27.23;13.69
Velilla de San Antonio;0.14;19.63;13.12;34.36;18.29;14.46
Vellón (El);3.12;10.28;13;15.93;28.54;29.12
Venturada;0.3;3.08;4.28;31.9;33.4;27.04
Villa del Prado;7.45;4.99;16.84;25.32;20.66;24.74
Villaconejos;6.23;12.73;7.53;33.6;17.96;21.94
Villalbilla;0.2;23.57;9.03;19.45;23.85;23.89
Villamanrique de Tajo;11.17;10.77;9.07;39.02;15.78;14.2
Villamanta;6.35;6.25;20.56;12.68;18.91;35.25
