Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2
Municipios;1369;Santorcaz;281369;08;Sudeste Comunidad;28.22
Municipios;1375;Santos de la Humosa (Los);281375;08;Sudeste Comunidad;34.82
Municipios;1381;Serna del Monte (La);281381;06;Sierra Norte;5.52
Municipios;1408;Serranillos del Valle;281408;09;Sudoeste Comunidad;13.29
Municipios;1415;Sevilla la Nueva;281415;09;Sudoeste Comunidad;24.74
Municipios;1436;Somosierra;281436;06;Sierra Norte;20.40
Municipios;1441;Soto del Real;281441;11;Sierra Central;42.84
Municipios;1454;Talamanca de Jarama;281454;07;Nordeste Comunidad;38.48
Municipios;1467;Tielmes;281467;08;Sudeste Comunidad;26.58
Municipios;1473;Titulcia;281473;08;Sudeste Comunidad;10.11
Municipios;1489;Torrejón de Ardoz;0;0;0;0
Municipios;1505;Torrejón de Velasco;0;0;0;0
Municipios;1492;Torrejón de la Calzada;0;0;0;0
Municipios;1512;Torrelaguna;281512;06;Sierra Norte;43.06
Municipios;1527;Torrelodones;281527;05;Oeste Metropolitano;21.67
Municipios;1533;Torremocha de Jarama;281533;06;Sierra Norte;18.86
Municipios;1548;Torres de la Alameda;281548;08;Sudeste Comunidad;43.34
Municipios;9036;Tres Cantos;289036;02;Norte Metropolitano;37.95
Municipios;1551;Valdaracete;281551;08;Sudeste Comunidad;63.80
Municipios;1564;Valdeavero;281564;07;Nordeste Comunidad;18.71
Municipios;1570;Valdelaguna;281570;08;Sudeste Comunidad;42.26
Municipios;1586;Valdemanco;281586;06;Sierra Norte;17.79
Municipios;1599;Valdemaqueda;281599;10;Sierra Sur;51.79
Municipios;1603;Valdemorillo;281603;11;Sierra Central;93.80
Municipios;1610;Valdemoro;281610;04;Sur Metropolitano;64.16
Municipios;1625;Valdeolmos-Alalpardo;281625;07;Nordeste Comunidad;25.84
Municipios;1631;Valdepiélagos;0;0;0;0
Municipios;1646;Valdetorres de Jarama;281646;07;Nordeste Comunidad;35.07
Municipios;1659;Valdilecha;281659;08;Sudeste Comunidad;42.57
Municipios;1662;Valverde de Alcalá;0;0;0;0
Municipios;1678;Velilla de San Antonio;281678;03;Este Metropolitano;14.37
Municipios;1684;Vellón (El);0;0;0;0
Municipios;1697;Venturada;281697;06;Sierra Norte;10.22
Municipios;1718;Villa del Prado;281718;09;Sudoeste Comunidad;77.27
Municipios;1701;Villaconejos;281701;08;Sudeste Comunidad;33.27
Municipios;1723;Villalbilla;281723;08;Sudeste Comunidad;34.72
Municipios;1739;Villamanrique de Tajo;281739;08;Sudeste Comunidad;29.58
Municipios;1744;Villamanta;281744;09;Sudoeste Comunidad;63.23
Municipios;1757;Villamantilla;281757;09;Sudoeste Comunidad;23.92
Municipios;1782;Villanueva de Perales;281782;09;Sudoeste Comunidad;31.43
Municipios;1760;Villanueva de la Cañada;0;0;0;0
Municipios;1776;Villanueva del Pardillo;281776;11;Sierra Central;25.43
Municipios;1795;Villar del Olmo;281795;08;Sudeste Comunidad;27.78
Municipios;1809;Villarejo de Salvanés;0;0;0;0
Municipios;1816;Villaviciosa de Odón;0;0;0;0
Municipios;1821;Villavieja del Lozoya;281821;06;Sierra Norte;23.30
Municipios;1837;Zarzalejo;281837;10;Sierra Sur;20.18
