Nombre;zona_estadistica;zona_estadistica_codigo;densidad_poblacion;distancia_capital;Cluster estadistico
Perales de Tajuña;Sudeste Comunidad;8;64.15;40.166;1
Pezuela de las Torres;Sudeste Comunidad;8;23.54;51.574;1
Pinilla del Valle;Sierra Norte;6;8.02;91.312;2
Pinto;Sur Metropolitano;4;889.54;23.546;0
Piñuécar-Gandullas;0;0;9.75;83.028;2
Pozuelo de Alarcón;Oeste Metropolitano;5;2053.93;18.056;0
Pozuelo del Rey;Sudeste Comunidad;8;41.24;41.51;1
Prádena del Rincón;Sierra Norte;6;6.66;85.383;2
Puebla de la Sierra;Sierra Norte;6;1.8;103.62;2
Puentes Viejas;Sierra Norte;6;12.94;75.189;2
Quijorna;Sudoeste Comunidad;9;150.04;45.968;1
Rascafría;Sierra Norte;6;11.64;95.391;2
Redueña;Sierra Norte;6;23.39;56.05;1
Ribatejada;Nordeste Comunidad;7;28.53;51.73;1
Rivas-Vaciamadrid;Este Metropolitano;3;1485.57;16.274;0
Robledillo de la Jara;Sierra Norte;6;6.37;79.092;2
Robledo de Chavela;Sierra Sur;10;50.34;74.92;1
Robregordo;Sierra Norte;6;4.3;89.533;2
Rozas de Madrid (Las);Oeste Metropolitano;5;1690.16;19.981;0
Rozas de Puerto Real;Sierra Sur;10;19.53;92.193;2
San Agustín del Guadalix;Norte Metropolitano;2;358.19;36.132;0
San Fernando de Henares;Este Metropolitano;3;1002.98;18.348;0
San Lorenzo de El Escorial;Sierra Central;11;328.4;62.624;1
San Martín de Valdeiglesias;Sierra Sur;10;77.01;78.77;2
San Martín de la Vega;Sur Metropolitano;4;192.73;30.402;0
San Sebastián de los Reyes;Norte Metropolitano;2;1559.52;20.284;0
Santa María de la Alameda;Sierra Sur;10;20.01;70.111;1
Santorcaz;Sudeste Comunidad;8;33.46;45.724;1
Santos de la Humosa (Los);Sudeste Comunidad;8;79.38;46.496;1
Serna del Monte (La);Sierra Norte;6;19.2;80.844;2
Serranillos del Valle;Sudoeste Comunidad;9;353.83;35.694;1
Sevilla la Nueva;Sudoeste Comunidad;9;386.54;42.875;1
Somosierra;Sierra Norte;6;4.16;93.268;2
Soto del Real;Sierra Central;11;219.39;44.268;1
Talamanca de Jarama;Nordeste Comunidad;7;113.55;47.636;1
Tielmes;Sudeste Comunidad;8;102.71;45.405;1
Titulcia;Sudeste Comunidad;8;134.71;40.449;1
Torrejón de Ardoz;Este Metropolitano;3;4266.66;22.712;3
Torrejón de Velasco;Sudoeste Comunidad;9;90.86;29.513;1
Torrejón de la Calzada;Sudoeste Comunidad;9;1137.12;27.728;1
Torrelaguna;Sierra Norte;6;114.74;60.357;2
Torrelodones;Oeste Metropolitano;5;1157.43;30.262;0
Torremocha de Jarama;Sierra Norte;6;60.47;64.681;2
Torres de la Alameda;Sudeste Comunidad;8;177.86;37.051;1
Tres Cantos;Norte Metropolitano;2;1352.85;24.566;0
Valdaracete;Sudeste Comunidad;8;10.07;58.985;1
Valdeavero;Nordeste Comunidad;7;94.71;47.888;1
Valdelaguna;Sudeste Comunidad;8;24.69;50.708;1
Valdemanco;Sierra Norte;6;60.28;65.264;2
Valdemaqueda;Sierra Sur;10;15.83;80.311;2
Valdemorillo;Sierra Central;11;145.24;49.031;1
Valdemoro;Sur Metropolitano;4;1270.53;28.75;0
Valdeolmos-Alalpardo;Nordeste Comunidad;7;175.3;37.129;1
Valdepiélagos;Nordeste Comunidad;7;35.54;51.502;1
Valdetorres de Jarama;Nordeste Comunidad;7;142.44;41.951;1
Valdilecha;Sudeste Comunidad;8;75.06;45.871;1
Valverde de Alcalá;Sudeste Comunidad;8;38.98;42.548;1
Velilla de San Antonio;Este Metropolitano;3;930.46;21.48;0
Vellón (El);Sierra Norte;6;65.68;48.389;1
Venturada;Sierra Norte;6;250.73;52.667;1
Villa del Prado;Sudoeste Comunidad;9;93.82;66.911;1
Villaconejos;Sudeste Comunidad;8;104.9;55.549;1
Villalbilla;Sudeste Comunidad;8;483.87;39.662;1
Villamanrique de Tajo;Sudeste Comunidad;8;27.19;64.302;1
Villamanta;Sudoeste Comunidad;9;43.98;47.225;1
Villamantilla;Sudoeste Comunidad;9;66.17;53.9;1
Villanueva de Perales;Sudoeste Comunidad;9;54.5;50.249;1
Villanueva de la Cañada;Oeste Metropolitano;5;674.76;43.204;0
Villanueva del Pardillo;Sierra Central;11;694.38;28.83;1
Villar del Olmo;Sudeste Comunidad;8;81.15;48.941;1
Villarejo de Salvanés;Sudeste Comunidad;8;64.79;50.672;1
Villaviciosa de Odón;Oeste Metropolitano;5;420.84;26.157;0
Villavieja del Lozoya;Sierra Norte;6;13.6;80.015;2
Zarzalejo;Sierra Sur;10;89.3;65.28;1
