Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de comercio y hostelería. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;0650;Getafe;18403;19414;20014;20268;20517;21334;20223;22113;22500;
Municipios;0663;Griñón;1506;1749;1922;2024;2016;2112;1831;1947;2209;
Municipios;0679;Guadalix de la Sierra;256;252;263;261;253;284;269;290;284;
Municipios;0685;Guadarrama;1022;1051;1090;1144;1143;1137;1118;1222;1281;
Municipios;0698;Hiruela (La);11;11;13;7;9;16;19;19;19;
Municipios;0702;Horcajo de la Sierra-Aoslos;20;17;24;16;15;21;22;23;20;
Municipios;0719;Horcajuelo de la Sierra;6;7;6;14;6;5;9;15;8;
Municipios;0724;Hoyo de Manzanares;379;391;368;359;363;393;364;372;413;
Municipios;0730;Humanes de Madrid;2588;2767;2896;3057;3110;3188;2987;3198;3250;
Municipios;0745;Leganés;23061;24946;25896;26342;26998;25082;24436;25073;25430;
Municipios;0758;Loeches;611;646;707;691;798;812;785;827;817;
Municipios;0761;Lozoya;44;42;45;52;53;53;55;63;59;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;109;109;109;118;136;143;152;135;140;
Municipios;0783;Madarcos;1;1;2;1;1;0;0;0;3;
Municipios;0796;Madrid;335155;346439;358133;370270;377518;383322;349666;373742;386774;
Municipios;0800;Majadahonda;8100;7912;7993;7891;7917;8121;7288;7937;8167;
Municipios;0822;Manzanares el Real;288;297;290;306;321;320;324;332;309;
Municipios;0838;Meco;597;653;693;754;793;1134;1415;1409;1506;
Municipios;0843;Mejorada del Campo;1547;1608;1680;1702;1722;1695;1753;1831;1857;
Municipios;0856;Miraflores de la Sierra;306;295;303;325;331;313;329;366;351;
Municipios;0869;Molar (El);424;441;431;453;428;441;439;463;473;
Municipios;0875;Molinos (Los);156;158;173;181;183;184;194;219;261;
Municipios;0881;Montejo de la Sierra;24;21;18;18;24;25;17;19;16;
Municipios;0894;Moraleja de Enmedio;471;460;444;531;509;523;493;534;514;
Municipios;0908;Moralzarzal;617;644;681;687;759;735;754;751;746;
Municipios;0915;Morata de Tajuña;252;261;276;284;285;280;277;277;317;
Municipios;0920;Móstoles;11819;12075;12377;13514;13749;13846;13207;13712;13693;
Municipios;0936;Navacerrada;301;322;304;305;326;333;313;327;311;
Municipios;0941;Navalafuente;34;39;39;39;37;38;42;38;39;
Municipios;0954;Navalagamella;53;61;61;56;59;56;59;63;63;
Municipios;0967;Navalcarnero;1295;1324;1310;1348;1453;1493;1487;1565;1618;
Municipios;0973;Navarredonda y San Mamés;9;8;9;8;7;5;6;6;4;
Municipios;0992;Navas del Rey;148;151;164;182;187;171;197;204;206;
Municipios;1006;Nuevo Baztán;207;197;214;223;207;197;200;241;210;
Municipios;1013;Olmeda de las Fuentes;12;15;14;13;17;19;17;13;14;
Municipios;1028;Orusco de Tajuña;29;31;35;38;34;31;28;27;24;
Municipios;1049;Paracuellos de Jarama;1298;1361;1466;1522;1612;1646;1700;1641;1639;
Municipios;1065;Parla;5764;5765;6009;6161;6271;6068;5683;5943;5886;
Municipios;1071;Patones;75;84;80;87;82;86;101;106;95;
Municipios;1087;Pedrezuela;236;257;239;230;225;221;218;241;215;
Municipios;1090;Pelayos de la Presa;106;110;115;109;140;156;158;158;153;
Municipios;1104;Perales de Tajuña;176;174;179;170;173;162;160;174;170;
Municipios;1111;Pezuela de las Torres;49;50;55;46;51;48;52;57;60;
Municipios;1126;Pinilla del Valle;11;11;11;10;11;13;10;9;8;
Municipios;1132;Pinto;5408;5436;5737;6737;6872;7033;6341;6963;7050;
Municipios;1147;Piñuécar-Gandullas;5;6;7;3;5;5;4;7;3;
Municipios;1150;Pozuelo de Alarcón;8369;9565;9488;9940;10200;10332;11650;11889;12395;
Municipios;1163;Pozuelo del Rey;12;13;17;17;12;15;15;14;15;
Municipios;1179;Prádena del Rincón;3;4;3;3;8;9;9;9;7;
Municipios;1185;Puebla de la Sierra;2;1;2;3;3;2;6;5;4;
Municipios;9020;Puentes Viejas;15;26;23;20;24;23;25;29;28;
Municipios;1198;Quijorna;80;74;83;88;102;92;81;88;87;
Municipios;1202;Rascafría;221;213;241;238;251;251;251;264;261;
Municipios;1219;Redueña;27;35;39;51;49;56;51;54;45;
Municipios;1224;Ribatejada;13;14;14;18;15;16;15;19;15;
Municipios;1230;Rivas-Vaciamadrid;7065;7540;7830;7921;8261;8571;8278;9047;8869;
Municipios;1245;Robledillo de la Jara;4;1;2;1;1;2;10;12;10;
Municipios;1258;Robledo de Chavela;202;221;230;260;269;268;239;245;250;
Municipios;1261;Robregordo;1;0;0;0;0;0;0;1;1;
Municipios;1277;Rozas de Madrid (Las);11881;12563;12859;13432;12890;12890;12431;13535;13745;
Municipios;1283;Rozas de Puerto Real;28;38;42;53;60;70;101;108;98;
Municipios;1296;San Agustín del Guadalix;1004;1058;1099;1129;1127;1057;1061;1060;1092;
Municipios;1300;San Fernando de Henares;5644;6195;6490;6834;7191;8017;7544;7994;7537;
Municipios;1317;San Lorenzo de El Escorial;1448;1486;1519;1502;1496;1529;1495;1540;1571;
Municipios;1338;San Martín de Valdeiglesias;545;531;559;540;581;608;561;591;573;
Municipios;1322;San Martín de la Vega;1228;1242;1296;1260;1334;1347;1406;1345;1408;
Municipios;1343;San Sebastián de los Reyes;12159;12742;13046;13151;12562;13242;13186;13271;13417;
Municipios;1356;Santa María de la Alameda;57;53;50;53;49;59;56;64;62;
Municipios;1369;Santorcaz;23;24;26;26;27;23;22;25;25;
Municipios;1375;Santos de la Humosa (Los);94;103;111;98;121;117;126;126;133;
Municipios;1381;Serna del Monte (La);12;8;16;17;17;14;13;13;11;
Municipios;1408;Serranillos del Valle;207;212;214;204;221;236;181;194;218;
Municipios;1415;Sevilla la Nueva;291;272;307;329;312;359;350;350;379;
Municipios;1436;Somosierra;14;17;21;21;22;21;17;12;22;
Municipios;1441;Soto del Real;402;397;412;411;415;439;412;453;476;
Municipios;1454;Talamanca de Jarama;205;109;121;126;107;114;105;120;123;
Municipios;1467;Tielmes;208;207;212;193;217;219;210;219;240;
Municipios;1473;Titulcia;44;49;77;82;106;106;105;104;110;
Municipios;1489;Torrejón de Ardoz;10796;11514;12006;11739;12277;12839;12106;12482;12547;
Municipios;1505;Torrejón de Velasco;144;161;176;208;191;272;293;239;274;
Municipios;1492;Torrejón de la Calzada;1032;1051;1072;1152;1250;1263;1176;1267;1288;
Municipios;1512;Torrelaguna;246;274;334;353;372;385;384;402;445;
Municipios;1527;Torrelodones;1588;1701;1602;1672;1742;1628;1638;1693;1659;
Municipios;1533;Torremocha de Jarama;59;46;53;53;52;51;43;57;53;
Municipios;1548;Torres de la Alameda;916;991;988;1014;1002;1004;886;938;962;
Municipios;9036;Tres Cantos;6261;6231;6497;6600;6408;6274;6039;7081;7344;
Municipios;1551;Valdaracete;15;16;17;18;18;18;18;25;21;
Municipios;1564;Valdeavero;47;60;63;73;64;66;72;79;71;
Municipios;1570;Valdelaguna;47;30;19;14;19;15;14;22;18;
Municipios;1586;Valdemanco;35;33;37;39;39;40;40;42;35;
Municipios;1599;Valdemaqueda;35;35;35;32;35;38;40;42;44;
Municipios;1603;Valdemorillo;535;565;581;599;616;608;577;640;673;
Municipios;1610;Valdemoro;5414;5591;5730;5822;6179;6467;6402;6808;7288;
Municipios;1625;Valdeolmos-Alalpardo;110;104;116;141;138;132;134;131;136;
Municipios;1631;Valdepiélagos;18;17;18;20;18;19;20;19;21;
Municipios;1646;Valdetorres de Jarama;187;226;193;235;224;227;197;217;222;
Municipios;1659;Valdilecha;176;133;157;194;214;220;215;223;201;
Municipios;1662;Valverde de Alcalá;9;10;10;10;10;8;8;9;7;
Municipios;1678;Velilla de San Antonio;757;765;799;879;867;851;838;931;910;
Municipios;1684;Vellón (El);40;45;49;55;53;49;48;45;47;
Municipios;1697;Venturada;84;91;139;201;219;196;205;284;302;
Municipios;1718;Villa del Prado;415;410;421;364;362;351;402;430;457;
Municipios;1701;Villaconejos;201;196;190;201;191;187;200;218;203;
Municipios;1723;Villalbilla;349;364;403;412;421;497;445;486;462;
Municipios;1739;Villamanrique de Tajo;49;58;71;79;84;91;96;102;97;
Municipios;1744;Villamanta;70;69;72;78;78;92;73;83;80;
Municipios;1757;Villamantilla;18;28;29;31;27;30;21;27;20;
Municipios;1782;Villanueva de Perales;75;85;68;63;70;73;66;70;61;
Municipios;1760;Villanueva de la Cañada;1113;1177;1184;1198;1294;1310;1269;1409;1413;
Municipios;1776;Villanueva del Pardillo;614;642;714;692;734;723;715;750;778;
Municipios;1795;Villar del Olmo;33;28;42;42;38;46;47;48;53;
Municipios;1809;Villarejo de Salvanés;844;389;422;435;432;417;394;395;389;
Municipios;1816;Villaviciosa de Odón;2086;2242;2318;2438;2570;2652;2541;2657;2701;
Municipios;1821;Villavieja del Lozoya;7;6;7;5;6;7;5;5;5;
Municipios;1837;Zarzalejo;45;56;53;56;56;47;38;39;47;(A) Avance ;
Notas;
(Base 2015);
;
Datos a 1 de enero de cada año.;
