Serie;Codigo_municipio;Nombre;contratos_primario_indefinidos_2022;contratos_primario_indefinidos_2023;contratos_primario_temp_2022;contratos_primario_temp_2023;contratos_primario_total_2022;contratos_primario_total_2023;contratos_secundario_indefinidos_2022;contratos_secundario_indefinidos_2023;contratos_secundario_temp_2022;contratos_secundario_temp_2023;contratos_secundario_total_2022;contratos_secundario_total_2023;contratos_indefinidos_2022;contratos_indefinidos_2023;contratos_terciario_indefinidos_2022;contratos_terciario_indefinidos_2023;contratos_terciario_temp_2022;contratos_terciario_temp_2023;contratos_terciario_total_2022;contratos_terciario_total_2023;contratos_temp_2022;contratos_temp_2023;contratos_porcentaje_indefinidos_2022;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2022;contratos_porcentaje_temp_2023;contratos_total_registrados_2022;contratos_total_registrados_2023
Municipios;0170;Batres;0;0;0;0;0;0;23;24;4;2;27;26;284;132;261;108;811;162;1072;270;815;164;25.84;44.59;74.16;55.41;1099;296
Municipios;0186;Becerril de la Sierra;4;4;3;0;7;4;50;75;26;23;76;98;407;355;353;276;463;363;816;639;492;386;45.27;47.91;54.73;52.09;899;741
Municipios;0199;Belmonte de Tajo;1;2;11;7;12;9;40;25;16;6;56;31;226;166;185;139;427;347;612;486;454;360;33.24;31.56;66.76;68.44;680;526
Municipios;0210;Berrueco (El);1;0;1;0;2;0;27;33;6;3;33;36;204;146;176;113;233;220;409;333;240;223;45.95;39.57;54.05;60.43;444;369
Municipios;0203;Berzosa del Lozoya;0;0;0;0;0;0;17;10;8;2;25;12;150;197;133;187;305;466;438;653;313;468;32.40;29.62;67.60;70.38;463;665
Municipios;0225;Boadilla del Monte;14;10;41;46;55;56;912;955;370;233;1282;1188;7646;7292;6720;6327;6065;6886;12785;13213;6476;7165;54.14;50.44;45.86;49.56;14122;14457
Municipios;0231;Boalo (El);2;0;1;0;3;0;95;86;37;21;132;107;517;463;420;377;304;461;724;838;342;482;60.19;48.99;39.81;51.01;859;945
Municipios;0246;Braojos;0;0;0;3;0;3;3;6;6;0;9;6;92;108;89;102;65;48;154;150;71;51;56.44;67.92;43.56;32.08;163;159
Municipios;0259;Brea de Tajo;2;1;7;10;9;11;4;10;1;0;5;10;151;84;145;73;141;180;286;253;149;190;50.33;30.66;49.67;69.34;300;274
Municipios;0262;Brunete;2;1;9;0;11;1;116;92;52;27;168;119;973;682;855;589;748;545;1603;1134;809;572;54.60;54.39;45.40;45.61;1782;1254
Municipios;0278;Buitrago del Lozoya;5;0;4;0;9;0;50;52;15;10;65;62;213;190;158;138;563;523;721;661;582;533;26.79;26.28;73.21;73.72;795;723
Municipios;0284;Bustarviejo;1;1;1;0;2;1;47;91;7;11;54;102;313;318;265;226;170;129;435;355;178;140;63.75;69.43;36.25;30.57;491;458
Municipios;0297;Cabanillas de la Sierra;1;1;0;0;1;1;30;15;16;7;46;22;139;147;108;131;90;83;198;214;106;90;56.73;62.03;43.27;37.97;245;237
Municipios;0301;Cabrera (La);0;2;0;0;0;2;28;21;26;5;54;26;250;190;222;167;294;190;516;357;320;195;43.86;49.35;56.14;50.65;570;385
Municipios;0318;Cadalso de los Vidrios;31;21;5;14;36;35;86;99;57;103;143;202;290;252;173;132;276;141;449;273;338;258;46.18;49.41;53.82;50.59;628;510
Municipios;0323;Camarma de Esteruelas;2;0;0;0;2;0;248;255;550;566;798;821;718;668;468;413;488;322;956;735;1038;888;40.89;42.93;59.11;57.07;1756;1556
Municipios;0339;Campo Real;5;7;14;21;19;28;267;177;256;111;523;288;597;1323;325;1139;407;390;732;1529;677;522;46.86;71.71;53.14;28.29;1274;1845
Municipios;0344;Canencia;0;0;0;0;0;0;21;19;9;0;30;19;201;271;180;252;98;120;278;372;107;120;65.26;69.31;34.74;30.69;308;391
Municipios;0357;Carabaña;6;12;7;3;13;15;18;16;23;14;41;30;156;100;132;72;335;192;467;264;365;209;29.94;32.36;70.06;67.64;521;309
Municipios;0360;Casarrubuelos;0;0;2;0;2;0;162;182;55;39;217;221;847;726;685;544;1018;1029;1703;1573;1075;1068;44.07;40.47;55.93;59.53;1922;1794
Municipios;0376;Cenicientos;3;3;7;11;10;14;15;23;18;3;33;26;296;116;278;90;157;168;435;258;182;182;61.92;38.93;38.08;61.07;478;298
Municipios;0382;Cercedilla;4;3;1;0;5;3;90;123;27;1;117;124;655;747;561;621;1069;709;1630;1330;1097;710;37.39;51.27;62.61;48.73;1752;1457
Municipios;0395;Cervera de Buitrago;0;0;0;1;0;1;2;6;3;1;5;7;78;68;76;62;172;76;248;138;175;78;30.83;46.58;69.17;53.42;253;146
