Serie;Codigo_municipio;Nombre;contratos_primario_indefinidos_2022;contratos_primario_indefinidos_2023;contratos_primario_temp_2022;contratos_primario_temp_2023;contratos_primario_total_2022;contratos_primario_total_2023;contratos_secundario_indefinidos_2022;contratos_secundario_indefinidos_2023;contratos_secundario_temp_2022;contratos_secundario_temp_2023;contratos_secundario_total_2022;contratos_secundario_total_2023;contratos_indefinidos_2022;contratos_indefinidos_2023;contratos_terciario_indefinidos_2022;contratos_terciario_indefinidos_2023;contratos_terciario_temp_2022;contratos_terciario_temp_2023;contratos_terciario_total_2022;contratos_terciario_total_2023;contratos_temp_2022;contratos_temp_2023;contratos_porcentaje_indefinidos_2022;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2022;contratos_porcentaje_temp_2023;contratos_total_registrados_2022;contratos_total_registrados_2023
Municipios;1338;San Martín de Valdeiglesias;29;8;10;14;39;22;109;101;70;43;179;144;650;539;512;430;793;659;1305;1089;873;716;42.68;42.95;57.32;57.05;1523;1255
Municipios;1322;San Martín de la Vega;27;9;15;7;42;16;376;316;341;186;717;502;1616;1633;1213;1308;1984;1226;3197;2534;2340;1419;40.85;53.51;59.15;46.49;3956;3052
Municipios;1343;San Sebastián de los Reyes;13;6;8;10;21;16;1929;1895;1724;746;3653;2641;14921;14346;12979;12445;25152;17241;38131;29686;26884;17997;35.69;44.36;64.31;55.64;41805;32343
Municipios;1356;Santa María de la Alameda;2;1;1;0;3;1;13;7;17;19;30;26;55;42;40;34;38;27;78;61;56;46;49.55;47.73;50.45;52.27;111;88
Municipios;1369;Santorcaz;0;0;0;0;0;0;6;5;1;0;7;5;47;31;41;26;33;49;74;75;34;49;58.02;38.75;41.98;61.25;81;80
Municipios;1375;Santos de la Humosa (Los);2;2;5;4;7;6;5;9;4;2;9;11;98;83;91;72;52;34;143;106;61;40;61.64;67.48;38.36;32.52;159;123
Municipios;1381;Serna del Monte (La);0;0;0;0;0;0;0;0;0;0;0;0;5;7;5;7;2;10;7;17;2;10;71.43;41.18;28.57;58.82;7;17
Municipios;1408;Serranillos del Valle;0;0;0;0;0;0;118;108;76;20;194;128;308;319;190;211;230;126;420;337;306;146;50.16;68.60;49.84;31.40;614;465
Municipios;1415;Sevilla la Nueva;1;0;0;1;1;1;93;87;28;15;121;102;642;631;548;544;571;644;1119;1188;599;660;51.73;48.88;48.27;51.12;1241;1291
Municipios;1436;Somosierra;0;1;1;0;1;1;0;1;0;0;0;1;18;23;18;21;18;8;36;29;19;8;48.65;74.19;51.35;25.81;37;31
Municipios;1441;Soto del Real;2;1;3;1;5;2;83;77;32;22;115;99;479;453;394;375;350;224;744;599;385;247;55.44;64.71;44.56;35.29;864;700
Municipios;1454;Talamanca de Jarama;8;7;4;0;12;7;119;72;42;26;161;98;266;193;139;114;738;399;877;513;784;425;25.33;31.23;74.67;68.77;1050;618
Municipios;1467;Tielmes;6;8;10;6;16;14;27;23;126;112;153;135;164;157;131;126;269;303;400;429;405;421;28.82;27.16;71.18;72.84;569;578
Municipios;1473;Titulcia;2;1;3;3;5;4;19;14;14;6;33;20;99;67;78;52;534;337;612;389;551;346;15.23;16.22;84.77;83.78;650;413
Municipios;1489;Torrejón de Ardoz;33;48;21;37;54;85;3543;3226;4062;3044;7605;6270;12688;12163;9112;8889;15506;12851;24618;21740;19589;15932;39.31;43.29;60.69;56.71;32277;28095
Municipios;1505;Torrejón de Velasco;7;12;0;1;7;13;61;85;37;10;98;95;249;341;181;244;87;53;268;297;124;64;66.76;84.20;33.24;15.80;373;405
Municipios;1492;Torrejón de la Calzada;2;3;0;0;2;3;313;319;169;90;482;409;863;946;548;624;590;401;1138;1025;759;491;53.21;65.83;46.79;34.17;1622;1437
Municipios;1512;Torrelaguna;2;1;5;3;7;4;41;33;26;10;67;43;149;142;106;108;357;382;463;490;388;395;27.75;26.44;72.25;73.56;537;537
Municipios;1527;Torrelodones;2;1;0;1;2;2;116;147;136;66;252;213;2119;2022;2001;1874;2537;2117;4538;3991;2673;2184;44.22;48.07;55.78;51.93;4792;4206
Municipios;1533;Torremocha de Jarama;1;0;0;0;1;0;3;3;11;8;14;11;27;36;23;33;92;62;115;95;103;70;20.77;33.96;79.23;66.04;130;106
Municipios;1548;Torres de la Alameda;7;1;5;1;12;2;284;242;123;72;407;314;598;593;307;350;591;440;898;790;719;513;45.41;53.62;54.59;46.38;1317;1106
Municipios;9036;Tres Cantos;16;47;15;91;31;138;1810;1557;2791;1816;4601;3373;9379;8800;7553;7196;13903;11813;21456;19009;16709;13720;35.95;39.08;64.05;60.92;26088;22520
Municipios;1551;Valdaracete;10;18;16;22;26;40;1;4;2;0;3;4;25;30;14;8;34;29;48;37;52;51;32.47;37.04;67.53;62.96;77;81
Municipios;1564;Valdeavero;1;0;3;2;4;2;43;43;20;22;63;65;92;86;48;43;48;30;96;73;71;54;56.44;61.43;43.56;38.57;163;140
Municipios;1570;Valdelaguna;1;0;0;0;1;0;7;4;0;1;7;5;20;15;12;11;45;32;57;43;45;33;30.77;31.25;69.23;68.75;65;48
Municipios;1586;Valdemanco;0;0;0;0;0;0;9;21;7;1;16;22;21;38;12;17;16;21;28;38;23;22;47.73;63.33;52.27;36.67;44;60
Municipios;1599;Valdemaqueda;1;0;8;8;9;8;42;27;12;8;54;35;62;53;19;26;40;15;59;41;60;31;50.82;63.10;49.18;36.90;122;84
Municipios;1603;Valdemorillo;6;1;8;9;14;10;123;94;69;47;192;141;679;538;550;443;459;431;1009;874;536;487;55.88;52.49;44.12;47.51;1215;1025
Municipios;1610;Valdemoro;4;9;12;20;16;29;2047;2171;1005;843;3052;3014;8624;6930;6573;4750;12926;14460;19499;19210;13943;15323;38.22;31.14;61.78;68.86;22567;22253
Municipios;1625;Valdeolmos-Alalpardo;1;5;6;2;7;7;70;26;784;294;854;320;227;195;156;164;197;214;353;378;987;510;18.70;27.66;81.30;72.34;1214;705
Municipios;1631;Valdepiélagos;0;1;1;0;1;1;4;4;4;0;8;4;24;14;20;9;48;55;68;64;53;55;31.17;20.29;68.83;79.71;77;69
Municipios;1646;Valdetorres de Jarama;4;17;2;14;6;31;94;71;35;12;129;83;237;265;139;177;274;156;413;333;311;182;43.25;59.28;56.75;40.72;548;447
Municipios;1659;Valdilecha;5;3;20;19;25;22;43;47;43;75;86;122;150;145;102;95;247;194;349;289;310;288;32.61;33.49;67.39;66.51;460;433
Municipios;1662;Valverde de Alcalá;2;2;0;0;2;2;5;0;3;1;8;1;17;19;10;17;300;393;310;410;303;394;5.31;4.60;94.69;95.40;320;413
Municipios;1678;Velilla de San Antonio;2;1;0;0;2;1;314;291;269;170;583;461;2023;3027;1707;2735;842;648;2549;3383;1111;818;64.55;78.73;35.45;21.27;3134;3845
Municipios;1684;Vellón (El);0;0;1;0;1;0;9;8;23;6;32;14;39;39;30;31;25;39;55;70;49;45;44.32;46.43;55.68;53.57;88;84
Municipios;1697;Venturada;0;0;0;0;0;0;23;127;23;19;46;146;301;463;278;336;204;219;482;555;227;238;57.01;66.05;42.99;33.95;528;701
Municipios;1718;Villa del Prado;158;135;32;20;190;155;165;107;84;22;249;129;577;531;254;289;516;392;770;681;632;434;47.73;55.03;52.27;44.97;1209;965
Municipios;1701;Villaconejos;25;16;64;85;89;101;14;13;20;12;34;25;198;146;159;117;164;172;323;289;248;269;44.39;35.18;55.61;64.82;446;415
Municipios;1723;Villalbilla;1;0;1;7;2;7;234;224;301;158;535;382;768;748;533;524;469;724;1002;1248;771;889;49.90;45.69;50.10;54.31;1539;1637
Municipios;1739;Villamanrique de Tajo;70;213;40;60;110;273;7;4;2;0;9;4;123;289;46;72;27;29;73;101;69;89;64.06;76.46;35.94;23.54;192;378
Municipios;1744;Villamanta;2;6;4;0;6;6;17;29;7;3;24;32;137;91;118;56;171;125;289;181;182;128;42.95;41.55;57.05;58.45;319;219
Municipios;1757;Villamantilla;0;1;0;0;0;1;44;54;8;2;52;56;68;85;24;30;54;22;78;52;62;24;52.31;77.98;47.69;22.02;130;109
Municipios;1782;Villanueva de Perales;7;5;2;3;9;8;7;16;3;1;10;17;70;69;56;48;329;234;385;282;334;238;17.33;22.48;82.67;77.52;404;307
Municipios;1760;Villanueva de la Cañada;7;11;25;23;32;34;154;212;116;75;270;287;2766;2455;2605;2232;1334;812;3939;3044;1475;910;65.22;72.96;34.78;27.04;4241;3365
Municipios;1776;Villanueva del Pardillo;1;4;10;9;11;13;286;276;142;88;428;364;1023;976;736;696;630;722;1366;1418;782;819;56.68;54.37;43.32;45.63;1805;1795
Municipios;1795;Villar del Olmo;0;2;1;0;1;2;36;41;18;5;54;46;82;90;46;47;49;30;95;77;68;35;54.67;72.00;45.33;28.00;150;125
Municipios;1809;Villarejo de Salvanés;14;11;18;22;32;33;211;151;644;669;855;820;415;400;190;238;352;188;542;426;1014;879;29.04;31.27;70.96;68.73;1429;1279
Municipios;1816;Villaviciosa de Odón;15;32;31;6;46;38;521;358;256;90;777;448;3214;2941;2678;2551;2107;2464;4785;5015;2394;2560;57.31;53.46;42.69;46.54;5608;5501
Municipios;1821;Villavieja del Lozoya;0;0;0;0;0;0;3;4;3;0;6;4;5;10;2;6;32;21;34;27;35;21;12.50;32.26;87.50;67.74;40;31
Municipios;1837;Zarzalejo;0;1;0;0;0;1;25;4;43;37;68;41;83;37;58;32;88;72;146;104;131;109;38.79;25.34;61.21;74.66;214;146
