Serie;Codigo_municipio;Nombre;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;0339;Campo Real;1497;1487;778;845;0;1;345;368;2620;2700;57.14;55.07;29.69;31.30;13.17;13.63
Municipios;0344;Canencia;45;42;73;69;0;0;24;22;142;133;31.69;31.58;51.41;51.88;16.90;16.54
Municipios;0357;Carabaña;455;428;214;254;0;0;102;117;771;799;59.01;53.57;27.76;31.79;13.23;14.64
Municipios;0360;Casarrubuelos;773;794;443;478;0;0;206;226;1422;1498;54.36;53.00;31.15;31.91;14.49;15.09
Municipios;0376;Cenicientos;319;321;208;225;0;0;117;109;644;655;49.53;49.01;32.30;34.35;18.17;16.64
Municipios;0382;Cercedilla;1355;1377;1184;1256;1;1;391;444;2930;3077;46.25;44.75;40.41;40.82;13.34;14.43
Municipios;0395;Cervera de Buitrago;17;12;21;15;0;0;6;6;44;33;38.64;36.36;47.73;45.45;13.64;18.18
Municipios;0513;Chapinería;426;431;301;313;0;0;128;117;855;861;49.82;50.06;35.20;36.35;14.97;13.59
Municipios;0528;Chinchón;1019;998;733;784;2;2;301;326;2053;2108;49.63;47.34;35.70;37.19;14.66;15.46
Municipios;0409;Ciempozuelos;4975;4959;3037;3309;2;1;1416;1459;9428;9727;52.77;50.98;32.21;34.02;15.02;15.00
Municipios;0416;Cobeña;1482;1503;1117;1163;0;0;421;465;3020;3131;49.07;48.00;36.99;37.14;13.94;14.85
Municipios;0468;Collado Mediano;1343;1334;1188;1244;0;0;361;416;2892;2994;46.44;44.56;41.08;41.55;12.48;13.89
Municipios;0474;Collado Villalba;14510;14555;9858;10457;3;8;4366;4599;28734;29611;50.50;49.15;34.31;35.31;15.19;15.53
Municipios;0455;Colmenar Viejo;11834;12193;7640;8039;4;4;3357;3571;22831;23803;51.83;51.22;33.46;33.77;14.70;15.00
Municipios;0437;Colmenar de Oreja;1615;1603;1011;1069;2;1;523;535;3149;3207;51.29;49.98;32.11;33.33;16.61;16.68
Municipios;0421;Colmenar del Arroyo;302;319;201;211;0;0;77;82;580;612;52.07;52.12;34.66;34.48;13.28;13.40
Municipios;0442;Colmenarejo;1821;1780;1433;1580;1;1;572;658;3826;4018;47.60;44.30;37.45;39.32;14.95;16.38
Municipios;0480;Corpa;156;171;68;74;0;0;25;26;249;271;62.65;63.10;27.31;27.31;10.04;9.59
Municipios;0493;Coslada;21918;21717;11994;12272;5;5;4953;5004;38865;38993;56.40;55.69;30.86;31.47;12.74;12.83
Municipios;0506;Cubas de la Sagra;1304;1356;731;799;0;2;310;324;2345;2479;55.61;54.70;31.17;32.23;13.22;13.07
