Serie;Codigo_municipio;Nombre;censo_0a4_2022;censo_0a4_2023;censo_5a9_2022;censo_5a9_2023;censo_10a14_2022;censo_10a14_2023;censo_15a19_2022;censo_15a19_2023;censo_20a24_2022;censo_20a24_2023;censo_25a29_2022;censo_25a29_2023;censo_30a34_2022;censo_30a34_2023;censo_35a39_2022;censo_35a39_2023;censo_40a44_2022;censo_40a44_2023;censo_45a49_2022;censo_45a49_2023;censo_50a54_2022;censo_50a54_2023;censo_55a59_2022;censo_55a59_2023;censo_60a64_2022;censo_60a64_2023;censo_65a69_2022;censo_65a69_2023;censo_70a74_2022;censo_70a74_2023;censo_75a79_2022;censo_75a79_2023;censo_80a84_2022;censo_80a84_2023;censo_85a89_2022;censo_85a89_2023;censo_90a94_2022;censo_90a94_2023;censo_95a99_2022;censo_95a99_2023;censo_100_2022;censo_100_2023;censo_total_2022;censo_total_2023
Municipios;0800;Majadahonda;3083;2940;3932;3850;4865;4746;4961;5061;4352;4583;3799;3828;3617;3620;4328;4122;5287;5024;6181;6183;5887;6005;5218;5332;4152;4324;3456;3531;3503;3453;2715;2958;1513;1660;947;983;448;486;134;128;17;16;72395;72833
Municipios;0822;Manzanares el Real;404;366;585;563;600;594;541;569;392;430;359;362;419;421;617;577;943;883;1043;1099;953;947;665;727;542;566;335;375;321;329;218;234;169;175;100;108;55;54;17;17;1;0;9279;9396
Municipios;0838;Meco;693;684;935;912;1081;1058;1015;1058;839;870;868;865;927;974;1155;1095;1429;1396;1561;1587;1369;1380;1136;1206;840;918;531;566;323;361;211;236;129;120;99;109;49;47;9;9;0;0;15199;15451
Municipios;0843;Mejorada del Campo;983;935;1246;1261;1542;1505;1388;1497;1262;1332;1277;1285;1424;1405;1824;1737;2337;2340;2130;2216;1854;1863;1691;1745;1503;1497;1343;1407;863;950;500;564;254;245;219;224;106;95;27;26;3;4;23776;24133
Municipios;0856;Miraflores de la Sierra;249;247;338;336;400;429;401;432;318;355;313;314;365;383;463;443;566;603;653;690;646;644;541;584;466;503;299;315;215;234;197;199;147;142;79;88;44;45;7;4;0;0;6707;6990
Municipios;0869;Molar (El);475;445;551;547;614;624;475;540;491;530;474;522;643;647;752;764;997;956;921;992;792;814;626;678;475;510;352;371;285;304;210;217;134;145;98;102;61;59;9;13;2;1;9437;9781
Municipios;0875;Molinos (Los);165;153;186;168;220;216;258;263;287;311;279;268;279;315;256;261;337;315;331;345;402;384;454;455;378;416;269;294;191;201;176;180;123;135;96;94;57;52;12;15;0;1;4756;4842
Municipios;0881;Montejo de la Sierra;4;2;15;12;9;12;20;20;25;23;19;21;9;14;13;12;22;22;30;32;39;38;38;41;26;32;13;17;19;16;18;18;22;16;12;15;15;10;5;6;0;0;373;379
Municipios;0894;Moraleja de Enmedio;232;222;327;320;368;368;322;328;283;297;299;308;308;306;399;384;494;523;476;481;449;471;398;416;313;300;282;286;171;175;120;131;72;81;71;67;29;36;8;5;2;1;5423;5506
Municipios;0908;Moralzarzal;465;468;782;748;1020;1006;1064;1058;785;846;619;623;550;577;726;673;1071;1061;1565;1489;1475;1525;1102;1177;785;831;552;595;427;466;400;409;225;245;173;183;85;87;26;34;3;2;13900;14103
Municipios;0915;Morata de Tajuña;341;334;423;400;456;463;416;456;371;381;403;407;553;522;529;536;667;661;717;720;580;632;554;557;507;508;394;406;321;356;261;282;178;175;152;152;103;101;27;33;5;3;7958;8085
Municipios;0920;Móstoles;8576;8177;10194;10152;10464;10712;9654;10117;9445;9841;10353;10412;12607;12393;15716;15091;19030;18563;17239;18193;13630;13955;13011;13226;12841;12601;14373;13786;14350;14773;8744;9810;4183;4468;2575;2710;1152;1219;354;352;41;41;208532;210592
Municipios;0936;Navacerrada;103;122;132;122;206;200;185;202;125;153;138;144;161;156;187;184;249;233;308;320;335;337;267;268;221;238;179;173;150;151;111;104;82;88;67;71;19;20;9;7;0;0;3234;3293
Municipios;0941;Navalafuente;95;91;93;113;96;100;84;87;71;78;73;82;87;75;136;132;149;145;154;159;136;139;144;154;87;97;77;86;44;57;32;27;20;23;15;14;10;11;2;2;0;0;1605;1672
Municipios;0954;Navalagamella;139;139;159;167;196;209;171;190;137;141;149;166;162;169;194;190;246;259;293;290;243;280;224;251;149;168;115;112;106;108;56;62;57;60;27;29;14;15;6;6;1;0;2844;3011
Municipios;0967;Navalcarnero;1811;1706;2305;2277;2189;2295;1768;1925;1454;1481;1502;1453;1875;1814;2571;2488;3385;3351;2996;3161;2277;2414;1891;1970;1486;1573;1078;1120;940;993;674;719;454;476;417;443;211;224;66;66;9;6;31359;31955
Municipios;0973;Navarredonda y San Mamés;5;5;2;4;0;0;4;3;6;5;4;5;11;11;8;11;4;7;7;4;9;12;23;19;18;22;19;18;4;5;8;9;3;3;5;4;2;3;0;2;1;1;143;153
Municipios;0992;Navas del Rey;146;153;147;155;170;172;173;186;164;172;156;163;190;181;222;228;266;275;269;287;238;244;228;241;166;179;144;147;148;151;122;119;71;75;61;61;36;46;8;8;1;1;3126;3244
Municipios;1006;Nuevo Baztán;263;261;317;340;397;388;433;451;380;390;347;351;387;382;484;505;533;571;617;626;660;649;599;629;504;541;375;405;258;279;163;172;84;89;58;64;26;24;5;9;0;0;6890;7126
Municipios;1013;Olmeda de las Fuentes;14;13;21;25;30;24;20;17;17;19;15;19;14;16;12;15;43;30;53;65;33;32;33;41;23;28;14;16;13;15;8;12;7;7;9;7;1;4;0;0;0;0;380;405
Municipios;1028;Orusco de Tajuña;45;43;62;64;72;78;79;92;58;66;57;67;86;82;79;76;119;122;125;125;116;122;88;105;76;74;58;66;61;58;41;57;37;35;50;47;26;33;7;9;0;1;1342;1422
Municipios;1049;Paracuellos de Jarama;1484;1320;2449;2285;2520;2691;1774;1969;1065;1203;808;832;1094;979;2030;1804;3105;2993;3361;3460;2385;2614;1413;1552;958;1004;706;726;561;619;417;447;250;255;160;172;73;90;21;16;3;3;26637;27034
Municipios;1065;Parla;6640;6196;8869;8682;9552;9810;7206;7843;6667;7021;6821;7041;7931;8010;10194;9770;14338;13824;12762;13610;9164;9788;6991;7421;6179;6114;6082;6108;4960;5234;2953;3337;1532;1613;888;917;387;390;84;96;18;17;130218;132842
Municipios;1071;Patones;22;23;25;26;21;21;23;22;13;18;18;16;28;23;38;42;41;40;38;39;35;42;35;33;34;37;39;35;37;43;17;20;21;20;20;35;21;21;7;10;0;0;533;566
Municipios;1087;Pedrezuela;312;310;458;438;452;469;331;342;250;253;275;301;355;348;499;457;733;704;714;715;528;555;424;451;286;316;201;221;174;179;117;138;74;74;66;67;34;38;9;12;3;3;6295;6391
Municipios;1090;Pelayos de la Presa;117;117;136;134;149;147;146;159;165;166;155;159;155;166;198;204;232;226;219;240;238;232;216;237;176;189;154;170;126;126;105;99;93;88;66;70;22;26;4;6;1;1;2873;2962
Municipios;1104;Perales de Tajuña;150;149;156;148;189;182;155;170;161;152;156;170;164;173;233;217;276;278;282;284;262;286;229;244;202;201;134;143;97;101;99;100;89;81;54;59;16;23;3;3;0;0;3107;3164
Municipios;1111;Pezuela de las Torres;49;48;53;58;51;56;37;38;38;48;30;40;61;53;75;74;93;94;66;75;75;75;57;74;64;64;50;51;47;45;29;27;22;27;22;18;12;15;2;2;0;0;933;982
Municipios;1126;Pinilla del Valle;4;6;8;4;7;9;2;4;13;11;11;13;3;5;14;12;12;14;14;17;17;19;17;13;22;23;11;15;17;15;10;8;6;5;7;7;2;4;1;0;0;0;198;204
Municipios;1132;Pinto;2559;2421;3293;3299;3586;3673;3158;3368;2576;2750;2573;2738;3306;3241;4301;4195;5426;5178;5651;5796;4365;4599;3498;3675;2722;2802;2171;2214;1874;1951;1333;1448;798;860;623;619;259;278;69;69;8;4;54149;55178
Municipios;1147;Piñuécar-Gandullas;3;5;10;10;10;4;4;8;9;5;9;9;9;8;14;14;14;16;15;12;19;17;23;25;7;9;8;9;9;7;5;4;3;3;11;11;2;2;0;0;0;0;184;178
Municipios;1150;Pozuelo de Alarcón;3478;3449;4873;4749;5712;5682;6216;6286;5808;5953;4833;5000;3974;4038;4481;4438;5543;5437;7094;6971;7138;7197;6945;7058;5502;5663;4290;4473;4175;4154;3300;3454;1996;2164;1328;1381;709;704;193;211;45;42;87633;88504
Municipios;1163;Pozuelo del Rey;69;65;91;91;93;99;59;65;35;40;35;37;90;109;127;122;166;155;108;125;80;85;75;80;60;70;45;51;28;23;19;27;16;13;12;10;7;8;1;1;0;0;1216;1276
Municipios;1179;Prádena del Rincón;3;2;6;4;10;14;8;6;3;3;5;3;10;11;4;8;11;10;23;18;12;19;11;12;6;7;8;7;3;4;7;6;3;3;8;6;4;5;1;2;0;0;146;150
Municipios;1185;Puebla de la Sierra;1;1;3;3;1;3;1;1;0;2;3;4;13;15;8;7;4;4;11;11;6;8;6;7;7;7;7;7;6;11;5;5;1;1;1;1;0;1;1;3;0;0;85;102
Municipios;9020;Puentes Viejas;17;22;40;32;40;53;23;32;25;31;21;30;33;36;51;48;68;74;64;73;54;59;69;72;47;53;35;33;40;40;28;30;18;15;18;18;5;3;2;3;1;1;699;758
Municipios;1198;Quijorna;160;164;208;214;303;297;269;301;238;240;167;196;171;164;221;248;314;275;413;417;349;381;232;273;169;170;117;124;115;125;93;99;67;71;47;56;25;32;4;9;1;0;3683;3856
Municipios;1202;Rascafría;41;42;49;52;51;53;68;60;84;78;84;79;103;113;95;98;113;101;114;112;144;132;179;185;161;158;154;152;93;107;85;86;55;59;43;42;26;25;8;5;0;0;1750;1739
Municipios;1219;Redueña;13;12;9;10;15;15;21;24;11;13;17;11;17;24;26;26;19;23;27;26;36;32;22;20;9;15;14;11;6;8;19;14;10;12;7;8;0;1;0;0;0;0;298;305
Municipios;1224;Ribatejada;30;29;38;51;51;43;45;50;47;46;36;42;53;55;63;59;70;75;68;73;109;102;69;86;47;50;45;49;23;25;26;28;20;24;17;15;13;12;3;4;1;1;874;919
Municipios;1230;Rivas-Vaciamadrid;5636;5458;6679;6873;6572;6791;5966;6275;5157;5424;4941;5134;5929;6127;8065;7994;9041;9197;9103;9347;7562;7923;7065;7312;6061;6299;3831;4314;2242;2530;1182;1328;663;710;602;605;285;321;74;86;3;5;96659;100053
Municipios;1245;Robledillo de la Jara;1;6;1;6;2;3;10;8;9;8;3;5;6;8;5;6;6;8;15;16;6;9;12;12;7;7;6;7;8;8;3;2;5;4;4;6;4;3;1;2;0;0;114;134
Municipios;1258;Robledo de Chavela;149;160;163;159;268;270;298;284;217;245;193;191;221;213;285;294;346;339;428;448;427;435;413;425;312;342;262;269;212;227;169;176;109;121;89;82;41;49;13;9;4;5;4619;4743
Municipios;1261;Robregordo;2;4;3;2;0;3;2;1;0;2;4;4;6;6;6;5;8;11;7;7;3;3;1;1;5;4;3;7;5;5;4;4;2;1;8;8;1;1;0;0;0;0;70;79
Municipios;1277;Rozas de Madrid (Las);4279;4348;5795;5633;6749;6811;7032;7155;5578;5965;4582;4865;4660;4846;5926;5976;7315;7175;9054;9037;8590;8867;6968;7232;5455;5702;4366;4504;3827;4005;2682;2961;1507;1621;1041;1069;591;620;188;203;24;26;96209;98621
Municipios;1283;Rozas de Puerto Real;12;12;9;13;21;15;27;29;27;29;21;20;30;35;31;28;41;38;57;50;50;54;57;52;36;37;27;31;38;30;30;35;36;30;19;21;13;11;4;5;1;2;587;577
Municipios;1296;San Agustín del Guadalix;499;466;895;812;1169;1140;1028;1092;818;848;650;632;635;636;780;757;1175;1096;1462;1420;1329;1375;1049;1100;691;741;505;520;370;389;274;289;165;162;137;151;56;60;21;20;5;2;13713;13708
Municipios;1300;San Fernando de Henares;1456;1387;1741;1683;1888;1896;2153;2134;2397;2424;2128;2116;2312;2294;2831;2713;3023;3030;3147;3082;3401;3281;3263;3377;2900;2847;2414;2577;1469;1592;960;1036;644;670;513;511;234;263;60;65;7;8;38941;38986
Municipios;1317;San Lorenzo de El Escorial;626;577;898;883;1073;1045;1147;1155;1041;1064;990;983;948;942;977;967;1325;1213;1598;1621;1591;1549;1551;1581;1315;1372;926;1023;813;798;588;642;443;458;362;371;198;205;51;60;10;13;18471;18522
Municipios;1338;San Martín de Valdeiglesias;348;348;448;454;538;548;471;483;465;493;422;460;463;455;600;580;690;659;698;727;697;713;634;682;537;540;471;482;390;407;309;338;247;225;205;206;123;126;41;41;0;2;8797;8969
Municipios;1322;San Martín de la Vega;958;935;1299;1232;1433;1476;1185;1285;1092;1093;1130;1182;1231;1241;1449;1417;1916;1865;1924;2037;1678;1659;1436;1467;1027;1129;685;727;518;535;375;401;262;268;185;213;82;79;22;27;1;1;19888;20269
Municipios;1343;San Sebastián de los Reyes;4133;3920;5680;5585;5599;5826;4999;5168;4648;4897;4601;4705;5272;5256;6652;6402;8557;8285;8856;9111;7205;7582;5934;6209;4960;5107;4293;4217;3938;4092;2653;2908;1497;1549;957;1022;428;444;105;124;11;8;90978;92417
Municipios;1356;Santa María de la Alameda;52;51;82;76;86;84;49;64;69;70;54;55;67;60;108;104;102;102;141;136;131;142;157;153;114;118;96;106;77;72;37;54;33;31;28;23;12;12;3;1;1;1;1499;1515
Municipios;1369;Santorcaz;33;29;35;34;52;41;65;73;44;49;39;31;50;56;59;50;84;81;88;92;90;103;77;79;52;58;45;45;37;34;37;37;28;24;21;21;9;8;0;0;0;0;945;945
Municipios;1375;Santos de la Humosa (Los);139;137;188;182;227;221;141;158;121;128;122;105;175;172;218;224;309;297;334;333;206;218;151;164;133;133;84;90;69;65;73;73;46;42;24;29;8;6;4;6;0;0;2772;2783
Municipios;1381;Serna del Monte (La);8;5;1;4;6;6;4;6;4;4;10;7;5;9;12;11;9;7;5;4;7;8;6;8;15;10;9;9;4;5;1;0;1;2;1;1;0;0;0;0;0;0;108;106
Municipios;1408;Serranillos del Valle;209;192;274;271;317;318;321;325;254;274;193;188;257;248;329;317;398;410;439;465;416;406;339;376;248;254;170;180;124;125;104;102;66;70;39;41;37;42;8;10;0;0;4542;4614
Municipios;1415;Sevilla la Nueva;360;353;549;512;777;753;691;761;477;519;386;427;432;419;563;549;944;854;1110;1097;868;931;658;702;420;470;312;316;278;293;227;226;123;133;134;144;66;70;26;31;1;3;9402;9563
Municipios;1436;Somosierra;0;0;1;0;2;2;3;3;4;5;7;5;11;12;2;1;3;5;6;4;11;12;12;13;5;3;6;6;3;4;3;2;1;1;3;3;3;3;2;1;0;0;88;85
Municipios;1441;Soto del Real;303;313;419;447;540;533;650;654;628;629;435;432;424;471;482;487;630;642;786;775;842;862;814;808;693;717;436;484;382;370;282;301;180;198;174;150;83;99;23;29;2;2;9208;9403
Municipios;1454;Talamanca de Jarama;209;207;294;286;281;315;215;221;178;202;194;193;261;264;338;328;469;475;405;433;319;337;278;293;205;218;149;165;145;135;116;133;62;60;56;65;30;30;10;12;2;1;4216;4373
Municipios;1467;Tielmes;128;124;151;142;145;142;142;150;133;129;144;134;173;175;209;205;244;235;262;241;204;210;212;199;152;178;106;108;101;103;90;92;73;69;64;61;28;25;9;9;0;1;2770;2732
Municipios;1473;Titulcia;46;47;77;75;79;82;69;75;66;72;73;64;77;77;97;91;96;96;126;134;128;117;107;118;71;73;63;62;50;55;55;55;36;37;22;25;10;9;1;2;0;0;1349;1366
Municipios;1489;Torrejón de Ardoz;6181;5927;7678;7596;7922;8050;7114;7562;6645;7014;6837;7050;8730;8827;10699;10459;13809;13535;12895;13439;10356;10716;8492;8918;7202;7257;6731;6769;5903;6139;3864;4240;2208;2294;1447;1507;650;706;158;167;19;25;135540;138197
Municipios;1505;Torrejón de Velasco;176;180;273;251;356;352;323;346;240;248;227;208;246;261;328;302;397;404;508;505;440;457;326;346;217;242;203;197;158;170;100;118;64;56;73;70;19;20;6;8;2;1;4682;4742
Municipios;1492;Torrejón de la Calzada;580;574;705;709;673;703;607;620;506;542;497;475;663;684;856;818;1001;1009;907;971;757;768;594;639;485;490;412;442;303;323;177;197;99;112;70;77;32;37;6;8;1;2;9931;10200
Municipios;1512;Torrelaguna;195;182;276;262;320;307;273;293;248;240;229;232;253;273;342;312;401;394;474;479;428;432;349;347;307;316;237;256;181;187;139;150;108;110;83;84;66;69;20;16;3;3;4932;4944
Municipios;1527;Torrelodones;999;971;1422;1432;1792;1799;1963;1987;1609;1732;1346;1348;1060;1087;1229;1231;1611;1546;2313;2282;2273;2303;1971;2054;1611;1670;1091;1178;838;808;616;675;430;435;322;317;165;166;47;61;9;11;24717;25093
Municipios;1533;Torremocha de Jarama;35;36;50;55;59;61;61;63;59;60;22;31;43;45;51;51;84;75;92;105;98;90;61;69;72;75;64;57;52;59;54;71;48;37;46;49;30;42;18;12;0;1;1099;1144
Municipios;1548;Torres de la Alameda;294;274;406;391;532;511;521;542;441;470;364;367;391;378;508;492;706;685;745;766;654;649;531;572;443;429;374;402;239;248;194;208;119;111;133;122;63;64;31;28;2;3;7691;7712
Municipios;9036;Tres Cantos;2527;2482;2848;2940;2822;2914;3003;3077;2980;3029;2871;2942;2929;2964;3623;3596;3959;4058;4028;4113;3838;3900;3980;3975;3453;3529;2568;2759;1914;2055;1231;1365;626;711;539;527;267;305;97;101;16;12;50119;51354
Municipios;1551;Valdaracete;19;20;24;17;31;31;33;33;21;27;37;34;45;49;44;43;47;47;45;42;44;39;57;60;43;48;33;33;38;37;23;26;17;18;26;23;11;11;2;5;0;0;640;643
Municipios;1564;Valdeavero;85;88;98;88;111;119;86;97;80;88;83;91;96;118;142;140;174;168;173;176;131;142;107;109;89;89;78;84;67;75;41;47;26;26;22;19;7;8;4;2;0;0;1700;1774
Municipios;1570;Valdelaguna;39;47;51;48;54;48;52;60;55;58;38;40;63;70;73;59;107;106;98;102;78;81;71;75;52;62;37;35;47;49;45;43;26;25;19;22;6;6;2;2;0;1;1013;1039
Municipios;1586;Valdemanco;39;42;61;52;63;67;48;53;37;34;53;54;38;43;58;54;109;108;110;112;95;98;68;74;50;52;52;50;61;60;49;48;30;31;22;28;7;5;2;5;2;3;1054;1073
Municipios;1599;Valdemaqueda;33;30;26;28;50;48;45;45;21;22;36;34;40;41;45;45;56;55;61;74;68;64;67;81;72;64;48;54;41;44;41;41;23;25;18;15;7;5;2;4;0;0;800;819
Municipios;1603;Valdemorillo;581;595;691;694;938;870;854;912;730;767;610;610;589;632;773;760;1085;1035;1384;1357;1383;1411;1089;1136;791;867;547;554;512;524;371;385;234;241;170;181;78;83;17;20;3;4;13430;13638
Municipios;1610;Valdemoro;3362;3296;5195;4879;6299;6349;5626;5918;4270;4669;3603;3901;4160;4331;5215;5159;8117;7648;9490;9625;7332;7760;5049;5586;3498;3693;2470;2705;2087;2129;1531;1711;1020;1032;714;759;327;374;69;80;10;15;79444;81619
Municipios;1625;Valdeolmos-Alalpardo;189;202;306;300;370;385;287;303;235;244;204;199;234;247;302;303;474;431;473;503;359;392;271;286;192;202;153;159;140;145;100;107;46;58;48;41;16;22;5;4;2;2;4406;4535
Municipios;1631;Valdepiélagos;28;25;31;29;27;26;33;34;22;23;36;40;36;34;42;46;56;48;79;81;43;48;49;50;42;36;27;34;19;18;25;29;12;13;10;5;2;5;6;4;0;1;625;629
Municipios;1646;Valdetorres de Jarama;218;210;234;242;277;280;303;295;248;268;236;264;276;269;332;356;412;393;469;498;425;443;340;345;298;328;212;230;191;188;147;152;87;95;88;93;46;42;6;9;0;1;4845;5001
Municipios;1659;Valdilecha;166;166;163;172;190;205;156;165;154;165;171;183;210;212;271;249;269;276;261;265;237;242;222;224;184;206;131;140;111;111;81;87;55;50;44;50;24;20;11;8;0;0;3111;3196
Municipios;1662;Valverde de Alcalá;23;27;20;23;25;23;31;26;23;23;24;24;32;28;36;43;55;47;54;50;48;48;41;42;38;42;22;19;29;30;12;15;14;9;8;10;4;6;1;1;0;0;540;536
Municipios;1678;Velilla de San Antonio;567;613;687;719;831;791;900;933;768;817;714;748;751;865;957;961;1174;1227;1270;1273;1199;1230;977;1029;743;792;486;529;302;335;191;218;121;122;110;104;40;57;8;17;1;0;12797;13380
Municipios;1684;Vellón (El);101;87;131;123;108;120;94;120;95;109;102;106;123;121;167;155;230;239;225;228;175;186;129;158;95;99;83;83;84;84;77;83;39;35;32;37;20;19;8;8;0;1;2118;2201
Municipios;1697;Venturada;95;94;144;144;134;147;165;168;157;160;108;132;95;98;125;128;184;178;276;286;265;276;222;240;161;170;93;96;94;94;64;74;41;36;26;29;10;8;4;6;1;1;2464;2565
Municipios;1718;Villa del Prado;314;328;390;379;428;415;391;401;393;449;406;428;425;432;512;500;512;547;538;549;589;584;488;489;426;459;321;344;279;269;235;259;170;162;149;146;82;89;21;21;3;3;7072;7253
Municipios;1701;Villaconejos;149;138;160;154;193;198;186;201;181;184;200;208;232;212;213;234;276;266;280;280;267;266;248;258;204;213;172;181;155;167;126;120;101;110;64;72;28;25;7;4;1;1;3443;3492
Municipios;1723;Villalbilla;1039;1041;1205;1278;1029;1086;937;986;713;766;685;742;969;1033;1519;1582;1771;1844;1484;1624;1200;1293;931;998;775;799;610;648;413;440;249;307;136;143;102;104;51;57;19;25;4;4;15841;16800
Municipios;1739;Villamanrique de Tajo;22;21;26;24;43;40;38;46;38;40;32;36;42;47;51;55;73;72;63;68;62;68;56;51;49;62;34;40;44;42;33;38;27;22;18;22;7;7;4;4;1;0;763;805
Municipios;1744;Villamanta;114;113;144;142;162;166;123;129;148;147;145;151;178;175;186;186;214;202;203;217;219;236;170;178;180;177;125;148;107;110;92;94;60;71;86;72;51;50;16;17;0;1;2723;2782
Municipios;1757;Villamantilla;68;63;103;102;137;126;96;104;76;75;60;60;80;72;99;110;156;158;186;181;140;153;119;121;68;83;48;53;41;38;30;28;25;20;15;18;16;15;2;4;0;0;1565;1584
Municipios;1782;Villanueva de Perales;66;67;94;94;108;109;112;126;91;89;70;78;68;63;106;122;155;144;173;180;174;178;139;139;76;93;67;69;67;66;52;47;17;25;16;13;7;8;3;3;0;1;1661;1714
Municipios;1760;Villanueva de la Cañada;1018;1009;1353;1390;1658;1671;1760;1856;1700;1821;1428;1473;1201;1208;1304;1321;1729;1705;2003;2046;1932;1960;1713;1729;1315;1395;860;930;664;670;498;540;310;350;229;245;113;110;43;42;4;4;22835;23475
Municipios;1776;Villanueva del Pardillo;729;671;1075;995;1668;1573;1538;1611;992;1132;757;817;802;865;900;929;1430;1259;2182;2086;1771;1914;1207;1337;739;774;484;515;398;421;291;323;202;222;119;134;67;70;15;20;4;4;17370;17672
Municipios;1795;Villar del Olmo;85;80;104;118;125;123;137;140;121;132;101;93;146;126;155;167;165;178;187;183;202;200;220;209;171;192;105;109;84;94;46;44;31;33;27;25;10;9;3;0;0;1;2225;2256
Municipios;1809;Villarejo de Salvanés;328;313;382;402;475;465;460;483;411;406;411;401;478;505;526;526;608;609;681;660;536;561;528;536;498;505;394;403;265;293;233;243;153;153;152;151;73;84;18;17;0;0;7610;7716
Municipios;1816;Villaviciosa de Odón;889;891;1309;1250;1642;1626;1883;2052;2001;2179;1546;1645;1336;1362;1474;1410;1901;1853;2383;2390;2182;2270;2051;2032;1813;1873;1592;1559;1626;1645;1151;1259;607;652;413;427;249;256;67;78;8;5;28123;28714
Municipios;1821;Villavieja del Lozoya;13;19;11;13;9;8;16;17;23;17;8;15;17;17;13;17;18;22;23;22;39;38;17;24;31;32;13;16;12;10;14;12;9;9;3;3;4;4;1;2;0;0;294;317
Municipios;1837;Zarzalejo;80;75;106;110;105;106;92;93;86;90;69;75;80;74;99;107;138;131;184;189;140;148;158;155;127;136;84;92;58;55;53;58;39;44;40;37;16;19;9;8;1;1;1764;1803
