Serie;Codigo_municipio;Nombre;censo_0a4_2022;censo_0a4_2023;censo_5a9_2022;censo_5a9_2023;censo_10a14_2022;censo_10a14_2023;censo_15a19_2022;censo_15a19_2023;censo_20a24_2022;censo_20a24_2023;censo_25a29_2022;censo_25a29_2023;censo_30a34_2022;censo_30a34_2023;censo_35a39_2022;censo_35a39_2023;censo_40a44_2022;censo_40a44_2023;censo_45a49_2022;censo_45a49_2023;censo_50a54_2022;censo_50a54_2023;censo_55a59_2022;censo_55a59_2023;censo_60a64_2022;censo_60a64_2023;censo_65a69_2022;censo_65a69_2023;censo_70a74_2022;censo_70a74_2023;censo_75a79_2022;censo_75a79_2023;censo_80a84_2022;censo_80a84_2023;censo_85a89_2022;censo_85a89_2023;censo_90a94_2022;censo_90a94_2023;censo_95a99_2022;censo_95a99_2023;censo_100_2022;censo_100_2023;censo_total_2022;censo_total_2023
Municipios;0088;Aldea del Fresno;170;178;170;179;181;192;156;182;123;133;153;154;206;194;236;268;268;269;291;319;233;251;219;231;195;190;163;180;140;143;123;136;77;73;84;82;32;43;10;9;1;2;3231;3408
Municipios;0091;Algete;878;866;1085;1102;1397;1383;1465;1500;1407;1447;1116;1138;1029;1042;1267;1236;1496;1469;1854;1837;1704;1774;1697;1682;1401;1448;995;1056;682;715;481;491;358;350;257;246;99;115;33;36;3;3;20704;20936
Municipios;0105;Alpedrete;506;500;776;749;1104;1068;1139;1196;913;953;736;768;647;711;772;814;1126;1006;1621;1580;1587;1639;1257;1336;856;919;584;626;463;470;456;449;319;326;187;198;108;122;24;21;4;1;15185;15452
Municipios;0112;Ambite;30;30;29;33;29;33;25;28;21;19;24;27;26;25;45;46;55;56;63;67;70;72;65;65;35;47;35;29;25;30;30;22;15;24;28;28;9;8;1;1;0;0;660;690
Municipios;0127;Anchuelo;87;68;90;100;93;101;62;67;55;61;65;64;84;93;114;108;140;137;131;135;87;93;77;70;88;93;56;62;47;40;34;39;21;21;8;12;15;12;3;2;0;1;1357;1379
Municipios;0133;Aranjuez;2587;2435;3309;3267;3884;3931;3466;3735;3214;3297;3165;3269;3283;3320;3985;3894;5026;4827;5370;5557;4800;4785;4151;4385;3562;3590;2840;2991;2509;2579;2041;2131;1329;1358;1006;995;484;526;113;110;14;16;60138;60998
Municipios;0148;Arganda del Rey;2758;2685;3475;3420;3769;3828;3137;3395;2810;2949;3045;3103;3747;3826;4591;4492;5628;5460;5534;5742;4554;4683;3595;3877;3194;3262;2424;2576;1988;2099;1356;1440;823;863;524;545;286;290;76;77;10;11;57324;58623
Municipios;0151;Arroyomolinos;2348;2253;3329;3257;2979;3220;2258;2407;1484;1600;1197;1251;1688;1643;3092;2983;4699;4535;4096;4492;2617;2829;1681;1866;1120;1207;920;986;668;700;400;452;192;213;113;131;54;60;16;14;1;3;34952;36102
Municipios;0164;Atazar (El);1;0;4;4;3;3;8;7;3;4;5;6;2;1;3;2;10;9;9;6;17;18;11;14;10;7;6;6;2;3;4;4;4;3;4;6;1;1;0;0;0;0;107;104
Municipios;0170;Batres;70;59;81;89;97;97;121;124;104;113;81;74;96;95;108;103;144;154;180;181;198;209;166;174;107;114;101;97;84;86;48;55;25;24;18;23;6;8;3;2;0;0;1838;1881
