Serie;Codigo_municipio;Nombre;pib_primario;pib_secundario;pib_terciario;sector_principal
Municipios;0838;Meco;0.29;35.2;64.52;terciario
Municipios;0843;Mejorada del Campo;0.1;44.2;55.7;terciario
Municipios;0856;Miraflores de la Sierra;3.02;16.42;80.56;terciario
Municipios;0869;Molar (El);1.52;17.32;81.17;terciario
Municipios;0875;Molinos (Los);0.54;31.39;68.07;terciario
Municipios;0881;Montejo de la Sierra;1.81;13.51;84.69;terciario
Municipios;0894;Moraleja de Enmedio;1.14;45.74;53.11;terciario
Municipios;0908;Moralzarzal;0.36;12.57;87.07;terciario
Municipios;0915;Morata de Tajuña;0.0;0.0;0.0;terciario
Municipios;0920;Móstoles;0.0;0.0;0.0;terciario
Municipios;0936;Navacerrada;1.91;11.61;86.49;terciario
Municipios;0941;Navalafuente;2.08;16.07;81.87;terciario
Municipios;0954;Navalagamella;7.54;12.86;79.6;terciario
Municipios;0967;Navalcarnero;1.74;20.45;77.82;terciario
Municipios;0973;Navarredonda y San Mamés;0.0;0.0;0.0;terciario
Municipios;0992;Navas del Rey;0.58;28.13;71.29;terciario
Municipios;1006;Nuevo Baztán;0.0;0.0;0.0;terciario
Municipios;1013;Olmeda de las Fuentes;2.57;16.46;81.01;terciario
Municipios;1028;Orusco de Tajuña;0.0;0.0;0.0;terciario
Municipios;1049;Paracuellos de Jarama;2.38;28.8;68.82;terciario
Municipios;1065;Parla;0.14;22.08;77.76;terciario
Municipios;1071;Patones;0.77;9.84;89.4;terciario
Municipios;1087;Pedrezuela;1.14;16.57;82.29;terciario
Municipios;1090;Pelayos de la Presa;0.47;17.54;82.0;terciario
Municipios;1104;Perales de Tajuña;0.0;0.0;0.0;terciario
Municipios;1111;Pezuela de las Torres;7.25;14.8;77.96;terciario
Municipios;1126;Pinilla del Valle;2.24;22.4;75.32;terciario
Municipios;1132;Pinto;0.28;28.12;71.61;terciario
Municipios;1147;Piñuécar-Gandullas;0.0;0.0;0.0;terciario
Municipios;1150;Pozuelo de Alarcón;0.0;0.0;0.0;terciario
Municipios;1163;Pozuelo del Rey;4.27;29.89;65.85;terciario
Municipios;1179;Prádena del Rincón;0.0;0.0;0.0;terciario
Municipios;1185;Puebla de la Sierra;4.99;32.25;62.72;terciario
Municipios;9020;Puentes Viejas;1.39;37.01;61.59;terciario
Municipios;1198;Quijorna;2.05;13.83;84.12;terciario
Municipios;1202;Rascafría;0.0;0.0;0.0;terciario
Municipios;1219;Redueña;0.0;0.0;0.0;terciario
Municipios;1224;Ribatejada;1.78;9.56;88.65;terciario
