Serie;Codigo_municipio;Nombre;2022;2023
Municipios;1356;Santa María de la Alameda;62;63
Municipios;1369;Santorcaz;26;25
Municipios;1375;Santos de la Humosa (Los);46;45
Municipios;1381;Serna del Monte (La);2;2
Municipios;1408;Serranillos del Valle;176;183
Municipios;1415;Sevilla la Nueva;232;234
Municipios;1436;Somosierra;1;1
Municipios;1441;Soto del Real;151;142
Municipios;1454;Talamanca de Jarama;82;84
Municipios;1467;Tielmes;83;69
Municipios;1473;Titulcia;35;34
Municipios;1489;Torrejón de Ardoz;2452;2449
Municipios;1505;Torrejón de Velasco;159;156
Municipios;1492;Torrejón de la Calzada;403;386
Municipios;1512;Torrelaguna;99;102
Municipios;1527;Torrelodones;287;274
Municipios;1533;Torremocha de Jarama;29;31
Municipios;1548;Torres de la Alameda;383;376
Municipios;9036;Tres Cantos;465;469
Municipios;1551;Valdaracete;17;14
Municipios;1564;Valdeavero;72;73
Municipios;1570;Valdelaguna;29;28
Municipios;1586;Valdemanco;36;35
Municipios;1599;Valdemaqueda;40;41
Municipios;1603;Valdemorillo;287;295
Municipios;1610;Valdemoro;1895;1899
Municipios;1625;Valdeolmos-Alalpardo;53;57
Municipios;1631;Valdepiélagos;23;25
Municipios;1646;Valdetorres de Jarama;114;128
Municipios;1659;Valdilecha;83;83
Municipios;1662;Valverde de Alcalá;7;7
Municipios;1678;Velilla de San Antonio;468;460
Municipios;1684;Vellón (El);52;52
Municipios;1697;Venturada;44;51
Municipios;1718;Villa del Prado;138;135
Municipios;1701;Villaconejos;100;92
Municipios;1723;Villalbilla;378;360
Municipios;1739;Villamanrique de Tajo;15;13
Municipios;1744;Villamanta;107;105
Municipios;1757;Villamantilla;48;47
Municipios;1782;Villanueva de Perales;28;30
Municipios;1760;Villanueva de la Cañada;269;281
Municipios;1776;Villanueva del Pardillo;289;285
Municipios;1795;Villar del Olmo;74;86
Municipios;1809;Villarejo de Salvanés;242;240
Municipios;1816;Villaviciosa de Odón;561;554
Municipios;1821;Villavieja del Lozoya;7;7
Municipios;1837;Zarzalejo;63;56
