Serie;Codigo_municipio;Nombre;2022;2023
Municipios;1338;San Martín de Valdeiglesias;1428;1395
Municipios;1322;San Martín de la Vega;3091;3152
Municipios;1343;San Sebastián de los Reyes;18624;18720
Municipios;1356;Santa María de la Alameda;262;266
Municipios;1369;Santorcaz;112;119
Municipios;1375;Santos de la Humosa (Los);328;325
Municipios;1381;Serna del Monte (La);38;31
Municipios;1408;Serranillos del Valle;802;846
Municipios;1415;Sevilla la Nueva;1580;1589
Municipios;1436;Somosierra;30;30
Municipios;1441;Soto del Real;1804;1842
Municipios;1454;Talamanca de Jarama;540;541
Municipios;1467;Tielmes;372;349
Municipios;1473;Titulcia;184;180
Municipios;1489;Torrejón de Ardoz;17489;17416
Municipios;1505;Torrejón de Velasco;811;817
Municipios;1492;Torrejón de la Calzada;1717;1741
Municipios;1512;Torrelaguna;802;813
Municipios;1527;Torrelodones;6850;6830
Municipios;1533;Torremocha de Jarama;202;202
Municipios;1548;Torres de la Alameda;1448;1435
Municipios;9036;Tres Cantos;10358;10404
Municipios;1551;Valdaracete;72;69
Municipios;1564;Valdeavero;291;277
Municipios;1570;Valdelaguna;124;119
Municipios;1586;Valdemanco;150;137
Municipios;1599;Valdemaqueda;130;125
Municipios;1603;Valdemorillo;2848;2880
Municipios;1610;Valdemoro;11977;11983
Municipios;1625;Valdeolmos-Alalpardo;863;888
Municipios;1631;Valdepiélagos;121;109
Municipios;1646;Valdetorres de Jarama;708;734
Municipios;1659;Valdilecha;433;414
Municipios;1662;Valverde de Alcalá;59;54
Municipios;1678;Velilla de San Antonio;2075;2122
Municipios;1684;Vellón (El);267;243
Municipios;1697;Venturada;733;755
Municipios;1718;Villa del Prado;929;923
Municipios;1701;Villaconejos;601;587
Municipios;1723;Villalbilla;2237;2231
Municipios;1739;Villamanrique de Tajo;126;118
Municipios;1744;Villamanta;425;433
Municipios;1757;Villamantilla;217;196
Municipios;1782;Villanueva de Perales;280;281
Municipios;1760;Villanueva de la Cañada;5616;5671
Municipios;1776;Villanueva del Pardillo;3229;3321
Municipios;1795;Villar del Olmo;413;432
Municipios;1809;Villarejo de Salvanés;1130;1091
Municipios;1816;Villaviciosa de Odón;7441;7587
Municipios;1821;Villavieja del Lozoya;47;45
Municipios;1837;Zarzalejo;279;302
