Serie;Codigo_municipio;Nombre;ocupados_primario;ocupados_secundario;ocupados_terciario
Municipios;1646;Valdetorres de Jarama;21;189;1438
Municipios;1659;Valdilecha;35;237;1313
Municipios;1662;Valverde de Alcalá;5;7;84
Municipios;1678;Velilla de San Antonio;6;1806;5590
Municipios;1684;Vellón (El);18;60;476
Municipios;1697;Venturada;4;62;1706
Municipios;1718;Villa del Prado;229;253;2242
Municipios;1701;Villaconejos;103;194;1118
Municipios;1723;Villalbilla;8;1216;4732
Municipios;1739;Villamanrique de Tajo;26;20;288
Municipios;1744;Villamanta;54;179;1051
Municipios;1757;Villamantilla;7;81;480
Municipios;1782;Villanueva de Perales;11;86;630
Municipios;1760;Villanueva de la Cañada;29;733;13535
Municipios;1776;Villanueva del Pardillo;19;709;7148
Municipios;1795;Villar del Olmo;4;126;571
Municipios;1809;Villarejo de Salvanés;83;2168;3678
Municipios;1816;Villaviciosa de Odón;66;1860;19996
Municipios;1821;Villavieja del Lozoya;3;12;108
Municipios;1837;Zarzalejo;17;391;733
