Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;0758;Loeches;4.78;19.25;-13.81;-7.72;
Municipios;0761;Lozoya;26.09;6.90;-9.68;14.29;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5.71;55.41;-41.74;14.93;
Municipios;0783;Madarcos;0.00;-100.00;0.00;0.00;
Municipios;0796;Madrid;2.98;24.19;-25.66;-6.37;
Municipios;0800;Majadahonda;6.69;27.34;-25.18;-8.34;
Municipios;0822;Manzanares el Real;4.35;10.12;-21.80;-0.23;
Municipios;0838;Meco;12.91;9.82;-21.81;-6.66;
Municipios;0843;Mejorada del Campo;2.67;19.21;-22.34;-9.18;
Municipios;0856;Miraflores de la Sierra;7.41;10.59;-15.14;-6.56;
Municipios;0869;Molar (El);3.27;22.13;-20.39;-1.42;
Municipios;0875;Molinos (Los);-5.22;19.92;-20.85;-9.38;
Municipios;0881;Montejo de la Sierra;137.50;-42.11;0.00;0.00;
Municipios;0894;Moraleja de Enmedio;-2.36;18.69;-23.03;-7.58;
Municipios;0908;Moralzarzal;11.96;15.63;-22.36;-7.59;
Municipios;0915;Morata de Tajuña;2.80;14.14;-18.96;-11.60;
Municipios;0920;Móstoles;1.63;18.56;-21.85;-9.28;
Municipios;0936;Navacerrada;15.25;31.62;-26.82;1.53;
Municipios;0941;Navalafuente;5.71;24.32;-27.54;6.00;
Municipios;0954;Navalagamella;9.09;5.00;-7.94;2.87;
Municipios;0967;Navalcarnero;2.58;20.81;-15.00;-15.52;
Municipios;0973;Navarredonda y San Mamés;0.00;-28.57;20.00;0.00;
Municipios;0992;Navas del Rey;1.80;15.49;-19.54;-11.90;
Municipios;1006;Nuevo Baztán;12.14;21.88;-26.83;5.01;
Municipios;1013;Olmeda de las Fuentes;0.00;-12.50;-14.29;66.67;
Municipios;1028;Orusco de Tajuña;1.01;22.00;-17.21;-5.94;
Municipios;1049;Paracuellos de Jarama;0.12;30.16;-19.74;-6.12;
Municipios;1065;Parla;3.30;15.09;-20.75;-8.88;
Municipios;1071;Patones;0.00;56.25;-36.00;31.25;
Municipios;1087;Pedrezuela;1.32;21.17;-20.43;-6.76;
Municipios;1090;Pelayos de la Presa;-2.80;35.39;-20.67;-18.39;
