Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Unidades productivas. Unidades productivas de la industria manufacturera. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;25593;25724;25936;26545;26676;26021;25508;25283;25116;
Zonas Estadísticas;01;Municipio de Madrid ;8739;8675;8708;8846;8889;8727;8461;8439;8460;
Zonas Estadísticas;02;Norte Metropolitano ;1402;1403;1478;1536;1542;1472;1457;1467;1474;
Zonas Estadísticas;03;Este Metropolitano  ;4573;4554;4591;4680;4711;4417;4313;4278;4202;
Zonas Estadísticas;04;Sur Metropolitano   ;6542;6632;6605;6749;6806;6726;6625;6479;6369;
Zonas Estadísticas;05;Oeste Metropolitano ;1068;1095;1111;1191;1216;1212;1209;1226;1250;
Zonas Estadísticas;06;Sierra Norte        ;143;141;145;150;150;154;157;159;160;
Zonas Estadísticas;07;Nordeste Comunidad  ;527;539;546;573;551;568;571;562;576;
Zonas Estadísticas;08;Sudeste Comunidad   ;928;951;981;997;1014;984;954;913;902;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1067;1131;1148;1160;1104;1081;1085;1078;1056;
Zonas Estadísticas;10;Sierra Sur          ;156;149;162;169;167;165;161;165;162;
Zonas Estadísticas;11;Sierra Central      ;448;454;461;494;526;515;515;517;505;
Municipios;0014;Acebeda (La);0;0;0;0;2;3;2;1;0;
Municipios;0029;Ajalvir;213;220;228;225;216;226;230;222;220;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);44;46;42;45;46;49;53;50;49;
Municipios;0053;Alcalá de Henares;750;747;733;759;795;777;777;755;747;
Municipios;0066;Alcobendas;439;445;466;468;439;423;427;428;431;
Municipios;0072;Alcorcón;571;588;598;612;615;617;621;614;604;
Municipios;0088;Aldea del Fresno;2;2;3;4;3;2;3;4;2;
Municipios;0091;Algete;194;187;184;176;170;182;180;180;183;
Municipios;0105;Alpedrete;53;56;49;52;56;53;51;48;52;
Municipios;0112;Ambite;0;0;0;0;1;1;1;1;2;
Municipios;0127;Anchuelo;7;6;5;5;6;3;7;7;7;
Municipios;0133;Aranjuez;165;154;158;162;157;152;147;149;149;
Municipios;0148;Arganda del Rey;1054;1049;1073;1105;1109;1117;1069;1064;1026;
Municipios;0151;Arroyomolinos;112;117;117;131;132;124;124;132;127;
Municipios;0164;Atazar (El);0;0;0;0;0;0;0;0;0;
Municipios;0170;Batres;4;4;3;3;3;5;4;6;5;
Municipios;0186;Becerril de la Sierra;19;14;12;11;13;14;15;14;14;
Municipios;0199;Belmonte de Tajo;49;49;62;59;51;42;40;33;32;
Municipios;0210;Berrueco (El);2;2;1;2;1;1;2;3;3;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;0225;Boadilla del Monte;112;129;123;126;131;137;136;136;143;
Municipios;0231;Boalo (El);38;36;33;36;38;32;35;35;34;
Municipios;0246;Braojos;1;1;1;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;1;2;2;3;3;3;3;3;4;
Municipios;0262;Brunete;31;30;34;26;29;33;35;36;32;
Municipios;0278;Buitrago del Lozoya;7;6;4;4;4;2;1;0;2;
Municipios;0284;Bustarviejo;7;7;7;13;12;12;13;13;13;
Municipios;0297;Cabanillas de la Sierra;1;1;1;1;1;1;1;2;2;
Municipios;0301;Cabrera (La);13;13;15;14;12;10;12;8;8;
Municipios;0318;Cadalso de los Vidrios;23;21;20;20;21;24;20;19;20;
Municipios;0323;Camarma de Esteruelas;72;80;81;90;84;90;88;84;85;
Municipios;0339;Campo Real;99;96;97;96;99;110;104;99;102;
Municipios;0344;Canencia;1;1;2;1;2;2;2;3;2;
Municipios;0357;Carabaña;7;9;11;12;12;11;13;14;16;
Municipios;0360;Casarrubuelos;24;28;30;31;33;36;34;36;41;
Municipios;0376;Cenicientos;9;8;9;9;8;5;4;5;4;
