Serie;Codigo_municipio;Nombre;2020;2021; 2022
Municipios;0936;Navacerrada;23.42;23.51;22.96;
Municipios;0941;Navalafuente;27.53;26.76;27.45;
Municipios;0954;Navalagamella;27.87;27.65;28.30;
Municipios;0967;Navalcarnero;30.70;30.72;30.32;
Municipios;0973;Navarredonda y San Mamés;5.43;9.93;10.87;
Municipios;0992;Navas del Rey;25.69;25.44;25.59;
Municipios;1006;Nuevo Baztán;26.99;26.18;26.01;
Municipios;1013;Olmeda de las Fuentes;27.46;27.45;26.33;
Municipios;1028;Orusco de Tajuña;24.40;24.01;23.60;
Municipios;1049;Paracuellos de Jarama;34.69;34.76;34.86;
Municipios;1065;Parla;29.90;29.92;29.79;
Municipios;1071;Patones;17.81;19.27;19.40;
Municipios;1087;Pedrezuela;29.43;28.91;28.68;
Municipios;1090;Pelayos de la Presa;25.07;24.66;24.83;
Municipios;1104;Perales de Tajuña;25.52;25.69;26.05;
Municipios;1111;Pezuela de las Torres;23.07;23.73;24.17;
Municipios;1126;Pinilla del Valle;16.84;16.33;17.17;
Municipios;1132;Pinto;28.10;28.06;27.99;
Municipios;1147;Piñuécar-Gandullas;19.55;17.84;19.57;
Municipios;1150;Pozuelo de Alarcón;30.11;29.89;29.73;
Municipios;1163;Pozuelo del Rey;28.07;27.98;28.44;
Municipios;1179;Prádena del Rincón;20.00;23.49;21.09;
Municipios;1185;Puebla de la Sierra;9.59;6.67;5.95;
Municipios;9020;Puentes Viejas;21.17;21.28;20.66;
Municipios;1198;Quijorna;32.70;32.48;31.96;
Municipios;1202;Rascafría;17.39;17.05;16.71;
Municipios;1219;Redueña;23.33;22.45;22.82;
Municipios;1224;Ribatejada;24.22;23.99;24.00;
Municipios;1230;Rivas-Vaciamadrid;31.41;31.25;30.99;
Municipios;1245;Robledillo de la Jara;15.79;17.53;20.18;
Municipios;1258;Robledo de Chavela;24.06;23.58;23.70;
Municipios;1261;Robregordo;10.77;11.27;10.00;
Municipios;1277;Rozas de Madrid (Las);31.07;30.94;30.70;
Municipios;1283;Rozas de Puerto Real;16.94;16.44;15.94;
Municipios;1296;San Agustín del Guadalix;32.87;32.58;32.32;
Municipios;1300;San Fernando de Henares;25.22;25.01;24.67;
Municipios;1317;San Lorenzo de El Escorial;26.60;26.34;25.93;
Municipios;1338;San Martín de Valdeiglesias;25.94;25.87;25.76;
Municipios;1322;San Martín de la Vega;30.61;30.27;29.92;
Municipios;1343;San Sebastián de los Reyes;27.65;27.62;27.51;
Municipios;1356;Santa María de la Alameda;21.50;22.01;22.35;
Municipios;1369;Santorcaz;23.69;24.11;23.91;
Municipios;1375;Santos de la Humosa (Los);30.14;29.90;29.48;
Municipios;1381;Serna del Monte (La);18.39;19.79;21.30;
Municipios;1408;Serranillos del Valle;29.88;30.12;30.10;
Municipios;1415;Sevilla la Nueva;31.00;30.96;30.43;
Municipios;1436;Somosierra;9.20;10.34;11.49;
Municipios;1441;Soto del Real;28.34;27.98;27.57;
Municipios;1454;Talamanca de Jarama;28.17;28.33;27.67;
Municipios;1467;Tielmes;25.11;25.35;25.08;
Municipios;1473;Titulcia;26.32;26.69;24.93;
Municipios;1489;Torrejón de Ardoz;26.50;26.41;26.26;
Municipios;1505;Torrejón de Velasco;29.62;29.28;29.20;
Municipios;1492;Torrejón de la Calzada;30.93;30.73;30.86;
Municipios;1512;Torrelaguna;27.05;27.02;26.54;
Municipios;1527;Torrelodones;32.11;31.63;31.49;
Municipios;1533;Torremocha de Jarama;23.53;23.91;23.79;
Municipios;1548;Torres de la Alameda;28.79;28.57;28.49;
Municipios;9036;Tres Cantos;28.67;28.37;28.25;
Municipios;1551;Valdaracete;20.33;19.93;20.10;
Municipios;1564;Valdeavero;26.59;27.66;26.98;
Municipios;1570;Valdelaguna;24.82;25.15;24.70;
Municipios;1586;Valdemanco;24.82;23.62;23.43;
Municipios;1599;Valdemaqueda;23.35;22.43;21.68;
Municipios;1603;Valdemorillo;28.41;28.25;28.11;
Municipios;1610;Valdemoro;31.49;31.43;31.23;
Municipios;1625;Valdeolmos-Alalpardo;32.54;32.17;31.44;
Municipios;1631;Valdepiélagos;24.76;24.18;22.71;
Municipios;1646;Valdetorres de Jarama;26.39;26.32;26.27;
Municipios;1659;Valdilecha;27.00;26.96;26.68;
Municipios;1662;Valverde de Alcalá;20.88;22.59;21.99;
Municipios;1678;Velilla de San Antonio;30.23;29.74;29.30;
Municipios;1684;Vellón (El);24.50;24.24;24.95;
Municipios;1697;Venturada;27.84;28.15;28.10;
Municipios;1718;Villa del Prado;27.67;27.37;27.04;
Municipios;1701;Villaconejos;26.68;26.10;25.17;
Municipios;1723;Villalbilla;31.02;30.81;31.04;
Municipios;1739;Villamanrique de Tajo;21.92;22.05;21.53;
Municipios;1744;Villamanta;25.11;24.90;25.17;
Municipios;1757;Villamantilla;29.96;30.58;30.70;
Municipios;1782;Villanueva de Perales;28.45;28.58;28.10;
Municipios;1760;Villanueva de la Cañada;33.34;33.04;32.80;
Municipios;1776;Villanueva del Pardillo;35.31;35.08;34.51;
Municipios;1795;Villar del Olmo;26.21;26.23;25.69;
Municipios;1809;Villarejo de Salvanés;27.19;27.30;26.96;
Municipios;1816;Villaviciosa de Odón;27.55;27.33;27.41;
Municipios;1821;Villavieja del Lozoya;23.28;21.38;23.59;
Municipios;1837;Zarzalejo;27.22;27.44;26.57;
