Serie;Codigo_municipio;Nombre;2020;2021; 2022
Municipios;0915;Morata de Tajuña;2.13;0.98;0.45;
Municipios;0920;Móstoles;0.54;-0.32;-0.42;
Municipios;0936;Navacerrada;4.00;4.17;-0.06;
Municipios;0941;Navalafuente;4.28;4.10;0.06;
Municipios;0954;Navalagamella;1.03;3.15;3.27;
Municipios;0967;Navalcarnero;2.34;2.37;2.23;
Municipios;0973;Navarredonda y San Mamés;0.00;9.30;-2.13;
Municipios;0992;Navas del Rey;1.64;3.24;2.35;
Municipios;1006;Nuevo Baztán;2.84;2.73;1.96;
Municipios;1013;Olmeda de las Fuentes;-0.57;3.18;5.32;
Municipios;1028;Orusco de Tajuña;4.10;-0.31;2.71;
Municipios;1049;Paracuellos de Jarama;2.56;1.23;0.82;
Municipios;1065;Parla;2.58;-1.34;-0.84;
Municipios;1071;Patones;-0.37;-2.78;2.29;
Municipios;1087;Pedrezuela;4.38;1.24;1.30;
Municipios;1090;Pelayos de la Presa;3.08;5.64;1.41;
Municipios;1104;Perales de Tajuña;1.87;2.31;1.90;
Municipios;1111;Pezuela de las Torres;2.97;6.92;0.43;
Municipios;1126;Pinilla del Valle;-0.52;3.16;1.02;
Municipios;1132;Pinto;1.52;0.40;1.03;
Municipios;1147;Piñuécar-Gandullas;-3.24;3.35;-0.54;
Municipios;1150;Pozuelo de Alarcón;0.86;-0.04;0.68;
Municipios;1163;Pozuelo del Rey;2.18;1.54;-1.01;
Municipios;1179;Prádena del Rincón;6.84;19.20;-1.34;
Municipios;1185;Puebla de la Sierra;12.31;2.74;12.00;
Municipios;9020;Puentes Viejas;2.95;2.86;-3.06;
Municipios;1198;Quijorna;2.97;1.47;2.50;
Municipios;1202;Rascafría;3.67;1.68;-1.03;
Municipios;1219;Redueña;3.85;8.89;1.36;
Municipios;1224;Ribatejada;2.30;7.74;0.93;
Municipios;1230;Rivas-Vaciamadrid;3.20;2.15;4.05;
Municipios;1245;Robledillo de la Jara;18.75;2.11;17.53;
Municipios;1258;Robledo de Chavela;2.20;2.64;2.41;
Municipios;1261;Robregordo;12.07;9.23;-1.41;
Municipios;1277;Rozas de Madrid (Las);0.31;-1.30;0.91;
Municipios;1283;Rozas de Puerto Real;4.72;6.31;-2.20;
