Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;51842;54746;56788;58909;59974;61904;62805;64397;65317;
Zonas Estadísticas;01;Municipio de Madrid ;29466;31143;32381;33508;34061;35171;35761;36553;37109;
Zonas Estadísticas;02;Norte Metropolitano ;2456;2649;2772;2918;3052;3148;3139;3286;3324;
Zonas Estadísticas;03;Este Metropolitano  ;3597;3801;3905;4071;4151;4296;4339;4506;4528;
Zonas Estadísticas;04;Sur Metropolitano   ;6867;7248;7449;7687;7802;8006;8025;8236;8287;
Zonas Estadísticas;05;Oeste Metropolitano ;5398;5675;5940;6206;6312;6550;6643;6936;7081;
Zonas Estadísticas;06;Sierra Norte        ;405;422;436;445;453;452;516;461;461;
Zonas Estadísticas;07;Nordeste Comunidad  ;471;477;482;489;481;485;492;500;501;
Zonas Estadísticas;08;Sudeste Comunidad   ;555;578;581;610;621;634;673;642;668;
Zonas Estadísticas;09;Sudoeste Comunidad  ;932;1005;1034;1089;1143;1185;1203;1184;1217;
Zonas Estadísticas;10;Sierra Sur          ;246;257;263;282;276;284;294;299;320;
Zonas Estadísticas;11;Sierra Central      ;1449;1491;1545;1604;1622;1693;1720;1794;1821;
Municipios;0014;Acebeda (La);5;6;6;5;4;5;8;6;5;
Municipios;0029;Ajalvir;25;29;28;32;32;34;31;35;36;
Municipios;0035;Alameda del Valle;2;3;2;2;2;2;3;4;4;
Municipios;0040;Alamo (El);50;47;45;46;43;54;55;55;54;
Municipios;0053;Alcalá de Henares;1151;1224;1256;1312;1293;1328;1334;1353;1360;
Municipios;0066;Alcobendas;820;890;911;958;1003;1020;1016;1067;1090;
Municipios;0072;Alcorcón;956;1001;1040;1087;1083;1120;1076;1146;1191;
Municipios;0088;Aldea del Fresno;18;25;23;23;27;29;29;25;25;
Municipios;0091;Algete;121;132;133;145;155;159;158;173;179;
Municipios;0105;Alpedrete;145;128;139;150;145;150;154;161;156;
Municipios;0112;Ambite;3;3;3;4;3;5;5;5;6;
Municipios;0127;Anchuelo;6;6;7;6;6;6;8;7;10;
Municipios;0133;Aranjuez;443;464;464;478;501;515;502;515;514;
Municipios;0148;Arganda del Rey;338;352;353;361;391;412;414;420;411;
Municipios;0151;Arroyomolinos;169;186;197;202;219;231;231;244;255;
Municipios;0164;Atazar (El);2;3;3;3;2;2;3;2;2;
Municipios;0170;Batres;10;13;12;14;14;12;14;15;15;
Municipios;0186;Becerril de la Sierra;40;46;45;43;39;51;47;48;48;
Municipios;0199;Belmonte de Tajo;13;11;12;15;15;15;16;14;13;
Municipios;0210;Berrueco (El);8;6;8;7;8;9;11;8;6;
Municipios;0203;Berzosa del Lozoya;10;8;8;8;7;7;8;6;6;
Municipios;0225;Boadilla del Monte;692;736;775;780;801;860;868;941;986;
Municipios;0231;Boalo (El);60;59;68;72;84;81;84;99;92;
Municipios;0246;Braojos;2;2;3;3;3;3;4;3;3;
Municipios;0259;Brea de Tajo;7;6;6;6;6;5;8;7;7;
Municipios;0262;Brunete;101;102;110;120;115;119;120;118;111;
Municipios;0278;Buitrago del Lozoya;22;24;23;23;23;23;24;21;23;
Municipios;0284;Bustarviejo;20;25;25;30;28;27;28;25;25;
Municipios;0297;Cabanillas de la Sierra;7;8;8;11;10;11;14;11;12;
Municipios;0301;Cabrera (La);27;32;38;37;35;33;36;40;39;
Municipios;0318;Cadalso de los Vidrios;13;14;14;13;13;14;23;31;32;
Municipios;0323;Camarma de Esteruelas;57;52;55;54;53;47;48;50;52;
Municipios;0339;Campo Real;43;37;38;36;40;36;41;41;41;
Municipios;0344;Canencia;6;6;3;3;3;2;3;2;3;
Municipios;0357;Carabaña;9;12;13;14;12;12;13;14;13;
Municipios;0360;Casarrubuelos;23;28;31;32;31;30;31;28;29;
Municipios;0376;Cenicientos;9;8;8;9;9;9;11;7;8;
Municipios;0382;Cercedilla;55;54;65;65;67;70;73;71;78;
Municipios;0395;Cervera de Buitrago;3;4;4;3;5;4;5;4;4;
Municipios;0513;Chapinería;12;13;20;21;19;17;19;19;22;
Municipios;0528;Chinchón;30;33;32;30;30;35;35;34;41;
Municipios;0409;Ciempozuelos;104;110;115;125;121;118;136;138;139;
Municipios;0416;Cobeña;51;49;52;61;57;53;58;69;72;
Municipios;0468;Collado Mediano;53;57;64;75;66;68;65;67;75;
Municipios;0474;Collado Villalba;410;444;458;485;489;510;525;554;550;
Municipios;0455;Colmenar Viejo;316;334;374;381;409;422;435;454;457;
Municipios;0437;Colmenar de Oreja;31;31;34;33;34;33;38;37;38;
Municipios;0421;Colmenar del Arroyo;12;12;10;13;11;11;12;12;13;
Municipios;0442;Colmenarejo;68;67;64;71;77;79;78;81;76;
Municipios;0480;Corpa;4;5;4;5;6;7;6;4;5;
Municipios;0493;Coslada;425;425;442;448;460;460;471;491;485;
Municipios;0506;Cubas de la Sagra;26;36;36;40;44;49;45;44;47;
Municipios;0534;Daganzo de Arriba;60;64;67;69;68;70;73;76;80;
Municipios;0549;Escorial (El);116;120;116;118;140;146;140;156;154;
Municipios;0552;Estremera;10;10;10;10;10;10;12;9;9;
Municipios;0565;Fresnedillas de la Oliva;14;15;15;14;15;15;16;11;16;
Municipios;0571;Fresno de Torote;9;9;11;9;11;11;12;7;8;
Municipios;0587;Fuenlabrada;931;990;1006;1030;1051;1063;1081;1122;1077;
Municipios;0590;Fuente el Saz de Jarama;40;41;45;47;49;51;52;55;50;
Municipios;0604;Fuentidueña de Tajo;10;11;9;10;9;11;13;12;13;
Municipios;0611;Galapagar;254;287;287;310;308;338;329;338;341;
Municipios;0626;Garganta de los Montes;6;6;6;6;5;4;5;4;4;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;9;8;8;8;7;8;9;8;10;
