Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0702;Horcajo de la Sierra-Aoslos;2;5;3;3;2;1;1;2;3;
Municipios;0719;Horcajuelo de la Sierra;0;0;0;1;1;1;1;1;0;
Municipios;0724;Hoyo de Manzanares;305;300;301;277;284;280;286;291;293;
Municipios;0730;Humanes de Madrid;223;233;226;226;232;216;221;224;229;
Municipios;0745;Leganés;1963;1974;1996;2072;2115;2124;2095;2147;2178;
Municipios;0758;Loeches;86;96;103;104;102;102;97;107;109;
Municipios;0761;Lozoya;9;10;9;12;11;11;14;14;13;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;9;7;7;6;6;10;9;9;9;
Municipios;0783;Madarcos;1;1;1;1;1;2;2;1;1;
Municipios;0796;Madrid;130024;131193;130968;130192;130435;128906;125043;126580;127089;
Municipios;0800;Majadahonda;4179;4216;4217;4133;4038;3963;3862;3932;3957;
Municipios;0822;Manzanares el Real;152;152;156;161;158;157;142;150;147;
Municipios;0838;Meco;141;134;145;156;158;160;160;168;160;
Municipios;0843;Mejorada del Campo;195;201;196;205;214;215;221;215;224;
Municipios;0856;Miraflores de la Sierra;90;91;82;77;77;86;77;84;87;
Municipios;0869;Molar (El);74;79;81;91;87;91;90;94;92;
Municipios;0875;Molinos (Los);93;82;79;78;72;77;92;103;94;
Municipios;0881;Montejo de la Sierra;2;2;1;1;0;0;1;2;1;
Municipios;0894;Moraleja de Enmedio;62;66;56;69;66;74;71;72;73;
Municipios;0908;Moralzarzal;275;269;265;251;262;270;262;266;260;
Municipios;0915;Morata de Tajuña;72;75;74;84;82;81;75;70;66;
Municipios;0920;Móstoles;1994;2045;2071;2101;2135;2152;2125;2188;2192;
Municipios;0936;Navacerrada;76;78;74;70;77;68;82;78;81;
Municipios;0941;Navalafuente;16;17;17;14;15;17;14;15;13;
Municipios;0954;Navalagamella;25;28;31;30;29;28;20;22;25;
Municipios;0967;Navalcarnero;256;270;292;310;331;314;311;322;333;
Municipios;0973;Navarredonda y San Mamés;0;2;0;3;1;1;0;0;1;
Municipios;0992;Navas del Rey;18;14;12;14;18;21;23;23;35;
Municipios;1006;Nuevo Baztán;62;66;74;69;78;73;86;94;83;
Municipios;1013;Olmeda de las Fuentes;9;11;13;13;11;13;13;11;10;
Municipios;1028;Orusco de Tajuña;7;9;7;5;9;7;8;11;10;
Municipios;1049;Paracuellos de Jarama;554;599;600;632;642;612;604;627;625;
Municipios;1065;Parla;714;733;734;722;753;741;730;743;771;
Municipios;1071;Patones;5;6;6;5;4;4;5;5;6;
Municipios;1087;Pedrezuela;71;76;77;79;88;89;78;77;79;
Municipios;1090;Pelayos de la Presa;42;42;40;41;42;44;46;49;45;
Municipios;1104;Perales de Tajuña;19;18;20;25;26;26;33;30;31;
Municipios;1111;Pezuela de las Torres;11;9;8;9;7;9;11;12;13;
Municipios;1126;Pinilla del Valle;1;1;1;1;0;1;2;2;2;
Municipios;1132;Pinto;536;544;551;545;575;610;587;624;630;
Municipios;1147;Piñuécar-Gandullas;1;0;0;0;0;0;1;0;0;
Municipios;1150;Pozuelo de Alarcón;6704;6805;6771;6692;6655;6510;6382;6554;6647;
Municipios;1163;Pozuelo del Rey;10;15;14;15;16;14;12;12;8;
Municipios;1179;Prádena del Rincón;1;0;0;0;0;0;0;0;0;
Municipios;1185;Puebla de la Sierra;1;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;9;6;6;7;9;4;4;4;5;
Municipios;1198;Quijorna;59;68;63;63;59;61;62;59;60;
Municipios;1202;Rascafría;29;31;37;39;35;35;28;26;27;
