Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0186;Becerril de la Sierra;605;608;612;614;612;640;665;668;670;
Municipios;0199;Belmonte de Tajo;145;143;160;157;156;149;148;141;142;
Municipios;0210;Berrueco (El);56;55;58;60;66;72;76;75;75;
Municipios;0203;Berzosa del Lozoya;24;28;25;28;27;30;28;26;31;
Municipios;0225;Boadilla del Monte;6774;7046;7146;7399;7629;7782;7871;8402;8745;
Municipios;0231;Boalo (El);685;678;707;726;738;758;779;815;824;
Municipios;0246;Braojos;42;41;40;39;38;40;39;31;31;
Municipios;0259;Brea de Tajo;60;62;61;62;59;53;53;54;55;
Municipios;0262;Brunete;1060;1100;1089;1122;1140;1153;1141;1172;1158;
Municipios;0278;Buitrago del Lozoya;244;244;240;251;256;242;231;233;242;
Municipios;0284;Bustarviejo;238;245;252;260;263;263;271;284;283;
Municipios;0297;Cabanillas de la Sierra;72;81;88;79;83;77;78;80;83;
Municipios;0301;Cabrera (La);272;281;281;289;289;293;287;304;307;
Municipios;0318;Cadalso de los Vidrios;280;253;251;239;249;250;274;281;283;
Municipios;0323;Camarma de Esteruelas;677;695;705;735;745;742;758;779;771;
Municipios;0339;Campo Real;658;663;667;677;711;696;695;725;717;
Municipios;0344;Canencia;61;65;63;58;59;57;55;52;51;
Municipios;0357;Carabaña;144;154;158;170;182;174;176;186;191;
Municipios;0360;Casarrubuelos;291;330;336;360;354;361;376;378;379;
Municipios;0376;Cenicientos;155;148;150;156;154;152;158;155;146;
Municipios;0382;Cercedilla;673;700;710;713;734;742;769;780;804;
Municipios;0395;Cervera de Buitrago;15;17;17;16;18;19;18;17;15;
Municipios;0513;Chapinería;208;200;211;215;216;212;216;220;232;
Municipios;0528;Chinchón;705;691;677;682;687;681;660;655;655;
Municipios;0409;Ciempozuelos;1604;1641;1659;1707;1727;1780;1815;1840;1815;
Municipios;0416;Cobeña;657;693;712;709;722;723;711;747;772;
Municipios;0468;Collado Mediano;661;673;680;693;724;715;712;733;772;
Municipios;0474;Collado Villalba;5470;5623;5638;5689;5833;5830;5860;6000;6010;
Municipios;0455;Colmenar Viejo;4464;4541;4598;4580;4625;4589;4608;4807;4813;
Municipios;0437;Colmenar de Oreja;727;718;714;709;714;733;750;744;729;
Municipios;0421;Colmenar del Arroyo;163;174;172;181;178;172;172;180;179;
Municipios;0442;Colmenarejo;703;694;688;693;735;737;734;783;778;
Municipios;0480;Corpa;32;35;30;29;38;41;40;37;38;
Municipios;0493;Coslada;7169;7235;7224;7400;7625;7658;7433;7368;7230;
Municipios;0506;Cubas de la Sagra;439;463;485;498;515;516;522;535;548;
Municipios;0534;Daganzo de Arriba;1016;1076;1057;1048;1078;1069;1060;1056;1057;
Municipios;0549;Escorial (El);1419;1440;1476;1497;1553;1543;1562;1631;1637;
Municipios;0552;Estremera;159;165;159;155;157;151;150;150;152;
Municipios;0565;Fresnedillas de la Oliva;132;138;130;134;152;144;136;135;138;
Municipios;0571;Fresno de Torote;148;157;162;160;158;162;154;145;156;
Municipios;0587;Fuenlabrada;16422;16707;16661;16857;16951;16940;16674;16859;16673;
Municipios;0590;Fuente el Saz de Jarama;848;864;855;864;898;905;912;944;918;
Municipios;0604;Fuentidueña de Tajo;174;179;162;168;184;179;186;197;190;
Municipios;0611;Galapagar;3036;3157;3112;3205;3284;3333;3299;3437;3486;
Municipios;0626;Garganta de los Montes;55;52;50;51;52;53;49;51;51;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;51;56;52;54;43;38;39;39;42;
Municipios;0647;Gascones;26;32;32;34;32;33;38;40;38;
Municipios;0650;Getafe;12516;12880;13068;13413;13748;14038;14118;14551;14522;
Municipios;0663;Griñón;1288;1358;1382;1428;1447;1450;1462;1455;1461;
Municipios;0679;Guadalix de la Sierra;545;536;542;541;553;571;581;603;616;
Municipios;0685;Guadarrama;1354;1409;1426;1463;1472;1520;1516;1554;1569;
Municipios;0698;Hiruela (La);12;12;14;10;10;15;18;17;18;
Municipios;0702;Horcajo de la Sierra-Aoslos;38;37;32;36;30;30;33;32;31;
Municipios;0719;Horcajuelo de la Sierra;18;20;17;18;16;16;21;20;15;
Municipios;0724;Hoyo de Manzanares;844;851;868;863;901;903;924;961;962;
Municipios;0730;Humanes de Madrid;3509;3537;3596;3618;3686;3757;3761;3798;3748;
Municipios;0745;Leganés;13789;13969;14097;14403;14666;14777;14677;14718;14708;
Municipios;0758;Loeches;916;968;1000;1007;1036;1023;1014;1038;1049;
Municipios;0761;Lozoya;79;77;75;79;75;74;70;76;75;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;133;148;144;147;158;162;169;170;173;
Municipios;0783;Madarcos;14;12;13;13;13;11;14;13;11;
Municipios;0796;Madrid;398803;405444;409687;415465;423754;424848;419622;426663;429800;
Municipios;0800;Majadahonda;9876;10070;10239;10258;10303;10220;10091;10360;10453;
Municipios;0822;Manzanares el Real;684;701;701;721;763;771;775;810;798;
Municipios;0838;Meco;1045;1088;1114;1189;1224;1276;1258;1331;1373;
Municipios;0843;Mejorada del Campo;2224;2218;2278;2301;2340;2348;2346;2384;2378;
Municipios;0856;Miraflores de la Sierra;585;576;585;570;591;603;624;618;605;
Municipios;0869;Molar (El);680;696;676;695;674;700;699;709;715;
Municipios;0875;Molinos (Los);404;404;413;407;408;412;439;477;474;
Municipios;0881;Montejo de la Sierra;57;52;42;44;46;48;45;43;37;
Municipios;0894;Moraleja de Enmedio;787;825;844;882;834;832;821;836;827;
Municipios;0908;Moralzarzal;1137;1174;1187;1208;1234;1267;1274;1322;1328;
Municipios;0915;Morata de Tajuña;568;601;581;594;605;606;592;609;623;
Municipios;0920;Móstoles;13701;13798;13759;13857;13972;13933;13781;13910;13782;
Municipios;0936;Navacerrada;366;386;376;376;392;384;400;386;388;
Municipios;0941;Navalafuente;88;94;98;100;113;107;108;114;105;
Municipios;0954;Navalagamella;155;173;180;174;184;187;186;190;187;
Municipios;0967;Navalcarnero;2219;2319;2320;2321;2383;2406;2463;2524;2540;
Municipios;0973;Navarredonda y San Mamés;19;26;23;26;21;19;21;21;19;
Municipios;0992;Navas del Rey;223;227;255;265;276;278;280;288;296;
Municipios;1006;Nuevo Baztán;534;547;554;569;596;583;608;636;607;
Municipios;1013;Olmeda de las Fuentes;49;48;49;50;52;60;60;58;54;
Municipios;1028;Orusco de Tajuña;62;69;64;67;78;74;78;87;85;
Municipios;1049;Paracuellos de Jarama;2377;2477;2553;2639;2734;2628;2623;2751;2731;
Municipios;1065;Parla;6228;6339;6491;6800;7019;7166;7235;7375;7381;
Municipios;1071;Patones;62;65;62;54;57;61;62;65;64;
Municipios;1087;Pedrezuela;411;428;422;435;455;462;464;466;456;
Municipios;1090;Pelayos de la Presa;211;220;214;228;250;264;273;297;294;
Municipios;1104;Perales de Tajuña;246;243;241;242;241;239;248;252;255;
Municipios;1111;Pezuela de las Torres;86;86;83;81;83;85;90;87;87;
Municipios;1126;Pinilla del Valle;16;15;18;16;15;14;16;15;13;
Municipios;1132;Pinto;4267;4332;4410;4478;4626;4693;4594;4751;4734;
Municipios;1147;Piñuécar-Gandullas;23;23;23;19;18;21;23;25;22;
Municipios;1150;Pozuelo de Alarcón;14631;14904;15173;15271;15532;15545;15393;15803;15929;
Municipios;1163;Pozuelo del Rey;88;92;91;89;94;88;88;94;86;
Municipios;1179;Prádena del Rincón;20;22;20;18;19;18;20;23;23;
Municipios;1185;Puebla de la Sierra;11;9;10;10;11;9;11;10;11;
Municipios;9020;Puentes Viejas;53;56;56;54;74;67;72;70;72;
Municipios;1198;Quijorna;242;254;264;269;300;301;295;309;307;
Municipios;1202;Rascafría;231;240;253;260;270;264;256;263;256;
Municipios;1219;Redueña;39;43;43;46;48;54;52;52;49;
Municipios;1224;Ribatejada;55;52;52;58;58;63;64;68;67;
Municipios;1230;Rivas-Vaciamadrid;7103;7424;7737;7970;8268;8555;8633;8985;9060;
Municipios;1245;Robledillo de la Jara;9;8;10;9;8;9;11;8;9;
Municipios;1258;Robledo de Chavela;379;373;364;379;387;392;411;432;430;
Municipios;1261;Robregordo;7;6;4;4;4;4;6;5;6;
Municipios;1277;Rozas de Madrid (Las);13585;13870;14004;14184;14406;14323;14199;14528;14727;
Municipios;1283;Rozas de Puerto Real;56;64;62;73;72;74;71;81;75;
Municipios;1296;San Agustín del Guadalix;1323;1372;1454;1523;1515;1424;1427;1451;1453;
Municipios;1300;San Fernando de Henares;3946;4039;4052;4110;4155;3978;3990;4038;3984;
Municipios;1317;San Lorenzo de El Escorial;1799;1812;1798;1809;1881;1885;1899;1953;1986;
Municipios;1338;San Martín de Valdeiglesias;751;755;759;767;779;791;802;824;809;
Municipios;1322;San Martín de la Vega;1637;1674;1708;1706;1782;1778;1776;1783;1834;
Municipios;1343;San Sebastián de los Reyes;9078;9344;9466;9605;9806;9977;9858;10004;10068;
Municipios;1356;Santa María de la Alameda;151;146;147;154;160;165;159;169;172;
Municipios;1369;Santorcaz;71;63;66;66;61;58;67;71;74;
Municipios;1375;Santos de la Humosa (Los);151;163;172;170;185;192;200;187;185;
Municipios;1381;Serna del Monte (La);31;28;25;22;19;21;22;22;18;
Municipios;1408;Serranillos del Valle;421;440;440;453;449;479;466;473;497;
Municipios;1415;Sevilla la Nueva;789;830;880;894;902;898;875;887;891;
Municipios;1436;Somosierra;12;14;17;17;17;18;23;16;16;
Municipios;1441;Soto del Real;907;917;928;930;978;965;963;971;987;
Municipios;1454;Talamanca de Jarama;277;282;284;301;301;308;298;309;310;
Municipios;1467;Tielmes;202;193;198;205;202;206;224;226;208;
Municipios;1473;Titulcia;92;99;101;107;111;118;115;108;106;
Municipios;1489;Torrejón de Ardoz;8845;9019;9044;9204;9371;9522;9433;9703;9671;
Municipios;1505;Torrejón de Velasco;437;436;452;438;439;447;450;481;481;
Municipios;1492;Torrejón de la Calzada;883;920;938;960;964;962;979;1001;1010;
Municipios;1512;Torrelaguna;412;426;416;427;428;431;440;451;457;
Municipios;1527;Torrelodones;3088;3160;3191;3237;3324;3350;3408;3543;3530;
Municipios;1533;Torremocha de Jarama;112;116;116;119;110;122;126;115;116;
Municipios;1548;Torres de la Alameda;803;831;828;838;857;843;847;854;847;
Municipios;9036;Tres Cantos;4967;5077;5103;5168;5221;5242;5186;5355;5377;
Municipios;1551;Valdaracete;44;49;46;48;50;48;47;47;44;
Municipios;1564;Valdeavero;134;147;154;162;177;177;174;177;171;
Municipios;1570;Valdelaguna;73;74;65;63;65;65;66;77;74;
Municipios;1586;Valdemanco;85;83;89;83;86;82;82;92;85;
Municipios;1599;Valdemaqueda;81;84;86;87;89;94;84;87;85;
Municipios;1603;Valdemorillo;1238;1309;1327;1332;1423;1426;1443;1557;1577;
Municipios;1610;Valdemoro;5931;6107;6248;6267;6460;6546;6546;6700;6705;
Municipios;1625;Valdeolmos-Alalpardo;462;460;466;470;453;449;456;458;472;
Municipios;1631;Valdepiélagos;63;62;65;70;68;67;72;72;66;
Municipios;1646;Valdetorres de Jarama;375;391;382;394;398;401;391;412;430;
Municipios;1659;Valdilecha;226;223;235;242;242;257;265;264;255;
Municipios;1662;Valverde de Alcalá;28;29;27;28;31;34;34;35;32;
Municipios;1678;Velilla de San Antonio;1116;1103;1117;1146;1172;1169;1175;1208;1230;
Municipios;1684;Vellón (El);139;133;141;140;140;150;151;159;148;
Municipios;1697;Venturada;224;229;274;315;350;349;366;386;399;
Municipios;1718;Villa del Prado;604;624;645;627;606;600;610;605;596;
Municipios;1701;Villaconejos;384;381;371;360;350;362;364;369;361;
