Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0730;Humanes de Madrid;29;28;29;27;27;25;25;28;27;
Municipios;0745;Leganés;360;370;369;356;340;341;326;309;314;
Municipios;0758;Loeches;12;13;16;16;16;19;20;17;16;
Municipios;0761;Lozoya;4;4;4;4;3;4;3;3;3;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;2;4;3;3;4;4;5;5;6;
Municipios;0783;Madarcos;0;0;0;0;0;0;0;0;0;
Municipios;0796;Madrid;9958;10098;10217;10404;10506;10734;10608;10610;10566;
Municipios;0800;Majadahonda;262;269;289;298;291;294;287;300;305;
Municipios;0822;Manzanares el Real;21;22;23;26;26;30;26;24;21;
Municipios;0838;Meco;21;22;17;17;20;22;23;24;23;
Municipios;0843;Mejorada del Campo;33;31;31;29;31;34;32;28;31;
Municipios;0856;Miraflores de la Sierra;10;9;10;9;11;11;13;13;14;
Municipios;0869;Molar (El);21;15;17;18;17;15;14;13;13;
Municipios;0875;Molinos (Los);13;13;9;8;9;9;10;7;7;
Municipios;0881;Montejo de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0894;Moraleja de Enmedio;9;9;10;10;10;9;7;4;4;
Municipios;0908;Moralzarzal;20;23;24;23;24;29;30;26;28;
Municipios;0915;Morata de Tajuña;18;19;19;18;16;17;16;15;17;
Municipios;0920;Móstoles;379;375;377;352;342;361;340;326;324;
Municipios;0936;Navacerrada;7;7;7;7;7;9;9;7;6;
Municipios;0941;Navalafuente;2;2;3;3;2;3;3;2;2;
Municipios;0954;Navalagamella;7;6;7;5;7;5;4;5;4;
Municipios;0967;Navalcarnero;51;59;56;61;60;61;53;49;53;
Municipios;0973;Navarredonda y San Mamés;0;0;0;0;0;0;0;0;0;
Municipios;0992;Navas del Rey;5;4;5;4;4;4;4;2;2;
Municipios;1006;Nuevo Baztán;10;9;7;8;8;12;12;9;6;
Municipios;1013;Olmeda de las Fuentes;1;2;2;2;2;2;2;2;2;
Municipios;1028;Orusco de Tajuña;1;2;1;1;1;1;2;2;1;
Municipios;1049;Paracuellos de Jarama;35;34;42;40;48;44;40;46;52;
Municipios;1065;Parla;165;150;154;149;152;162;155;146;146;
Municipios;1071;Patones;0;0;0;0;0;0;0;0;0;
Municipios;1087;Pedrezuela;10;10;12;9;9;10;12;13;6;
Municipios;1090;Pelayos de la Presa;4;4;5;5;4;4;4;5;4;
Municipios;1104;Perales de Tajuña;6;5;6;7;3;4;4;4;4;
Municipios;1111;Pezuela de las Torres;0;0;0;0;0;1;2;3;2;
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;0;0;
Municipios;1132;Pinto;103;100;100;109;105;104;100;91;94;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;340;384;398;405;419;434;431;432;444;
Municipios;1163;Pozuelo del Rey;1;0;0;0;0;0;0;0;0;
Municipios;1179;Prádena del Rincón;0;1;1;0;0;0;0;0;0;
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;0;0;0;1;1;1;1;2;1;
Municipios;1198;Quijorna;3;5;5;5;4;3;5;6;4;
Municipios;1202;Rascafría;4;4;3;3;2;2;2;2;2;
Municipios;1219;Redueña;1;1;1;1;1;1;1;0;0;
Municipios;1224;Ribatejada;0;0;1;1;1;1;2;2;2;
Municipios;1230;Rivas-Vaciamadrid;172;186;193;188;204;207;207;191;193;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;11;11;7;6;6;8;7;6;6;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);346;367;378;396;409;401;398;394;386;
Municipios;1283;Rozas de Puerto Real;1;2;0;0;1;0;0;1;1;
Municipios;1296;San Agustín del Guadalix;22;26;30;24;23;27;30;30;29;
Municipios;1300;San Fernando de Henares;75;73;71;67;66;69;67;62;59;
Municipios;1317;San Lorenzo de El Escorial;34;31;36;40;36;37;39;41;43;
Municipios;1338;San Martín de Valdeiglesias;16;13;14;16;16;15;17;20;19;
Municipios;1322;San Martín de la Vega;26;29;29;30;31;33;32;33;37;
Municipios;1343;San Sebastián de los Reyes;222;236;247;261;267;270;257;254;249;
Municipios;1356;Santa María de la Alameda;2;2;2;2;2;2;2;3;3;
Municipios;1369;Santorcaz;0;0;0;0;0;0;0;0;0;
Municipios;1375;Santos de la Humosa (Los);4;4;1;3;2;2;1;0;0;
Municipios;1381;Serna del Monte (La);0;0;1;1;0;0;0;0;0;
Municipios;1408;Serranillos del Valle;6;6;5;7;6;7;6;8;9;
Municipios;1415;Sevilla la Nueva;25;24;30;32;32;28;29;27;25;
Municipios;1436;Somosierra;0;0;0;0;0;0;0;0;0;
Municipios;1441;Soto del Real;17;17;16;17;20;17;14;20;21;
Municipios;1454;Talamanca de Jarama;4;7;3;4;4;4;4;3;3;
Municipios;1467;Tielmes;5;5;5;5;5;7;8;6;5;
Municipios;1473;Titulcia;1;1;1;2;3;3;1;1;2;
Municipios;1489;Torrejón de Ardoz;204;191;186;198;189;201;193;184;173;
Municipios;1505;Torrejón de Velasco;7;6;6;5;6;7;6;5;6;
Municipios;1492;Torrejón de la Calzada;20;22;22;25;23;22;21;18;17;
Municipios;1512;Torrelaguna;13;14;12;15;12;12;13;12;13;
Municipios;1527;Torrelodones;66;78;85;90;95;102;104;105;102;
Municipios;1533;Torremocha de Jarama;2;2;2;2;1;1;1;1;1;
Municipios;1548;Torres de la Alameda;11;13;12;16;16;13;15;14;16;
Municipios;9036;Tres Cantos;121;111;109;111;113;115;115;116;118;
Municipios;1551;Valdaracete;0;0;0;0;0;0;0;0;0;
Municipios;1564;Valdeavero;5;5;5;5;5;2;1;1;2;
Municipios;1570;Valdelaguna;0;0;0;0;0;0;0;2;3;
Municipios;1586;Valdemanco;1;1;1;1;2;1;1;3;3;
Municipios;1599;Valdemaqueda;0;0;0;0;0;0;0;0;0;
Municipios;1603;Valdemorillo;26;28;29;30;35;32;33;34;33;
Municipios;1610;Valdemoro;119;124;124;133;123;125;120;120;123;
Municipios;1625;Valdeolmos-Alalpardo;8;10;8;11;9;6;6;6;6;
Municipios;1631;Valdepiélagos;0;0;0;0;0;0;1;1;1;
Municipios;1646;Valdetorres de Jarama;7;6;8;7;10;8;9;8;7;
Municipios;1659;Valdilecha;6;6;6;6;7;7;7;8;8;
Municipios;1662;Valverde de Alcalá;0;0;0;0;1;1;0;0;0;
Municipios;1678;Velilla de San Antonio;20;18;20;20;18;19;20;21;18;
Municipios;1684;Vellón (El);2;2;2;2;2;2;2;2;2;
Municipios;1697;Venturada;4;6;7;5;9;11;10;11;10;
Municipios;1718;Villa del Prado;5;4;7;8;9;8;9;9;9;
Municipios;1701;Villaconejos;8;8;8;6;4;6;6;6;8;
Municipios;1723;Villalbilla;30;34;32;34;31;29;29;31;29;
Municipios;1739;Villamanrique de Tajo;1;2;1;0;0;0;1;1;0;
Municipios;1744;Villamanta;6;5;4;4;6;6;5;5;5;
Municipios;1757;Villamantilla;1;2;2;3;3;2;2;2;2;
Municipios;1782;Villanueva de Perales;2;4;4;6;2;3;3;3;3;
Municipios;1760;Villanueva de la Cañada;49;50;54;59;61;68;66;76;72;
Municipios;1776;Villanueva del Pardillo;30;32;31;40;41;39;38;36;40;
Municipios;1795;Villar del Olmo;3;5;5;4;3;3;3;3;3;
Municipios;1809;Villarejo de Salvanés;15;12;15;15;15;16;14;11;11;
Municipios;1816;Villaviciosa de Odón;75;85;85;81;88;83;86;82;86;
Municipios;1821;Villavieja del Lozoya;0;0;0;0;2;3;3;3;3;
Municipios;1837;Zarzalejo;2;2;3;4;5;5;5;5;5;
