Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0698;Hiruela (La);8;8;10;6;6;11;13;14;15;
Municipios;0702;Horcajo de la Sierra-Aoslos;13;12;10;10;8;9;11;11;9;
Municipios;0719;Horcajuelo de la Sierra;3;4;4;5;3;2;5;8;5;
Municipios;0724;Hoyo de Manzanares;175;171;183;174;183;169;168;168;170;
Municipios;0730;Humanes de Madrid;1138;1135;1169;1174;1193;1211;1198;1200;1182;
Municipios;0745;Leganés;4679;4649;4590;4683;4616;4510;4457;4507;4431;
Municipios;0758;Loeches;263;264;275;272;285;276;264;279;277;
Municipios;0761;Lozoya;29;31;31;27;27;23;21;28;26;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;51;51;50;53;56;54;56;57;57;
Municipios;0783;Madarcos;1;1;2;1;1;0;0;0;3;
Municipios;0796;Madrid;89478;89534;89486;90006;89895;88867;86361;87704;86710;
Municipios;0800;Majadahonda;1857;1831;1846;1806;1789;1792;1777;1779;1768;
Municipios;0822;Manzanares el Real;165;169;158;165;178;163;175;184;175;
Municipios;0838;Meco;260;267;274;296;310;317;306;329;334;
Municipios;0843;Mejorada del Campo;645;655;689;696;698;688;691;692;684;
Municipios;0856;Miraflores de la Sierra;178;174;175;174;174;165;173;170;165;
Municipios;0869;Molar (El);241;239;226;232;218;218;217;222;216;
Municipios;0875;Molinos (Los);108;105;110;107;103;99;99;108;116;
Municipios;0881;Montejo de la Sierra;19;16;15;14;16;18;13;14;13;
Municipios;0894;Moraleja de Enmedio;222;215;224;230;221;220;217;226;214;
Municipios;0908;Moralzarzal;305;323;329;334;341;327;325;329;333;
Municipios;0915;Morata de Tajuña;166;167;163;162;158;156;157;157;168;
Municipios;0920;Móstoles;4428;4367;4290;4230;4190;4092;3979;4075;4010;
Municipios;0936;Navacerrada;156;162;146;148;147;137;137;132;126;
Municipios;0941;Navalafuente;21;25;23;23;22;23;25;23;22;
Municipios;0954;Navalagamella;42;47;48;46;50;46;53;53;53;
Municipios;0967;Navalcarnero;618;629;605;593;604;604;632;652;652;
Municipios;0973;Navarredonda y San Mamés;6;8;8;8;7;5;6;6;4;
Municipios;0992;Navas del Rey;78;82;87;93;90;81;94;97;93;
Municipios;1006;Nuevo Baztán;130;125;117;116;111;114;123;134;125;
Municipios;1013;Olmeda de las Fuentes;11;13;12;11;14;15;14;12;11;
Municipios;1028;Orusco de Tajuña;23;23;22;24;24;22;23;20;19;
Municipios;1049;Paracuellos de Jarama;514;522;542;549;553;549;545;583;567;
Municipios;1065;Parla;2221;2214;2247;2332;2374;2395;2357;2409;2393;
Municipios;1071;Patones;32;33;27;25;27;31;33;36;35;
Municipios;1087;Pedrezuela;100;107;99;109;105;102;105;105;94;
Municipios;1090;Pelayos de la Presa;69;72;70;66;81;89;85;83;87;
Municipios;1104;Perales de Tajuña;86;83;83;74;75;69;72;71;66;
Municipios;1111;Pezuela de las Torres;22;22;24;22;22;21;21;21;21;
Municipios;1126;Pinilla del Valle;7;6;7;7;7;6;6;6;5;
Municipios;1132;Pinto;1409;1409;1418;1441;1461;1464;1452;1503;1506;
Municipios;1147;Piñuécar-Gandullas;4;5;4;2;3;5;4;7;3;
Municipios;1150;Pozuelo de Alarcón;2157;2161;2158;2165;2211;2193;2143;2164;2101;
Municipios;1163;Pozuelo del Rey;12;13;16;16;12;13;14;14;15;
Municipios;1179;Prádena del Rincón;3;3;2;2;4;4;4;3;3;
Municipios;1185;Puebla de la Sierra;2;1;2;3;3;2;4;3;3;
Municipios;9020;Puentes Viejas;11;16;13;13;16;14;18;20;20;
Municipios;1198;Quijorna;52;51;56;61;68;65;64;68;66;
Municipios;1202;Rascafría;113;117;123;123;130;123;116;125;117;
Municipios;1219;Redueña;8;13;10;11;11;12;13;14;14;
Municipios;1224;Ribatejada;13;12;12;16;13;13;12;15;12;
Municipios;1230;Rivas-Vaciamadrid;1769;1810;1889;1908;1971;2025;2051;2126;2091;
Municipios;1245;Robledillo de la Jara;3;1;2;1;1;2;3;4;3;
Municipios;1258;Robledo de Chavela;110;117;114;118;116;117;109;111;111;
Municipios;1261;Robregordo;1;0;0;0;0;0;0;1;1;
Municipios;1277;Rozas de Madrid (Las);2632;2677;2697;2689;2718;2700;2712;2771;2758;
Municipios;1283;Rozas de Puerto Real;17;22;21;27;29;32;32;33;33;
Municipios;1296;San Agustín del Guadalix;312;330;328;341;336;322;328;333;337;
Municipios;1300;San Fernando de Henares;1272;1280;1265;1296;1323;1310;1291;1320;1266;
Municipios;1317;San Lorenzo de El Escorial;489;490;475;491;503;490;489;509;507;
Municipios;1338;San Martín de Valdeiglesias;280;272;281;264;262;276;276;265;255;
Municipios;1322;San Martín de la Vega;552;545;567;549;557;566;558;556;565;
Municipios;1343;San Sebastián de los Reyes;2695;2736;2751;2774;2776;2758;2720;2704;2681;
Municipios;1356;Santa María de la Alameda;43;40;37;39;37;39;38;42;40;
Municipios;1369;Santorcaz;20;20;20;18;18;15;14;17;20;
Municipios;1375;Santos de la Humosa (Los);52;61;62;57;67;65;70;65;65;
Municipios;1381;Serna del Monte (La);7;8;6;5;5;7;7;8;6;
Municipios;1408;Serranillos del Valle;122;120;116;115;112;113;102;103;118;
Municipios;1415;Sevilla la Nueva;173;175;184;187;177;186;179;180;179;
Municipios;1436;Somosierra;6;7;8;10;10;10;11;8;8;
Municipios;1441;Soto del Real;230;220;217;212;222;230;220;232;242;
Municipios;1454;Talamanca de Jarama;71;76;80;82;74;79;73;78;74;
Municipios;1467;Tielmes;59;56;58;54;58;58;60;64;65;
Municipios;1473;Titulcia;26;27;31;29;31;32;32;33;31;
Municipios;1489;Torrejón de Ardoz;3015;3018;2996;2962;2968;2961;2865;2947;2906;
Municipios;1505;Torrejón de Velasco;101;106;109;105;91;99;104;121;120;
Municipios;1492;Torrejón de la Calzada;248;238;245;253;260;255;268;276;273;
Municipios;1512;Torrelaguna;167;174;180;179;181;184;187;179;170;
Municipios;1527;Torrelodones;580;590;565;556;544;546;551;568;558;
Municipios;1533;Torremocha de Jarama;27;27;31;34;32;32;30;29;27;
Municipios;1548;Torres de la Alameda;255;268;255;254;266;261;255;261;256;
Municipios;9036;Tres Cantos;1049;1040;1044;1052;1042;1050;1044;1059;1053;
Municipios;1551;Valdaracete;12;13;14;13;14;13;13;14;12;
Municipios;1564;Valdeavero;32;39;40;46;50;52;55;55;50;
Municipios;1570;Valdelaguna;19;19;12;9;14;11;11;18;16;
Municipios;1586;Valdemanco;19;18;21;22;21;21;24;22;19;
Municipios;1599;Valdemaqueda;21;23;21;19;19;20;20;19;19;
Municipios;1603;Valdemorillo;284;300;293;283;280;294;293;307;320;
Municipios;1610;Valdemoro;1706;1752;1802;1769;1830;1820;1851;1882;1897;
Municipios;1625;Valdeolmos-Alalpardo;69;58;70;73;70;73;72;70;76;
Municipios;1631;Valdepiélagos;18;15;15;16;15;17;19;17;17;
Municipios;1646;Valdetorres de Jarama;111;121;112;119;116;110;104;113;112;
Municipios;1659;Valdilecha;72;68;70;71;70;75;72;72;69;
Municipios;1662;Valverde de Alcalá;8;9;8;9;9;7;7;8;6;
Municipios;1678;Velilla de San Antonio;272;265;263;273;267;255;257;266;263;
Municipios;1684;Vellón (El);32;38;41;43;41;42;42;40;37;
Municipios;1697;Venturada;53;57;89;124;128;117;125;131;128;
Municipios;1718;Villa del Prado;167;169;166;162;154;151;147;151;151;
Municipios;1701;Villaconejos;124;121;116;112;112;105;108;114;106;
Municipios;1723;Villalbilla;203;204;208;202;212;226;220;229;224;
Municipios;1739;Villamanrique de Tajo;25;27;33;33;31;32;32;29;27;
Municipios;1744;Villamanta;58;58;56;55;47;52;49;54;55;
Municipios;1757;Villamantilla;14;20;19;18;20;19;18;20;16;
Municipios;1782;Villanueva de Perales;41;44;48;41;45;46;47;48;47;
Municipios;1760;Villanueva de la Cañada;520;543;535;527;553;566;556;579;584;
Municipios;1776;Villanueva del Pardillo;350;357;338;328;347;362;359;363;355;
Municipios;1795;Villar del Olmo;25;26;33;37;34;38;36;36;41;
Municipios;1809;Villarejo de Salvanés;232;227;231;233;223;222;217;218;205;
Municipios;1816;Villaviciosa de Odón;856;876;895;875;888;861;862;899;924;
Municipios;1821;Villavieja del Lozoya;6;5;5;4;4;6;5;5;5;
Municipios;1837;Zarzalejo;36;38;32;34;31;28;27;29;37;
