Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;37213;37583;38889;40475;42344;43971;46199;45527;45462;
Zonas Estadísticas;01;Municipio de Madrid ;17123;17246;18132;19200;20504;21561;23442;22702;22901;
Zonas Estadísticas;02;Norte Metropolitano ;1513;1541;1582;1578;1607;1683;1698;1714;1721;
Zonas Estadísticas;03;Este Metropolitano  ;5038;5117;5242;5428;5662;5832;5838;5799;5663;
Zonas Estadísticas;04;Sur Metropolitano   ;8749;8849;9004;9224;9317;9519;9699;9655;9549;
Zonas Estadísticas;05;Oeste Metropolitano ;1386;1374;1392;1462;1528;1560;1636;1657;1714;
Zonas Estadísticas;06;Sierra Norte        ;204;202;205;213;234;247;250;253;247;
Zonas Estadísticas;07;Nordeste Comunidad  ;532;539;534;563;588;590;602;601;595;
Zonas Estadísticas;08;Sudeste Comunidad   ;856;906;927;936;965;977;996;1041;988;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1113;1130;1164;1189;1219;1258;1266;1309;1295;
Zonas Estadísticas;10;Sierra Sur          ;120;117;125;127;134;134;139;150;134;
Zonas Estadísticas;11;Sierra Central      ;579;562;582;555;586;610;633;646;655;
Municipios;0014;Acebeda (La);0;0;0;0;0;0;0;0;0;
Municipios;0029;Ajalvir;50;53;54;57;57;58;59;65;70;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;0;1;
Municipios;0040;Alamo (El);81;83;73;68;75;77;78;83;80;
Municipios;0053;Alcalá de Henares;918;952;976;991;1008;1015;1060;1094;1102;
Municipios;0066;Alcobendas;516;514;519;538;553;584;571;565;562;
Municipios;0072;Alcorcón;1061;1040;1019;1003;1030;1059;1102;1090;1083;
Municipios;0088;Aldea del Fresno;4;4;5;4;10;10;9;9;9;
Municipios;0091;Algete;132;140;135;130;140;140;143;142;144;
Municipios;0105;Alpedrete;55;60;61;55;51;54;54;61;63;
Municipios;0112;Ambite;4;4;3;2;3;4;3;4;6;
