Nombre;zona_estadistica;zona_estadistica_codigo;densidad_poblacion;distancia_capital;Cluster estadistico
Olmeda de las Fuentes;Sudeste Comunidad;8.0;24.49;53.406;0
Orusco de Tajuña;Sudeste Comunidad;8.0;66.51;57.456;0
Paracuellos de Jarama;Este Metropolitano;3.0;617.07;24.676;1
Parla;Sur Metropolitano;4.0;5317.93;23.672;1
Patones;Sierra Norte;6.0;16.14;65.895;2
Pedrezuela;Sierra Norte;6.0;223.85;45.794;2
Pelayos de la Presa;Sierra Sur;10.0;391.28;71.93;0
Perales de Tajuña;Sudeste Comunidad;8.0;64.15;40.166;0
Pezuela de las Torres;Sudeste Comunidad;8.0;23.54;51.574;0
Pinilla del Valle;Sierra Norte;6.0;8.02;91.312;2
Pinto;Sur Metropolitano;4.0;889.54;23.546;1
Piñuécar-Gandullas;0;0.0;9.75;83.028;1
Pozuelo de Alarcón;Oeste Metropolitano;5.0;2053.93;18.056;2
Pozuelo del Rey;Sudeste Comunidad;8.0;41.24;41.51;0
Prádena del Rincón;Sierra Norte;6.0;6.66;85.383;2
Puebla de la Sierra;Sierra Norte;6.0;1.8;103.62;2
Puentes Viejas;Sierra Norte;6.0;12.94;75.189;2
Quijorna;Sudoeste Comunidad;9.0;150.04;45.968;0
Rascafría;Sierra Norte;6.0;11.64;95.391;2
Redueña;Sierra Norte;6.0;23.39;56.05;2
Ribatejada;Nordeste Comunidad;7.0;28.53;51.73;2
Rivas-Vaciamadrid;Este Metropolitano;3.0;1485.57;16.274;1
Robledillo de la Jara;Sierra Norte;6.0;6.37;79.092;2
Robledo de Chavela;Sierra Sur;10.0;50.34;74.92;0
Robregordo;Sierra Norte;6.0;4.3;89.533;2
Rozas de Madrid (Las);Oeste Metropolitano;5.0;1690.16;19.981;2
Rozas de Puerto Real;Sierra Sur;10.0;19.53;92.193;0
San Agustín del Guadalix;Norte Metropolitano;2.0;358.19;36.132;1
San Fernando de Henares;Este Metropolitano;3.0;1002.98;18.348;1
San Lorenzo de El Escorial;Sierra Central;11.0;328.4;62.624;0
San Martín de Valdeiglesias;Sierra Sur;10.0;77.01;78.77;0
San Martín de la Vega;Sur Metropolitano;4.0;192.73;30.402;1
San Sebastián de los Reyes;Norte Metropolitano;2.0;1559.52;20.284;1
Santa María de la Alameda;Sierra Sur;10.0;20.01;70.111;0
Santorcaz;Sudeste Comunidad;8.0;33.46;45.724;0
Santos de la Humosa (Los);Sudeste Comunidad;8.0;79.38;46.496;0
Serna del Monte (La);Sierra Norte;6.0;19.2;80.844;2
Serranillos del Valle;Sudoeste Comunidad;9.0;353.83;35.694;0
Sevilla la Nueva;Sudoeste Comunidad;9.0;386.54;42.875;0
Somosierra;Sierra Norte;6.0;4.16;93.268;2
Soto del Real;Sierra Central;11.0;219.39;44.268;0
Talamanca de Jarama;Nordeste Comunidad;7.0;113.55;47.636;2
Tielmes;Sudeste Comunidad;8.0;102.71;45.405;0
Titulcia;Sudeste Comunidad;8.0;134.71;40.449;0
Torrejón de Ardoz;Este Metropolitano;3.0;4266.66;22.712;1
Torrejón de Velasco;Sudoeste Comunidad;9.0;90.86;29.513;0
Torrejón de la Calzada;Sudoeste Comunidad;9.0;1137.12;27.728;0
Torrelaguna;Sierra Norte;6.0;114.74;60.357;2
Torrelodones;Oeste Metropolitano;5.0;1157.43;30.262;2
Torremocha de Jarama;Sierra Norte;6.0;60.47;64.681;2
Torres de la Alameda;Sudeste Comunidad;8.0;177.86;37.051;0
Tres Cantos;Norte Metropolitano;2.0;1352.85;24.566;1
Valdaracete;Sudeste Comunidad;8.0;10.07;58.985;0
Valdeavero;Nordeste Comunidad;7.0;94.71;47.888;2
Valdelaguna;Sudeste Comunidad;8.0;24.69;50.708;0
Valdemanco;Sierra Norte;6.0;60.28;65.264;2
Valdemaqueda;Sierra Sur;10.0;15.83;80.311;0
Valdemorillo;Sierra Central;11.0;145.24;49.031;0
Valdemoro;Sur Metropolitano;4.0;1270.53;28.75;1
Valdeolmos-Alalpardo;Nordeste Comunidad;7.0;175.3;37.129;2
Valdepiélagos;Nordeste Comunidad;7.0;35.54;51.502;2
Valdetorres de Jarama;Nordeste Comunidad;7.0;142.44;41.951;2
Valdilecha;Sudeste Comunidad;8.0;75.06;45.871;0
Valverde de Alcalá;Sudeste Comunidad;8.0;38.98;42.548;0
Velilla de San Antonio;Este Metropolitano;3.0;930.46;21.48;1
Vellón (El);Sierra Norte;6.0;65.68;48.389;2
Venturada;Sierra Norte;6.0;250.73;52.667;2
Villa del Prado;Sudoeste Comunidad;9.0;93.82;66.911;0
Villaconejos;Sudeste Comunidad;8.0;104.9;55.549;0
Villalbilla;Sudeste Comunidad;8.0;483.87;39.662;0
Villamanrique de Tajo;Sudeste Comunidad;8.0;27.19;64.302;0
Villamanta;Sudoeste Comunidad;9.0;43.98;47.225;0
Villamantilla;Sudoeste Comunidad;9.0;66.17;53.9;0
Villanueva de Perales;Sudoeste Comunidad;9.0;54.5;50.249;0
Villanueva de la Cañada;Oeste Metropolitano;5.0;674.76;43.204;2
Villanueva del Pardillo;Sierra Central;11.0;694.38;28.83;0
Villar del Olmo;Sudeste Comunidad;8.0;81.15;48.941;0
Villarejo de Salvanés;Sudeste Comunidad;8.0;64.79;50.672;0
Villaviciosa de Odón;Oeste Metropolitano;5.0;420.84;26.157;2
Villavieja del Lozoya;Sierra Norte;6.0;13.6;80.015;2
Zarzalejo;Sierra Sur;10.0;89.3;65.28;0
