Serie;Codigo_municipio;Nombre;distancia_capital;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;afiliados_ss_primario;afiliados_ss_secundario;afiliados_ss_terciario;contratos_primario;contratos_secundario;contratos_terciario;empleo_primario;empleo_secundario;empleo_terciario;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;variacion_relativa_paro_registrado;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_registrado_entre_25_44;paro_registrado_mayores_25;paro_registrado_mayores_45;paro_registrado_menores_25;paro_registrado_por_100_habitantes;paro_registrado_total;porcentaje_parados_mayores_25;porcentaje_parados_menores_25;poblacion_censada_0a4;poblacion_censada_10a14;poblacion_censada_15a19;poblacion_censada_20a24;poblacion_censada_25a29;poblacion_censada_30a34;poblacion_censada_35a39;poblacion_censada_40a44;poblacion_censada_45a49;poblacion_censada_50a54;poblacion_censada_55a59;poblacion_censada_5a9;poblacion_censada_60a64;poblacion_censada_65a69;poblacion_censada_70a74;poblacion_censada_75a79;poblacion_censada_80a84;poblacion_censada_85a89;poblacion_censada_90a94;poblacion_censada_95a99;poblacion_censada_mayores_100;poblacion_censada_total;num_explotaciones_agricolas_con_SAU;num_explotaciones_agricolas_con_SAU_huertos_consumo_propio;num_explotaciones_agricolas_con_SAU_tierra_pastos;superficie_explotaciones_agricolas_con_SAU;sup_explotaciones_agricolas_con_SAU_huertos_consumo_propio;sup_explotaciones_agricolas_con_SAU_tierra_pastos;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;cluster_zona_estadistica;cluster_densidad_poblacion;cluster_distancia_capital;sector_principal
Municipios;112.0;Ambite;54.784;280112;8;Sudeste Comunidad;51.6;120.0;180.0;2640.0;24.0;336.0;7368.0;108.0;348.0;3768.0;4.55;26.72;46.53;56.96;36.81;20.58;12.03;5.36;13.91;20.72;28.26;43.04;18.75;0.0;0.0;0.0;0.0;17;55;38;2;8.33;57;96.49;3.51;30;33;28;19;27;25;46;56;67;72;65;33;47;29;30;22;24;28;8;1;0;690;24;1;3;1822.3;0.04;866.98;84.0;204.0;1224.0;1.0;0.0;1.0;terciario
Municipios;127.0;Anchuelo;42.201;280127;8;Sudeste Comunidad;21.59;120.0;600.0;3660.0;0.0;288.0;23328.0;72.0;696.0;7452.0;1.62;63.81;39.7;42.06;25.53;13.71;6.31;1.96;19.51;28.79;40.17;57.94;-15.71;0.0;0.0;0.0;0.0;24;50;26;9;4.28;59;84.75;15.25;68;101;67;61;64;93;108;137;135;93;70;100;93;62;40;39;21;12;12;2;1;1379;30;1;0;1455.15;0.01;0.0;72.0;312.0;2316.0;1.0;0.0;1.0;terciario
Municipios;133.0;Aranjuez;48.903;280133;4;Sur Metropolitano;189.01;2040.0;31920.0;273240.0;3144.0;62784.0;855960.0;1920.0;78144.0;443052.0;1.43;322.45;42.2;47.58;30.63;17.55;8.42;2.7;15.79;27.32;38.12;52.42;-8.28;0.0;0.0;0.0;0.0;1420;3367;1947;309;6.06;3676;91.59;8.41;2435;3931;3735;3297;3269;3320;3894;4827;5557;4785;4385;3267;3590;2991;2579;2131;1358;995;526;110;16;60998;189;11;23;10742.0;0.36;1002.53;1176.0;9540.0;100440.0;2.0;0.0;1.0;terciario
Municipios;148.0;Arganda del Rey;28.644;280148;3;Este Metropolitano;80.27;480.0;126660.0;486960.0;648.0;127392.0;573096.0;1116.0;217908.0;599052.0;2.27;729.87;40.14;43.44;25.66;13.48;5.5;1.57;16.94;27.77;39.59;56.56;-9.06;0.0;0.0;0.0;0.0;1368;3380;2012;282;6.21;3662;92.3;7.7;2685;3828;3395;2949;3103;3826;4492;5460;5742;4683;3877;3420;3262;2576;2099;1440;863;545;290;77;11;58623;170;10;14;2536.56;0.3;411.91;444.0;37032.0;125196.0;0.0;0.0;0.0;terciario
Municipios;151.0;Arroyomolinos;31.45;280151;9;Sudoeste Comunidad;20.78;180.0;24960.0;225180.0;0.0;18288.0;313824.0;108.0;27912.0;268944.0;3.29;1734.84;35.26;35.88;15.6;7.09;2.42;0.58;24.18;35.28;43.3;64.12;-7.1;0.0;0.0;0.0;0.0;504;1202;698;119;3.67;1321;90.99;9.01;2253;3220;2407;1600;1251;1643;2983;4535;4492;2829;1866;3257;1207;986;700;452;213;131;60;14;3;36102;0;0;0;0.0;0.0;0.0;96.0;9804.0;70920.0;1.0;2.0;0.0;terciario
Municipios;164.0;Atazar (El);84.846;280164;6;Sierra Norte;28.43;0.0;60.0;420.0;0.0;72.0;9384.0;0.0;168.0;2208.0;-2.8;3.66;50.19;65.38;42.31;22.12;13.46;6.73;6.73;17.31;24.04;34.62;0.0;0.0;0.0;0.0;0.0;1;13;12;0;12.5;13;100.0;0.0;0;3;7;4;6;1;2;9;6;18;14;4;7;6;3;4;3;6;1;0;0;104;0;0;0;0.0;0.0;0.0;0.0;36.0;132.0;2.0;0.0;2.0;terciario
Municipios;170.0;Batres;37.802;280170;9;Sudoeste Comunidad;21.36;0.0;1020.0;6480.0;0.0;624.0;14784.0;36.0;1080.0;8088.0;2.34;87.98;43.03;51.73;30.99;15.68;5.95;1.75;13.02;25.62;34.61;48.27;-15.38;0.0;0.0;0.0;0.0;23;73;50;4;4.11;77;94.81;5.19;59;97;124;113;74;95;103;154;181;209;174;89;114;97;86;55;24;23;8;2;0;1881;5;1;4;190.99;0.02;103.15;24.0;480.0;3516.0;1.0;0.0;0.0;terciario
Municipios;186.0;Becerril de la Sierra;50.448;280186;11;Sierra Central;29.64;120.0;2460.0;24060.0;96.0;2352.0;34320.0;108.0;2460.0;27144.0;1.34;211.29;43.12;50.82;31.75;16.93;7.9;2.55;13.98;25.8;35.31;49.18;11.42;0.0;0.0;0.0;0.0;105;307;202;15;5.13;322;95.34;4.66;237;341;420;321;305;291;348;521;649;546;492;298;437;308;258;218;117;87;59;13;1;6267;22;2;21;1358.1;0.05;1356.43;84.0;1596.0;14568.0;1.0;0.0;1.0;terciario
Municipios;199.0;Belmonte de Tajo;57.499;280199;8;Sudeste Comunidad;24.07;180.0;780.0;4440.0;216.0;744.0;25488.0;120.0;1392.0;7908.0;3.72;76.46;42.77;46.47;30.89;18.02;8.09;2.93;14.93;24.86;36.21;53.53;-6.9;0.0;0.0;0.0;0.0;42;96;54;12;5.87;108;88.89;11.11;77;105;96;87;88;121;149;170;143;144;114;93;123;108;75;59;36;30;19;4;1;1842;142;5;5;1400.13;0.18;2.04;108.0;1044.0;2640.0;1.0;0.0;1.0;terciario
Municipios;210.0;Berrueco (El);66.347;280210;6;Sierra Norte;28.4;60.0;360.0;3300.0;0.0;864.0;18048.0;0.0;612.0;4632.0;0.74;28.88;45.95;54.2;37.15;23.14;11.33;4.38;15.23;22.17;30.45;45.8;9.09;0.0;0.0;0.0;0.0;12;36;24;0;4.49;36;100.0;0.0;32;42;23;34;41;27;56;70;78;62;49;51;66;51;46;32;25;23;11;2;0;821;8;0;8;195.56;0.0;195.16;0.0;276.0;1560.0;2.0;0.0;1.0;terciario
Municipios;203.0;Berzosa del Lozoya;82.228;280203;6;Sierra Norte;14.62;0.0;120.0;1800.0;0.0;288.0;32832.0;0.0;288.0;3264.0;-3.52;14.97;49.78;62.1;46.12;28.31;12.79;5.94;8.22;21.0;29.68;37.9;16.67;0.0;0.0;0.0;0.0;3;7;4;0;3.23;7;100.0;0.0;2;10;18;10;11;8;9;9;14;21;20;6;19;20;14;9;6;2;6;5;0;219;4;0;3;271.94;0.0;257.94;0.0;120.0;624.0;2.0;0.0;2.0;terciario
Municipios;225.0;Boadilla del Monte;24.652;280225;5;Oeste Metropolitano;47.38;480.0;30240.0;890040.0;1344.0;28512.0;665280.0;756.0;29952.0;596940.0;3.21;1361.02;38.5;44.34;23.39;11.57;5.53;1.62;19.85;34.69;42.64;55.66;-4.6;388.14;113.64;0.0;0.0;392;1373;981;57;2.21;1430;96.01;3.99;3106;5365;5747;3845;2651;2487;3452;4964;6627;6915;4655;4358;2987;1989;1911;1579;953;618;325;87;14;64635;4;0;2;730.35;0.0;729.11;372.0;9324.0;201900.0;2.0;2.0;0.0;terciario
